Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
LTCUSDT,Short,88.63 USDT,230,"-20,384.90 USDT",37.10 USDT,0.18 %,05/05/2023 19:59 UTC,05/06/2023 00:06 UTC,,,2023-05-05 19:59:00,2023-05-06 00:06:00,2023-05-06 04:59:00,2023-05-06 09:06:00,2023-05-06 04:59 KST,2023-05-06 09:06 KST,37.1,1,37.1,-20384.9,20384.9,37.1,37.1
LTCUSDT,Long,88.01 USDT,235,"20,682.35 USDT","-1,381.76 USDT",-6.68 %,05/06/2023 01:30 UTC,05/08/2023 10:04 UTC,,,2023-05-06 01:30:00,2023-05-08 10:04:00,2023-05-06 10:30:00,2023-05-08 19:04:00,2023-05-06 10:30 KST,2023-05-08 19:04 KST,1381.76,-1,-1381.76,20682.35,20682.35,-1344.66,-1344.66
LTCUSDT,Short,91.335 USDT,500,"-45,667.50 USDT",45.12 USDT,0.10 %,05/22/2023 09:17 UTC,05/22/2023 09:27 UTC,,,2023-05-22 09:17:00,2023-05-22 09:27:00,2023-05-22 18:17:00,2023-05-22 18:27:00,2023-05-22 18:17 KST,2023-05-22 18:27 KST,45.12,1,45.12,-45667.5,45667.5,-1299.5400000000002,-1299.5400000000002
LTCUSDT,Long,91.18 USDT,250,"22,795.00 USDT",31.31 USDT,0.14 %,05/22/2023 09:30 UTC,05/22/2023 09:46 UTC,,,2023-05-22 09:30:00,2023-05-22 09:46:00,2023-05-22 18:30:00,2023-05-22 18:46:00,2023-05-22 18:30 KST,2023-05-22 18:46 KST,31.31,1,31.31,22795.0,22795.0,-1268.2300000000002,-1268.2300000000002
LTCUSDT,Short,91.31 USDT,250,"22,827.50 USDT",8.69 USDT,0.04 %,05/22/2023 09:51 UTC,05/22/2023 09:53 UTC,,,2023-05-22 09:51:00,2023-05-22 09:53:00,2023-05-22 18:51:00,2023-05-22 18:53:00,2023-05-22 18:51 KST,2023-05-22 18:53 KST,8.69,1,8.69,22827.5,22827.5,-1259.5400000000002,-1259.5400000000002
LTCUSDT,Long,91.165 USDT,500,"45,582.50 USDT",40.13 USDT,0.09 %,05/22/2023 09:54 UTC,05/22/2023 10:01 UTC,,,2023-05-22 09:54:00,2023-05-22 10:01:00,2023-05-22 18:54:00,2023-05-22 19:01:00,2023-05-22 18:54 KST,2023-05-22 19:01 KST,40.13,1,40.13,45582.5,45582.5,-1219.41,-1219.41
LTCUSDT,Short,91.381 USDT,"1,265.031","-115,597.54 USDT",56.19 USDT,0.05 %,05/22/2023 10:02 UTC,05/22/2023 11:16 UTC,,,2023-05-22 10:02:00,2023-05-22 11:16:00,2023-05-22 19:02:00,2023-05-22 20:16:00,2023-05-22 19:02 KST,2023-05-22 20:16 KST,56.19,1,56.19,-115597.54,115597.54,-1163.22,-1163.22
LTCUSDT,Long,91.129 USDT,"1,150","104,798.50 USDT",-170.18 USDT,-0.16 %,05/22/2023 11:20 UTC,05/22/2023 14:34 UTC,,,2023-05-22 11:20:00,2023-05-22 14:34:00,2023-05-22 20:20:00,2023-05-22 23:34:00,2023-05-22 20:20 KST,2023-05-22 23:34 KST,170.18,-1,-170.18,104798.5,104798.5,-1333.4,-1333.4
LTCUSDT,Short,91.44 USDT,253.171,"23,149.99 USDT",39.08 USDT,0.17 %,05/22/2023 14:36 UTC,05/22/2023 14:45 UTC,,,2023-05-22 14:36:00,2023-05-22 14:45:00,2023-05-22 23:36:00,2023-05-22 23:45:00,2023-05-22 23:36 KST,2023-05-22 23:45 KST,39.08,1,39.08,23149.99,23149.99,-1294.3200000000002,-1294.3200000000002
LTCUSDT,Long,91.063 USDT,950,"86,510.00 USDT",154.03 USDT,0.18 %,05/22/2023 14:46 UTC,05/22/2023 16:11 UTC,,,2023-05-22 14:46:00,2023-05-22 16:11:00,2023-05-22 23:46:00,2023-05-23 01:11:00,2023-05-22 23:46 KST,2023-05-23 01:11 KST,154.03,1,154.03,86510.0,86510.0,-1140.2900000000002,-1140.2900000000002
LTCUSDT,Short,91.314 USDT,250,"22,828.60 USDT",102.43 USDT,0.45 %,05/22/2023 16:15 UTC,05/22/2023 16:24 UTC,,,2023-05-22 16:15:00,2023-05-22 16:24:00,2023-05-23 01:15:00,2023-05-23 01:24:00,2023-05-23 01:15 KST,2023-05-23 01:24 KST,102.43,1,102.43,22828.6,22828.6,-1037.8600000000001,-1037.8600000000001
LTCUSDT,Long,90.738 USDT,920.394,"83,514.28 USDT",135.90 USDT,0.16 %,05/22/2023 17:03 UTC,05/22/2023 17:43 UTC,,,2023-05-22 17:03:00,2023-05-22 17:43:00,2023-05-23 02:03:00,2023-05-23 02:43:00,2023-05-23 02:03 KST,2023-05-23 02:43 KST,135.9,1,135.9,83514.28,83514.28,-901.9600000000002,-901.9600000000002
LTCUSDT,Long,90.785 USDT,"1,000","90,785.00 USDT",153.40 USDT,0.17 %,05/22/2023 17:57 UTC,05/22/2023 21:24 UTC,,,2023-05-22 17:57:00,2023-05-22 21:24:00,2023-05-23 02:57:00,2023-05-23 06:24:00,2023-05-23 02:57 KST,2023-05-23 06:24 KST,153.4,1,153.4,90785.0,90785.0,-748.5600000000002,-748.5600000000002
LTCUSDT,Short,91.566 USDT,"1,883.745","-172,487.27 USDT",605.63 USDT,0.35 %,05/22/2023 21:32 UTC,05/23/2023 13:43 UTC,,,2023-05-22 21:32:00,2023-05-23 13:43:00,2023-05-23 06:32:00,2023-05-23 22:43:00,2023-05-23 06:32 KST,2023-05-23 22:43 KST,605.63,1,605.63,-172487.27,172487.27,-142.93000000000018,-142.93000000000018
LTCUSDT,Long,91.155 USDT,500,"45,577.50 USDT",15.24 USDT,0.03 %,05/23/2023 13:43 UTC,05/23/2023 13:51 UTC,,,2023-05-23 13:43:00,2023-05-23 13:51:00,2023-05-23 22:43:00,2023-05-23 22:51:00,2023-05-23 22:43 KST,2023-05-23 22:51 KST,15.24,1,15.24,45577.5,45577.5,-127.69000000000018,-127.69000000000018
LTCUSDT,Short,91.373 USDT,"1,919.45","-175,386.29 USDT",238.56 USDT,0.14 %,05/23/2023 13:55 UTC,05/23/2023 16:42 UTC,,,2023-05-23 13:55:00,2023-05-23 16:42:00,2023-05-23 22:55:00,2023-05-24 01:42:00,2023-05-23 22:55 KST,2023-05-24 01:42 KST,238.56,1,238.56,-175386.29,175386.29,110.86999999999982,110.86999999999982
LTCUSDT,Long,91.098 USDT,"1,952.074","177,841.06 USDT","-6,828.53 USDT",-3.84 %,05/23/2023 16:50 UTC,05/26/2023 08:48 UTC,,,2023-05-23 16:50:00,2023-05-26 08:48:00,2023-05-24 01:50:00,2023-05-26 17:48:00,2023-05-24 01:50 KST,2023-05-26 17:48 KST,6828.53,-1,-6828.53,177841.06,177841.06,-6717.66,-6717.66
LTCUSDT,Short,96.16 USDT,250,"24,040.00 USDT",25.59 USDT,0.11 %,06/04/2023 13:19 UTC,06/04/2023 13:33 UTC,0.10 % 96.06 USDT,,2023-06-04 13:19:00,2023-06-04 13:33:00,2023-06-04 22:19:00,2023-06-04 22:33:00,2023-06-04 22:19 KST,2023-06-04 22:33 KST,25.59,1,25.59,24040.0,24040.0,-6692.07,-6692.07
LTCUSDT,Long,95.995 USDT,274.274,"26,328.91 USDT",-776.66 USDT,-2.95 %,06/04/2023 13:35 UTC,06/05/2023 09:30 UTC,0.29 % 96.27 USDT,-4.06 % 92.10 USDT,2023-06-04 13:35:00,2023-06-05 09:30:00,2023-06-04 22:35:00,2023-06-05 18:30:00,2023-06-04 22:35 KST,2023-06-05 18:30 KST,776.66,-1,-776.66,26328.91,26328.91,-7468.73,-7468.73
LTCUSDT,Short,76.647 USDT,750,"-57,485.00 USDT",-315.26 USDT,-0.55 %,06/19/2023 14:44 UTC,06/20/2023 13:45 UTC,0.41 % 76.33 USDT,-2.00 % 78.21 USDT,2023-06-19 14:44:00,2023-06-20 13:45:00,2023-06-19 23:44:00,2023-06-20 22:45:00,2023-06-19 23:44 KST,2023-06-20 22:45 KST,315.26,-1,-315.26,-57485.0,57485.0,-7783.99,-7783.99
LTCUSDT,Short,95.458 USDT,850,"-81,139.00 USDT",-42.22 USDT,-0.05 %,07/12/2023 20:37 UTC,07/12/2023 20:56 UTC,,-0.13 % 95.58 USDT,2023-07-12 20:37:00,2023-07-12 20:56:00,2023-07-13 05:37:00,2023-07-13 05:56:00,2023-07-13 05:37 KST,2023-07-13 05:56 KST,42.22,-1,-42.22,-81139.0,81139.0,-7826.21,-7826.21
LTCUSDT,Long,95.49 USDT,500,"47,745.00 USDT",21.34 USDT,0.04 %,07/12/2023 20:56 UTC,07/12/2023 20:57 UTC,0.15 % 95.63 USDT,,2023-07-12 20:56:00,2023-07-12 20:57:00,2023-07-13 05:56:00,2023-07-13 05:57:00,2023-07-13 05:56 KST,2023-07-13 05:57 KST,21.34,1,21.34,47745.0,47745.0,-7804.87,-7804.87
