Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BNBUSDT,Long,531.11 USDT,"1,412.202","746,730.05 USDT","61,429 USDT",8.23 %,09/14/2024 18:56 UTC,09/21/2024 06:50 UTC,,,2024-09-14 18:56:00,2024-09-21 06:50:00,2024-09-15 03:56:00,2024-09-21 15:50:00,2024-09-15 03:56 KST,2024-09-21 15:50 KST,61429.0,1,61429.0,746730.05,746730.05,61429.0,61429.0
AVAXUSDT,Short,26.334 USDT,"51,590.64","1,350,488.18 USDT","-50,644.57 USDT",-3.75 %,09/14/2024 18:56 UTC,10/31/2024 08:27 UTC,,,2024-09-14 18:56:00,2024-10-31 08:27:00,2024-09-15 03:56:00,2024-10-31 17:27:00,2024-09-15 03:56 KST,2024-10-31 17:27 KST,50644.57,-1,-50644.57,1350488.18,1350488.18,10784.43,10784.43
ETHUSDT,Long,"2,495.8 USDT",752.92,"1,873,040.08 USDT","39,590 USDT",2.11 %,09/14/2024 18:56 UTC,10/01/2024 15:11 UTC,,,2024-09-14 18:56:00,2024-10-01 15:11:00,2024-09-15 03:56:00,2024-10-02 00:11:00,2024-09-15 03:56 KST,2024-10-02 00:11 KST,39590.0,1,39590.0,1873040.08,1873040.08,50374.43,50374.43
SOLUSDT,Short,194.42 USDT,"5,647.41","1,144,334.69 USDT","301,514 USDT",26.35 %,09/14/2024 18:56 UTC,03/12/2025 02:29 UTC,54.26 % 126.03 USDT,-33.87 % 294.00 USDT,2024-09-14 18:56:00,2025-03-12 02:29:00,2024-09-15 03:56:00,2025-03-12 11:29:00,2024-09-15 03:56 KST,2025-03-12 11:29 KST,301514.0,1,301514.0,1144334.69,1144334.69,351888.43,351888.43
OPUSDT,Long,1.491 USDT,"350,393.2","457,333.20 USDT","122,521 USDT",26.79 %,09/14/2024 18:56 UTC,11/10/2024 02:00 UTC,29.99 % 1.94 USDT,,2024-09-14 18:56:00,2024-11-10 02:00:00,2024-09-15 03:56:00,2024-11-10 11:00:00,2024-09-15 03:56 KST,2024-11-10 11:00 KST,122521.0,1,122521.0,457333.2,457333.2,474409.43,474409.43
BTCUSDT,Long,"37,075 USDT",0.008,288.07 USDT,494.08 USDT,171.51 %,09/14/2024 18:56 UTC,12/25/2024 16:45 UTC,"192.93 % 108,603 USDT",,2024-09-14 18:56:00,2024-12-25 16:45:00,2024-09-15 03:56:00,2024-12-26 01:45:00,2024-09-15 03:56 KST,2024-12-26 01:45 KST,494.08,1,494.08,288.07,288.07,474903.51,474903.51
DOGEUSDT,Short,0.218 USDT,"179,556","39,062.41 USDT","3,329 USDT",8.52 %,09/14/2024 18:57 UTC,03/12/2025 02:29 UTC,50.32 % 0.14 USDT,-54.52 % 0.48 USDT,2024-09-14 18:57:00,2025-03-12 02:29:00,2024-09-15 03:57:00,2025-03-12 11:29:00,2024-09-15 03:57 KST,2025-03-12 11:29 KST,3329.0,1,3329.0,39062.41,39062.41,478232.51,478232.51
ARBUSDT,Long,0.495 USDT,"355,309.8","175,782.42 USDT","45,436 USDT",25.85 %,09/14/2024 18:57 UTC,09/25/2024 14:38 UTC,,,2024-09-14 18:57:00,2024-09-25 14:38:00,2024-09-15 03:57:00,2024-09-25 23:38:00,2024-09-15 03:57 KST,2024-09-25 23:38 KST,45436.0,1,45436.0,175782.42,175782.42,523668.51,523668.51
LINKUSDT,Long,10.926 USDT,"55,356.4","603,993.68 USDT","62,171 USDT",10.29 %,09/14/2024 18:57 UTC,09/27/2024 04:17 UTC,,,2024-09-14 18:57:00,2024-09-27 04:17:00,2024-09-15 03:57:00,2024-09-27 13:17:00,2024-09-15 03:57 KST,2024-09-27 13:17 KST,62171.0,1,62171.0,603993.68,603993.68,585839.51,585839.51
FILUSDT,Short,6.125 USDT,"1,810.2","11,086.93 USDT","6,061 USDT",54.67 %,09/14/2024 18:57 UTC,03/12/2025 02:27 UTC,149.80 % 2.45 USDT,-27.00 % 8.39 USDT,2024-09-14 18:57:00,2025-03-12 02:27:00,2024-09-15 03:57:00,2025-03-12 11:27:00,2024-09-15 03:57 KST,2025-03-12 11:27 KST,6061.0,1,6061.0,11086.93,11086.93,591900.51,591900.51
XRPUSDT,Short,0.775 USDT,"2,708","1,555.39 USDT","-3,681.99 USDT",-236.72 %,09/14/2024 18:57 UTC,03/12/2025 02:27 UTC,57.50 % 0.49 USDT,-77.18 % 3.39 USDT,2024-09-14 18:57:00,2025-03-12 02:27:00,2024-09-15 03:57:00,2025-03-12 11:27:00,2024-09-15 03:57 KST,2025-03-12 11:27 KST,3681.99,-1,-3681.99,1555.39,1555.39,588218.52,588218.52
CAKEUSDT,Short,2.764 USDT,"19,228.3","53,145.10 USDT","23,912 USDT",44.99 %,09/14/2024 18:57 UTC,03/12/2025 02:31 UTC,130.04 % 1.20 USDT,-38.05 % 4.46 USDT,2024-09-14 18:57:00,2025-03-12 02:31:00,2024-09-15 03:57:00,2025-03-12 11:31:00,2024-09-15 03:57 KST,2025-03-12 11:31 KST,23912.0,1,23912.0,53145.1,53145.1,612130.52,612130.52
RDNTUSDT,Long,0.365 USDT,"3,151","1,151.19 USDT","-1,075.70 USDT",-93.44 %,09/14/2024 18:57 UTC,03/12/2025 02:26 UTC,,-94.27 % 0.02 USDT,2024-09-14 18:57:00,2025-03-12 02:26:00,2024-09-15 03:57:00,2025-03-12 11:26:00,2024-09-15 03:57 KST,2025-03-12 11:26 KST,1075.7,-1,-1075.7,1151.19,1151.19,611054.8200000001,611054.8200000001
BNBUSDT,Short,590 USDT,"1,400.25","819,412.30 USDT","3,585 USDT",0.44 %,09/21/2024 06:50 UTC,09/23/2024 10:47 UTC,,,2024-09-21 06:50:00,2024-09-23 10:47:00,2024-09-21 15:50:00,2024-09-23 19:47:00,2024-09-21 15:50 KST,2024-09-23 19:47 KST,3585.0,1,3585.0,819412.3,819412.3,614639.8200000001,614639.8200000001
BNBUSDT,Long,592.69 USDT,72.692,"43,083.82 USDT","1,330 USDT",3.09 %,09/23/2024 10:47 UTC,09/23/2024 21:41 UTC,,,2024-09-23 10:47:00,2024-09-23 21:41:00,2024-09-23 19:47:00,2024-09-24 06:41:00,2024-09-23 19:47 KST,2024-09-24 06:41 KST,1330.0,1,1330.0,43083.82,43083.82,615969.8200000001,615969.8200000001
BNBUSDT,Short,608.59 USDT,147.753,"89,921.00 USDT",586.04 USDT,0.65 %,09/23/2024 21:52 UTC,09/25/2024 04:58 UTC,,,2024-09-23 21:52:00,2024-09-25 04:58:00,2024-09-24 06:52:00,2024-09-25 13:58:00,2024-09-24 06:52 KST,2024-09-25 13:58 KST,586.04,1,586.04,89921.0,89921.0,616555.8600000001,616555.8600000001
BNBUSDT,Long,595.58 USDT,349.114,"207,925.32 USDT","-2,158.41 USDT",-1.04 %,09/25/2024 04:58 UTC,09/26/2024 06:26 UTC,,,2024-09-25 04:58:00,2024-09-26 06:26:00,2024-09-25 13:58:00,2024-09-26 15:26:00,2024-09-25 13:58 KST,2024-09-26 15:26 KST,2158.41,-1,-2158.41,207925.32,207925.32,614397.4500000001,614397.4500000001
ARBUSDT,Short,0.621 USDT,"320,550.3","200,238.16 USDT","11,013 USDT",5.50 %,09/25/2024 14:38 UTC,10/05/2024 07:20 UTC,,,2024-09-25 14:38:00,2024-10-05 07:20:00,2024-09-25 23:38:00,2024-10-05 16:20:00,2024-09-25 23:38 KST,2024-10-05 16:20 KST,11013.0,1,11013.0,200238.16,200238.16,625410.4500000001,625410.4500000001
BNBUSDT,Short,600.2 USDT,843.108,"506,033.42 USDT",701.97 USDT,0.14 %,09/26/2024 06:26 UTC,09/28/2024 09:07 UTC,,,2024-09-26 06:26:00,2024-09-28 09:07:00,2024-09-26 15:26:00,2024-09-28 18:07:00,2024-09-26 15:26 KST,2024-09-28 18:07 KST,701.97,1,701.97,506033.42,506033.42,626112.42,626112.42
LINKUSDT,Short,22.147 USDT,"47,532.4","1,154,942.26 USDT","287,702 USDT",24.91 %,09/27/2024 04:17 UTC,03/12/2025 02:26 UTC,67.78 % 13.20 USDT,-16.71 % 26.59 USDT,2024-09-27 04:17:00,2025-03-12 02:26:00,2024-09-27 13:17:00,2025-03-12 11:26:00,2024-09-27 13:17 KST,2025-03-12 11:26 KST,287702.0,1,287702.0,1154942.26,1154942.26,913814.42,913814.42
BNBUSDT,Long,596.89 USDT,191.801,"114,484.10 USDT",283.16 USDT,0.25 %,09/28/2024 09:07 UTC,09/29/2024 17:32 UTC,,,2024-09-28 09:07:00,2024-09-29 17:32:00,2024-09-28 18:07:00,2024-09-30 02:32:00,2024-09-28 18:07 KST,2024-09-30 02:32 KST,283.16,1,283.16,114484.1,114484.1,914097.5800000001,914097.5800000001
