Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BTCUSDT,Long,"28,900 USDT",60,"1,734,000.00 USDT","18,789 USDT",1.08 %,07/31/2023 19:59 UTC,08/01/2023 18:55 UTC,"1.14 % 29,230 USDT","-1.21 % 28,550 USDT",2023-07-31 19:59:00,2023-08-01 18:55:00,2023-08-01 04:59:00,2023-08-02 03:55:00,2023-08-01 04:59 KST,2023-08-02 03:55 KST,18789.0,1,18789.0,1734000.0,1734000.0,18789.0,18789.0
BTCUSDT,Short,"29,775 USDT",80,"-2,382,000.00 USDT","21,761 USDT",0.91 %,08/01/2023 23:51 UTC,08/02/2023 08:12 UTC,"0.89 % 29,512 USDT","-0.69 % 29,982 USDT",2023-08-01 23:51:00,2023-08-02 08:12:00,2023-08-02 08:51:00,2023-08-02 17:12:00,2023-08-02 08:51 KST,2023-08-02 17:12 KST,21761.0,1,21761.0,-2382000.0,2382000.0,40550.0,40550.0
BTCUSDT,Long,"29,100 USDT",60,"1,746,000.00 USDT","18,698 USDT",1.07 %,08/02/2023 14:08 UTC,08/03/2023 14:59 UTC,"1.17 % 29,440 USDT","-0.67 % 28,906 USDT",2023-08-02 14:08:00,2023-08-03 14:59:00,2023-08-02 23:08:00,2023-08-03 23:59:00,2023-08-02 23:08 KST,2023-08-03 23:59 KST,18698.0,1,18698.0,1746000.0,1746000.0,59248.0,59248.0
BTCUSDT,Long,"29,100 USDT",40,"1,164,000.00 USDT","3,296 USDT",0.28 %,08/04/2023 02:24 UTC,08/07/2023 21:01 UTC,"0.77 % 29,323 USDT","-1.44 % 28,682 USDT",2023-08-04 02:24:00,2023-08-07 21:01:00,2023-08-04 11:24:00,2023-08-08 06:01:00,2023-08-04 11:24 KST,2023-08-08 06:01 KST,3296.0,1,3296.0,1164000.0,1164000.0,62544.0,62544.0
BTCUSDT,Short,"29,753.333 USDT",120,"-3,570,400.00 USDT","28,254 USDT",0.79 %,08/08/2023 12:22 UTC,08/09/2023 16:59 UTC,"0.72 % 29,539 USDT","-1.24 % 30,126 USDT",2023-08-08 12:22:00,2023-08-09 16:59:00,2023-08-08 21:22:00,2023-08-10 01:59:00,2023-08-08 21:22 KST,2023-08-10 01:59 KST,28254.0,1,28254.0,-3570400.0,3570400.0,90798.0,90798.0
BTCUSDT,Short,"29,651.1 USDT",40,"-1,186,044.00 USDT","9,355 USDT",0.79 %,08/10/2023 00:12 UTC,08/10/2023 14:44 UTC,"0.72 % 29,438 USDT","-0.13 % 29,691 USDT",2023-08-10 00:12:00,2023-08-10 14:44:00,2023-08-10 09:12:00,2023-08-10 23:44:00,2023-08-10 09:12 KST,2023-08-10 23:44 KST,9355.0,1,9355.0,-1186044.0,1186044.0,100153.0,100153.0
BTCUSDT,Long,"29,200 USDT",20,"584,000.00 USDT","4,148 USDT",0.71 %,08/14/2023 01:55 UTC,08/14/2023 07:41 UTC,"0.91 % 29,466 USDT","-0.45 % 29,070 USDT",2023-08-14 01:55:00,2023-08-14 07:41:00,2023-08-14 10:55:00,2023-08-14 16:41:00,2023-08-14 10:55 KST,2023-08-14 16:41 KST,4148.0,1,4148.0,584000.0,584000.0,104301.0,104301.0
BTCUSDT,Short,"29,600 USDT",40,"1,184,000.00 USDT","11,301 USDT",0.95 %,08/14/2023 15:26 UTC,08/14/2023 18:57 UTC,"1.03 % 29,299 USDT","-0.27 % 29,679 USDT",2023-08-14 15:26:00,2023-08-14 18:57:00,2023-08-15 00:26:00,2023-08-15 03:57:00,2023-08-15 00:26 KST,2023-08-15 03:57 KST,11301.0,1,11301.0,1184000.0,1184000.0,115602.0,115602.0
BTCUSDT,Short,"29,400 USDT",20,"588,000.00 USDT","3,646 USDT",0.62 %,08/14/2023 21:47 UTC,08/15/2023 19:07 UTC,"0.48 % 29,260 USDT","-0.19 % 29,456 USDT",2023-08-14 21:47:00,2023-08-15 19:07:00,2023-08-15 06:47:00,2023-08-16 04:07:00,2023-08-15 06:47 KST,2023-08-16 04:07 KST,3646.0,1,3646.0,588000.0,588000.0,119248.0,119248.0
BTCUSDT,Long,"28,660 USDT",50,"1,433,000.00 USDT","-91,337.65 USDT",-6.37 %,08/15/2023 19:07 UTC,08/29/2023 14:21 UTC,"2.08 % 29,257 USDT","-14.23 % 24,581 USDT",2023-08-15 19:07:00,2023-08-29 14:21:00,2023-08-16 04:07:00,2023-08-29 23:21:00,2023-08-16 04:07 KST,2023-08-29 23:21 KST,91337.65,-1,-91337.65,1433000.0,1433000.0,27910.350000000006,27910.350000000006
BTCUSDT,Short,"58,648.38 USDT",545,"-21,618,518.86 USDT","-16,341,400.85 USDT",-75.59 %,10/16/2023 13:45 UTC,04/12/2024 18:32 UTC,"108.63 % 28,110 USDT","-20.48 % 73,757 USDT",2023-10-16 13:45:00,2024-04-12 18:32:00,2023-10-16 22:45:00,2024-04-13 03:32:00,2023-10-16 22:45 KST,2024-04-13 03:32 KST,16341400.85,-1,-16341400.85,-21618518.86,21618518.86,-16313490.5,-16313490.5
BTCBUSD,Short,"44,010.9 USDT",1,"44,010.90 USDT",-11.91 USDT,-0.03 %,12/06/2023 00:42 UTC,12/06/2023 00:44 UTC,,,2023-12-06 00:42:00,2023-12-06 00:44:00,2023-12-06 09:42:00,2023-12-06 09:44:00,2023-12-06 09:42 KST,2023-12-06 09:44 KST,11.91,-1,-11.91,44010.9,44010.9,-16313502.41,-16313502.41
MEMEUSDT,Long,0.032 USDT,"157,728","4,999.98 USDT",357.46 USDT,7.15 %,12/13/2023 11:57 UTC,12/14/2023 04:28 UTC,10.32 % 0.03 USDT,,2023-12-13 11:57:00,2023-12-14 04:28:00,2023-12-13 20:57:00,2023-12-14 13:28:00,2023-12-13 20:57 KST,2023-12-14 13:28 KST,357.46,1,357.46,4999.98,4999.98,-16313144.95,-16313144.95
ACEUSDT,Short,16.3 USDT,"5,012","81,695.60 USDT","19,402 USDT",23.75 %,12/21/2023 05:46 UTC,12/23/2023 02:39 UTC,27.92 % 12.74 USDT,-4.74 % 17.11 USDT,2023-12-21 05:46:00,2023-12-23 02:39:00,2023-12-21 14:46:00,2023-12-23 11:39:00,2023-12-21 14:46 KST,2023-12-23 11:39 KST,19402.0,1,19402.0,81695.6,81695.6,-16293742.95,-16293742.95
TRBUSDT,Short,232.718 USDT,1,232.72 USDT,-0.11 USDT,-0.05 %,12/29/2023 09:27 UTC,12/29/2023 09:28 UTC,,,2023-12-29 09:27:00,2023-12-29 09:28:00,2023-12-29 18:27:00,2023-12-29 18:28:00,2023-12-29 18:27 KST,2023-12-29 18:28 KST,0.11,-1,-0.11,232.72,232.72,-16293743.059999999,-16293743.059999999
TRBUSDT,Short,239.521 USDT,15,"-3,592.82 USDT",32.31 USDT,0.90 %,12/29/2023 09:28 UTC,12/30/2023 05:20 UTC,1.09 % 236.94 USDT,-1.84 % 244.00 USDT,2023-12-29 09:28:00,2023-12-30 05:20:00,2023-12-29 18:28:00,2023-12-30 14:20:00,2023-12-29 18:28 KST,2023-12-30 14:20 KST,32.31,1,32.31,-3592.82,3592.82,-16293710.749999998,-16293710.749999998
TRBUSDT,Long,259.008 USDT,2,518.02 USDT,-14.45 USDT,-2.79 %,12/31/2023 12:54 UTC,12/31/2023 12:57 UTC,0.72 % 260.87 USDT,-11.04 % 230.42 USDT,2023-12-31 12:54:00,2023-12-31 12:57:00,2023-12-31 21:54:00,2023-12-31 21:57:00,2023-12-31 21:54 KST,2023-12-31 21:57 KST,14.45,-1,-14.45,518.02,518.02,-16293725.199999997,-16293725.199999997
TRBUSDT,Long,181.073 USDT,6,"1,086.44 USDT",9.06 USDT,0.83 %,12/31/2023 14:42 UTC,01/01/2024 07:29 UTC,29.79 % 235.02 USDT,-33.02 % 121.28 USDT,2023-12-31 14:42:00,2024-01-01 07:29:00,2023-12-31 23:42:00,2024-01-01 16:29:00,2023-12-31 23:42 KST,2024-01-01 16:29 KST,9.06,1,9.06,1086.44,1086.44,-16293716.139999997,-16293716.139999997
MEMEUSDT,Long,0.024 USDT,"416,666","9,999.98 USDT",71.48 USDT,0.71 %,01/05/2024 01:49 UTC,01/05/2024 16:29 UTC,5.72 % 0.03 USDT,-1.70 % 0.02 USDT,2024-01-05 01:49:00,2024-01-05 16:29:00,2024-01-05 10:49:00,2024-01-06 01:29:00,2024-01-05 10:49 KST,2024-01-06 01:29 KST,71.48,1,71.48,9999.98,9999.98,-16293644.659999996,-16293644.659999996
