Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BTCUSDT,Long,"34,464.613 USDT",20,"689,292.26 USDT","11,173 USDT",1.62 %,11/03/2023 20:51 UTC,11/04/2023 22:49 UTC,"1.78 % 35,076 USDT",,2023-11-03 20:51:00,2023-11-04 22:49:00,2023-11-04 05:51:00,2023-11-05 07:49:00,2023-11-04 05:51 KST,2023-11-05 07:49 KST,11173.0,1,11173.0,689292.26,689292.26,11173.0,11173.0
BTCUSDT,Short,"35,116.94 USDT",5,"-175,584.70 USDT","1,105 USDT",0.63 %,11/04/2023 22:49 UTC,11/05/2023 21:50 UTC,"0.81 % 34,835 USDT","-0.52 % 35,300 USDT",2023-11-04 22:49:00,2023-11-05 21:50:00,2023-11-05 07:49:00,2023-11-06 06:50:00,2023-11-05 07:49 KST,2023-11-06 06:50 KST,1105.0,1,1105.0,-175584.7,175584.7,12278.0,12278.0
BTCUSDT,Long,"34,583.822 USDT",5,"172,919.11 USDT","2,152 USDT",1.25 %,11/05/2023 21:50 UTC,11/06/2023 11:09 UTC,"2.52 % 35,455 USDT","-0.24 % 34,500 USDT",2023-11-05 21:50:00,2023-11-06 11:09:00,2023-11-06 06:50:00,2023-11-06 20:09:00,2023-11-06 06:50 KST,2023-11-06 20:09 KST,2152.0,1,2152.0,172919.11,172919.11,14430.0,14430.0
BTCUSDT,Short,"35,186 USDT",10,"-351,860.00 USDT","1,357 USDT",0.39 %,11/06/2023 11:08 UTC,11/06/2023 13:35 UTC,"0.57 % 34,986 USDT","-0.21 % 35,261 USDT",2023-11-06 11:08:00,2023-11-06 13:35:00,2023-11-06 20:08:00,2023-11-06 22:35:00,2023-11-06 20:08 KST,2023-11-06 22:35 KST,1357.0,1,1357.0,-351860.0,351860.0,15787.0,15787.0
BTCUSDT,Long,"34,957.741 USDT",5,"174,788.71 USDT",683.48 USDT,0.39 %,11/06/2023 13:43 UTC,11/06/2023 14:35 UTC,"0.82 % 35,244 USDT","-0.13 % 34,911 USDT",2023-11-06 13:43:00,2023-11-06 14:35:00,2023-11-06 22:43:00,2023-11-06 23:35:00,2023-11-06 22:43 KST,2023-11-06 23:35 KST,683.48,1,683.48,174788.71,174788.71,16470.48,16470.48
BTCUSDT,Short,"35,084.376 USDT",5,"-175,421.88 USDT",558.28 USDT,0.32 %,11/06/2023 14:36 UTC,11/06/2023 16:47 UTC,"0.28 % 34,985 USDT","-0.35 % 35,208 USDT",2023-11-06 14:36:00,2023-11-06 16:47:00,2023-11-06 23:36:00,2023-11-07 01:47:00,2023-11-06 23:36 KST,2023-11-07 01:47 KST,558.28,1,558.28,-175421.88,175421.88,17028.76,17028.76
BTCUSDT,Long,"34,960.068 USDT",32.653,"1,141,551.11 USDT","10,123 USDT",0.89 %,11/06/2023 16:47 UTC,11/07/2023 18:17 UTC,"1.16 % 35,365 USDT","-1.26 % 34,520 USDT",2023-11-06 16:47:00,2023-11-07 18:17:00,2023-11-07 01:47:00,2023-11-08 03:17:00,2023-11-07 01:47 KST,2023-11-08 03:17 KST,10123.0,1,10123.0,1141551.11,1141551.11,27151.76,27151.76
BTCUSDT,Short,"35,274.691 USDT",35.523,"-1,253,062.86 USDT","1,614 USDT",0.13 %,11/07/2023 18:17 UTC,11/08/2023 16:30 UTC,"0.30 % 35,170 USDT","-1.63 % 35,860 USDT",2023-11-07 18:17:00,2023-11-08 16:30:00,2023-11-08 03:17:00,2023-11-09 01:30:00,2023-11-08 03:17 KST,2023-11-09 01:30 KST,1614.0,1,1614.0,-1253062.86,1253062.86,28765.76,28765.76
ORDIUSDT,Long,12.914 USDT,0.7,9.04 USDT,0.10 USDT,1.12 %,11/07/2023 19:05 UTC,11/07/2023 22:02 UTC,11.18 % 14.36 USDT,-1.76 % 12.69 USDT,2023-11-07 19:05:00,2023-11-07 22:02:00,2023-11-08 04:05:00,2023-11-08 07:02:00,2023-11-08 04:05 KST,2023-11-08 07:02 KST,0.1,1,0.1,9.04,9.04,28765.859999999997,28765.859999999997
BTCUSDT,Short,"35,404.339 USDT",5,"-177,021.70 USDT",172.69 USDT,0.10 %,11/08/2023 16:42 UTC,11/08/2023 17:31 UTC,"0.15 % 35,350 USDT","-0.11 % 35,442 USDT",2023-11-08 16:42:00,2023-11-08 17:31:00,2023-11-09 01:42:00,2023-11-09 02:31:00,2023-11-09 01:42 KST,2023-11-09 02:31 KST,172.69,1,172.69,-177021.7,177021.7,28938.549999999996,28938.549999999996
BTCUSDT,Long,"35,264.18 USDT",2,"70,528.36 USDT",333.51 USDT,0.47 %,11/08/2023 17:36 UTC,11/08/2023 18:12 UTC,"0.58 % 35,467 USDT","-0.11 % 35,226 USDT",2023-11-08 17:36:00,2023-11-08 18:12:00,2023-11-09 02:36:00,2023-11-09 03:12:00,2023-11-09 02:36 KST,2023-11-09 03:12 KST,333.51,1,333.51,70528.36,70528.36,29272.059999999994,29272.059999999994
BTCUSDT,Short,"36,442.669 USDT",39.88,"-1,422,175.35 USDT","4,297 USDT",0.30 %,11/08/2023 18:12 UTC,11/09/2023 03:20 UTC,"2.84 % 35,434 USDT",,2023-11-08 18:12:00,2023-11-09 03:20:00,2023-11-09 03:12:00,2023-11-09 12:20:00,2023-11-09 03:12 KST,2023-11-09 12:20 KST,4297.0,1,4297.0,-1422175.35,1422175.35,33569.06,33569.06
BTCUSDT,Short,"36,779 USDT",1,"-36,779.00 USDT",148.13 USDT,0.40 %,11/09/2023 04:41 UTC,11/09/2023 05:21 UTC,"0.50 % 36,597 USDT",,2023-11-09 04:41:00,2023-11-09 05:21:00,2023-11-09 13:41:00,2023-11-09 14:21:00,2023-11-09 13:41 KST,2023-11-09 14:21 KST,148.13,1,148.13,-36779.0,36779.0,33717.189999999995,33717.189999999995
BTCUSDT,Short,"36,951.625 USDT",6,"-221,709.75 USDT",442.72 USDT,0.20 %,11/09/2023 06:11 UTC,11/09/2023 13:31 UTC,"0.19 % 36,880 USDT","-0.08 % 36,981 USDT",2023-11-09 06:11:00,2023-11-09 13:31:00,2023-11-09 15:11:00,2023-11-09 22:31:00,2023-11-09 15:11 KST,2023-11-09 22:31 KST,442.72,1,442.72,-221709.75,221709.75,34159.909999999996,34159.909999999996
BTCUSDT,Short,"37,845.469 USDT",39.607,"-1,493,056.07 USDT","9,934 USDT",0.67 %,11/09/2023 13:47 UTC,11/09/2023 16:13 UTC,,"-0.21 % 37,925 USDT",2023-11-09 13:47:00,2023-11-09 16:13:00,2023-11-09 22:47:00,2023-11-10 01:13:00,2023-11-09 22:47 KST,2023-11-10 01:13 KST,9934.0,1,9934.0,-1493056.07,1493056.07,44093.909999999996,44093.909999999996
BTCUSDT,Short,"36,638.557 USDT",1,"-36,638.56 USDT",628.13 USDT,1.71 %,11/09/2023 16:21 UTC,11/09/2023 16:41 UTC,"1.64 % 36,046 USDT",,2023-11-09 16:21:00,2023-11-09 16:41:00,2023-11-10 01:21:00,2023-11-10 01:41:00,2023-11-10 01:21 KST,2023-11-10 01:41 KST,628.13,1,628.13,-36638.56,36638.56,44722.03999999999,44722.03999999999
BTCUSDT,Short,"36,419.592 USDT",6,"-219,572.68 USDT",768.44 USDT,0.35 %,11/09/2023 16:46 UTC,11/09/2023 20:27 UTC,"0.61 % 36,199 USDT","-0.68 % 36,670 USDT",2023-11-09 16:46:00,2023-11-09 20:27:00,2023-11-10 01:46:00,2023-11-10 05:27:00,2023-11-10 01:46 KST,2023-11-10 05:27 KST,768.44,1,768.44,-219572.68,219572.68,45490.479999999996,45490.479999999996
ETHUSDT,Short,"2,064.561 USDT",458.247,"-922,788.98 USDT","-20,455.10 USDT",-2.22 %,11/09/2023 19:19 UTC,11/09/2023 21:58 UTC,"3.22 % 2,000 USDT","-0.69 % 2,079 USDT",2023-11-09 19:19:00,2023-11-09 21:58:00,2023-11-10 04:19:00,2023-11-10 06:58:00,2023-11-10 04:19 KST,2023-11-10 06:58 KST,20455.1,-1,-20455.1,-922788.98,922788.98,25035.379999999997,25035.379999999997
BTCUSDT,Short,"36,631.9 USDT",2,"-73,263.80 USDT",35.90 USDT,0.05 %,11/09/2023 21:58 UTC,11/10/2023 07:34 UTC,"0.35 % 36,504 USDT","-0.15 % 36,687 USDT",2023-11-09 21:58:00,2023-11-10 07:34:00,2023-11-10 06:58:00,2023-11-10 16:34:00,2023-11-10 06:58 KST,2023-11-10 16:34 KST,35.9,1,35.9,-73263.8,73263.8,25071.28,25071.28
BTCUSDT,Long,"36,455.611 USDT",10.673,"389,090.74 USDT",866.91 USDT,0.22 %,11/10/2023 07:35 UTC,11/10/2023 10:28 UTC,"0.52 % 36,644 USDT","-0.29 % 36,350 USDT",2023-11-10 07:35:00,2023-11-10 10:28:00,2023-11-10 16:35:00,2023-11-10 19:28:00,2023-11-10 16:35 KST,2023-11-10 19:28 KST,866.91,1,866.91,389090.74,389090.74,25938.19,25938.19
BTCUSDT,Short,"36,596.6 USDT",1,"36,596.60 USDT",21.65 USDT,0.06 %,11/10/2023 10:28 UTC,11/10/2023 10:47 UTC,"0.10 % 36,560 USDT","-0.12 % 36,639 USDT",2023-11-10 10:28:00,2023-11-10 10:47:00,2023-11-10 19:28:00,2023-11-10 19:47:00,2023-11-10 19:28 KST,2023-11-10 19:47 KST,21.65,1,21.65,36596.6,36596.6,25959.84,25959.84
BTCUSDT,Short,"37,477.772 USDT",11.096,"-409,728.06 USDT","2,201 USDT",0.54 %,11/10/2023 10:57 UTC,11/11/2023 01:26 UTC,"0.84 % 37,165 USDT",,2023-11-10 10:57:00,2023-11-11 01:26:00,2023-11-10 19:57:00,2023-11-11 10:26:00,2023-11-10 19:57 KST,2023-11-11 10:26 KST,2201.0,1,2201.0,-409728.06,409728.06,28160.84,28160.84
BTCUSDT,Long,"36,985.9 USDT",2,"73,971.80 USDT",111.97 USDT,0.15 %,11/11/2023 04:25 UTC,11/11/2023 06:16 UTC,"0.47 % 37,159 USDT","-0.12 % 36,942 USDT",2023-11-11 04:25:00,2023-11-11 06:16:00,2023-11-11 13:25:00,2023-11-11 15:16:00,2023-11-11 13:25 KST,2023-11-11 15:16 KST,111.97,1,111.97,73971.8,73971.8,28272.81,28272.81
BTCUSDT,Long,"36,988 USDT",2,"73,976.00 USDT",54.78 USDT,0.07 %,11/11/2023 07:49 UTC,11/11/2023 08:33 UTC,"0.23 % 37,071 USDT","-0.10 % 36,951 USDT",2023-11-11 07:49:00,2023-11-11 08:33:00,2023-11-11 16:49:00,2023-11-11 17:33:00,2023-11-11 16:49 KST,2023-11-11 17:33 KST,54.78,1,54.78,73976.0,73976.0,28327.59,28327.59
BTCUSDT,Long,"37,007.14 USDT",1,"37,007.14 USDT",13.45 USDT,0.04 %,11/11/2023 09:39 UTC,11/11/2023 11:43 UTC,"0.10 % 37,044 USDT","-0.19 % 36,935 USDT",2023-11-11 09:39:00,2023-11-11 11:43:00,2023-11-11 18:39:00,2023-11-11 20:43:00,2023-11-11 18:39 KST,2023-11-11 20:43 KST,13.45,1,13.45,37007.14,37007.14,28341.04,28341.04
