Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
XRPUSDT,Short,2.546 USDT,"1,803,873.4","4,592,343.38 USDT","-13,723.79 USDT",-0.30 %,01/15/2025 23:17 UTC,02/02/2025 17:54 UTC,,-22.28 % 3.28 USDT,2025-01-15 23:17:00,2025-02-02 17:54:00,2025-01-16 08:17:00,2025-02-03 02:54:00,2025-01-16 08:17 KST,2025-02-03 02:54 KST,13723.79,-1,-13723.79,4592343.38,4592343.38,-13723.79,-13723.79
XLMUSDT,Short,0.426 USDT,"5,177,817","2,207,381.76 USDT","28,463 USDT",1.29 %,01/21/2025 15:14 UTC,01/23/2025 05:05 UTC,2.07 % 0.42 USDT,-4.35 % 0.45 USDT,2025-01-21 15:14:00,2025-01-23 05:05:00,2025-01-22 00:14:00,2025-01-23 14:05:00,2025-01-22 00:14 KST,2025-01-23 14:05 KST,28463.0,1,28463.0,2207381.76,2207381.76,14739.21,14739.21
TRUMPUSDT,Long,41.056 USDT,"10,582.41","434,472.48 USDT",-71.31 USDT,-0.02 %,01/22/2025 01:39 UTC,01/22/2025 01:46 UTC,0.17 % 41.13 USDT,-0.92 % 40.68 USDT,2025-01-22 01:39:00,2025-01-22 01:46:00,2025-01-22 10:39:00,2025-01-22 10:46:00,2025-01-22 10:39 KST,2025-01-22 10:46 KST,71.31,-1,-71.31,434472.48,434472.48,14667.9,14667.9
TRUMPUSDT,Short,40.899 USDT,"6,860.13","280,572.46 USDT","-6,386.01 USDT",-2.28 %,01/22/2025 01:46 UTC,01/22/2025 02:00 UTC,,-2.14 % 41.79 USDT,2025-01-22 01:46:00,2025-01-22 02:00:00,2025-01-22 10:46:00,2025-01-22 11:00:00,2025-01-22 10:46 KST,2025-01-22 11:00 KST,6386.01,-1,-6386.01,280572.46,280572.46,8281.89,8281.89
TRUMPUSDT,Long,40.454 USDT,"24,520.66","991,966.32 USDT","-116,619.35 USDT",-11.76 %,01/22/2025 02:00 UTC,01/23/2025 12:45 UTC,8.55 % 43.91 USDT,-13.03 % 35.18 USDT,2025-01-22 02:00:00,2025-01-23 12:45:00,2025-01-22 11:00:00,2025-01-23 21:45:00,2025-01-22 11:00 KST,2025-01-23 21:45 KST,116619.35,-1,-116619.35,991966.32,991966.32,-108337.46,-108337.46
VTHOUSDT,Short,0.008 USDT,"16,295,833","-136,316.06 USDT","4,905 USDT",3.60 %,01/22/2025 09:32 UTC,01/22/2025 09:56 UTC,4.16 % 0.01 USDT,-0.92 % 0.01 USDT,2025-01-22 09:32:00,2025-01-22 09:56:00,2025-01-22 18:32:00,2025-01-22 18:56:00,2025-01-22 18:32 KST,2025-01-22 18:56 KST,4905.0,1,4905.0,-136316.06,136316.06,-103432.46,-103432.46
VTHOUSDT,Long,0.008 USDT,"59,360,500","491,446.05 USDT","-25,706.68 USDT",-5.23 %,01/22/2025 09:55 UTC,01/22/2025 10:07 UTC,,-8.12 % 0.01 USDT,2025-01-22 09:55:00,2025-01-22 10:07:00,2025-01-22 18:55:00,2025-01-22 19:07:00,2025-01-22 18:55 KST,2025-01-22 19:07 KST,25706.68,-1,-25706.68,491446.05,491446.05,-129139.14000000001,-129139.14000000001
DOGEUSDT,Short,0.364 USDT,"4,253,901","-1,548,296.08 USDT","54,774 USDT",3.54 %,01/22/2025 13:10 UTC,01/23/2025 05:01 UTC,4.29 % 0.35 USDT,-0.75 % 0.37 USDT,2025-01-22 13:10:00,2025-01-23 05:01:00,2025-01-22 22:10:00,2025-01-23 14:01:00,2025-01-22 22:10 KST,2025-01-23 14:01 KST,54774.0,1,54774.0,-1548296.08,1548296.08,-74365.14000000001,-74365.14000000001
DOGEUSDT,Short,0.346 USDT,"7,234,928","-2,506,446.97 USDT","254,590 USDT",10.16 %,01/23/2025 12:46 UTC,01/27/2025 12:25 UTC,12.32 % 0.31 USDT,-4.75 % 0.36 USDT,2025-01-23 12:46:00,2025-01-27 12:25:00,2025-01-23 21:46:00,2025-01-27 21:25:00,2025-01-23 21:46 KST,2025-01-27 21:25 KST,254590.0,1,254590.0,-2506446.97,2506446.97,180224.86,180224.86
TRUMPUSDT,Short,36.002 USDT,"53,726.99","-1,934,273.79 USDT","398,242 USDT",20.59 %,01/23/2025 12:47 UTC,01/25/2025 05:14 UTC,28.50 % 28.02 USDT,-8.09 % 39.17 USDT,2025-01-23 12:47:00,2025-01-25 05:14:00,2025-01-23 21:47:00,2025-01-25 14:14:00,2025-01-23 21:47 KST,2025-01-25 14:14 KST,398242.0,1,398242.0,-1934273.79,1934273.79,578466.86,578466.86
MELANIAUSDT,Short,2.766 USDT,"259,079.81","-716,656.44 USDT","95,184 USDT",13.28 %,01/23/2025 12:47 UTC,01/25/2025 05:14 UTC,16.81 % 2.37 USDT,-6.10 % 2.95 USDT,2025-01-23 12:47:00,2025-01-25 05:14:00,2025-01-23 21:47:00,2025-01-25 14:14:00,2025-01-23 21:47 KST,2025-01-25 14:14 KST,95184.0,1,95184.0,-716656.44,716656.44,673650.86,673650.86
ANIMEUSDT,Short,0.08 USDT,"19,843,970","-1,593,828.26 USDT","409,166 USDT",25.67 %,01/23/2025 17:41 UTC,01/25/2025 05:28 UTC,39.68 % 0.06 USDT,-0.23 % 0.08 USDT,2025-01-23 17:41:00,2025-01-25 05:28:00,2025-01-24 02:41:00,2025-01-25 14:28:00,2025-01-24 02:41 KST,2025-01-25 14:28 KST,409166.0,1,409166.0,-1593828.26,1593828.26,1082816.8599999999,1082816.8599999999
