Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
SANDUSDT,Long,0.561 USDT,"1,121,226","628,972.16 USDT","-22,199.27 USDT",-3.53 %,05/28/2023 23:39 UTC,06/05/2023 16:03 UTC,9.63 % 0.62 USDT,-5.89 % 0.53 USDT,2023-05-28 23:39:00,2023-06-05 16:03:00,2023-05-29 08:39:00,2023-06-06 01:03:00,2023-05-29 08:39 KST,2023-06-06 01:03 KST,22199.27,-1,-22199.27,628972.16,628972.16,-22199.27,-22199.27
BNBUSDT,Short,279.079 USDT,653.55,"-182,391.92 USDT","-2,666.51 USDT",-1.46 %,06/05/2023 16:17 UTC,06/06/2023 17:29 UTC,2.04 % 273.49 USDT,-1.28 % 282.71 USDT,2023-06-05 16:17:00,2023-06-06 17:29:00,2023-06-06 01:17:00,2023-06-07 02:29:00,2023-06-06 01:17 KST,2023-06-07 02:29 KST,2666.51,-1,-2666.51,-182391.92,182391.92,-24865.78,-24865.78
DOGEUSDT,Long,0.067 USDT,"4,983,105","334,247.43 USDT","-2,672.10 USDT",-0.80 %,06/30/2023 16:57 UTC,07/05/2023 10:59 UTC,7.16 % 0.07 USDT,-2.65 % 0.07 USDT,2023-06-30 16:57:00,2023-07-05 10:59:00,2023-07-01 01:57:00,2023-07-05 19:59:00,2023-07-01 01:57 KST,2023-07-05 19:59 KST,2672.1,-1,-2672.1,334247.43,334247.43,-27537.879999999997,-27537.879999999997
BCHUSDT,Long,248.33 USDT,457.874,"113,703.85 USDT","13,430 USDT",11.81 %,07/05/2023 15:31 UTC,07/06/2023 01:14 UTC,12.71 % 279.90 USDT,,2023-07-05 15:31:00,2023-07-06 01:14:00,2023-07-06 00:31:00,2023-07-06 10:14:00,2023-07-06 00:31 KST,2023-07-06 10:14 KST,13430.0,1,13430.0,113703.85,113703.85,-14107.879999999997,-14107.879999999997
BCHUSDT,Long,283.703 USDT,"1,687.205","478,665.42 USDT","-12,976.54 USDT",-2.71 %,07/06/2023 13:52 UTC,07/08/2023 11:24 UTC,2.08 % 289.60 USDT,-7.51 % 262.39 USDT,2023-07-06 13:52:00,2023-07-08 11:24:00,2023-07-06 22:52:00,2023-07-08 20:24:00,2023-07-06 22:52 KST,2023-07-08 20:24 KST,12976.54,-1,-12976.54,478665.42,478665.42,-27084.42,-27084.42
BNBUSDT,Short,243.521 USDT,"1,660.08","-404,264.99 USDT","48,381 USDT",11.97 %,08/06/2023 03:35 UTC,08/18/2023 03:09 UTC,14.78 % 212.16 USDT,-1.76 % 247.88 USDT,2023-08-06 03:35:00,2023-08-18 03:09:00,2023-08-06 12:35:00,2023-08-18 12:09:00,2023-08-06 12:35 KST,2023-08-18 12:09 KST,48381.0,1,48381.0,-404264.99,404264.99,21296.58,21296.58
ETHUSDT,Short,"1,810.052 USDT",485.259,"-878,344.14 USDT","71,971 USDT",8.19 %,08/06/2023 03:35 UTC,08/18/2023 03:09 UTC,"16.04 % 1,559 USDT","-3.21 % 1,870 USDT",2023-08-06 03:35:00,2023-08-18 03:09:00,2023-08-06 12:35:00,2023-08-18 12:09:00,2023-08-06 12:35 KST,2023-08-18 12:09 KST,71971.0,1,71971.0,-878344.14,878344.14,93267.58,93267.58
ETHUSDT,Long,"1,670.532 USDT",478.438,"799,245.88 USDT","4,508 USDT",0.56 %,08/18/2023 04:28 UTC,08/18/2023 05:39 UTC,"0.73 % 1,682 USDT","-0.43 % 1,663 USDT",2023-08-18 04:28:00,2023-08-18 05:39:00,2023-08-18 13:28:00,2023-08-18 14:39:00,2023-08-18 13:28 KST,2023-08-18 14:39 KST,4508.0,1,4508.0,799245.88,799245.88,97775.58,97775.58
BTCUSDT,Long,"26,211.742 USDT",10.82,"283,611.05 USDT","3,018 USDT",1.06 %,08/18/2023 04:54 UTC,08/18/2023 05:39 UTC,"1.20 % 26,525 USDT","-0.06 % 26,195 USDT",2023-08-18 04:54:00,2023-08-18 05:39:00,2023-08-18 13:54:00,2023-08-18 14:39:00,2023-08-18 13:54 KST,2023-08-18 14:39 KST,3018.0,1,3018.0,283611.05,283611.05,100793.58,100793.58
BTCUSDT,Long,"25,633 USDT",25.703,"658,845.00 USDT","11,290 USDT",1.71 %,08/18/2023 17:07 UTC,08/20/2023 02:43 UTC,"2.60 % 26,300 USDT",,2023-08-18 17:07:00,2023-08-20 02:43:00,2023-08-19 02:07:00,2023-08-20 11:43:00,2023-08-19 02:07 KST,2023-08-20 11:43 KST,11290.0,1,11290.0,658845.0,658845.0,112083.58,112083.58
