Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BANDUSDT,Long,1.744 USDT,0,"5,999.55 USDT",-6.44 USDT,-0.11 %,04/26/2023 16:31 UTC,04/26/2023 20:01 UTC,,,2023-04-26 16:31:00,2023-04-26 20:01:00,2023-04-27 01:31:00,2023-04-27 05:01:00,2023-04-27 01:31 KST,2023-04-27 05:01 KST,6.44,-1,-6.44,5999.55,5999.55,-6.44,-6.44
COTIUSDT,Long,0.081 USDT,0,"5,999.67 USDT",-31.84 USDT,-0.53 %,04/26/2023 16:42 UTC,04/26/2023 19:38 UTC,,,2023-04-26 16:42:00,2023-04-26 19:38:00,2023-04-27 01:42:00,2023-04-27 04:38:00,2023-04-27 01:42 KST,2023-04-27 04:38 KST,31.84,-1,-31.84,5999.67,5999.67,-38.28,-38.28
SXPUSDT,Long,0.568 USDT,0,"5,999.67 USDT",47.35 USDT,0.79 %,04/26/2023 19:32 UTC,04/26/2023 19:38 UTC,,,2023-04-26 19:32:00,2023-04-26 19:38:00,2023-04-27 04:32:00,2023-04-27 04:38:00,2023-04-27 04:32 KST,2023-04-27 04:38 KST,47.35,1,47.35,5999.67,5999.67,9.07,9.07
HIGHUSDT,Long,1.962 USDT,0,"5,999.62 USDT",87.50 USDT,1.46 %,04/26/2023 19:35 UTC,04/26/2023 19:38 UTC,,,2023-04-26 19:35:00,2023-04-26 19:38:00,2023-04-27 04:35:00,2023-04-27 04:38:00,2023-04-27 04:35 KST,2023-04-27 04:38 KST,87.5,1,87.5,5999.62,5999.62,96.57,96.57
CELRUSDT,Long,0.024 USDT,0,"5,985.27 USDT",59.68 USDT,1.00 %,04/26/2023 19:35 UTC,04/26/2023 19:38 UTC,,,2023-04-26 19:35:00,2023-04-26 19:38:00,2023-04-27 04:35:00,2023-04-27 04:38:00,2023-04-27 04:35 KST,2023-04-27 04:38 KST,59.68,1,59.68,5985.27,5985.27,156.25,156.25
ARBUSDT,Long,1.398 USDT,0,"1,499.88 USDT",3.71 USDT,0.25 %,04/26/2023 19:38 UTC,04/26/2023 19:38 UTC,,,2023-04-26 19:38:00,2023-04-26 19:38:00,2023-04-27 04:38:00,2023-04-27 04:38:00,2023-04-27 04:38 KST,2023-04-27 04:38 KST,3.71,1,3.71,1499.88,1499.88,159.96,159.96
IDUSDT,Long,0.653 USDT,0,"1,498.90 USDT",98.17 USDT,6.55 %,04/26/2023 20:01 UTC,04/26/2023 20:01 UTC,,,2023-04-26 20:01:00,2023-04-26 20:01:00,2023-04-27 05:01:00,2023-04-27 05:01:00,2023-04-27 05:01 KST,2023-04-27 05:01 KST,98.17,1,98.17,1498.9,1498.9,258.13,258.13
CELRUSDT,Long,0.024 USDT,0,"1,499.96 USDT",36.09 USDT,2.41 %,04/27/2023 06:53 UTC,04/27/2023 06:53 UTC,,,2023-04-27 06:53:00,2023-04-27 06:53:00,2023-04-27 15:53:00,2023-04-27 15:53:00,2023-04-27 15:53 KST,2023-04-27 15:53 KST,36.09,1,36.09,1499.96,1499.96,294.22,294.22
CFXUSDT,Long,0.317 USDT,0,"1,499.89 USDT",9.99 USDT,0.67 %,04/27/2023 08:55 UTC,04/27/2023 08:55 UTC,,,2023-04-27 08:55:00,2023-04-27 08:55:00,2023-04-27 17:55:00,2023-04-27 17:55:00,2023-04-27 17:55 KST,2023-04-27 17:55 KST,9.99,1,9.99,1499.89,1499.89,304.21000000000004,304.21000000000004
SXPUSDT,Long,0.565 USDT,"1,997","1,129.10 USDT",-15.75 USDT,-1.39 %,04/28/2023 09:58 UTC,04/28/2023 12:41 UTC,,,2023-04-28 09:58:00,2023-04-28 12:41:00,2023-04-28 18:58:00,2023-04-28 21:41:00,2023-04-28 18:58 KST,2023-04-28 21:41 KST,15.75,-1,-15.75,1129.1,1129.1,288.46000000000004,288.46000000000004
CKBUSDT,Long,0.004 USDT,"743,636","2,999.99 USDT",-10.84 USDT,-0.36 %,04/28/2023 11:33 UTC,04/28/2023 15:37 UTC,,,2023-04-28 11:33:00,2023-04-28 15:37:00,2023-04-28 20:33:00,2023-04-29 00:37:00,2023-04-28 20:33 KST,2023-04-29 00:37 KST,10.84,-1,-10.84,2999.99,2999.99,277.62000000000006,277.62000000000006
INJUSDT,Long,8.294 USDT,180.8,"1,499.56 USDT",30.37 USDT,2.03 %,04/28/2023 15:37 UTC,04/28/2023 15:37 UTC,,,2023-04-28 15:37:00,2023-04-28 15:37:00,2023-04-29 00:37:00,2023-04-29 00:37:00,2023-04-29 00:37 KST,2023-04-29 00:37 KST,30.37,1,30.37,1499.56,1499.56,307.99000000000007,307.99000000000007
HIGHUSDT,Long,2.025 USDT,740.6,"1,499.72 USDT",28.72 USDT,1.91 %,04/29/2023 06:32 UTC,04/29/2023 06:42 UTC,,,2023-04-29 06:32:00,2023-04-29 06:42:00,2023-04-29 15:32:00,2023-04-29 15:42:00,2023-04-29 15:32 KST,2023-04-29 15:42 KST,28.72,1,28.72,1499.72,1499.72,336.71000000000004,336.71000000000004
TOMOUSDT,Long,0.919 USDT,"6,524","5,995.34 USDT",-336.54 USDT,-5.61 %,04/29/2023 08:16 UTC,04/29/2023 16:28 UTC,,,2023-04-29 08:16:00,2023-04-29 16:28:00,2023-04-29 17:16:00,2023-04-30 01:28:00,2023-04-29 17:16 KST,2023-04-30 01:28 KST,336.54,-1,-336.54,5995.34,5995.34,0.17000000000001592,0.17000000000001592
INJUSDT,Long,8.038 USDT,186.6,"1,499.89 USDT",7.87 USDT,0.52 %,04/29/2023 17:31 UTC,04/30/2023 02:11 UTC,,,2023-04-29 17:31:00,2023-04-30 02:11:00,2023-04-30 02:31:00,2023-04-30 11:11:00,2023-04-30 02:31 KST,2023-04-30 11:11 KST,7.87,1,7.87,1499.89,1499.89,8.040000000000017,8.040000000000017
INJUSDT,Long,7.825 USDT,191.6,"1,499.27 USDT",22.85 USDT,1.52 %,04/30/2023 11:46 UTC,04/30/2023 15:01 UTC,,,2023-04-30 11:46:00,2023-04-30 15:01:00,2023-04-30 20:46:00,2023-05-01 00:01:00,2023-04-30 20:46 KST,2023-05-01 00:01 KST,22.85,1,22.85,1499.27,1499.27,30.89000000000002,30.89000000000002
CFXUSDT,Long,0.317 USDT,"4,730","1,499.88 USDT",33.62 USDT,2.24 %,04/30/2023 12:27 UTC,04/30/2023 15:01 UTC,,,2023-04-30 12:27:00,2023-04-30 15:01:00,2023-04-30 21:27:00,2023-05-01 00:01:00,2023-04-30 21:27 KST,2023-05-01 00:01 KST,33.62,1,33.62,1499.88,1499.88,64.51000000000002,64.51000000000002
HIGHUSDT,Long,1.971 USDT,"1,522","2,999.66 USDT",-33.54 USDT,-1.12 %,04/30/2023 19:23 UTC,05/01/2023 06:06 UTC,,,2023-04-30 19:23:00,2023-05-01 06:06:00,2023-05-01 04:23:00,2023-05-01 15:06:00,2023-05-01 04:23 KST,2023-05-01 15:06 KST,33.54,-1,-33.54,2999.66,2999.66,30.97000000000002,30.97000000000002
INJUSDT,Long,7.825 USDT,191.6,"1,499.27 USDT",-22.54 USDT,-1.50 %,04/30/2023 20:35 UTC,05/01/2023 04:33 UTC,,,2023-04-30 20:35:00,2023-05-01 04:33:00,2023-05-01 05:35:00,2023-05-01 13:33:00,2023-05-01 05:35 KST,2023-05-01 13:33 KST,22.54,-1,-22.54,1499.27,1499.27,8.430000000000021,8.430000000000021
CFXUSDT,Long,0.307 USDT,"9,778","2,999.10 USDT",5.43 USDT,0.18 %,05/01/2023 01:39 UTC,05/01/2023 12:24 UTC,,,2023-05-01 01:39:00,2023-05-01 12:24:00,2023-05-01 10:39:00,2023-05-01 21:24:00,2023-05-01 10:39 KST,2023-05-01 21:24 KST,5.43,1,5.43,2999.1,2999.1,13.86000000000002,13.86000000000002
RNDRUSDT,Long,2.175 USDT,"1,378.8","2,999.40 USDT",-62.36 USDT,-2.08 %,05/01/2023 16:33 UTC,05/02/2023 11:20 UTC,,,2023-05-01 16:33:00,2023-05-02 11:20:00,2023-05-02 01:33:00,2023-05-02 20:20:00,2023-05-02 01:33 KST,2023-05-02 20:20 KST,62.36,-1,-62.36,2999.4,2999.4,-48.49999999999998,-48.49999999999998
HIGHUSDT,Long,1.892 USDT,792.8,"1,499.98 USDT",8.08 USDT,0.54 %,05/02/2023 01:47 UTC,05/02/2023 07:10 UTC,,,2023-05-02 01:47:00,2023-05-02 07:10:00,2023-05-02 10:47:00,2023-05-02 16:10:00,2023-05-02 10:47 KST,2023-05-02 16:10 KST,8.08,1,8.08,1499.98,1499.98,-40.41999999999998,-40.41999999999998
RNDRUSDT,Long,2.05 USDT,731.8,"1,499.97 USDT",26.83 USDT,1.79 %,05/03/2023 00:03 UTC,05/03/2023 03:45 UTC,,,2023-05-03 00:03:00,2023-05-03 03:45:00,2023-05-03 09:03:00,2023-05-03 12:45:00,2023-05-03 09:03 KST,2023-05-03 12:45 KST,26.83,1,26.83,1499.97,1499.97,-13.589999999999982,-13.589999999999982
RLCUSDT,Long,1.83 USDT,"1,639","2,999.59 USDT",-7.34 USDT,-0.24 %,05/03/2023 09:00 UTC,05/03/2023 19:17 UTC,,,2023-05-03 09:00:00,2023-05-03 19:17:00,2023-05-03 18:00:00,2023-05-04 04:17:00,2023-05-03 18:00 KST,2023-05-04 04:17 KST,7.34,-1,-7.34,2999.59,2999.59,-20.929999999999982,-20.929999999999982
RLCUSDT,Long,1.753 USDT,855.6,"1,499.87 USDT",-36.48 USDT,-2.43 %,05/04/2023 15:37 UTC,05/05/2023 01:32 UTC,,,2023-05-04 15:37:00,2023-05-05 01:32:00,2023-05-05 00:37:00,2023-05-05 10:32:00,2023-05-05 00:37 KST,2023-05-05 10:32 KST,36.48,-1,-36.48,1499.87,1499.87,-57.40999999999998,-57.40999999999998
LINAUSDT,Long,0.012 USDT,"252,434","3,014.86 USDT",-48.66 USDT,-1.61 %,05/04/2023 17:27 UTC,05/05/2023 10:46 UTC,,,2023-05-04 17:27:00,2023-05-05 10:46:00,2023-05-05 02:27:00,2023-05-05 19:46:00,2023-05-05 02:27 KST,2023-05-05 19:46 KST,48.66,-1,-48.66,3014.86,3014.86,-106.06999999999998,-106.06999999999998
CFXUSDT,Long,0.313 USDT,"9,570","2,999.32 USDT",101.81 USDT,3.39 %,05/05/2023 12:30 UTC,05/05/2023 14:38 UTC,,,2023-05-05 12:30:00,2023-05-05 14:38:00,2023-05-05 21:30:00,2023-05-05 23:38:00,2023-05-05 21:30 KST,2023-05-05 23:38 KST,101.81,1,101.81,2999.32,2999.32,-4.259999999999977,-4.259999999999977
RLCUSDT,Long,1.656 USDT,905.6,"1,499.67 USDT",60.66 USDT,4.05 %,05/05/2023 12:30 UTC,05/05/2023 15:30 UTC,,,2023-05-05 12:30:00,2023-05-05 15:30:00,2023-05-05 21:30:00,2023-05-06 00:30:00,2023-05-05 21:30 KST,2023-05-06 00:30 KST,60.66,1,60.66,1499.67,1499.67,56.40000000000002,56.40000000000002
MTLUSDT,Long,1.243 USDT,"1,206","1,499.30 USDT",32.01 USDT,2.14 %,05/05/2023 22:06 UTC,05/06/2023 00:55 UTC,,,2023-05-05 22:06:00,2023-05-06 00:55:00,2023-05-06 07:06:00,2023-05-06 09:55:00,2023-05-06 07:06 KST,2023-05-06 09:55 KST,32.01,1,32.01,1499.3,1499.3,88.41000000000003,88.41000000000003
CFXUSDT,Long,0.301 USDT,"14,924","4,498.65 USDT",-79.55 USDT,-1.77 %,05/06/2023 03:44 UTC,05/06/2023 18:59 UTC,,,2023-05-06 03:44:00,2023-05-06 18:59:00,2023-05-06 12:44:00,2023-05-07 03:59:00,2023-05-06 12:44 KST,2023-05-07 03:59 KST,79.55,-1,-79.55,4498.65,4498.65,8.860000000000028,8.860000000000028
LINAUSDT,Long,0.012 USDT,"127,226","1,499.99 USDT",-3.44 USDT,-0.23 %,05/06/2023 06:43 UTC,05/06/2023 11:06 UTC,,,2023-05-06 06:43:00,2023-05-06 11:06:00,2023-05-06 15:43:00,2023-05-06 20:06:00,2023-05-06 15:43 KST,2023-05-06 20:06 KST,3.44,-1,-3.44,1499.99,1499.99,5.420000000000028,5.420000000000028
JASMYUSDT,Long,0.007 USDT,"200,722","1,500.00 USDT",40.84 USDT,2.72 %,05/06/2023 07:08 UTC,05/06/2023 07:32 UTC,,,2023-05-06 07:08:00,2023-05-06 07:32:00,2023-05-06 16:08:00,2023-05-06 16:32:00,2023-05-06 16:08 KST,2023-05-06 16:32 KST,40.84,1,40.84,1500.0,1500.0,46.26000000000003,46.26000000000003
SSVUSDT,Long,24.747 USDT,242.4,"5,998.66 USDT",-787.42 USDT,-13.13 %,05/06/2023 08:47 UTC,05/07/2023 00:44 UTC,,,2023-05-06 08:47:00,2023-05-07 00:44:00,2023-05-06 17:47:00,2023-05-07 09:44:00,2023-05-06 17:47 KST,2023-05-07 09:44 KST,787.42,-1,-787.42,5998.66,5998.66,-741.16,-741.16
MTLUSDT,Long,1.392 USDT,"7,466","10,394.06 USDT","-1,287.64 USDT",-12.39 %,05/06/2023 09:47 UTC,05/07/2023 03:01 UTC,,,2023-05-06 09:47:00,2023-05-07 03:01:00,2023-05-06 18:47:00,2023-05-07 12:01:00,2023-05-06 18:47 KST,2023-05-07 12:01 KST,1287.64,-1,-1287.64,10394.06,10394.06,-2028.8000000000002,-2028.8000000000002
JASMYUSDT,Long,0.007 USDT,"408,954","3,000.00 USDT",34.99 USDT,1.17 %,05/06/2023 12:38 UTC,05/06/2023 15:21 UTC,,,2023-05-06 12:38:00,2023-05-06 15:21:00,2023-05-06 21:38:00,2023-05-07 00:21:00,2023-05-06 21:38 KST,2023-05-07 00:21 KST,34.99,1,34.99,3000.0,3000.0,-1993.8100000000002,-1993.8100000000002
LINAUSDT,Long,0.011 USDT,"131,694","1,499.99 USDT",12.27 USDT,0.82 %,05/06/2023 14:07 UTC,05/06/2023 18:43 UTC,,,2023-05-06 14:07:00,2023-05-06 18:43:00,2023-05-06 23:07:00,2023-05-07 03:43:00,2023-05-06 23:07 KST,2023-05-07 03:43 KST,12.27,1,12.27,1499.99,1499.99,-1981.5400000000002,-1981.5400000000002
STXUSDT,Long,0.762 USDT,"1,968","1,499.81 USDT",28.02 USDT,1.87 %,05/08/2023 14:50 UTC,05/08/2023 16:31 UTC,,,2023-05-08 14:50:00,2023-05-08 16:31:00,2023-05-08 23:50:00,2023-05-09 01:31:00,2023-05-08 23:50 KST,2023-05-09 01:31 KST,28.02,1,28.02,1499.81,1499.81,-1953.5200000000002,-1953.5200000000002
RLCUSDT,Long,1.753 USDT,855.6,"1,499.87 USDT",-50.56 USDT,-3.37 %,05/08/2023 18:00 UTC,05/09/2023 01:32 UTC,,,2023-05-08 18:00:00,2023-05-09 01:32:00,2023-05-09 03:00:00,2023-05-09 10:32:00,2023-05-09 03:00 KST,2023-05-09 10:32 KST,50.56,-1,-50.56,1499.87,1499.87,-2004.0800000000002,-2004.0800000000002
STXUSDT,Long,0.736 USDT,"6,110","4,497.45 USDT",-2.85 USDT,-0.06 %,05/08/2023 18:01 UTC,05/09/2023 02:00 UTC,,,2023-05-08 18:01:00,2023-05-09 02:00:00,2023-05-09 03:01:00,2023-05-09 11:00:00,2023-05-09 03:01 KST,2023-05-09 11:00 KST,2.85,-1,-2.85,4497.45,4497.45,-2006.93,-2006.93
1000LUNCUSDT,Long,0.091 USDT,"16,574","1,499.95 USDT",4.07 USDT,0.27 %,05/10/2023 08:31 UTC,05/10/2023 12:30 UTC,,,2023-05-10 08:31:00,2023-05-10 12:30:00,2023-05-10 17:31:00,2023-05-10 21:30:00,2023-05-10 17:31 KST,2023-05-10 21:30 KST,4.07,1,4.07,1499.95,1499.95,-2002.8600000000001,-2002.8600000000001
RNDRUSDT,Long,1.787 USDT,"3,356.2","5,999.19 USDT",60.86 USDT,1.01 %,05/10/2023 14:48 UTC,05/10/2023 19:04 UTC,,,2023-05-10 14:48:00,2023-05-10 19:04:00,2023-05-10 23:48:00,2023-05-11 04:04:00,2023-05-10 23:48 KST,2023-05-11 04:04 KST,60.86,1,60.86,5999.19,5999.19,-1942.0000000000002,-1942.0000000000002
1000LUNCUSDT,Long,0.088 USDT,"33,994","2,999.81 USDT",89.76 USDT,2.99 %,05/10/2023 17:16 UTC,05/10/2023 17:51 UTC,,,2023-05-10 17:16:00,2023-05-10 17:51:00,2023-05-11 02:16:00,2023-05-11 02:51:00,2023-05-11 02:16 KST,2023-05-11 02:51 KST,89.76,1,89.76,2999.81,2999.81,-1852.2400000000002,-1852.2400000000002
LDOUSDT,Long,1.797 USDT,834,"1,498.70 USDT",48.21 USDT,3.22 %,05/10/2023 17:16 UTC,05/10/2023 18:42 UTC,,,2023-05-10 17:16:00,2023-05-10 18:42:00,2023-05-11 02:16:00,2023-05-11 03:42:00,2023-05-11 02:16 KST,2023-05-11 03:42 KST,48.21,1,48.21,1498.7,1498.7,-1804.0300000000002,-1804.0300000000002
TOMOUSDT,Long,0.968 USDT,"1,548","1,498.31 USDT",70.75 USDT,4.72 %,05/10/2023 17:21 UTC,05/10/2023 17:31 UTC,,,2023-05-10 17:21:00,2023-05-10 17:31:00,2023-05-11 02:21:00,2023-05-11 02:31:00,2023-05-11 02:21 KST,2023-05-11 02:31 KST,70.75,1,70.75,1498.31,1498.31,-1733.2800000000002,-1733.2800000000002
GALAUSDT,Long,0.03 USDT,"148,400","4,499.90 USDT",-69.34 USDT,-1.54 %,05/11/2023 00:40 UTC,05/11/2023 12:29 UTC,,,2023-05-11 00:40:00,2023-05-11 12:29:00,2023-05-11 09:40:00,2023-05-11 21:29:00,2023-05-11 09:40 KST,2023-05-11 21:29 KST,69.34,-1,-69.34,4499.9,4499.9,-1802.6200000000001,-1802.6200000000001
1000LUNCUSDT,Long,0.09 USDT,"33,446","2,999.87 USDT",18.12 USDT,0.60 %,05/11/2023 02:25 UTC,05/11/2023 09:56 UTC,,,2023-05-11 02:25:00,2023-05-11 09:56:00,2023-05-11 11:25:00,2023-05-11 18:56:00,2023-05-11 11:25 KST,2023-05-11 18:56 KST,18.12,1,18.12,2999.87,2999.87,-1784.5000000000002,-1784.5000000000002
TOMOUSDT,Long,0.975 USDT,"1,536","1,498.21 USDT",16.61 USDT,1.11 %,05/11/2023 12:58 UTC,05/11/2023 16:40 UTC,,,2023-05-11 12:58:00,2023-05-11 16:40:00,2023-05-11 21:58:00,2023-05-12 01:40:00,2023-05-11 21:58 KST,2023-05-12 01:40 KST,16.61,1,16.61,1498.21,1498.21,-1767.8900000000003,-1767.8900000000003
LDOUSDT,Long,1.714 USDT,"2,622","4,494.29 USDT",-156.79 USDT,-3.49 %,05/11/2023 13:01 UTC,05/11/2023 22:25 UTC,,,2023-05-11 13:01:00,2023-05-11 22:25:00,2023-05-11 22:01:00,2023-05-12 07:25:00,2023-05-11 22:01 KST,2023-05-12 07:25 KST,156.79,-1,-156.79,4494.29,4494.29,-1924.6800000000003,-1924.6800000000003
1000LUNCUSDT,Long,0.086 USDT,"34,788","2,999.73 USDT",-20.19 USDT,-0.67 %,05/11/2023 14:03 UTC,05/11/2023 20:54 UTC,,,2023-05-11 14:03:00,2023-05-11 20:54:00,2023-05-11 23:03:00,2023-05-12 05:54:00,2023-05-11 23:03 KST,2023-05-12 05:54 KST,20.19,-1,-20.19,2999.73,2999.73,-1944.8700000000003,-1944.8700000000003
ANTUSDT,Long,3.057 USDT,981,"2,999.03 USDT",-27.92 USDT,-0.93 %,05/11/2023 14:51 UTC,05/11/2023 22:35 UTC,,,2023-05-11 14:51:00,2023-05-11 22:35:00,2023-05-11 23:51:00,2023-05-12 07:35:00,2023-05-11 23:51 KST,2023-05-12 07:35 KST,27.92,-1,-27.92,2999.03,2999.03,-1972.7900000000004,-1972.7900000000004
TOMOUSDT,Long,0.951 USDT,"1,576","1,499.41 USDT",23.99 USDT,1.60 %,05/11/2023 19:33 UTC,05/11/2023 23:41 UTC,,,2023-05-11 19:33:00,2023-05-11 23:41:00,2023-05-12 04:33:00,2023-05-12 08:41:00,2023-05-12 04:33 KST,2023-05-12 08:41 KST,23.99,1,23.99,1499.41,1499.41,-1948.8000000000004,-1948.8000000000004
TOMOUSDT,Long,0.951 USDT,"1,576","1,499.41 USDT",26.04 USDT,1.74 %,05/12/2023 16:30 UTC,05/12/2023 20:08 UTC,,,2023-05-12 16:30:00,2023-05-12 20:08:00,2023-05-13 01:30:00,2023-05-13 05:08:00,2023-05-13 01:30 KST,2023-05-13 05:08 KST,26.04,1,26.04,1499.41,1499.41,-1922.7600000000004,-1922.7600000000004
ARPAUSDT,Long,0.053 USDT,"28,116","1,499.99 USDT",40.55 USDT,2.70 %,05/12/2023 19:27 UTC,05/12/2023 22:26 UTC,,,2023-05-12 19:27:00,2023-05-12 22:26:00,2023-05-13 04:27:00,2023-05-13 07:26:00,2023-05-13 04:27 KST,2023-05-13 07:26 KST,40.55,1,40.55,1499.99,1499.99,-1882.2100000000005,-1882.2100000000005
