symbol,liquidity_status,reasons,volume_24h,spread_percent,depth_usd,last_price,timestamp,trade_count,avg_position_size_usdt,max_position_size_usdt,total_pnl,avg_pnl_percent
1000PEPEUSDT,low,"주문장 깊이(73,724.15 USD)가 기준치(500,000 USD) 미만",841933203.8372203,0.0013253107853827958,73724.1498985,0.0075451,2025-04-14 21:16:19,15,454301.59799999994,850617.72,151366.41,1.7199999999999998
AAVEUSDT,low,"주문장 깊이(333,098.58 USD)가 기준치(500,000 USD) 미만",144294388.245,0.006910850034567607,333098.57700000005,144.71,2025-04-14 21:16:21,7,343210.0228571429,800679.71,34743.45,1.1314285714285712
NEIROUSDT,low,"주문장 깊이(491,853.16 USD)가 기준치(500,000 USD) 미만",47737292.7974726,0.05431830526887693,491853.1613651,0.000184,2025-04-14 21:16:22,10,402440.192,1002903.72,-96274.01000000001,-2.567
1000BONKUSDT,low,"주문장 깊이(127,717.88 USD)가 기준치(500,000 USD) 미만",74875078.541386,0.007624275693816714,127717.877644,0.01312,2025-04-14 21:16:23,9,300370.07999999996,600590.18,40699.83,2.312222222222222
1000CATUSDT,low,"주문장 깊이(410,915.46 USD)가 기준치(500,000 USD) 미만",16634937.61012,0.18050541516246318,410915.46089,0.00555,2025-04-14 21:16:24,4,187664.17,300711.28,-25279.839999999997,-3.61
EIGENUSDT,low,"주문장 깊이(88,683.00 USD)가 기준치(500,000 USD) 미만",17117088.81159,0.011839924224483659,88683.00315,0.8446,2025-04-14 21:16:25,2,100129.91500000001,100147.63,11810.0,5.895
POPCATUSDT,low,"주문장 깊이(353,549.30 USD)가 기준치(500,000 USD) 미만",157372962.9896,0.03752345215759436,353549.304,0.2667,2025-04-14 21:16:26,5,172172.90999999997,340239.52,-18477.05,0.2219999999999999
MOODENGUSDT,low,"주문장 깊이(110,628.67 USD)가 기준치(500,000 USD) 미만",82752631.98731,0.03519887363604221,110628.67446000001,0.02842,2025-04-14 21:16:27,17,233450.79647058822,500658.19,369113.68,8.22764705882353
PHBUSDT,low,"24시간 거래량(3,811,871.14 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(60,412.23 USD)가 기준치(500,000 USD) 미만",3811871.1416,0.04813477737666269,60412.227100000004,0.4158,2025-04-14 21:16:28,2,110181.95999999999,120193.8,-1706.08,-0.7450000000000001
NEIROETHUSDT,low,"주문장 깊이(55,366.67 USD)가 기준치(500,000 USD) 미만",28735383.88519,0.08904719501335344,55366.668040000004,0.02244,2025-04-14 21:16:28,4,56273.505000000005,85049.45,342.08000000000004,0.32999999999999996
ORDIUSDT,low,"주문장 깊이(296,276.47 USD)가 기준치(500,000 USD) 미만",54012040.5676,0.015328019619870233,296276.4702,6.525,2025-04-14 21:16:29,2,225083.39,400154.75,-7516.799999999999,-1.7
1000RATSUSDT,low,"24시간 거래량(5,471,578.97 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(82,589.52 USD)가 기준치(500,000 USD) 미만",5471578.96925,0.04043671653862945,82589.52342,0.02475,2025-04-14 21:16:30,1,50030.75,50030.75,-332.65,-0.66
TROYUSDT,low,"주문장 깊이(0.00 USD)가 기준치(500,000 USD) 미만",44261336.491637,,0.0,0.000187,2025-04-14 21:16:30,1,50286.75,50286.75,-2257.17,-4.49
ETHUSDT,low,"주문장 깊이(498,009.64 USD)가 기준치(500,000 USD) 미만",12162742520.83,0.0005995239779609532,498009.63886999997,1668.12,2025-04-14 21:16:31,8,1733926.41875,5004151.84,42243.41,0.45499999999999996
MKRUSDT,low,"주문장 깊이(119,339.60 USD)가 기준치(500,000 USD) 미만",42540942.67,0.007068636460020431,119339.6029,1415.2,2025-04-14 21:16:34,2,325497.45999999996,550884.08,16142.79,1.405
1000FLOKIUSDT,low,"주문장 깊이(363,631.92 USD)가 기준치(500,000 USD) 미만",28042773.27805,0.01701548409051578,363631.91839999997,0.05879,2025-04-14 21:16:35,5,310394.2,500735.65,9675.95,0.5619999999999999
SPELLUSDT,low,"주문장 깊이(83,869.22 USD)가 기준치(500,000 USD) 미만",13101956.3256267,0.017972681524093575,83869.22464639999,0.0005568,2025-04-14 21:16:36,2,121993.725,145185.76,-8626.880000000001,-3.72
ACTUSDT,low,"주문장 깊이(99,705.19 USD)가 기준치(500,000 USD) 미만",89543088.58252,0.017041581458752765,99705.19430999999,0.05895,2025-04-14 21:16:37,4,207695.335,265208.97,58637.0,6.589999999999999
HIPPOUSDT,low,"24시간 거래량(8,242,786.35 USD)이 기준치(10,000,000 USD) 미만, 스프레드(0.51%)가 기준치(0.30%) 초과, 주문장 깊이(435,115.66 USD)가 기준치(500,000 USD) 미만",8242786.35197,0.5076142131979708,435115.66466,0.00197,2025-04-14 21:16:37,1,160940.47,160940.47,-15679.57,-9.74
PNUTUSDT,low,"주문장 깊이(112,681.29 USD)가 기준치(500,000 USD) 미만",89209717.43688,0.014866572511701662,112681.2881,0.13455,2025-04-14 21:16:38,11,227558.44818181815,350204.21,780.1900000000005,-0.8963636363636365
BNBUSDT,low,"주문장 깊이(497,754.61 USD)가 기준치(500,000 USD) 미만",280507525.86,0.001692476940000153,497754.61079999997,590.85,2025-04-14 21:16:39,2,875724.115,1001314.0,22905.2,1.13
1000000MOGUSDT,low,"주문장 깊이(35,082.36 USD)가 기준치(500,000 USD) 미만",11129997.67333,0.0394710874284543,35082.35877,0.5068,2025-04-14 21:16:40,3,195999.90333333332,202252.78,-33931.05,-5.816666666666666
OPUSDT,low,"주문장 깊이(463,444.56 USD)가 기준치(500,000 USD) 미만",81117630.4859,0.014727540500734755,463444.55602,0.6789,2025-04-14 21:16:41,4,383411.995,552870.21,-61577.96,-3.8275
STXUSDT,low,"주문장 깊이(249,605.70 USD)가 기준치(500,000 USD) 미만",24067075.7204,0.01603592046183274,249605.704,0.6237,2025-04-14 21:16:42,4,223969.2925,400389.82,18954.33,-1.6300000000000001
LUNA2USDT,low,"24시간 거래량(5,550,303.17 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(246,978.90 USD)가 기준치(500,000 USD) 미만",5550303.1707,0.06211180124222919,246978.9014,0.1611,2025-04-14 21:16:44,1,60094.06,60094.06,-2817.63,-4.69
VOXELUSDT,low,"24시간 거래량(6,294,389.69 USD)이 기준치(10,000,000 USD) 미만, 스프레드(0.41%)가 기준치(0.30%) 초과, 주문장 깊이(409,851.53 USD)가 기준치(500,000 USD) 미만",6294389.693,0.41493775933609706,409851.5308,0.0242,2025-04-14 21:16:45,1,185798.27,185798.27,9618.0,5.18
SANDUSDT,low,"주문장 깊이(62,117.51 USD)가 기준치(500,000 USD) 미만",43261288.47171,0.015038159329292262,62117.50632,0.26596,2025-04-14 21:16:46,1,300364.41,300364.41,1371.0,0.46
ENSUSDT,low,"주문장 깊이(78,029.77 USD)가 기준치(500,000 USD) 미만",31689416.537,0.006634379353807773,78029.7672,15.071,2025-04-14 21:16:47,1,150069.89,150069.89,-3620.52,-2.41
ZROUSDT,low,"주문장 깊이(31,308.41 USD)가 기준치(500,000 USD) 미만",36206783.85053,0.0038791264207210106,31308.41005,2.5783,2025-04-14 21:16:48,2,185270.41499999998,200315.96,-6107.17,-1.855
FTMUSDT,low,"주문장 깊이(0.00 USD)가 기준치(500,000 USD) 미만",80303756.7992,,0.0,0.7702,2025-04-14 21:16:49,4,404028.9175,550361.82,-52563.07,-3.2525
TIAUSDT,low,"주문장 깊이(70,968.02 USD)가 기준치(500,000 USD) 미만",78732831.0188,0.003957418180387472,70968.01809999999,2.5261,2025-04-14 21:16:49,1,250271.76,250271.76,748.69,0.3
EDUUSDT,low,"주문장 깊이(275,076.78 USD)가 기준치(500,000 USD) 미만",16425615.8862,0.08833922261484353,275076.7754,0.1132,2025-04-14 21:16:50,1,105179.3,105179.3,10596.0,10.08
XLMUSDT,low,"주문장 깊이(102,714.64 USD)가 기준치(500,000 USD) 미만",64713457.70739,0.004063058670559989,102714.63617000001,0.24604,2025-04-14 21:16:51,4,262726.76749999996,400558.19,-14550.44,-1.3775
ARUSDT,low,"주문장 깊이(110,161.16 USD)가 기준치(500,000 USD) 미만",15585839.328,0.018318373328454554,110161.16080000001,5.456,2025-04-14 21:16:51,1,100241.16,100241.16,3975.0,3.97
