Symbol,PnL_Numeric,Size_USDT_Abs,pnl_percent,ROI(%),liquidity_status
HIPPOUSDT,-15679.57,160940.47,-9.74,-9.742465645837868,low
SAGAUSDT,-8917.97,100237.39,-8.9,-8.896849768334949,low
TSTUSDT,-34983.74,398325.77,-8.82,-8.782695631266838,low
MEMEUSDT,-7063.87,115092.48,-6.14,-6.137559986542996,low
1000000MOGUSDT,-33931.05,587999.71,-5.816666666666666,-5.770589580732957,low
DARUSDT,-8133.36,150342.28,-5.41,-5.409895340153149,low
KAIAUSDT,-3510.73,70078.24,-5.01,-5.0097291256173095,low
WLDUSDT,-17340.61,349579.45999999996,-2.1499999999999995,-4.960420157408563,low
RIFUSDT,-7481.59,151092.99,-4.95,-4.951646002901922,low
LUNA2USDT,-2817.63,60094.06,-4.69,-4.688699681798834,low
