Symbol,PnL_Numeric,Size_USDT_Abs,pnl_percent,ROI(%),liquidity_status
XVGUSDT,90995.0,476154.76999999996,20.62333333333333,19.11038295384503,low
ARCUSDT,14630.0,100173.72,14.61,14.60462883878127,low
RSRUSDT,13249.0,99744.96,13.28,13.2828766486046,low
MOCAUSDT,23008.0,195277.9,11.78,11.782183237324858,low
MUBARAKUSDT,35006.0,304099.48,11.49,11.511364636335452,low
THETAUSDT,54230.0,500864.24,10.83,10.827285253984194,low
EDUUSDT,10596.0,105179.3,10.08,10.074225631849613,low
MOODENGUSDT,369113.68,3968663.54,8.22764705882353,9.300704790913064,low
ACTUSDT,58637.0,830781.34,6.590000000000001,7.058054529727401,low
BLURUSDT,6439.0,100115.23,6.43,6.431588880133423,low
