Symbol,PnL_Numeric,Size_USDT_Abs,pnl_percent,ROI(%),liquidity_status
ADAUSDT,186435.99,3050311.1,6.046666666666668,6.112031982573843,normal
SUIUSDT,43107.0,1215389.53,3.6533333333333338,3.5467641390657696,normal
TRUMPUSDT,55780.31,1777605.53,1.793333333333333,3.1379464711723752,normal
ENAUSDT,80874.56999999999,3126296.0700000003,2.075,2.5869133373538733,normal
UNIUSDT,39155.72,1948260.25,1.0542857142857145,2.0097787243773,normal
GOATUSDT,30531.57,2516311.31,-0.48800000000000004,1.2133462929910688,normal
DOGEUSDT,24753.590000000004,2235542.3,0.05999999999999996,1.1072745078453674,normal
ONDOUSDT,3776.5,350509.92,1.3733333333333333,1.0774302764383958,normal
SOLUSDT,50968.1,6214302.19,0.8657142857142857,0.820174147340588,normal
EOSUSDT,839.99,149365.92,0.56,0.5623705862756376,normal
