Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
1000PEPEUSDT,Long,0.009 USDT,"25,451,262","230,034.57 USDT","-2,927.57 USDT",-1.27 %,10/04/2024 13:11 UTC,10/10/2024 17:07 UTC,19.70 % 0.01 USDT,-1.58 % 0.01 USDT,2024-10-04 13:11:00,2024-10-10 17:07:00,2024-10-04 22:11:00,2024-10-11 02:07:00,2024-10-04 22:11 KST,2024-10-11 02:07 KST,2927.57,-1,-2927.57,230034.57,230034.57,-2927.57,-2927.57
PEOPLEUSDT,Long,0.073 USDT,"4,842,967","355,140.01 USDT",867.33 USDT,0.24 %,10/05/2024 07:27 UTC,10/26/2024 15:36 UTC,26.17 % 0.09 USDT,-5.47 % 0.07 USDT,2024-10-05 07:27:00,2024-10-26 15:36:00,2024-10-05 16:27:00,2024-10-27 00:36:00,2024-10-05 16:27 KST,2024-10-27 00:36 KST,867.33,1,867.33,355140.01,355140.01,-2060.2400000000002,-2060.2400000000002
AAVEUSDT,Long,142.179 USDT,352.4,"50,103.77 USDT",-167.00 USDT,-0.33 %,10/09/2024 21:22 UTC,10/09/2024 21:25 UTC,,-0.39 % 141.63 USDT,2024-10-09 21:22:00,2024-10-09 21:25:00,2024-10-10 06:22:00,2024-10-10 06:25:00,2024-10-10 06:22 KST,2024-10-10 06:25 KST,167.0,-1,-167.0,50103.77,50103.77,-2227.2400000000002,-2227.2400000000002
NEIROUSDT,Long,0.002 USDT,"83,953,696","150,018.49 USDT","-4,674.13 USDT",-3.12 %,10/09/2024 21:47 UTC,10/10/2024 07:54 UTC,7.77 % 0.00 USDT,-5.75 % 0.00 USDT,2024-10-09 21:47:00,2024-10-10 07:54:00,2024-10-10 06:47:00,2024-10-10 16:54:00,2024-10-10 06:47 KST,2024-10-10 16:54 KST,4674.13,-1,-4674.13,150018.49,150018.49,-6901.370000000001,-6901.370000000001
NEIROUSDT,Short,0.002 USDT,"60,237,335","99,907.04 USDT","-2,846.40 USDT",-2.85 %,10/10/2024 20:39 UTC,10/11/2024 00:13 UTC,2.20 % 0.00 USDT,-2.73 % 0.00 USDT,2024-10-10 20:39:00,2024-10-11 00:13:00,2024-10-11 05:39:00,2024-10-11 09:13:00,2024-10-11 05:39 KST,2024-10-11 09:13 KST,2846.4,-1,-2846.4,99907.04,99907.04,-9747.77,-9747.77
XRPUSDT,Long,0.563 USDT,"355,397.5","199,915.31 USDT",-586.04 USDT,-0.29 %,10/17/2024 05:07 UTC,10/17/2024 05:16 UTC,0.71 % 0.57 USDT,-0.41 % 0.56 USDT,2024-10-17 05:07:00,2024-10-17 05:16:00,2024-10-17 14:07:00,2024-10-17 14:16:00,2024-10-17 14:07 KST,2024-10-17 14:16 KST,586.04,-1,-586.04,199915.31,199915.31,-10333.810000000001,-10333.810000000001
1000BONKUSDT,Long,0.023 USDT,"8,516,982","200,138.10 USDT",188.89 USDT,0.09 %,10/18/2024 02:31 UTC,10/18/2024 16:18 UTC,1.87 % 0.02 USDT,-1.56 % 0.02 USDT,2024-10-18 02:31:00,2024-10-18 16:18:00,2024-10-18 11:31:00,2024-10-19 01:18:00,2024-10-18 11:31 KST,2024-10-19 01:18 KST,188.89,1,188.89,200138.1,200138.1,-10144.920000000002,-10144.920000000002
ONDOUSDT,Long,0.753 USDT,"132,969.8","100,077.68 USDT","5,119 USDT",5.12 %,10/18/2024 16:18 UTC,10/19/2024 00:45 UTC,8.90 % 0.82 USDT,-1.49 % 0.74 USDT,2024-10-18 16:18:00,2024-10-19 00:45:00,2024-10-19 01:18:00,2024-10-19 09:45:00,2024-10-19 01:18 KST,2024-10-19 09:45 KST,5119.0,1,5119.0,100077.68,100077.68,-5025.920000000002,-5025.920000000002
1000CATUSDT,Short,0.04 USDT,"1,259,922","49,923.24 USDT","-2,721.98 USDT",-5.45 %,10/25/2024 08:13 UTC,10/25/2024 09:01 UTC,0.01 % 0.04 USDT,-4.89 % 0.04 USDT,2024-10-25 08:13:00,2024-10-25 09:01:00,2024-10-25 17:13:00,2024-10-25 18:01:00,2024-10-25 17:13 KST,2024-10-25 18:01 KST,2721.98,-1,-2721.98,49923.24,49923.24,-7747.9000000000015,-7747.9000000000015
EIGENUSDT,Long,2.848 USDT,"35,153.3","100,112.20 USDT","1,631 USDT",1.63 %,10/26/2024 20:25 UTC,10/26/2024 23:18 UTC,2.57 % 2.92 USDT,-0.31 % 2.84 USDT,2024-10-26 20:25:00,2024-10-26 23:18:00,2024-10-27 05:25:00,2024-10-27 08:18:00,2024-10-27 05:25 KST,2024-10-27 08:18 KST,1631.0,1,1631.0,100112.2,100112.2,-6116.9000000000015,-6116.9000000000015
POPCATUSDT,Long,1.466 USDT,"81,917","120,117.04 USDT","19,842 USDT",16.52 %,10/26/2024 20:49 UTC,10/29/2024 20:23 UTC,24.62 % 1.83 USDT,-3.43 % 1.42 USDT,2024-10-26 20:49:00,2024-10-29 20:23:00,2024-10-27 05:49:00,2024-10-30 05:23:00,2024-10-27 05:49 KST,2024-10-30 05:23 KST,19842.0,1,19842.0,120117.04,120117.04,13725.099999999999,13725.099999999999
GOATUSDT,Long,0.666 USDT,"75,176","50,031.43 USDT",-640.56 USDT,-1.28 %,10/27/2024 04:25 UTC,10/27/2024 04:53 UTC,1.72 % 0.68 USDT,-2.23 % 0.65 USDT,2024-10-27 04:25:00,2024-10-27 04:53:00,2024-10-27 13:25:00,2024-10-27 13:53:00,2024-10-27 13:25 KST,2024-10-27 13:53 KST,640.56,-1,-640.56,50031.43,50031.43,13084.539999999999,13084.539999999999
