Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BTCUSDT,Short,"96,388 USDT",19.049,"1,840,606.45 USDT","72,592 USDT",3.94 %,12/31/2024 11:39 UTC,01/13/2025 14:34 UTC,,,2024-12-31 11:39:00,2025-01-13 14:34:00,2024-12-31 20:39:00,2025-01-13 23:34:00,2024-12-31 20:39 KST,2025-01-13 23:34 KST,72592.0,1,72592.0,1840606.45,1840606.45,72592.0,72592.0
VIRTUALUSDT,Short,2.298 USDT,"22,309.2","65,178.56 USDT","16,112 USDT",24.72 %,01/02/2025 11:08 UTC,02/19/2025 12:33 UTC,143.53 % 0.94 USDT,-52.54 % 4.84 USDT,2025-01-02 11:08:00,2025-02-19 12:33:00,2025-01-02 20:08:00,2025-02-19 21:33:00,2025-01-02 20:08 KST,2025-02-19 21:33 KST,16112.0,1,16112.0,65178.56,65178.56,88704.0,88704.0
HYPEUSDT,Long,23.116 USDT,"3,243.94","74,986.92 USDT","5,312 USDT",7.08 %,01/02/2025 23:49 UTC,01/04/2025 21:02 UTC,7.36 % 24.82 USDT,-6.68 % 21.57 USDT,2025-01-02 23:49:00,2025-01-04 21:02:00,2025-01-03 08:49:00,2025-01-05 06:02:00,2025-01-03 08:49 KST,2025-01-05 06:02 KST,5312.0,1,5312.0,74986.92,74986.92,94016.0,94016.0
SOLUSDT,Short,208.2 USDT,"1,650","340,692.00 USDT","-55,045.00 USDT",-16.16 %,01/03/2025 06:07 UTC,01/19/2025 23:19 UTC,,,2025-01-03 06:07:00,2025-01-19 23:19:00,2025-01-03 15:07:00,2025-01-20 08:19:00,2025-01-03 15:07 KST,2025-01-20 08:19 KST,55045.0,-1,-55045.0,340692.0,340692.0,38971.0,38971.0
ENAUSDT,Long,1.152 USDT,"30,342","34,963.09 USDT","-15,521.79 USDT",-44.39 %,01/03/2025 13:58 UTC,02/18/2025 16:38 UTC,13.97 % 1.31 USDT,-65.17 % 0.40 USDT,2025-01-03 13:58:00,2025-02-18 16:38:00,2025-01-03 22:58:00,2025-02-19 01:38:00,2025-01-03 22:58 KST,2025-02-19 01:38 KST,15521.79,-1,-15521.79,34963.09,34963.09,23449.21,23449.21
ETHUSDT,Long,"2,997.3 USDT",208.333,"624,435.30 USDT","35,376 USDT",5.67 %,01/13/2025 12:02 UTC,01/17/2025 20:47 UTC,"17.33 % 3,516 USDT","-2.58 % 2,920 USDT",2025-01-13 12:02:00,2025-01-17 20:47:00,2025-01-13 21:02:00,2025-01-18 05:47:00,2025-01-13 21:02 KST,2025-01-18 05:47 KST,35376.0,1,35376.0,624435.3,624435.3,58825.21,58825.21
BTCUSDT,Long,"89,407 USDT",3.151,"281,700.89 USDT","13,734 USDT",4.88 %,01/13/2025 14:33 UTC,01/13/2025 21:58 UTC,,,2025-01-13 14:33:00,2025-01-13 21:58:00,2025-01-13 23:33:00,2025-01-14 06:58:00,2025-01-13 23:33 KST,2025-01-14 06:58 KST,13734.0,1,13734.0,281700.89,281700.89,72559.20999999999,72559.20999999999
LTCUSDT,Long,110.64 USDT,"2,273.65","251,556.64 USDT","15,107 USDT",6.01 %,01/15/2025 22:52 UTC,01/23/2025 18:19 UTC,7.33 % 118.75 USDT,-1.08 % 109.44 USDT,2025-01-15 22:52:00,2025-01-23 18:19:00,2025-01-16 07:52:00,2025-01-24 03:19:00,2025-01-16 07:52 KST,2025-01-24 03:19 KST,15107.0,1,15107.0,251556.64,251556.64,87666.20999999999,87666.20999999999
BTCUSDT,Long,"97,766 USDT",6.6,"645,255.60 USDT","13,599 USDT",2.11 %,01/16/2025 14:45 UTC,01/16/2025 22:34 UTC,"2.71 % 100,417 USDT","-0.36 % 97,410 USDT",2025-01-16 14:45:00,2025-01-16 22:34:00,2025-01-16 23:45:00,2025-01-17 07:34:00,2025-01-16 23:45 KST,2025-01-17 07:34 KST,13599.0,1,13599.0,645255.6,645255.6,101265.20999999999,101265.20999999999
BTCUSDT,Short,"104,820 USDT",3.072,"321,955.68 USDT",733.07 USDT,0.23 %,01/17/2025 20:45 UTC,01/17/2025 22:32 UTC,"0.41 % 104,397 USDT","-0.20 % 105,025 USDT",2025-01-17 20:45:00,2025-01-17 22:32:00,2025-01-18 05:45:00,2025-01-18 07:32:00,2025-01-18 05:45 KST,2025-01-18 07:32 KST,733.07,1,733.07,321955.68,321955.68,101998.28,101998.28
