Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
SAGAUSDT,Short,4.17 USDT,"20,000","83,399.24 USDT","56,490 USDT",67.73 %,04/14/2024 04:54 UTC,08/02/2024 10:18 UTC,374.13 % 0.88 USDT,,2024-04-14 04:54:00,2024-08-02 10:18:00,2024-04-14 13:54:00,2024-08-02 19:18:00,2024-04-14 13:54 KST,2024-08-02 19:18 KST,56490.0,1,56490.0,83399.24,83399.24,56490.0,56490.0
ALTUSDT,Short,0.548 USDT,"250,000","136,917.12 USDT","118,565 USDT",86.60 %,04/14/2024 04:55 UTC,08/05/2024 07:33 UTC,705.39 % 0.07 USDT,,2024-04-14 04:55:00,2024-08-05 07:33:00,2024-04-14 13:55:00,2024-08-05 16:33:00,2024-04-14 13:55 KST,2024-08-05 16:33 KST,118565.0,1,118565.0,136917.12,136917.12,175055.0,175055.0
DOGEUSDT,Long,0.142 USDT,"600,000","85,365.16 USDT","-11,684.89 USDT",-13.69 %,05/13/2024 07:03 UTC,06/19/2024 14:20 UTC,16.64 % 0.17 USDT,-20.51 % 0.11 USDT,2024-05-13 07:03:00,2024-06-19 14:20:00,2024-05-13 16:03:00,2024-06-19 23:20:00,2024-05-13 16:03 KST,2024-06-19 23:20 KST,11684.89,-1,-11684.89,85365.16,85365.16,163370.11,163370.11
1000SHIBUSDT,Long,0.024 USDT,"3,000,000","72,068.51 USDT","-17,743.44 USDT",-24.62 %,05/15/2024 15:36 UTC,06/19/2024 14:21 UTC,12.34 % 0.03 USDT,-29.84 % 0.02 USDT,2024-05-15 15:36:00,2024-06-19 14:21:00,2024-05-16 00:36:00,2024-06-19 23:21:00,2024-05-16 00:36 KST,2024-06-19 23:21 KST,17743.44,-1,-17743.44,72068.51,72068.51,145626.66999999998,145626.66999999998
BNBUSDT,Short,562.182 USDT,800,"466,130.48 USDT","-62,188.97 USDT",-13.34 %,05/17/2024 07:31 UTC,11/14/2024 07:33 UTC,37.55 % 408.71 USDT,-21.99 % 720.68 USDT,2024-05-17 07:31:00,2024-11-14 07:33:00,2024-05-17 16:31:00,2024-11-14 16:33:00,2024-05-17 16:31 KST,2024-11-14 16:33 KST,62188.97,-1,-62188.97,466130.48,466130.48,83437.69999999998,83437.69999999998
SOLUSDT,Long,141.758 USDT,500,"70,878.79 USDT","-2,640.54 USDT",-3.73 %,05/18/2024 12:53 UTC,06/19/2024 14:20 UTC,24.00 % 175.78 USDT,-10.41 % 127.00 USDT,2024-05-18 12:53:00,2024-06-19 14:20:00,2024-05-18 21:53:00,2024-06-19 23:20:00,2024-05-18 21:53 KST,2024-06-19 23:20 KST,2640.54,-1,-2640.54,70878.79,70878.79,80797.15999999999,80797.15999999999
ETHUSDT,Long,"2,998.432 USDT",600,"1,799,059.04 USDT","55,140 USDT",3.06 %,05/24/2024 07:43 UTC,07/10/2024 04:12 UTC,"29.80 % 3,892 USDT","-6.62 % 2,800 USDT",2024-05-24 07:43:00,2024-07-10 04:12:00,2024-05-24 16:43:00,2024-07-10 13:12:00,2024-05-24 16:43 KST,2024-07-10 13:12 KST,55140.0,1,55140.0,1799059.04,1799059.04,135937.15999999997,135937.15999999997
BTCUSDT,Long,"58,472.049 USDT",80,"4,681,160.48 USDT","-34,142.46 USDT",-0.73 %,05/29/2024 16:44 UTC,07/19/2024 16:46 UTC,"23.38 % 72,144 USDT","-8.79 % 53,329 USDT",2024-05-29 16:44:00,2024-07-19 16:46:00,2024-05-30 01:44:00,2024-07-20 01:46:00,2024-05-30 01:44 KST,2024-07-20 01:46 KST,34142.46,-1,-34142.46,4681160.48,4681160.48,101794.69999999998,101794.69999999998
BEAMXUSDT,Short,0.036 USDT,"1,000,000","35,822.18 USDT","7,941 USDT",22.17 %,05/31/2024 06:29 UTC,06/05/2024 10:28 UTC,31.94 % 0.03 USDT,,2024-05-31 06:29:00,2024-06-05 10:28:00,2024-05-31 15:29:00,2024-06-05 19:28:00,2024-05-31 15:29 KST,2024-06-05 19:28 KST,7941.0,1,7941.0,35822.18,35822.18,109735.69999999998,109735.69999999998
WLDUSDT,Short,2.946 USDT,"100,000","-294,616.59 USDT","103,430 USDT",35.11 %,06/21/2024 03:19 UTC,07/10/2024 01:35 UTC,66.80 % 1.77 USDT,-5.80 % 3.13 USDT,2024-06-21 03:19:00,2024-07-10 01:35:00,2024-06-21 12:19:00,2024-07-10 10:35:00,2024-06-21 12:19 KST,2024-07-10 10:35 KST,103430.0,1,103430.0,-294616.59,294616.59,213165.69999999998,213165.69999999998
