Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BTCUSDT,Long,"66,469.8 USDT",0.002,132.94 USDT,0.41 USDT,0.31 %,07/24/2024 13:19 UTC,07/24/2024 13:23 UTC,,,2024-07-24 13:19:00,2024-07-24 13:23:00,2024-07-24 22:19:00,2024-07-24 22:23:00,2024-07-24 22:19 KST,2024-07-24 22:23 KST,0.41,1,0.41,132.94,132.94,0.41,0.41
BTCUSDT,Long,"59,732 USDT",0.002,119.46 USDT,-0.70 USDT,-0.58 %,08/15/2024 15:21 UTC,08/15/2024 15:40 UTC,,,2024-08-15 15:21:00,2024-08-15 15:40:00,2024-08-16 00:21:00,2024-08-16 00:40:00,2024-08-16 00:21 KST,2024-08-16 00:40 KST,0.7,-1,-0.7,119.46,119.46,-0.29,-0.29
ARUSDT,Long,22.059 USDT,"6,808.7","150,193.11 USDT",601.67 USDT,0.40 %,08/15/2024 15:46 UTC,08/15/2024 16:03 UTC,,,2024-08-15 15:46:00,2024-08-15 16:03:00,2024-08-16 00:46:00,2024-08-16 01:03:00,2024-08-16 00:46 KST,2024-08-16 01:03 KST,601.67,1,601.67,150193.11,150193.11,601.38,601.38
FILUSDT,Short,3.649 USDT,"41,083.9","149,915.15 USDT",-24.78 USDT,-0.02 %,08/15/2024 15:47 UTC,08/15/2024 16:03 UTC,,,2024-08-15 15:47:00,2024-08-15 16:03:00,2024-08-16 00:47:00,2024-08-16 01:03:00,2024-08-16 00:47 KST,2024-08-16 01:03 KST,24.78,-1,-24.78,149915.15,149915.15,576.6,576.6
FTMUSDT,Short,0.393 USDT,"126,965","49,948.03 USDT",-138.97 USDT,-0.28 %,08/15/2024 15:47 UTC,08/15/2024 15:47 UTC,,,2024-08-15 15:47:00,2024-08-15 15:47:00,2024-08-16 00:47:00,2024-08-16 00:47:00,2024-08-16 00:47 KST,2024-08-16 00:47 KST,138.97,-1,-138.97,49948.03,49948.03,437.63,437.63
DEGENUSDT,Long,0.005 USDT,"456,830","2,275.01 USDT",-14.10 USDT,-0.62 %,08/15/2024 15:50 UTC,08/15/2024 16:28 UTC,,,2024-08-15 15:50:00,2024-08-15 16:28:00,2024-08-16 00:50:00,2024-08-16 01:28:00,2024-08-16 00:50 KST,2024-08-16 01:28 KST,14.1,-1,-14.1,2275.01,2275.01,423.53,423.53
ARUSDT,Long,21.003 USDT,"2,384.4","50,079.55 USDT",529.04 USDT,1.06 %,08/19/2024 09:18 UTC,08/20/2024 01:44 UTC,,,2024-08-19 09:18:00,2024-08-20 01:44:00,2024-08-19 18:18:00,2024-08-20 10:44:00,2024-08-19 18:18 KST,2024-08-20 10:44 KST,529.04,1,529.04,50079.55,50079.55,952.5699999999999,952.5699999999999
POPCATUSDT,Short,0.556 USDT,"44,890","24,958.84 USDT","-1,236.98 USDT",-4.96 %,08/22/2024 15:49 UTC,08/22/2024 16:41 UTC,,,2024-08-22 15:49:00,2024-08-22 16:41:00,2024-08-23 00:49:00,2024-08-23 01:41:00,2024-08-23 00:49 KST,2024-08-23 01:41 KST,1236.98,-1,-1236.98,24958.84,24958.84,-284.4100000000001,-284.4100000000001
1000FLOKIUSDT,Short,0.136 USDT,"368,232","49,961.72 USDT",-544.20 USDT,-1.09 %,08/22/2024 15:49 UTC,08/22/2024 21:32 UTC,,,2024-08-22 15:49:00,2024-08-22 21:32:00,2024-08-23 00:49:00,2024-08-23 06:32:00,2024-08-23 00:49 KST,2024-08-23 06:32 KST,544.2,-1,-544.2,49961.72,49961.72,-828.6100000000001,-828.6100000000001
MKRUSDT,Long,"2,126.9 USDT",117.766,"250,476.51 USDT","-26,477.62 USDT",-10.57 %,08/26/2024 17:05 UTC,08/28/2024 12:00 UTC,,,2024-08-26 17:05:00,2024-08-28 12:00:00,2024-08-27 02:05:00,2024-08-28 21:00:00,2024-08-27 02:05 KST,2024-08-28 21:00 KST,26477.62,-1,-26477.62,250476.51,250476.51,-27306.23,-27306.23
