Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BTCUSDT,Short,"104,420 USDT",0.156,"16,145.47 USDT",-197.38 USDT,-1.22 %,01/20/2025 19:40 UTC,01/21/2025 14:44 UTC,"3.96 % 100,439 USDT","-0.74 % 105,200 USDT",2025-01-20 19:40:00,2025-01-21 14:44:00,2025-01-21 04:40:00,2025-01-21 23:44:00,2025-01-21 04:40 KST,2025-01-21 23:44 KST,197.38,-1,-197.38,16145.47,16145.47,-197.38,-197.38
ETHUSDT,Long,"3,312.8 USDT",1.23,"4,073.75 USDT",-74.36 USDT,-1.83 %,01/20/2025 22:31 UTC,01/21/2025 00:25 UTC,"0.43 % 3,327 USDT","-1.96 % 3,247 USDT",2025-01-20 22:31:00,2025-01-21 00:25:00,2025-01-21 07:31:00,2025-01-21 09:25:00,2025-01-21 07:31 KST,2025-01-21 09:25 KST,74.36,-1,-74.36,4073.75,4073.75,-271.74,-271.74
SOLUSDT,Short,241.97 USDT,18.34,"4,437.73 USDT",-8.17 USDT,-0.18 %,01/20/2025 23:53 UTC,01/20/2025 23:56 UTC,0.05 % 241.85 USDT,,2025-01-20 23:53:00,2025-01-20 23:56:00,2025-01-21 08:53:00,2025-01-21 08:56:00,2025-01-21 08:53 KST,2025-01-21 08:56 KST,8.17,-1,-8.17,4437.73,4437.73,-279.91,-279.91
AAVEUSDT,Long,337.89 USDT,12.24,"4,135.77 USDT",-44.57 USDT,-1.08 %,01/20/2025 23:57 UTC,01/21/2025 00:25 UTC,0.50 % 339.58 USDT,-1.14 % 334.04 USDT,2025-01-20 23:57:00,2025-01-21 00:25:00,2025-01-21 08:57:00,2025-01-21 09:25:00,2025-01-21 08:57 KST,2025-01-21 09:25 KST,44.57,-1,-44.57,4135.77,4135.77,-324.48,-324.48
ETHUSDT,Short,"3,254.3 USDT",0,0.65 USDT,-1.20 USDT,-184.56 %,01/21/2025 00:25 UTC,01/21/2025 00:25 UTC,,,2025-01-21 00:25:00,2025-01-21 00:25:00,2025-01-21 09:25:00,2025-01-21 09:25:00,2025-01-21 09:25 KST,2025-01-21 09:25 KST,1.2,-1,-1.2,0.65,0.65,-325.68,-325.68
ETHUSDT,Long,"3,254 USDT",1.291,"4,201.89 USDT",-8.98 USDT,-0.21 %,01/21/2025 00:25 UTC,01/21/2025 00:26 UTC,,"-0.35 % 3,242 USDT",2025-01-21 00:25:00,2025-01-21 00:26:00,2025-01-21 09:25:00,2025-01-21 09:26:00,2025-01-21 09:25 KST,2025-01-21 09:26 KST,8.98,-1,-8.98,4201.89,4201.89,-334.66,-334.66
HYPEUSDT,Long,23.045 USDT,378.41,"8,720.46 USDT",-43.29 USDT,-0.50 %,01/21/2025 07:22 UTC,01/21/2025 23:04 UTC,9.24 % 25.17 USDT,-0.84 % 22.85 USDT,2025-01-21 07:22:00,2025-01-21 23:04:00,2025-01-21 16:22:00,2025-01-22 08:04:00,2025-01-21 16:22 KST,2025-01-22 08:04 KST,43.29,-1,-43.29,8720.46,8720.46,-377.95000000000005,-377.95000000000005
ETHUSDT,Long,"3,259.6 USDT",2.103,"6,853.63 USDT",90.06 USDT,1.31 %,01/21/2025 07:36 UTC,01/21/2025 11:33 UTC,"1.74 % 3,316 USDT","-0.79 % 3,234 USDT",2025-01-21 07:36:00,2025-01-21 11:33:00,2025-01-21 16:36:00,2025-01-21 20:33:00,2025-01-21 16:36 KST,2025-01-21 20:33 KST,90.06,1,90.06,6853.63,6853.63,-287.89000000000004,-287.89000000000004
AAVEUSDT,Long,356.18 USDT,12.28,"4,373.89 USDT",65.37 USDT,1.49 %,01/21/2025 10:00 UTC,01/21/2025 11:34 UTC,3.88 % 370.00 USDT,-1.76 % 349.91 USDT,2025-01-21 10:00:00,2025-01-21 11:34:00,2025-01-21 19:00:00,2025-01-21 20:34:00,2025-01-21 19:00 KST,2025-01-21 20:34 KST,65.37,1,65.37,4373.89,4373.89,-222.52000000000004,-222.52000000000004
DOGEUSDT,Long,0.379 USDT,"23,518","8,905.56 USDT",-67.45 USDT,-0.76 %,01/21/2025 11:31 UTC,01/21/2025 22:52 UTC,6.21 % 0.40 USDT,-3.79 % 0.36 USDT,2025-01-21 11:31:00,2025-01-21 22:52:00,2025-01-21 20:31:00,2025-01-22 07:52:00,2025-01-21 20:31 KST,2025-01-22 07:52 KST,67.45,-1,-67.45,8905.56,8905.56,-289.97,-289.97
ETHUSDT,Short,"3,304.4 USDT",0,0.33 USDT,-2.08 USDT,-630.81 %,01/21/2025 11:33 UTC,01/21/2025 11:33 UTC,,,2025-01-21 11:33:00,2025-01-21 11:33:00,2025-01-21 20:33:00,2025-01-21 20:33:00,2025-01-21 20:33 KST,2025-01-21 20:33 KST,2.08,-1,-2.08,0.33,0.33,-292.05,-292.05
AAVEUSDT,Short,361.71 USDT,0.01,3.62 USDT,-1.02 USDT,-28.19 %,01/21/2025 11:34 UTC,01/21/2025 11:34 UTC,,,2025-01-21 11:34:00,2025-01-21 11:34:00,2025-01-21 20:34:00,2025-01-21 20:34:00,2025-01-21 20:34 KST,2025-01-21 20:34 KST,1.02,-1,-1.02,3.62,3.62,-293.07,-293.07
ETHUSDT,Long,"3,305.7 USDT",1.848,"6,107.61 USDT",5.53 USDT,0.09 %,01/21/2025 11:51 UTC,01/21/2025 12:33 UTC,"0.70 % 3,329 USDT","-0.30 % 3,295 USDT",2025-01-21 11:51:00,2025-01-21 12:33:00,2025-01-21 20:51:00,2025-01-21 21:33:00,2025-01-21 20:51 KST,2025-01-21 21:33 KST,5.53,1,5.53,6107.61,6107.61,-287.54,-287.54
AAVEUSDT,Long,364.72 USDT,11.63,"4,241.69 USDT",3.07 USDT,0.07 %,01/21/2025 12:19 UTC,01/21/2025 13:03 UTC,2.00 % 372.00 USDT,-0.73 % 362.04 USDT,2025-01-21 12:19:00,2025-01-21 13:03:00,2025-01-21 21:19:00,2025-01-21 22:03:00,2025-01-21 21:19 KST,2025-01-21 22:03 KST,3.07,1,3.07,4241.69,4241.69,-284.47,-284.47
AAVEUSDT,Short,365.19 USDT,0.01,3.65 USDT,-0.30 USDT,-8.18 %,01/21/2025 13:03 UTC,01/21/2025 13:03 UTC,,,2025-01-21 13:03:00,2025-01-21 13:03:00,2025-01-21 22:03:00,2025-01-21 22:03:00,2025-01-21 22:03 KST,2025-01-21 22:03 KST,0.3,-1,-0.3,3.65,3.65,-284.77000000000004,-284.77000000000004
ETHUSDT,Long,"3,334.7 USDT",1.32,"4,401.80 USDT",-31.67 USDT,-0.72 %,01/21/2025 14:26 UTC,01/21/2025 14:33 UTC,"0.04 % 3,336 USDT","-0.82 % 3,307 USDT",2025-01-21 14:26:00,2025-01-21 14:33:00,2025-01-21 23:26:00,2025-01-21 23:33:00,2025-01-21 23:26 KST,2025-01-21 23:33 KST,31.67,-1,-31.67,4401.8,4401.8,-316.44000000000005,-316.44000000000005
BTCUSDT,Long,"103,860 USDT",0.128,"13,249.42 USDT",-23.27 USDT,-0.18 %,01/21/2025 14:44 UTC,01/21/2025 14:55 UTC,"0.52 % 104,400 USDT","-0.28 % 103,570 USDT",2025-01-21 14:44:00,2025-01-21 14:55:00,2025-01-21 23:44:00,2025-01-21 23:55:00,2025-01-21 23:44 KST,2025-01-21 23:55 KST,23.27,-1,-23.27,13249.42,13249.42,-339.71000000000004,-339.71000000000004
BTCUSDT,Short,"103,770 USDT",0.13,"13,540.95 USDT",-345.02 USDT,-2.55 %,01/21/2025 14:55 UTC,01/21/2025 16:22 UTC,"0.70 % 103,049 USDT","-2.34 % 106,260 USDT",2025-01-21 14:55:00,2025-01-21 16:22:00,2025-01-21 23:55:00,2025-01-22 01:22:00,2025-01-21 23:55 KST,2025-01-22 01:22 KST,345.02,-1,-345.02,13540.95,13540.95,-684.73,-684.73
BTCUSDT,Long,"103,200 USDT",0.822,"83,829.47 USDT","1,378 USDT",1.64 %,01/21/2025 16:22 UTC,01/23/2025 14:42 UTC,"1.87 % 105,126 USDT",,2025-01-21 16:22:00,2025-01-23 14:42:00,2025-01-22 01:22:00,2025-01-23 23:42:00,2025-01-22 01:22 KST,2025-01-23 23:42 KST,1378.0,1,1378.0,83829.47,83829.47,693.27,693.27
ETHUSDT,Long,"3,338 USDT",2.884,"9,627.13 USDT",10.53 USDT,0.11 %,01/21/2025 22:30 UTC,01/21/2025 22:59 UTC,"0.40 % 3,351 USDT","-0.22 % 3,330 USDT",2025-01-21 22:30:00,2025-01-21 22:59:00,2025-01-22 07:30:00,2025-01-22 07:59:00,2025-01-22 07:30 KST,2025-01-22 07:59 KST,10.53,1,10.53,9627.13,9627.13,703.8,703.8
ETHUSDT,Short,"3,341.4 USDT",0,0.33 USDT,-0.15 USDT,-44.05 %,01/21/2025 22:59 UTC,01/21/2025 22:59 UTC,,,2025-01-21 22:59:00,2025-01-21 22:59:00,2025-01-22 07:59:00,2025-01-22 07:59:00,2025-01-22 07:59 KST,2025-01-22 07:59 KST,0.15,-1,-0.15,0.33,0.33,703.65,703.65
HYPEUSDT,Long,23.531 USDT,388.97,"9,152.85 USDT",705.88 USDT,7.71 %,01/21/2025 23:54 UTC,01/22/2025 04:46 UTC,10.49 % 26.00 USDT,-2.26 % 23.00 USDT,2025-01-21 23:54:00,2025-01-22 04:46:00,2025-01-22 08:54:00,2025-01-22 13:46:00,2025-01-22 08:54 KST,2025-01-22 13:46 KST,705.88,1,705.88,9152.85,9152.85,1409.53,1409.53
VIRTUALUSDT,Long,2.742 USDT,"1,652.1","4,529.56 USDT",350.98 USDT,7.75 %,01/22/2025 00:45 UTC,01/22/2025 04:46 UTC,10.72 % 3.04 USDT,-0.37 % 2.73 USDT,2025-01-22 00:45:00,2025-01-22 04:46:00,2025-01-22 09:45:00,2025-01-22 13:46:00,2025-01-22 09:45 KST,2025-01-22 13:46 KST,350.98,1,350.98,4529.56,4529.56,1760.51,1760.51
