Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
FARTCOINUSDT,Long,0.277 USDT,"270,987.8","75,055.93 USDT","6,626 USDT",8.83 %,03/18/2025 20:58 UTC,03/19/2025 06:18 UTC,15.39 % 0.32 USDT,-0.60 % 0.28 USDT,2025-03-18 20:58:00,2025-03-19 06:18:00,2025-03-19 05:58:00,2025-03-19 15:18:00,2025-03-19 05:58 KST,2025-03-19 15:18 KST,6626.0,1,6626.0,75055.93,75055.93,6626.0,6626.0
BTCUSDT,Short,"83,895.4 USDT",27,"2,265,175.80 USDT",327.85 USDT,0.01 %,03/19/2025 13:41 UTC,03/19/2025 14:30 UTC,"0.07 % 83,840 USDT","-0.45 % 84,271 USDT",2025-03-19 13:41:00,2025-03-19 14:30:00,2025-03-19 22:41:00,2025-03-19 23:30:00,2025-03-19 22:41 KST,2025-03-19 23:30 KST,327.85,1,327.85,2265175.8,2265175.8,6953.85,6953.85
BTCUSDT,Short,"87,463.148 USDT",20,"1,749,262.96 USDT","2,011 USDT",0.12 %,03/24/2025 12:01 UTC,03/24/2025 12:01 UTC,,,2025-03-24 12:01:00,2025-03-24 12:01:00,2025-03-24 21:01:00,2025-03-24 21:01:00,2025-03-24 21:01 KST,2025-03-24 21:01 KST,2011.0,1,2011.0,1749262.96,1749262.96,8964.85,8964.85
BTCUSDT,Short,"87,408.7 USDT",27,"2,360,034.90 USDT","-1,935.48 USDT",-0.08 %,03/24/2025 12:05 UTC,03/24/2025 12:20 UTC,,"-0.20 % 87,580 USDT",2025-03-24 12:05:00,2025-03-24 12:20:00,2025-03-24 21:05:00,2025-03-24 21:20:00,2025-03-24 21:05 KST,2025-03-24 21:20 KST,1935.48,-1,-1935.48,2360034.9,2360034.9,7029.370000000001,7029.370000000001
BTCUSDT,Short,"85,153.218 USDT",20,"1,703,064.37 USDT","2,564 USDT",0.15 %,03/28/2025 12:30 UTC,03/28/2025 12:31 UTC,,,2025-03-28 12:30:00,2025-03-28 12:31:00,2025-03-28 21:30:00,2025-03-28 21:31:00,2025-03-28 21:30 KST,2025-03-28 21:31 KST,2564.0,1,2564.0,1703064.37,1703064.37,9593.37,9593.37
ACTUSDT,Long,0.096 USDT,"207,964","20,011.75 USDT","1,529 USDT",7.64 %,04/01/2025 10:52 UTC,04/01/2025 12:30 UTC,11.88 % 0.11 USDT,-12.95 % 0.08 USDT,2025-04-01 10:52:00,2025-04-01 12:30:00,2025-04-01 19:52:00,2025-04-01 21:30:00,2025-04-01 19:52 KST,2025-04-01 21:30 KST,1529.0,1,1529.0,20011.75,20011.75,11122.37,11122.37
ACTUSDT,Long,0.088 USDT,"227,122","19,986.33 USDT","-1,108.26 USDT",-5.55 %,04/01/2025 17:00 UTC,04/01/2025 19:56 UTC,4.99 % 0.09 USDT,-7.69 % 0.08 USDT,2025-04-01 17:00:00,2025-04-01 19:56:00,2025-04-02 02:00:00,2025-04-02 04:56:00,2025-04-02 02:00 KST,2025-04-02 04:56 KST,1108.26,-1,-1108.26,19986.33,19986.33,10014.11,10014.11
BTCUSDT,Long,"87,540.331 USDT",15,"1,313,104.97 USDT","8,741 USDT",0.67 %,04/02/2025 20:14 UTC,04/02/2025 20:15 UTC,"0.36 % 87,855 USDT","-0.29 % 87,287 USDT",2025-04-02 20:14:00,2025-04-02 20:15:00,2025-04-03 05:14:00,2025-04-03 05:15:00,2025-04-03 05:14 KST,2025-04-03 05:15 KST,8741.0,1,8741.0,1313104.97,1313104.97,18755.11,18755.11
BTCUSDT,Long,"87,485.578 USDT",15,"1,312,283.67 USDT","-23,409.25 USDT",-1.78 %,04/02/2025 20:26 UTC,04/02/2025 20:29 UTC,,"-2.61 % 85,200 USDT",2025-04-02 20:26:00,2025-04-02 20:29:00,2025-04-03 05:26:00,2025-04-03 05:29:00,2025-04-03 05:26 KST,2025-04-03 05:29 KST,23409.25,-1,-23409.25,1312283.67,1312283.67,-4654.139999999999,-4654.139999999999
XRPUSDT,Short,2.128 USDT,"470,353.2","-1,001,137.27 USDT","2,363 USDT",0.24 %,04/02/2025 20:27 UTC,04/02/2025 20:58 UTC,0.94 % 2.11 USDT,,2025-04-02 20:27:00,2025-04-02 20:58:00,2025-04-03 05:27:00,2025-04-03 05:58:00,2025-04-03 05:27 KST,2025-04-03 05:58 KST,2363.0,1,2363.0,-1001137.27,1001137.27,-2291.1399999999994,-2291.1399999999994
