Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
NEIROETHUSDT,Long,0.028 USDT,"727,604","20,021.57 USDT",-53.56 USDT,-0.27 %,02/25/2025 15:53 UTC,02/25/2025 17:06 UTC,3.21 % 0.03 USDT,-2.13 % 0.03 USDT,2025-02-25 15:53:00,2025-02-25 17:06:00,2025-02-26 00:53:00,2025-02-26 02:06:00,2025-02-26 00:53 KST,2025-02-26 02:06 KST,53.56,-1,-53.56,20021.57,20021.57,-53.56,-53.56
TRUMPUSDT,Long,13.129 USDT,380.83,"4,999.92 USDT",62.48 USDT,1.25 %,02/25/2025 16:02 UTC,02/25/2025 17:07 UTC,3.22 % 13.55 USDT,-0.09 % 13.12 USDT,2025-02-25 16:02:00,2025-02-25 17:07:00,2025-02-26 01:02:00,2025-02-26 02:07:00,2025-02-26 01:02 KST,2025-02-26 02:07 KST,62.48,1,62.48,4999.92,4999.92,8.919999999999995,8.919999999999995
CHILLGUYUSDT,Long,0.032 USDT,"1,567,398","50,156.74 USDT","-2,223.79 USDT",-4.43 %,02/25/2025 16:03 UTC,02/25/2025 17:06 UTC,0.63 % 0.03 USDT,-5.31 % 0.03 USDT,2025-02-25 16:03:00,2025-02-25 17:06:00,2025-02-26 01:03:00,2025-02-26 02:06:00,2025-02-26 01:03 KST,2025-02-26 02:06 KST,2223.79,-1,-2223.79,50156.74,50156.74,-2214.87,-2214.87
JUPUSDT,Long,0.692 USDT,"43,359","29,986.55 USDT",264.29 USDT,0.88 %,02/25/2025 16:06 UTC,02/25/2025 17:06 UTC,2.56 % 0.71 USDT,-1.20 % 0.68 USDT,2025-02-25 16:06:00,2025-02-25 17:06:00,2025-02-26 01:06:00,2025-02-26 02:06:00,2025-02-26 01:06 KST,2025-02-26 02:06 KST,264.29,1,264.29,29986.55,29986.55,-1950.58,-1950.58
GRIFFAINUSDT,Long,0.054 USDT,"549,450","29,675.79 USDT","2,240 USDT",7.55 %,02/25/2025 16:08 UTC,02/27/2025 08:28 UTC,24.48 % 0.07 USDT,-1.17 % 0.05 USDT,2025-02-25 16:08:00,2025-02-27 08:28:00,2025-02-26 01:08:00,2025-02-27 17:28:00,2025-02-26 01:08 KST,2025-02-27 17:28 KST,2240.0,1,2240.0,29675.79,29675.79,289.4200000000001,289.4200000000001
BNBUSDT,Long,608.725 USDT,825.42,"502,453.89 USDT","2,730 USDT",0.54 %,02/25/2025 16:13 UTC,02/25/2025 17:06 UTC,0.99 % 614.76 USDT,-0.73 % 604.30 USDT,2025-02-25 16:13:00,2025-02-25 17:06:00,2025-02-26 01:13:00,2025-02-26 02:06:00,2025-02-26 01:13 KST,2025-02-26 02:06 KST,2730.0,1,2730.0,502453.89,502453.89,3019.42,3019.42
SWARMSUSDT,Long,0.061 USDT,"360,360","21,909.89 USDT","-1,201.98 USDT",-5.49 %,02/25/2025 16:14 UTC,02/25/2025 16:54 UTC,0.49 % 0.06 USDT,-7.07 % 0.06 USDT,2025-02-25 16:14:00,2025-02-25 16:54:00,2025-02-26 01:14:00,2025-02-26 01:54:00,2025-02-26 01:14 KST,2025-02-26 01:54 KST,1201.98,-1,-1201.98,21909.89,21909.89,1817.44,1817.44
AAVEUSDT,Long,195.648 USDT,515.2,"100,797.79 USDT",857.39 USDT,0.85 %,02/25/2025 16:15 UTC,02/25/2025 17:06 UTC,2.26 % 200.07 USDT,-0.75 % 194.18 USDT,2025-02-25 16:15:00,2025-02-25 17:06:00,2025-02-26 01:15:00,2025-02-26 02:06:00,2025-02-26 01:15 KST,2025-02-26 02:06 KST,857.39,1,857.39,100797.79,100797.79,2674.83,2674.83
BNXUSDT,Long,1.118 USDT,"46,633","52,140.36 USDT",-115.20 USDT,-0.22 %,02/25/2025 16:16 UTC,02/25/2025 17:06 UTC,0.93 % 1.13 USDT,-2.95 % 1.09 USDT,2025-02-25 16:16:00,2025-02-25 17:06:00,2025-02-26 01:16:00,2025-02-26 02:06:00,2025-02-26 01:16 KST,2025-02-26 02:06 KST,115.2,-1,-115.2,52140.36,52140.36,2559.63,2559.63
TSTUSDT,Long,0.085 USDT,"608,272","51,459.81 USDT",-578.16 USDT,-1.12 %,02/25/2025 16:16 UTC,02/25/2025 17:07 UTC,1.30 % 0.09 USDT,-3.07 % 0.08 USDT,2025-02-25 16:16:00,2025-02-25 17:07:00,2025-02-26 01:16:00,2025-02-26 02:07:00,2025-02-26 01:16 KST,2025-02-26 02:07 KST,578.16,-1,-578.16,51459.81,51459.81,1981.4700000000003,1981.4700000000003
PIPPINUSDT,Long,0.027 USDT,"1,163,692","31,419.68 USDT",178.92 USDT,0.57 %,02/25/2025 16:17 UTC,02/25/2025 17:06 UTC,2.59 % 0.03 USDT,-1.67 % 0.03 USDT,2025-02-25 16:17:00,2025-02-25 17:06:00,2025-02-26 01:17:00,2025-02-26 02:06:00,2025-02-26 01:17 KST,2025-02-26 02:06 KST,178.92,1,178.92,31419.68,31419.68,2160.3900000000003,2160.3900000000003
MASKUSDT,Long,2.27 USDT,"44,604","101,267.56 USDT",444.47 USDT,0.44 %,02/25/2025 16:20 UTC,02/26/2025 11:34 UTC,2.45 % 2.33 USDT,-3.72 % 2.19 USDT,2025-02-25 16:20:00,2025-02-26 11:34:00,2025-02-26 01:20:00,2025-02-26 20:34:00,2025-02-26 01:20 KST,2025-02-26 20:34 KST,444.47,1,444.47,101267.56,101267.56,2604.8600000000006,2604.8600000000006
BTCUSDT,Long,"86,649.688 USDT",5.765,"499,535.45 USDT","4,139 USDT",0.83 %,02/25/2025 16:38 UTC,02/25/2025 17:05 UTC,"1.26 % 87,745 USDT",,2025-02-25 16:38:00,2025-02-25 17:05:00,2025-02-26 01:38:00,2025-02-26 02:05:00,2025-02-26 01:38 KST,2025-02-26 02:05 KST,4139.0,1,4139.0,499535.45,499535.45,6743.860000000001,6743.860000000001
SWARMSUSDT,Long,0.057 USDT,"1,142,073","65,139.38 USDT","4,764 USDT",7.31 %,02/25/2025 16:57 UTC,02/27/2025 08:30 UTC,18.52 % 0.07 USDT,-2.87 % 0.06 USDT,2025-02-25 16:57:00,2025-02-27 08:30:00,2025-02-26 01:57:00,2025-02-27 17:30:00,2025-02-26 01:57 KST,2025-02-27 17:30 KST,4764.0,1,4764.0,65139.38,65139.38,11507.86,11507.86
