Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BTCUSDT,Long,"29,379.347 USDT",70.292,"2,065,133.08 USDT","7,541 USDT",0.37 %,05/05/2023 14:38 UTC,05/06/2023 02:04 UTC,,,2023-05-05 14:38:00,2023-05-06 02:04:00,2023-05-05 23:38:00,2023-05-06 11:04:00,2023-05-05 23:38 KST,2023-05-06 11:04 KST,7541.0,1,7541.0,2065133.08,2065133.08,7541.0,7541.0
BTCUSDT,Long,"29,035.871 USDT",78.642,"2,283,438.97 USDT","-17,311.60 USDT",-0.76 %,05/07/2023 01:24 UTC,05/07/2023 02:53 UTC,,,2023-05-07 01:24:00,2023-05-07 02:53:00,2023-05-07 10:24:00,2023-05-07 11:53:00,2023-05-07 10:24 KST,2023-05-07 11:53 KST,17311.6,-1,-17311.6,2283438.97,2283438.97,-9770.599999999999,-9770.599999999999
BTCUSDT,Short,"28,810.666 USDT",60.48,"-1,742,469.10 USDT","-14,714.04 USDT",-0.84 %,05/07/2023 02:53 UTC,05/07/2023 14:50 UTC,,,2023-05-07 02:53:00,2023-05-07 14:50:00,2023-05-07 11:53:00,2023-05-07 23:50:00,2023-05-07 11:53 KST,2023-05-07 23:50 KST,14714.04,-1,-14714.04,-1742469.1,1742469.1,-24484.64,-24484.64
BTCUSDT,Long,"29,035.242 USDT",45.162,"1,311,289.59 USDT","-2,883.55 USDT",-0.22 %,05/07/2023 14:50 UTC,05/07/2023 15:03 UTC,,,2023-05-07 14:50:00,2023-05-07 15:03:00,2023-05-07 23:50:00,2023-05-08 00:03:00,2023-05-07 23:50 KST,2023-05-08 00:03 KST,2883.55,-1,-2883.55,1311289.59,1311289.59,-27368.19,-27368.19
BTCUSDT,Short,"28,978.679 USDT",41.681,"-1,207,860.33 USDT","40,121 USDT",3.32 %,05/07/2023 15:03 UTC,05/10/2023 12:32 UTC,,,2023-05-07 15:03:00,2023-05-10 12:32:00,2023-05-08 00:03:00,2023-05-10 21:32:00,2023-05-08 00:03 KST,2023-05-10 21:32 KST,40121.0,1,40121.0,-1207860.33,1207860.33,12752.810000000001,12752.810000000001
ETHUSDT,Short,"1,908.432 USDT",175.621,"-335,160.66 USDT","5,935 USDT",1.77 %,05/07/2023 23:13 UTC,05/10/2023 12:32 UTC,,,2023-05-07 23:13:00,2023-05-10 12:32:00,2023-05-08 08:13:00,2023-05-10 21:32:00,2023-05-08 08:13 KST,2023-05-10 21:32 KST,5935.0,1,5935.0,-335160.66,335160.66,18687.81,18687.81
ETHBUSD,Short,"1,880.383 USDT",163.292,"-307,051.42 USDT","1,126 USDT",0.37 %,05/08/2023 00:15 UTC,05/10/2023 12:32 UTC,,,2023-05-08 00:15:00,2023-05-10 12:32:00,2023-05-08 09:15:00,2023-05-10 21:32:00,2023-05-08 09:15 KST,2023-05-10 21:32 KST,1126.0,1,1126.0,-307051.42,307051.42,19813.81,19813.81
BTCUSDT,Short,"28,009.006 USDT",92.299,"2,585,203.29 USDT","-26,100.19 USDT",-1.01 %,05/10/2023 12:48 UTC,05/10/2023 16:19 UTC,,,2023-05-10 12:48:00,2023-05-10 16:19:00,2023-05-10 21:48:00,2023-05-11 01:19:00,2023-05-10 21:48 KST,2023-05-11 01:19 KST,26100.19,-1,-26100.19,2585203.29,2585203.29,-6286.379999999997,-6286.379999999997
BTCUSDT,Long,"27,536.912 USDT",66.958,"1,843,816.58 USDT","-7,820.99 USDT",-0.42 %,05/10/2023 22:32 UTC,05/11/2023 04:20 UTC,,,2023-05-10 22:32:00,2023-05-11 04:20:00,2023-05-11 07:32:00,2023-05-11 13:20:00,2023-05-11 07:32 KST,2023-05-11 13:20 KST,7820.99,-1,-7820.99,1843816.58,1843816.58,-14107.369999999997,-14107.369999999997
1000PEPEUSDT,Long,0.002 USDT,"55,219,472","106,489.57 USDT","-7,364.94 USDT",-6.92 %,05/10/2023 22:49 UTC,05/11/2023 04:03 UTC,,,2023-05-10 22:49:00,2023-05-11 04:03:00,2023-05-11 07:49:00,2023-05-11 13:03:00,2023-05-11 07:49 KST,2023-05-11 13:03 KST,7364.94,-1,-7364.94,106489.57,106489.57,-21472.309999999998,-21472.309999999998
