Symbol,PnL_Numeric,Size_USDT_Abs,pnl_percent,ROI(%),liquidity_status
PNUTUSDT,-69516.1,347842.52,-19.98,-19.98493456176663,low
SANDUSDT,-39508.43,340514.96,-11.6,-11.60255337973991,low
FTMUSDT,-41576.350000000006,588075.34,-4.905,-7.069901961881279,low
GLMUSDT,-6017.18,100244.27,-6.0,-6.002517650136013,low
MEWUSDT,-16818.57,290201.7,-5.8,-5.795476043041788,low
EIGENUSDT,-55821.6,1472152.92,-2.7733333333333334,-3.79183434286161,low
NEIROUSDT,-111034.81999999999,4188135.85,-2.034,-2.651175223936444,low
1000PEPEUSDT,-21407.58,1646983.12,1.3,-1.2998056713538144,low
ORDIUSDT,-11149.019999999999,912048.97,-1.04,-1.2224146253901256,low
XLMUSDT,-4957.549999999999,1521578.75,-0.21999999999999997,-0.3258161958426404,low
