Symbol,PnL_Numeric,Size_USDT_Abs,pnl_percent,ROI(%),liquidity_status
KAIAUSDT,32333.0,78132.88,41.38,41.38206603929101,low
WLDUSDT,66654.0,804664.6299999999,9.0,8.283450957698987,low
USUALUSDT,184234.7,2478088.85,5.93,7.434547796782994,low
MOODENGUSDT,27282.47,453455.56,4.11,6.016569738388477,low
LUNA2USDT,23333.5,409392.83999999997,4.97,5.699537881512535,low
TONUSDT,89447.34,4332406.97,1.4142857142857141,2.0646107491605297,low
BNBUSDT,157034.19,8061783.38,1.5812500000000003,1.9478840176923733,low
SUIUSDT,136130.75,7383505.9,4.426,1.8437142442047754,low
TRXUSDT,20380.61,1571799.13,1.1633333333333333,1.2966421479060115,low
INJUSDT,27243.820000000003,3989497.39,0.07499999999999989,0.6828885279706877,low
