Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
ETHUSDT,Long,"2,623.283 USDT",556.902,"1,460,911.35 USDT","370,418 USDT",25.36 %,11/08/2024 08:48 UTC,11/12/2024 00:43 UTC,"29.31 % 3,392 USDT",,2024-11-08 08:48:00,2024-11-12 00:43:00,2024-11-08 17:48:00,2024-11-12 09:43:00,2024-11-08 17:48 KST,2024-11-12 09:43 KST,370418.0,1,370418.0,1460911.35,1460911.35,370418.0,370418.0
TONUSDT,Long,5.594 USDT,"80,150.6","448,384.45 USDT","-28,743.96 USDT",-6.41 %,11/12/2024 08:15 UTC,11/15/2024 08:20 UTC,2.46 % 5.73 USDT,-9.16 % 5.08 USDT,2024-11-12 08:15:00,2024-11-15 08:20:00,2024-11-12 17:15:00,2024-11-15 17:20:00,2024-11-12 17:15 KST,2024-11-15 17:20 KST,28743.96,-1,-28743.96,448384.45,448384.45,341674.04,341674.04
XRPUSDT,Long,0.683 USDT,"1,854,949.2","1,255,119.03 USDT","310,636 USDT",24.75 %,11/12/2024 08:18 UTC,11/16/2024 06:21 UTC,44.31 % 0.99 USDT,-11.20 % 0.61 USDT,2024-11-12 08:18:00,2024-11-16 06:21:00,2024-11-12 17:18:00,2024-11-16 15:21:00,2024-11-12 17:18 KST,2024-11-16 15:21 KST,310636.0,1,310636.0,1255119.03,1255119.03,652310.04,652310.04
SUIUSDT,Long,3.256 USDT,"300,000","976,702.62 USDT","9,338 USDT",0.96 %,11/13/2024 15:16 UTC,11/14/2024 14:48 UTC,8.47 % 3.53 USDT,-2.79 % 3.16 USDT,2024-11-13 15:16:00,2024-11-14 14:48:00,2024-11-14 00:16:00,2024-11-14 23:48:00,2024-11-14 00:16 KST,2024-11-14 23:48 KST,9338.0,1,9338.0,976702.62,976702.62,661648.04,661648.04
ENAUSDT,Long,0.625 USDT,"1,000,000","624,578.22 USDT","-82,028.46 USDT",-13.13 %,11/13/2024 15:17 UTC,11/14/2024 14:44 UTC,0.87 % 0.63 USDT,-14.10 % 0.54 USDT,2024-11-13 15:17:00,2024-11-14 14:44:00,2024-11-14 00:17:00,2024-11-14 23:44:00,2024-11-14 00:17 KST,2024-11-14 23:44 KST,82028.46,-1,-82028.46,624578.22,624578.22,579619.5800000001,579619.5800000001
BTCUSDT,Long,"91,585.646 USDT",8,"732,685.17 USDT","-14,753.28 USDT",-2.01 %,11/13/2024 15:19 UTC,11/14/2024 14:44 UTC,"2.00 % 93,421 USDT","-3.91 % 88,005 USDT",2024-11-13 15:19:00,2024-11-14 14:44:00,2024-11-14 00:19:00,2024-11-14 23:44:00,2024-11-14 00:19 KST,2024-11-14 23:44 KST,14753.28,-1,-14753.28,732685.17,732685.17,564866.3,564866.3
WIFUSDT,Short,3.9 USDT,"108,645.7","-423,732.35 USDT","39,836 USDT",9.40 %,11/14/2024 14:44 UTC,11/15/2024 05:30 UTC,13.11 % 3.45 USDT,-4.93 % 4.10 USDT,2024-11-14 14:44:00,2024-11-15 05:30:00,2024-11-14 23:44:00,2024-11-15 14:30:00,2024-11-14 23:44 KST,2024-11-15 14:30 KST,39836.0,1,39836.0,-423732.35,423732.35,604702.3,604702.3
NEIROUSDT,Short,0.002 USDT,"202,550,793","470,906.16 USDT","38,720 USDT",8.22 %,11/14/2024 14:46 UTC,11/15/2024 03:37 UTC,17.51 % 0.00 USDT,-0.15 % 0.00 USDT,2024-11-14 14:46:00,2024-11-15 03:37:00,2024-11-14 23:46:00,2024-11-15 12:37:00,2024-11-14 23:46 KST,2024-11-15 12:37 KST,38720.0,1,38720.0,470906.16,470906.16,643422.3,643422.3
EIGENUSDT,Short,2.489 USDT,"130,870.8","-325,747.44 USDT","10,836 USDT",3.33 %,11/14/2024 15:03 UTC,11/15/2024 03:46 UTC,6.13 % 2.35 USDT,-2.79 % 2.56 USDT,2024-11-14 15:03:00,2024-11-15 03:46:00,2024-11-15 00:03:00,2024-11-15 12:46:00,2024-11-15 00:03 KST,2024-11-15 12:46 KST,10836.0,1,10836.0,-325747.44,325747.44,654258.3,654258.3
DOGEUSDT,Short,0.383 USDT,"2,200,000","-841,740.43 USDT","23,104 USDT",2.74 %,11/14/2024 22:10 UTC,11/15/2024 03:45 UTC,7.52 % 0.36 USDT,-0.57 % 0.38 USDT,2024-11-14 22:10:00,2024-11-15 03:45:00,2024-11-15 07:10:00,2024-11-15 12:45:00,2024-11-15 07:10 KST,2024-11-15 12:45 KST,23104.0,1,23104.0,-841740.43,841740.43,677362.3,677362.3
1000PEPEUSDT,Short,0.021 USDT,"17,058,175","350,092.33 USDT","19,949 USDT",5.70 %,11/15/2024 04:30 UTC,11/15/2024 05:29 UTC,8.58 % 0.02 USDT,,2024-11-15 04:30:00,2024-11-15 05:29:00,2024-11-15 13:30:00,2024-11-15 14:29:00,2024-11-15 13:30 KST,2024-11-15 14:29 KST,19949.0,1,19949.0,350092.33,350092.33,697311.3,697311.3
DOGEUSDT,Short,0.366 USDT,"1,897,488","-693,923.94 USDT","-10,058.83 USDT",-1.45 %,11/15/2024 04:31 UTC,11/18/2024 04:26 UTC,6.80 % 0.34 USDT,-6.35 % 0.39 USDT,2024-11-15 04:31:00,2024-11-18 04:26:00,2024-11-15 13:31:00,2024-11-18 13:26:00,2024-11-15 13:31 KST,2024-11-18 13:26 KST,10058.83,-1,-10058.83,-693923.94,693923.94,687252.4700000001,687252.4700000001
SOLUSDT,Long,211.089 USDT,"8,500","1,794,252.30 USDT","251,565 USDT",14.02 %,11/15/2024 08:34 UTC,11/18/2024 11:05 UTC,17.70 % 248.46 USDT,-2.06 % 206.75 USDT,2024-11-15 08:34:00,2024-11-18 11:05:00,2024-11-15 17:34:00,2024-11-18 20:05:00,2024-11-15 17:34 KST,2024-11-18 20:05 KST,251565.0,1,251565.0,1794252.3,1794252.3,938817.4700000001,938817.4700000001
NEIROUSDT,Long,0.002 USDT,"137,903,700","298,616.54 USDT","-10,256.77 USDT",-3.43 %,11/15/2024 09:04 UTC,11/15/2024 17:53 UTC,6.08 % 0.00 USDT,-6.47 % 0.00 USDT,2024-11-15 09:04:00,2024-11-15 17:53:00,2024-11-15 18:04:00,2024-11-16 02:53:00,2024-11-15 18:04 KST,2024-11-16 02:53 KST,10256.77,-1,-10256.77,298616.54,298616.54,928560.7000000001,928560.7000000001
BTCUSDT,Long,"93,674.02 USDT",39,"3,571,444.88 USDT","84,393 USDT",2.36 %,11/16/2024 05:19 UTC,11/21/2024 17:00 UTC,"5.09 % 98,438 USDT","-5.27 % 88,736 USDT",2024-11-16 05:19:00,2024-11-21 17:00:00,2024-11-16 14:19:00,2024-11-22 02:00:00,2024-11-16 14:19 KST,2024-11-22 02:00 KST,84393.0,1,84393.0,3571444.88,3571444.88,1012953.7000000001,1012953.7000000001
TONUSDT,Long,5.622 USDT,"113,177","640,294.42 USDT","-14,263.70 USDT",-2.23 %,11/17/2024 07:33 UTC,11/18/2024 10:47 UTC,0.76 % 5.66 USDT,-5.92 % 5.29 USDT,2024-11-17 07:33:00,2024-11-18 10:47:00,2024-11-17 16:33:00,2024-11-18 19:47:00,2024-11-17 16:33 KST,2024-11-18 19:47 KST,14263.7,-1,-14263.7,640294.42,640294.42,998690.0000000001,998690.0000000001
BNBUSDT,Long,638.959 USDT,"1,700","1,099,842.90 USDT","-31,952.37 USDT",-2.91 %,11/17/2024 07:34 UTC,11/18/2024 10:47 UTC,1.46 % 648.30 USDT,-4.32 % 611.33 USDT,2024-11-17 07:34:00,2024-11-18 10:47:00,2024-11-17 16:34:00,2024-11-18 19:47:00,2024-11-17 16:34 KST,2024-11-18 19:47 KST,31952.37,-1,-31952.37,1099842.9,1099842.9,966737.6300000001,966737.6300000001
ORDIUSDT,Long,39.932 USDT,"15,000","598,974.55 USDT","-9,711.13 USDT",-1.62 %,11/18/2024 04:28 UTC,11/18/2024 11:05 UTC,5.18 % 42.00 USDT,-2.96 % 38.75 USDT,2024-11-18 04:28:00,2024-11-18 11:05:00,2024-11-18 13:28:00,2024-11-18 20:05:00,2024-11-18 13:28 KST,2024-11-18 20:05 KST,9711.13,-1,-9711.13,598974.55,598974.55,957026.5000000001,957026.5000000001
INJUSDT,Long,25.611 USDT,"16,000","409,773.53 USDT","-9,100.33 USDT",-2.22 %,11/18/2024 04:28 UTC,11/18/2024 12:09 UTC,1.54 % 26.00 USDT,-4.02 % 24.58 USDT,2024-11-18 04:28:00,2024-11-18 12:09:00,2024-11-18 13:28:00,2024-11-18 21:09:00,2024-11-18 13:28 KST,2024-11-18 21:09 KST,9100.33,-1,-9100.33,409773.53,409773.53,947926.1700000002,947926.1700000002
WIFUSDT,Short,3.637 USDT,"160,000","-581,972.23 USDT","38,057 USDT",6.54 %,11/18/2024 10:49 UTC,11/20/2024 04:09 UTC,13.30 % 3.21 USDT,-1.60 % 3.70 USDT,2024-11-18 10:49:00,2024-11-20 04:09:00,2024-11-18 19:49:00,2024-11-20 13:09:00,2024-11-18 19:49 KST,2024-11-20 13:09 KST,38057.0,1,38057.0,-581972.23,581972.23,985983.1700000002,985983.1700000002
NEIROUSDT,Short,0.002 USDT,"141,867,113","-301,135.57 USDT",-753.58 USDT,-0.25 %,11/18/2024 10:50 UTC,11/18/2024 18:17 UTC,4.96 % 0.00 USDT,-2.36 % 0.00 USDT,2024-11-18 10:50:00,2024-11-18 18:17:00,2024-11-18 19:50:00,2024-11-19 03:17:00,2024-11-18 19:50 KST,2024-11-19 03:17 KST,753.58,-1,-753.58,-301135.57,301135.57,985229.5900000002,985229.5900000002
EIGENUSDT,Short,2.391 USDT,"303,993.3","-726,986.90 USDT","-42,043.63 USDT",-5.78 %,11/18/2024 10:51 UTC,11/18/2024 18:18 UTC,4.76 % 2.28 USDT,-6.96 % 2.57 USDT,2024-11-18 10:51:00,2024-11-18 18:18:00,2024-11-18 19:51:00,2024-11-19 03:18:00,2024-11-18 19:51 KST,2024-11-19 03:18 KST,42043.63,-1,-42043.63,-726986.9,726986.9,943185.9600000002,943185.9600000002
MOODENGUSDT,Short,0.582 USDT,"472,816","-275,057.01 USDT","35,901 USDT",13.05 %,11/18/2024 10:51 UTC,11/20/2024 04:24 UTC,24.77 % 0.47 USDT,-4.68 % 0.61 USDT,2024-11-18 10:51:00,2024-11-20 04:24:00,2024-11-18 19:51:00,2024-11-20 13:24:00,2024-11-18 19:51 KST,2024-11-20 13:24 KST,35901.0,1,35901.0,-275057.01,275057.01,979086.9600000002,979086.9600000002
SUIUSDT,Short,3.709 USDT,"150,000","556,275.44 USDT","-2,352.39 USDT",-0.42 %,11/18/2024 11:07 UTC,11/18/2024 15:44 UTC,2.51 % 3.62 USDT,-1.83 % 3.78 USDT,2024-11-18 11:07:00,2024-11-18 15:44:00,2024-11-18 20:07:00,2024-11-19 00:44:00,2024-11-18 20:07 KST,2024-11-19 00:44 KST,2352.39,-1,-2352.39,556275.44,556275.44,976734.5700000002,976734.5700000002
INJUSDT,Long,25.725 USDT,"15,000","385,872.80 USDT","-20,040.62 USDT",-5.19 %,11/18/2024 15:46 UTC,11/20/2024 17:16 UTC,2.02 % 26.24 USDT,-9.27 % 23.34 USDT,2024-11-18 15:46:00,2024-11-20 17:16:00,2024-11-19 00:46:00,2024-11-21 02:16:00,2024-11-19 00:46 KST,2024-11-21 02:16 KST,20040.62,-1,-20040.62,385872.8,385872.8,956693.9500000002,956693.9500000002
ORDIUSDT,Long,39.134 USDT,"8,000","313,074.42 USDT","-1,437.89 USDT",-0.46 %,11/18/2024 15:46 UTC,11/18/2024 18:17 UTC,0.62 % 39.38 USDT,-1.62 % 38.50 USDT,2024-11-18 15:46:00,2024-11-18 18:17:00,2024-11-19 00:46:00,2024-11-19 03:17:00,2024-11-19 00:46 KST,2024-11-19 03:17 KST,1437.89,-1,-1437.89,313074.42,313074.42,955256.0600000002,955256.0600000002
NEIROUSDT,Short,0.002 USDT,"190,964,794","-390,834.08 USDT","-2,098.97 USDT",-0.54 %,11/19/2024 07:48 UTC,11/20/2024 04:09 UTC,4.28 % 0.00 USDT,-4.00 % 0.00 USDT,2024-11-19 07:48:00,2024-11-20 04:09:00,2024-11-19 16:48:00,2024-11-20 13:09:00,2024-11-19 16:48 KST,2024-11-20 13:09 KST,2098.97,-1,-2098.97,-390834.08,390834.08,953157.0900000002,953157.0900000002
SUIUSDT,Short,3.579 USDT,"233,288","-834,934.12 USDT","1,701 USDT",0.20 %,11/20/2024 17:21 UTC,11/23/2024 05:08 UTC,5.03 % 3.41 USDT,-2.68 % 3.68 USDT,2024-11-20 17:21:00,2024-11-23 05:08:00,2024-11-21 02:21:00,2024-11-23 14:08:00,2024-11-21 02:21 KST,2024-11-23 14:08 KST,1701.0,1,1701.0,-834934.12,834934.12,954858.0900000002,954858.0900000002
GOATUSDT,Short,0.952 USDT,"200,000","190,438.52 USDT",203.93 USDT,0.11 %,11/20/2024 17:22 UTC,11/20/2024 17:27 UTC,,,2024-11-20 17:22:00,2024-11-20 17:27:00,2024-11-21 02:22:00,2024-11-21 02:27:00,2024-11-21 02:22 KST,2024-11-21 02:27 KST,203.93,1,203.93,190438.52,190438.52,955062.0200000003,955062.0200000003
SOLUSDT,Short,233.195 USDT,"5,000","1,165,975.07 USDT","-30,994.32 USDT",-2.66 %,11/20/2024 17:25 UTC,11/21/2024 04:39 UTC,1.37 % 230.05 USDT,-3.20 % 240.90 USDT,2024-11-20 17:25:00,2024-11-21 04:39:00,2024-11-21 02:25:00,2024-11-21 13:39:00,2024-11-21 02:25 KST,2024-11-21 13:39 KST,30994.32,-1,-30994.32,1165975.07,1165975.07,924067.7000000003,924067.7000000003
GOATUSDT,Long,0.963 USDT,"150,000","144,446.60 USDT","12,556 USDT",8.69 %,11/21/2024 04:50 UTC,11/21/2024 16:57 UTC,18.99 % 1.15 USDT,-2.70 % 0.94 USDT,2024-11-21 04:50:00,2024-11-21 16:57:00,2024-11-21 13:50:00,2024-11-22 01:57:00,2024-11-21 13:50 KST,2024-11-22 01:57 KST,12556.0,1,12556.0,144446.6,144446.6,936623.7000000003,936623.7000000003
ETHUSDT,Long,"3,189.857 USDT",400,"1,275,942.77 USDT","63,396 USDT",4.97 %,11/21/2024 12:08 UTC,11/22/2024 07:46 UTC,"5.80 % 3,374 USDT","-0.04 % 3,188 USDT",2024-11-21 12:08:00,2024-11-22 07:46:00,2024-11-21 21:08:00,2024-11-22 16:46:00,2024-11-21 21:08 KST,2024-11-22 16:46 KST,63396.0,1,63396.0,1275942.77,1275942.77,1000019.7000000003,1000019.7000000003
SOLUSDT,Long,242.329 USDT,"4,000","969,315.12 USDT","51,487 USDT",5.31 %,11/21/2024 12:08 UTC,11/21/2024 17:00 UTC,5.47 % 255.58 USDT,-0.31 % 241.57 USDT,2024-11-21 12:08:00,2024-11-21 17:00:00,2024-11-21 21:08:00,2024-11-22 02:00:00,2024-11-21 21:08 KST,2024-11-22 02:00 KST,51487.0,1,51487.0,969315.12,969315.12,1051506.7000000002,1051506.7000000002
SOLUSDT,Short,254.907 USDT,"8,000","-2,039,254.73 USDT","60,379 USDT",2.96 %,11/21/2024 17:04 UTC,11/24/2024 12:45 UTC,4.78 % 243.28 USDT,-1.81 % 259.60 USDT,2024-11-21 17:04:00,2024-11-24 12:45:00,2024-11-22 02:04:00,2024-11-24 21:45:00,2024-11-22 02:04 KST,2024-11-24 21:45 KST,60379.0,1,60379.0,-2039254.73,2039254.73,1111885.7000000002,1111885.7000000002
BNBUSDT,Long,642.313 USDT,"2,300","1,477,319.50 USDT","42,921 USDT",2.91 %,11/22/2024 02:53 UTC,11/23/2024 16:25 UTC,6.09 % 681.45 USDT,-4.12 % 615.85 USDT,2024-11-22 02:53:00,2024-11-23 16:25:00,2024-11-22 11:53:00,2024-11-24 01:25:00,2024-11-22 11:53 KST,2024-11-24 01:25 KST,42921.0,1,42921.0,1477319.5,1477319.5,1154806.7000000002,1154806.7000000002
MOODENGUSDT,Short,0.392 USDT,"455,102","-178,398.55 USDT","-8,618.53 USDT",-4.83 %,11/22/2024 13:29 UTC,11/23/2024 05:08 UTC,9.14 % 0.36 USDT,-5.19 % 0.41 USDT,2024-11-22 13:29:00,2024-11-23 05:08:00,2024-11-22 22:29:00,2024-11-23 14:08:00,2024-11-22 22:29 KST,2024-11-23 14:08 KST,8618.53,-1,-8618.53,-178398.55,178398.55,1146188.1700000002,1146188.1700000002
