Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
DYDXUSDT,Long,3.023 USDT,"83,226.4","251,603.92 USDT","25,531 USDT",10.15 %,11/21/2023 17:47 UTC,11/27/2023 05:41 UTC,23.51 % 3.73 USDT,,2023-11-21 17:47:00,2023-11-27 05:41:00,2023-11-22 02:47:00,2023-11-27 14:41:00,2023-11-22 02:47 KST,2023-11-27 14:41 KST,25531.0,1,25531.0,251603.92,251603.92,25531.0,25531.0
SNXUSDT,Long,3.262 USDT,"31,526.7","102,846.29 USDT","5,892 USDT",5.73 %,11/21/2023 18:29 UTC,11/26/2023 20:20 UTC,15.93 % 3.78 USDT,,2023-11-21 18:29:00,2023-11-26 20:20:00,2023-11-22 03:29:00,2023-11-27 05:20:00,2023-11-22 03:29 KST,2023-11-27 05:20 KST,5892.0,1,5892.0,102846.29,102846.29,31423.0,31423.0
SEIUSDT,Long,0.189 USDT,"264,089","50,029.87 USDT","10,941 USDT",21.87 %,11/23/2023 16:11 UTC,11/25/2023 07:53 UTC,36.72 % 0.26 USDT,,2023-11-23 16:11:00,2023-11-25 07:53:00,2023-11-24 01:11:00,2023-11-25 16:53:00,2023-11-24 01:11 KST,2023-11-25 16:53 KST,10941.0,1,10941.0,50029.87,50029.87,42364.0,42364.0
MAVUSDT,Long,0.287 USDT,"175,229","50,264.80 USDT","6,872 USDT",13.67 %,11/23/2023 17:33 UTC,11/25/2023 07:36 UTC,18.39 % 0.34 USDT,,2023-11-23 17:33:00,2023-11-25 07:36:00,2023-11-24 02:33:00,2023-11-25 16:36:00,2023-11-24 02:33 KST,2023-11-25 16:36 KST,6872.0,1,6872.0,50264.8,50264.8,49236.0,49236.0
SUIUSDT,Long,0.59 USDT,"84,860.8","50,046.62 USDT","5,145 USDT",10.28 %,11/23/2023 19:19 UTC,11/25/2023 08:46 UTC,16.78 % 0.69 USDT,,2023-11-23 19:19:00,2023-11-25 08:46:00,2023-11-24 04:19:00,2023-11-25 17:46:00,2023-11-24 04:19 KST,2023-11-25 17:46 KST,5145.0,1,5145.0,50046.62,50046.62,54381.0,54381.0
LDOUSDT,Long,2.543 USDT,"39,529","100,526.98 USDT","-1,392.14 USDT",-1.38 %,11/24/2023 20:03 UTC,11/25/2023 08:16 UTC,,-2.83 % 2.47 USDT,2023-11-24 20:03:00,2023-11-25 08:16:00,2023-11-25 05:03:00,2023-11-25 17:16:00,2023-11-25 05:03 KST,2023-11-25 17:16 KST,1392.14,-1,-1392.14,100526.98,100526.98,52988.86,52988.86
ETHBTC,Long,0.055 USDT,25.74,1.42 USDT,-0.01 USDT,-0.57 %,11/24/2023 21:42 UTC,11/24/2023 22:16 UTC,0.04 % 0.06 USDT,-0.83 % 0.05 USDT,2023-11-24 21:42:00,2023-11-24 22:16:00,2023-11-25 06:42:00,2023-11-25 07:16:00,2023-11-25 06:42 KST,2023-11-25 07:16 KST,0.01,-1,-0.01,1.42,1.42,52988.85,52988.85
TIAUSDT,Long,5.673 USDT,"14,107","80,032.80 USDT","-2,639.66 USDT",-3.30 %,11/25/2023 06:32 UTC,11/25/2023 11:40 UTC,1.98 % 5.79 USDT,-3.41 % 5.48 USDT,2023-11-25 06:32:00,2023-11-25 11:40:00,2023-11-25 15:32:00,2023-11-25 20:40:00,2023-11-25 15:32 KST,2023-11-25 20:40 KST,2639.66,-1,-2639.66,80032.8,80032.8,50349.19,50349.19
LINKUSDT,Long,14.771 USDT,"13,543.48","200,045.90 USDT","1,114 USDT",0.56 %,11/25/2023 07:27 UTC,11/26/2023 19:51 UTC,3.81 % 15.33 USDT,-1.03 % 14.62 USDT,2023-11-25 07:27:00,2023-11-26 19:51:00,2023-11-25 16:27:00,2023-11-27 04:51:00,2023-11-25 16:27 KST,2023-11-27 04:51 KST,1114.0,1,1114.0,200045.9,200045.9,51463.19,51463.19
FTMUSDT,Long,0.323 USDT,"155,280","50,081.24 USDT",-716.51 USDT,-1.43 %,11/25/2023 08:00 UTC,11/25/2023 10:20 UTC,0.09 % 0.32 USDT,-1.59 % 0.32 USDT,2023-11-25 08:00:00,2023-11-25 10:20:00,2023-11-25 17:00:00,2023-11-25 19:20:00,2023-11-25 17:00 KST,2023-11-25 19:20 KST,716.51,-1,-716.51,50081.24,50081.24,50746.68,50746.68
