Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BTCUSDT,Long,"59,669.31 USDT",84.912,"5,066,640.41 USDT","-265,929.33 USDT",-5.25 %,08/30/2024 14:59 UTC,09/04/2024 10:30 UTC,"0.20 % 59,790 USDT","-6.90 % 55,555 USDT",2024-08-30 14:59:00,2024-09-04 10:30:00,2024-08-30 23:59:00,2024-09-04 19:30:00,2024-08-30 23:59 KST,2024-09-04 19:30 KST,265929.33,-1,-265929.33,5066640.41,5066640.41,-265929.33,-265929.33
BTCUSDT,Long,"56,999.251 USDT",21.927,"1,249,822.57 USDT",450.24 USDT,0.04 %,09/05/2024 13:44 UTC,09/05/2024 14:30 UTC,"0.53 % 57,300 USDT","-0.72 % 56,587 USDT",2024-09-05 13:44:00,2024-09-05 14:30:00,2024-09-05 22:44:00,2024-09-05 23:30:00,2024-09-05 22:44 KST,2024-09-05 23:30 KST,450.24,1,450.24,1249822.57,1249822.57,-265479.09,-265479.09
BTCUSDT,Long,"56,651.276 USDT",26.475,"1,499,842.54 USDT","-42,759.58 USDT",-2.85 %,09/06/2024 12:48 UTC,09/06/2024 14:25 UTC,"0.62 % 57,000 USDT","-3.11 % 54,890 USDT",2024-09-06 12:48:00,2024-09-06 14:25:00,2024-09-06 21:48:00,2024-09-06 23:25:00,2024-09-06 21:48 KST,2024-09-06 23:25 KST,42759.58,-1,-42759.58,1499842.54,1499842.54,-308238.67000000004,-308238.67000000004
BTCUSDT,Long,"61,157.621 USDT",32.815,"2,006,887.34 USDT","24,255 USDT",1.21 %,09/18/2024 18:00 UTC,09/19/2024 04:30 UTC,"2.28 % 62,555 USDT","-2.82 % 59,430 USDT",2024-09-18 18:00:00,2024-09-19 04:30:00,2024-09-19 03:00:00,2024-09-19 13:30:00,2024-09-19 03:00 KST,2024-09-19 13:30 KST,24255.0,1,24255.0,2006887.34,2006887.34,-283983.67000000004,-283983.67000000004
BTCUSDT,Long,"62,171.236 USDT",32.172,"2,000,173.02 USDT","100,373 USDT",5.02 %,10/01/2024 14:00 UTC,10/15/2024 15:05 UTC,"9.30 % 67,953 USDT","-5.26 % 58,900 USDT",2024-10-01 14:00:00,2024-10-15 15:05:00,2024-10-01 23:00:00,2024-10-16 00:05:00,2024-10-01 23:00 KST,2024-10-16 00:05 KST,100373.0,1,100373.0,2000173.02,2000173.02,-183610.67000000004,-183610.67000000004
CRVUSDT,Long,0.25 USDT,"980,000","244,807.82 USDT","7,493 USDT",3.06 %,10/02/2024 19:10 UTC,10/04/2024 15:06 UTC,5.28 % 0.26 USDT,-1.52 % 0.25 USDT,2024-10-02 19:10:00,2024-10-04 15:06:00,2024-10-03 04:10:00,2024-10-05 00:06:00,2024-10-03 04:10 KST,2024-10-05 00:06 KST,7493.0,1,7493.0,244807.82,244807.82,-176117.67000000004,-176117.67000000004
AVAXUSDT,Long,27.04 USDT,"18,490","499,966.15 USDT","40,571 USDT",8.11 %,10/02/2024 19:18 UTC,10/14/2024 23:28 UTC,9.96 % 29.73 USDT,-11.74 % 23.87 USDT,2024-10-02 19:18:00,2024-10-14 23:28:00,2024-10-03 04:18:00,2024-10-15 08:28:00,2024-10-03 04:18 KST,2024-10-15 08:28 KST,40571.0,1,40571.0,499966.15,499966.15,-135546.67000000004,-135546.67000000004
SOLUSDT,Long,139 USDT,"1,798","249,922.00 USDT","32,420 USDT",12.97 %,10/02/2024 19:21 UTC,10/15/2024 00:16 UTC,14.39 % 159.00 USDT,-4.32 % 133.00 USDT,2024-10-02 19:21:00,2024-10-15 00:16:00,2024-10-03 04:21:00,2024-10-15 09:16:00,2024-10-03 04:21 KST,2024-10-15 09:16 KST,32420.0,1,32420.0,249922.0,249922.0,-103126.67000000004,-103126.67000000004
BNBUSDT,Long,537.78 USDT,467.28,"251,293.84 USDT","19,698 USDT",7.84 %,10/02/2024 19:23 UTC,10/14/2024 09:46 UTC,9.12 % 586.80 USDT,-0.81 % 533.40 USDT,2024-10-02 19:23:00,2024-10-14 09:46:00,2024-10-03 04:23:00,2024-10-14 18:46:00,2024-10-03 04:23 KST,2024-10-14 18:46 KST,19698.0,1,19698.0,251293.84,251293.84,-83428.67000000004,-83428.67000000004
1000PEPEUSDT,Long,0.01 USDT,"51,537,455","499,959.09 USDT","59,538 USDT",11.91 %,10/09/2024 20:41 UTC,10/15/2024 00:14 UTC,14.40 % 0.01 USDT,-9.29 % 0.01 USDT,2024-10-09 20:41:00,2024-10-15 00:14:00,2024-10-10 05:41:00,2024-10-15 09:14:00,2024-10-10 05:41 KST,2024-10-15 09:14 KST,59538.0,1,59538.0,499959.09,499959.09,-23890.670000000042,-23890.670000000042
DOGEUSDT,Long,0.104 USDT,"2,408,941","249,903.54 USDT","27,953 USDT",11.19 %,10/10/2024 18:04 UTC,10/14/2024 19:47 UTC,12.49 % 0.12 USDT,-0.65 % 0.10 USDT,2024-10-10 18:04:00,2024-10-14 19:47:00,2024-10-11 03:04:00,2024-10-15 04:47:00,2024-10-11 03:04 KST,2024-10-15 04:47 KST,27953.0,1,27953.0,249903.54,249903.54,4062.329999999958,4062.329999999958
GOATUSDT,Long,0.651 USDT,"386,520","251,623.08 USDT","7,409 USDT",2.94 %,10/25/2024 18:05 UTC,10/25/2024 19:29 UTC,6.76 % 0.70 USDT,-2.15 % 0.64 USDT,2024-10-25 18:05:00,2024-10-25 19:29:00,2024-10-26 03:05:00,2024-10-26 04:29:00,2024-10-26 03:05 KST,2024-10-26 04:29 KST,7409.0,1,7409.0,251623.08,251623.08,11471.329999999958,11471.329999999958
1000PEPEUSDT,Long,0.009 USDT,"27,764,204","249,574.12 USDT","1,727 USDT",0.69 %,10/26/2024 05:32 UTC,10/27/2024 21:17 UTC,2.57 % 0.01 USDT,-2.60 % 0.01 USDT,2024-10-26 05:32:00,2024-10-27 21:17:00,2024-10-26 14:32:00,2024-10-28 06:17:00,2024-10-26 14:32 KST,2024-10-28 06:17 KST,1727.0,1,1727.0,249574.12,249574.12,13198.329999999958,13198.329999999958
