Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BTCUSDT,Long,"62,763 USDT",26.456,"1,660,488.05 USDT","670,108 USDT",40.36 %,09/26/2024 22:21 UTC,11/15/2024 15:32 UTC,"48.92 % 93,466 USDT","-6.12 % 58,919 USDT",2024-09-26 22:21:00,2024-11-15 15:32:00,2024-09-27 07:21:00,2024-11-16 00:32:00,2024-09-27 07:21 KST,2024-11-16 00:32 KST,670108.0,1,670108.0,1660488.05,1660488.05,670108.0,670108.0
AAVEUSDT,Long,141.77 USDT,"1,412.04","200,184.91 USDT",22.87 USDT,0.01 %,10/03/2024 12:41 UTC,10/03/2024 14:16 UTC,,,2024-10-03 12:41:00,2024-10-03 14:16:00,2024-10-03 21:41:00,2024-10-03 23:16:00,2024-10-03 21:41 KST,2024-10-03 23:16 KST,22.87,1,22.87,200184.91,200184.91,670130.87,670130.87
TIAUSDT,Long,6.252 USDT,"16,014.9","100,121.95 USDT","-21,176.29 USDT",-21.15 %,10/13/2024 22:05 UTC,10/29/2024 14:48 UTC,3.95 % 6.50 USDT,-23.77 % 4.77 USDT,2024-10-13 22:05:00,2024-10-29 14:48:00,2024-10-14 07:05:00,2024-10-29 23:48:00,2024-10-14 07:05 KST,2024-10-29 23:48 KST,21176.29,-1,-21176.29,100121.95,100121.95,648954.58,648954.58
NEARUSDT,Long,5.275 USDT,"36,024.6","190,022.56 USDT","5,227 USDT",2.75 %,10/15/2024 12:49 UTC,11/15/2024 14:58 UTC,7.71 % 5.68 USDT,-33.53 % 3.51 USDT,2024-10-15 12:49:00,2024-11-15 14:58:00,2024-10-15 21:49:00,2024-11-15 23:58:00,2024-10-15 21:49 KST,2024-11-15 23:58 KST,5227.0,1,5227.0,190022.56,190022.56,654181.58,654181.58
TIAUSDT,Long,5.45 USDT,"45,525.1","248,120.90 USDT","-10,213.18 USDT",-4.12 %,10/29/2024 18:35 UTC,11/19/2024 15:03 UTC,5.71 % 5.76 USDT,-23.61 % 4.16 USDT,2024-10-29 18:35:00,2024-11-19 15:03:00,2024-10-30 03:35:00,2024-11-20 00:03:00,2024-10-30 03:35 KST,2024-11-20 00:03 KST,10213.18,-1,-10213.18,248120.9,248120.9,643968.3999999999,643968.3999999999
ETHUSDT,Long,"2,902.4 USDT",172.266,"499,983.68 USDT","21,228 USDT",4.25 %,11/08/2024 01:43 UTC,11/15/2024 15:25 UTC,"18.93 % 3,451 USDT","-0.49 % 2,888 USDT",2024-11-08 01:43:00,2024-11-15 15:25:00,2024-11-08 10:43:00,2024-11-16 00:25:00,2024-11-08 10:43 KST,2024-11-16 00:25 KST,21228.0,1,21228.0,499983.68,499983.68,665196.3999999999,665196.3999999999
WIFUSDT,Long,3.508 USDT,"85,551","300,112.91 USDT","84,714 USDT",28.23 %,11/13/2024 14:09 UTC,11/13/2024 18:59 UTC,29.42 % 4.54 USDT,-3.34 % 3.39 USDT,2024-11-13 14:09:00,2024-11-13 18:59:00,2024-11-13 23:09:00,2024-11-14 03:59:00,2024-11-13 23:09 KST,2024-11-14 03:59 KST,84714.0,1,84714.0,300112.91,300112.91,749910.3999999999,749910.3999999999
WIFUSDT,Long,4.291 USDT,"75,759","325,081.87 USDT","-15,354.15 USDT",-4.72 %,11/13/2024 20:13 UTC,11/13/2024 20:24 UTC,0.35 % 4.31 USDT,-6.03 % 4.03 USDT,2024-11-13 20:13:00,2024-11-13 20:24:00,2024-11-14 05:13:00,2024-11-14 05:24:00,2024-11-14 05:13 KST,2024-11-14 05:24 KST,15354.15,-1,-15354.15,325081.87,325081.87,734556.2499999999,734556.2499999999
SOLUSDT,Long,212.29 USDT,"1,413.16","299,999.74 USDT","-1,049.02 USDT",-0.35 %,11/14/2024 16:14 UTC,11/15/2024 14:56 UTC,2.38 % 217.35 USDT,-3.70 % 204.43 USDT,2024-11-14 16:14:00,2024-11-15 14:56:00,2024-11-15 01:14:00,2024-11-15 23:56:00,2024-11-15 01:14 KST,2024-11-15 23:56 KST,1049.02,-1,-1049.02,299999.74,299999.74,733507.2299999999,733507.2299999999
ETHUSDT,Short,"3,028.6 USDT",9.396,"28,457.33 USDT",-42.58 USDT,-0.15 %,11/15/2024 15:25 UTC,11/15/2024 15:25 UTC,,,2024-11-15 15:25:00,2024-11-15 15:25:00,2024-11-16 00:25:00,2024-11-16 00:25:00,2024-11-16 00:25 KST,2024-11-16 00:25 KST,42.58,-1,-42.58,28457.33,28457.33,733464.6499999999,733464.6499999999
BTCUSDT,Long,"89,515 USDT",33.518,"3,000,379.88 USDT","22,974 USDT",0.77 %,11/15/2024 16:22 UTC,11/18/2024 18:52 UTC,"2.69 % 91,922 USDT","-0.80 % 88,800 USDT",2024-11-15 16:22:00,2024-11-18 18:52:00,2024-11-16 01:22:00,2024-11-19 03:52:00,2024-11-16 01:22 KST,2024-11-19 03:52 KST,22974.0,1,22974.0,3000379.88,3000379.88,756438.6499999999,756438.6499999999
WIFUSDT,Long,3.858 USDT,"25,924","100,001.83 USDT","-1,220.78 USDT",-1.22 %,11/15/2024 20:29 UTC,11/15/2024 20:36 UTC,0.16 % 3.86 USDT,-1.30 % 3.81 USDT,2024-11-15 20:29:00,2024-11-15 20:36:00,2024-11-16 05:29:00,2024-11-16 05:36:00,2024-11-16 05:29 KST,2024-11-16 05:36 KST,1220.78,-1,-1220.78,100001.83,100001.83,755217.8699999999,755217.8699999999
POPCATUSDT,Long,1.79 USDT,"167,680","300,080.13 USDT","-11,050.14 USDT",-3.68 %,11/15/2024 20:31 UTC,11/16/2024 16:08 UTC,9.42 % 1.96 USDT,-3.91 % 1.72 USDT,2024-11-15 20:31:00,2024-11-16 16:08:00,2024-11-16 05:31:00,2024-11-17 01:08:00,2024-11-16 05:31 KST,2024-11-17 01:08 KST,11050.14,-1,-11050.14,300080.13,300080.13,744167.7299999999,744167.7299999999
SOLUSDT,Long,218.11 USDT,"6,879.21","1,500,424.49 USDT","144,660 USDT",9.64 %,11/15/2024 21:17 UTC,11/19/2024 14:41 UTC,14.07 % 248.79 USDT,-2.66 % 212.30 USDT,2024-11-15 21:17:00,2024-11-19 14:41:00,2024-11-16 06:17:00,2024-11-19 23:41:00,2024-11-16 06:17 KST,2024-11-19 23:41 KST,144660.0,1,144660.0,1500424.49,1500424.49,888827.7299999999,888827.7299999999
POPCATUSDT,Long,1.753 USDT,"228,494","400,641.38 USDT","-2,304.43 USDT",-0.58 %,11/16/2024 16:38 UTC,11/16/2024 22:31 UTC,1.10 % 1.77 USDT,-1.32 % 1.73 USDT,2024-11-16 16:38:00,2024-11-16 22:31:00,2024-11-17 01:38:00,2024-11-17 07:31:00,2024-11-17 01:38 KST,2024-11-17 07:31 KST,2304.43,-1,-2304.43,400641.38,400641.38,886523.2999999998,886523.2999999998
BTCUSDT,Long,"90,531 USDT",22.092,"2,000,028.05 USDT","-1,194.33 USDT",-0.06 %,11/18/2024 19:02 UTC,11/18/2024 23:25 UTC,"1.72 % 92,088 USDT","-0.88 % 89,735 USDT",2024-11-18 19:02:00,2024-11-18 23:25:00,2024-11-19 04:02:00,2024-11-19 08:25:00,2024-11-19 04:02 KST,2024-11-19 08:25 KST,1194.33,-1,-1194.33,2000028.05,2000028.05,885328.9699999999,885328.9699999999
BTCUSDT,Long,"91,407 USDT",40.479,"3,700,036.53 USDT","112,642 USDT",3.04 %,11/18/2024 23:42 UTC,11/20/2024 17:16 UTC,"3.80 % 94,878 USDT","-1.06 % 90,437 USDT",2024-11-18 23:42:00,2024-11-20 17:16:00,2024-11-19 08:42:00,2024-11-21 02:16:00,2024-11-19 08:42 KST,2024-11-21 02:16 KST,112642.0,1,112642.0,3700036.53,3700036.53,997970.9699999999,997970.9699999999
SOLUSDT,Long,247.63 USDT,"8,077.95","2,000,342.76 USDT","-63,819.53 USDT",-3.19 %,11/21/2024 15:13 UTC,11/29/2024 19:13 UTC,3.72 % 256.84 USDT,-10.35 % 222.01 USDT,2024-11-21 15:13:00,2024-11-29 19:13:00,2024-11-22 00:13:00,2024-11-30 04:13:00,2024-11-22 00:13 KST,2024-11-30 04:13 KST,63819.53,-1,-63819.53,2000342.76,2000342.76,934151.4399999998,934151.4399999998
TIAUSDT,Long,6.759 USDT,"71,901.3","486,002.46 USDT","97,956 USDT",20.16 %,11/21/2024 15:14 UTC,11/29/2024 20:09 UTC,32.31 % 8.94 USDT,-22.43 % 5.24 USDT,2024-11-21 15:14:00,2024-11-29 20:09:00,2024-11-22 00:14:00,2024-11-30 05:09:00,2024-11-22 00:14 KST,2024-11-30 05:09 KST,97956.0,1,97956.0,486002.46,486002.46,1032107.4399999998,1032107.4399999998
BTCUSDT,Long,"96,163 USDT",19.759,"1,900,039.52 USDT","26,418 USDT",1.39 %,11/24/2024 17:06 UTC,11/24/2024 22:15 UTC,"1.43 % 97,539 USDT","-0.22 % 95,951 USDT",2024-11-24 17:06:00,2024-11-24 22:15:00,2024-11-25 02:06:00,2024-11-25 07:15:00,2024-11-25 02:06 KST,2024-11-25 07:15 KST,26418.0,1,26418.0,1900039.52,1900039.52,1058525.44,1058525.44
BTCUSDT,Long,"95,716 USDT",20.897,"2,000,138.01 USDT","5,238 USDT",0.26 %,11/25/2024 15:00 UTC,11/27/2024 22:55 UTC,"0.88 % 96,558 USDT","-5.05 % 90,878 USDT",2024-11-25 15:00:00,2024-11-27 22:55:00,2024-11-26 00:00:00,2024-11-28 07:55:00,2024-11-26 00:00 KST,2024-11-28 07:55 KST,5238.0,1,5238.0,2000138.01,2000138.01,1063763.44,1063763.44
