Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
MOVEUSDT,Short,1.077 USDT,5,5.39 USDT,3.12 USDT,57.86 %,12/10/2024 15:50 UTC,03/19/2025 15:54 UTC,155.59 % 0.42 USDT,,2024-12-10 15:50:00,2025-03-19 15:54:00,2024-12-11 00:50:00,2025-03-20 00:54:00,2024-12-11 00:50 KST,2025-03-20 00:54 KST,3.12,1,3.12,5.39,5.39,3.12,3.12
BNXUSDT,Short,0.863 USDT,"17,915.7","15,469.30 USDT","-15,712.55 USDT",-101.57 %,03/01/2025 01:59 UTC,03/17/2025 05:00 UTC,,-50.57 % 1.75 USDT,2025-03-01 01:59:00,2025-03-17 05:00:00,2025-03-01 10:59:00,2025-03-17 14:00:00,2025-03-01 10:59 KST,2025-03-17 14:00 KST,15712.55,-1,-15712.55,15469.3,15469.3,-15709.429999999998,-15709.429999999998
CAKEUSDT,Short,2.59 USDT,"60,000","155,411.78 USDT","1,932 USDT",1.24 %,03/17/2025 11:06 UTC,03/17/2025 14:32 UTC,7.58 % 2.41 USDT,-1.22 % 2.62 USDT,2025-03-17 11:06:00,2025-03-17 14:32:00,2025-03-17 20:06:00,2025-03-17 23:32:00,2025-03-17 20:06 KST,2025-03-17 23:32 KST,1932.0,1,1932.0,155411.78,155411.78,-13777.429999999998,-13777.429999999998
MUBARAKUSDT,Long,0.155 USDT,"500,000","77,427.62 USDT","-4,919.69 USDT",-6.35 %,03/17/2025 15:03 UTC,03/17/2025 15:12 UTC,1.00 % 0.16 USDT,-7.59 % 0.14 USDT,2025-03-17 15:03:00,2025-03-17 15:12:00,2025-03-18 00:03:00,2025-03-18 00:12:00,2025-03-18 00:03 KST,2025-03-18 00:12 KST,4919.69,-1,-4919.69,77427.62,77427.62,-18697.12,-18697.12
CAKEUSDT,Long,2.61 USDT,"100,625","262,583.59 USDT","-46,412.33 USDT",-17.68 %,03/18/2025 07:28 UTC,04/02/2025 01:46 UTC,7.87 % 2.82 USDT,-28.70 % 1.86 USDT,2025-03-18 07:28:00,2025-04-02 01:46:00,2025-03-18 16:28:00,2025-04-02 10:46:00,2025-03-18 16:28 KST,2025-04-02 10:46 KST,46412.33,-1,-46412.33,262583.59,262583.59,-65109.45,-65109.45
BMTUSDT,Long,0.275 USDT,"1,300,000","357,925.02 USDT","12,926 USDT",3.61 %,03/18/2025 10:01 UTC,03/19/2025 03:14 UTC,17.10 % 0.32 USDT,-8.15 % 0.25 USDT,2025-03-18 10:01:00,2025-03-19 03:14:00,2025-03-18 19:01:00,2025-03-19 12:14:00,2025-03-18 19:01 KST,2025-03-19 12:14 KST,12926.0,1,12926.0,357925.02,357925.02,-52183.45,-52183.45
FORMUSDT,Short,1.818 USDT,"66,171.2","-120,269.87 USDT","2,810 USDT",2.34 %,03/19/2025 08:19 UTC,03/19/2025 09:44 UTC,3.22 % 1.76 USDT,-0.89 % 1.83 USDT,2025-03-19 08:19:00,2025-03-19 09:44:00,2025-03-19 17:19:00,2025-03-19 18:44:00,2025-03-19 17:19 KST,2025-03-19 18:44 KST,2810.0,1,2810.0,-120269.87,120269.87,-49373.45,-49373.45
SOLUSDT,Long,127.72 USDT,"5,000","638,599.06 USDT","32,868 USDT",5.15 %,03/19/2025 11:19 UTC,03/24/2025 14:32 UTC,6.55 % 136.08 USDT,-2.33 % 124.74 USDT,2025-03-19 11:19:00,2025-03-24 14:32:00,2025-03-19 20:19:00,2025-03-24 23:32:00,2025-03-19 20:19 KST,2025-03-24 23:32 KST,32868.0,1,32868.0,638599.06,638599.06,-16505.449999999997,-16505.449999999997
KOMAUSDT,Long,0.045 USDT,"1,068,641","47,925.61 USDT",-645.44 USDT,-1.35 %,03/19/2025 17:15 UTC,03/19/2025 17:26 UTC,1.95 % 0.05 USDT,-2.29 % 0.04 USDT,2025-03-19 17:15:00,2025-03-19 17:26:00,2025-03-20 02:15:00,2025-03-20 02:26:00,2025-03-20 02:15 KST,2025-03-20 02:26 KST,645.44,-1,-645.44,47925.61,47925.61,-17150.889999999996,-17150.889999999996
MUBARAKUSDT,Long,0.112 USDT,"491,071","54,836.15 USDT","9,812 USDT",17.89 %,03/19/2025 17:22 UTC,03/20/2025 00:22 UTC,21.97 % 0.14 USDT,-2.84 % 0.11 USDT,2025-03-19 17:22:00,2025-03-20 00:22:00,2025-03-20 02:22:00,2025-03-20 09:22:00,2025-03-20 02:22 KST,2025-03-20 09:22 KST,9812.0,1,9812.0,54836.15,54836.15,-7338.889999999996,-7338.889999999996
AUCTIONUSDT,Short,46.209 USDT,"1,000","46,208.90 USDT","4,530 USDT",9.80 %,03/21/2025 03:00 UTC,03/22/2025 23:53 UTC,48.48 % 31.12 USDT,-27.50 % 63.74 USDT,2025-03-21 03:00:00,2025-03-22 23:53:00,2025-03-21 12:00:00,2025-03-23 08:53:00,2025-03-21 12:00 KST,2025-03-23 08:53 KST,4530.0,1,4530.0,46208.9,46208.9,-2808.889999999996,-2808.889999999996
1000CHEEMSUSDT,Short,0.002 USDT,"10,000,000","-18,905.93 USDT","2,475 USDT",13.09 %,03/26/2025 13:10 UTC,03/31/2025 21:06 UTC,24.30 % 0.00 USDT,-2.30 % 0.00 USDT,2025-03-26 13:10:00,2025-03-31 21:06:00,2025-03-26 22:10:00,2025-04-01 06:06:00,2025-03-26 22:10 KST,2025-04-01 06:06 KST,2475.0,1,2475.0,-18905.93,18905.93,-333.8899999999958,-333.8899999999958
FARTCOINUSDT,Short,0.522 USDT,"409,019.7","-213,643.62 USDT","20,240 USDT",9.47 %,04/01/2025 10:59 UTC,04/04/2025 17:05 UTC,46.11 % 0.36 USDT,-3.13 % 0.54 USDT,2025-04-01 10:59:00,2025-04-04 17:05:00,2025-04-01 19:59:00,2025-04-05 02:05:00,2025-04-01 19:59 KST,2025-04-05 02:05 KST,20240.0,1,20240.0,-213643.62,213643.62,19906.110000000004,19906.110000000004
