Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BTCUSDT,Short,"62,182.79 USDT",119.936,"-7,457,955.12 USDT","75,229 USDT",1.01 %,06/27/2024 14:06 UTC,06/27/2024 16:34 UTC,"1.01 % 61,562 USDT","-0.19 % 62,302 USDT",2024-06-27 14:06:00,2024-06-27 16:34:00,2024-06-27 23:06:00,2024-06-28 01:34:00,2024-06-27 23:06 KST,2024-06-28 01:34 KST,75229.0,1,75229.0,-7457955.12,7457955.12,75229.0,75229.0
BTCUSDT,Short,"61,623.015 USDT",120,"-7,394,761.78 USDT","-114,213.41 USDT",-1.54 %,06/30/2024 09:12 UTC,06/30/2024 22:26 UTC,"0.38 % 61,389 USDT","-1.21 % 62,377 USDT",2024-06-30 09:12:00,2024-06-30 22:26:00,2024-06-30 18:12:00,2024-07-01 07:26:00,2024-06-30 18:12 KST,2024-07-01 07:26 KST,114213.41,-1,-114213.41,-7394761.78,7394761.78,-38984.41,-38984.41
BTCUSDT,Short,"63,002.914 USDT",83.042,"5,231,887.98 USDT","62,235 USDT",1.19 %,07/02/2024 12:48 UTC,07/02/2024 18:06 UTC,"1.84 % 61,866 USDT","-0.04 % 63,027 USDT",2024-07-02 12:48:00,2024-07-02 18:06:00,2024-07-02 21:48:00,2024-07-03 03:06:00,2024-07-02 21:48 KST,2024-07-03 03:06 KST,62235.0,1,62235.0,5231887.98,5231887.98,23250.589999999997,23250.589999999997
ETHUSDT,Short,"3,457.768 USDT","1,525.149","5,273,611.71 USDT","42,646 USDT",0.81 %,07/02/2024 12:48 UTC,07/02/2024 18:06 UTC,"1.60 % 3,403 USDT",,2024-07-02 12:48:00,2024-07-02 18:06:00,2024-07-02 21:48:00,2024-07-03 03:06:00,2024-07-02 21:48 KST,2024-07-03 03:06 KST,42646.0,1,42646.0,5273611.71,5273611.71,65896.59,65896.59
ETHUSDT,Long,"3,226.676 USDT","1,954.435","6,306,328.34 USDT","-71,183.59 USDT",-1.13 %,07/04/2024 01:48 UTC,07/04/2024 02:00 UTC,"0.39 % 3,239 USDT","-2.30 % 3,152 USDT",2024-07-04 01:48:00,2024-07-04 02:00:00,2024-07-04 10:48:00,2024-07-04 11:00:00,2024-07-04 10:48 KST,2024-07-04 11:00 KST,71183.59,-1,-71183.59,6306328.34,6306328.34,-5287.0,-5287.0
BTCUSDT,Long,"58,535.224 USDT",97.595,"5,712,745.23 USDT","-50,642.09 USDT",-0.89 %,07/04/2024 01:56 UTC,07/04/2024 02:00 UTC,"0.39 % 58,764 USDT","-1.45 % 57,688 USDT",2024-07-04 01:56:00,2024-07-04 02:00:00,2024-07-04 10:56:00,2024-07-04 11:00:00,2024-07-04 10:56 KST,2024-07-04 11:00 KST,50642.09,-1,-50642.09,5712745.23,5712745.23,-55929.09,-55929.09
BTCUSDT,Long,"58,345.715 USDT",205.155,"11,969,915.06 USDT","-205,878.35 USDT",-1.72 %,07/04/2024 02:02 UTC,07/05/2024 02:42 UTC,"1.25 % 59,073 USDT","-2.73 % 56,750 USDT",2024-07-04 02:02:00,2024-07-05 02:42:00,2024-07-04 11:02:00,2024-07-05 11:42:00,2024-07-04 11:02 KST,2024-07-05 11:42 KST,205878.35,-1,-205878.35,11969915.06,11969915.06,-261807.44,-261807.44
SOLUSDT,Long,134.582 USDT,"5,000","672,909.36 USDT","-10,520.07 USDT",-1.56 %,07/04/2024 02:04 UTC,07/04/2024 10:23 UTC,2.01 % 137.29 USDT,-1.87 % 132.06 USDT,2024-07-04 02:04:00,2024-07-04 10:23:00,2024-07-04 11:04:00,2024-07-04 19:23:00,2024-07-04 11:04 KST,2024-07-04 19:23 KST,10520.07,-1,-10520.07,672909.36,672909.36,-272327.51,-272327.51
BTCUSDT,Short,"56,691.335 USDT",120,"6,802,960.20 USDT","70,330 USDT",1.03 %,07/05/2024 02:44 UTC,07/05/2024 02:58 UTC,"0.87 % 56,200 USDT","-0.06 % 56,725 USDT",2024-07-05 02:44:00,2024-07-05 02:58:00,2024-07-05 11:44:00,2024-07-05 11:58:00,2024-07-05 11:44 KST,2024-07-05 11:58 KST,70330.0,1,70330.0,6802960.2,6802960.2,-201997.51,-201997.51
BTCUSDT,Short,"57,824.15 USDT",119.921,"-6,934,329.93 USDT","196,579 USDT",2.83 %,07/06/2024 16:29 UTC,07/07/2024 23:41 UTC,"2.86 % 56,214 USDT","-0.99 % 58,400 USDT",2024-07-06 16:29:00,2024-07-07 23:41:00,2024-07-07 01:29:00,2024-07-08 08:41:00,2024-07-07 01:29 KST,2024-07-08 08:41 KST,196579.0,1,196579.0,-6934329.93,6934329.93,-5418.510000000009,-5418.510000000009
