Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
FETUSDT,Long,1.618 USDT,"242,939","393,026.71 USDT","-5,892.27 USDT",-1.50 %,09/28/2024 19:53 UTC,09/30/2024 10:56 UTC,,,2024-09-28 19:53:00,2024-09-30 10:56:00,2024-09-29 04:53:00,2024-09-30 19:56:00,2024-09-29 04:53 KST,2024-09-30 19:56 KST,5892.27,-1,-5892.27,393026.71,393026.71,-5892.27,-5892.27
SOLUSDT,Long,156.68 USDT,"5,233.85","820,039.62 USDT","-3,037.45 USDT",-0.37 %,09/28/2024 19:53 UTC,09/30/2024 10:59 UTC,,,2024-09-28 19:53:00,2024-09-30 10:59:00,2024-09-29 04:53:00,2024-09-30 19:59:00,2024-09-29 04:53 KST,2024-09-30 19:59 KST,3037.45,-1,-3037.45,820039.62,820039.62,-8929.720000000001,-8929.720000000001
kPEPEUSDT,Long,0.01 USDT,"30,673,190","305,075.55 USDT","29,542 USDT",9.68 %,09/28/2024 19:53 UTC,09/30/2024 14:03 UTC,,,2024-09-28 19:53:00,2024-09-30 14:03:00,2024-09-29 04:53:00,2024-09-30 23:03:00,2024-09-29 04:53 KST,2024-09-30 23:03 KST,29542.0,1,29542.0,305075.55,305075.55,20612.28,20612.28
BTCUSDT,Long,"63,997 USDT",64.394,"4,132,446.87 USDT","-47,812.17 USDT",-1.16 %,09/28/2024 19:53 UTC,10/01/2024 13:26 UTC,,,2024-09-28 19:53:00,2024-10-01 13:26:00,2024-09-29 04:53:00,2024-10-01 22:26:00,2024-09-29 04:53 KST,2024-10-01 22:26 KST,47812.17,-1,-47812.17,4132446.87,4132446.87,-27199.89,-27199.89
TAOUSDT,Long,573.12 USDT,"1,371.769","760,618.48 USDT","14,086 USDT",1.85 %,09/28/2024 19:53 UTC,10/01/2024 13:20 UTC,,,2024-09-28 19:53:00,2024-10-01 13:20:00,2024-09-29 04:53:00,2024-10-01 22:20:00,2024-09-29 04:53 KST,2024-10-01 22:20 KST,14086.0,1,14086.0,760618.48,760618.48,-13113.89,-13113.89
NEARUSDT,Long,5.53 USDT,"27,130.5","150,026.24 USDT","-5,742.69 USDT",-3.83 %,09/28/2024 22:28 UTC,09/30/2024 10:55 UTC,,,2024-09-28 22:28:00,2024-09-30 10:55:00,2024-09-29 07:28:00,2024-09-30 19:55:00,2024-09-29 07:28 KST,2024-09-30 19:55 KST,5742.69,-1,-5742.69,150026.24,150026.24,-18856.579999999998,-18856.579999999998
SOLUSDT,Long,156.65 USDT,"1,276.58","199,976.26 USDT",116.00 USDT,0.06 %,10/01/2024 06:32 UTC,10/01/2024 07:02 UTC,,,2024-10-01 06:32:00,2024-10-01 07:02:00,2024-10-01 15:32:00,2024-10-01 16:02:00,2024-10-01 15:32 KST,2024-10-01 16:02 KST,116.0,1,116.0,199976.26,199976.26,-18740.579999999998,-18740.579999999998
BTCUSDT,Long,"62,818 USDT",32.635,"2,050,094.33 USDT","-16,415.82 USDT",-0.80 %,10/01/2024 14:27 UTC,10/01/2024 15:06 UTC,,,2024-10-01 14:27:00,2024-10-01 15:06:00,2024-10-01 23:27:00,2024-10-02 00:06:00,2024-10-01 23:27 KST,2024-10-02 00:06 KST,16415.82,-1,-16415.82,2050094.33,2050094.33,-35156.399999999994,-35156.399999999994
BTCUSDT,Long,"61,460 USDT",48.817,"3,000,294.66 USDT","16,651 USDT",0.55 %,10/01/2024 17:28 UTC,10/01/2024 19:13 UTC,,,2024-10-01 17:28:00,2024-10-01 19:13:00,2024-10-02 02:28:00,2024-10-02 04:13:00,2024-10-02 02:28 KST,2024-10-02 04:13 KST,16651.0,1,16651.0,3000294.66,3000294.66,-18505.399999999994,-18505.399999999994
TAOUSDT,Long,535.17 USDT,548.125,"300,739.74 USDT","-6,589.97 USDT",-2.19 %,10/01/2024 17:32 UTC,10/04/2024 04:27 UTC,,,2024-10-01 17:32:00,2024-10-04 04:27:00,2024-10-02 02:32:00,2024-10-04 13:27:00,2024-10-02 02:32 KST,2024-10-04 13:27 KST,6589.97,-1,-6589.97,300739.74,300739.74,-25095.369999999995,-25095.369999999995
