Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
ETCUSDT,Long,19.168 USDT,0.52,9.97 USDT,0.00 USDT,0.02 %,05/02/2023 15:37 UTC,05/02/2023 15:37 UTC,,,2023-05-02 15:37:00,2023-05-02 15:37:00,2023-05-03 00:37:00,2023-05-03 00:37:00,2023-05-03 00:37 KST,2023-05-03 00:37 KST,0.0,1,0.0,9.97,9.97,0.0,0.0
BTCUSDT,Long,"26,935.027 USDT",65.401,"1,761,577.70 USDT","21,870 USDT",1.24 %,08/29/2023 14:25 UTC,08/29/2023 14:53 UTC,"2.80 % 27,690 USDT","-0.10 % 26,907 USDT",2023-08-29 14:25:00,2023-08-29 14:53:00,2023-08-29 23:25:00,2023-08-29 23:53:00,2023-08-29 23:25 KST,2023-08-29 23:53 KST,21870.0,1,21870.0,1761577.7,1761577.7,21870.0,21870.0
BTCUSDT,Long,"26,910.557 USDT",45.985,"1,237,481.96 USDT","-2,128.84 USDT",-0.17 %,10/13/2023 20:52 UTC,10/13/2023 21:15 UTC,"0.78 % 27,120 USDT","-0.19 % 26,858 USDT",2023-10-13 20:52:00,2023-10-13 21:15:00,2023-10-14 05:52:00,2023-10-14 06:15:00,2023-10-14 05:52 KST,2023-10-14 06:15 KST,2128.84,-1,-2128.84,1237481.96,1237481.96,19741.16,19741.16
BTCUSDT,Long,"36,507.5 USDT",0.008,292.06 USDT,-0.24 USDT,-0.08 %,11/18/2023 11:18 UTC,11/18/2023 11:21 UTC,,"-0.05 % 36,490 USDT",2023-11-18 11:18:00,2023-11-18 11:21:00,2023-11-18 20:18:00,2023-11-18 20:21:00,2023-11-18 20:18 KST,2023-11-18 20:21 KST,0.24,-1,-0.24,292.06,292.06,19740.92,19740.92
BTCUSDT,Long,"42,889.9 USDT",0.014,600.46 USDT,-0.46 USDT,-0.08 %,01/03/2024 17:42 UTC,01/03/2024 17:43 UTC,"0.01 % 42,893 USDT","-0.02 % 42,880 USDT",2024-01-03 17:42:00,2024-01-03 17:43:00,2024-01-04 02:42:00,2024-01-04 02:43:00,2024-01-04 02:42 KST,2024-01-04 02:43 KST,0.46,-1,-0.46,600.46,600.46,19740.46,19740.46
BTCUSDT,Long,"44,062.4 USDT",0.003,132.19 USDT,-0.03 USDT,-0.03 %,01/04/2024 18:58 UTC,01/04/2024 19:00 UTC,"0.03 % 44,077 USDT","-0.07 % 44,033 USDT",2024-01-04 18:58:00,2024-01-04 19:00:00,2024-01-05 03:58:00,2024-01-05 04:00:00,2024-01-05 03:58 KST,2024-01-05 04:00 KST,0.03,-1,-0.03,132.19,132.19,19740.43,19740.43
BTCUSDT,Long,"47,270.453 USDT",27.155,"1,283,629.16 USDT","-3,303.54 USDT",-0.26 %,01/09/2024 21:11 UTC,01/09/2024 21:17 UTC,"1.54 % 48,000 USDT","-3.64 % 45,550 USDT",2024-01-09 21:11:00,2024-01-09 21:17:00,2024-01-10 06:11:00,2024-01-10 06:17:00,2024-01-10 06:11 KST,2024-01-10 06:17 KST,3303.54,-1,-3303.54,1283629.16,1283629.16,16436.89,16436.89
BTCUSDT,Long,"42,918.621 USDT",5.104,"219,056.64 USDT",-9.08 USDT,0.00 %,02/07/2024 08:52 UTC,02/07/2024 09:04 UTC,"0.09 % 42,958 USDT","-0.03 % 42,905 USDT",2024-02-07 08:52:00,2024-02-07 09:04:00,2024-02-07 17:52:00,2024-02-07 18:04:00,2024-02-07 17:52 KST,2024-02-07 18:04 KST,9.08,-1,-9.08,219056.64,219056.64,16427.809999999998,16427.809999999998
BTCUSDT,Long,"51,585.7 USDT",0.012,619.03 USDT,-0.52 USDT,-0.08 %,02/25/2024 17:48 UTC,02/25/2024 18:45 UTC,"0.07 % 51,620 USDT","-0.10 % 51,534 USDT",2024-02-25 17:48:00,2024-02-25 18:45:00,2024-02-26 02:48:00,2024-02-26 03:45:00,2024-02-26 02:48 KST,2024-02-26 03:45 KST,0.52,-1,-0.52,619.03,619.03,16427.289999999997,16427.289999999997
BTCUSDT,Short,"51,590.9 USDT",0.008,-412.73 USDT,-0.25 USDT,-0.06 %,02/25/2024 18:46 UTC,02/25/2024 18:47 UTC,,,2024-02-25 18:46:00,2024-02-25 18:47:00,2024-02-26 03:46:00,2024-02-26 03:47:00,2024-02-26 03:46 KST,2024-02-26 03:47 KST,0.25,-1,-0.25,-412.73,412.73,16427.039999999997,16427.039999999997
BTCUSDT,Short,"51,747.8 USDT",0.004,206.99 USDT,-0.22 USDT,-0.11 %,02/25/2024 22:14 UTC,02/25/2024 22:15 UTC,,"-0.04 % 51,766 USDT",2024-02-25 22:14:00,2024-02-25 22:15:00,2024-02-26 07:14:00,2024-02-26 07:15:00,2024-02-26 07:14 KST,2024-02-26 07:15 KST,0.22,-1,-0.22,206.99,206.99,16426.819999999996,16426.819999999996
BTCUSDT,Long,"51,789.2 USDT",0.003,155.37 USDT,-0.09 USDT,-0.06 %,02/25/2024 22:16 UTC,02/25/2024 22:16 UTC,,,2024-02-25 22:16:00,2024-02-25 22:16:00,2024-02-26 07:16:00,2024-02-26 07:16:00,2024-02-26 07:16 KST,2024-02-26 07:16 KST,0.09,-1,-0.09,155.37,155.37,16426.729999999996,16426.729999999996
BTCUSDT,Long,"51,692.72 USDT",0.015,775.39 USDT,-5.29 USDT,-0.68 %,02/26/2024 00:10 UTC,02/26/2024 08:40 UTC,"0.30 % 51,846 USDT","-0.78 % 51,292 USDT",2024-02-26 00:10:00,2024-02-26 08:40:00,2024-02-26 09:10:00,2024-02-26 17:40:00,2024-02-26 09:10 KST,2024-02-26 17:40 KST,5.29,-1,-5.29,775.39,775.39,16421.439999999995,16421.439999999995
BTCUSDT,Long,"51,351.3 USDT",0.003,154.05 USDT,-0.08 USDT,-0.05 %,02/26/2024 08:40 UTC,02/26/2024 08:41 UTC,"0.02 % 51,362 USDT",,2024-02-26 08:40:00,2024-02-26 08:41:00,2024-02-26 17:40:00,2024-02-26 17:41:00,2024-02-26 17:40 KST,2024-02-26 17:41 KST,0.08,-1,-0.08,154.05,154.05,16421.359999999993,16421.359999999993
BTCUSDT,Long,"51,297.5 USDT",0.003,153.89 USDT,-0.09 USDT,-0.06 %,02/26/2024 08:58 UTC,02/26/2024 08:58 UTC,,,2024-02-26 08:58:00,2024-02-26 08:58:00,2024-02-26 17:58:00,2024-02-26 17:58:00,2024-02-26 17:58 KST,2024-02-26 17:58 KST,0.09,-1,-0.09,153.89,153.89,16421.269999999993,16421.269999999993
BTCUSDT,Short,"51,334.8 USDT",0.004,205.34 USDT,-0.07 USDT,-0.03 %,02/26/2024 09:03 UTC,02/26/2024 09:03 UTC,,,2024-02-26 09:03:00,2024-02-26 09:03:00,2024-02-26 18:03:00,2024-02-26 18:03:00,2024-02-26 18:03 KST,2024-02-26 18:03 KST,0.07,-1,-0.07,205.34,205.34,16421.199999999993,16421.199999999993
BTCUSDT,Short,"62,609.3 USDT",0.003,187.83 USDT,-0.09 USDT,-0.05 %,02/29/2024 10:44 UTC,02/29/2024 10:45 UTC,,,2024-02-29 10:44:00,2024-02-29 10:45:00,2024-02-29 19:44:00,2024-02-29 19:45:00,2024-02-29 19:44 KST,2024-02-29 19:45 KST,0.09,-1,-0.09,187.83,187.83,16421.109999999993,16421.109999999993
ONDOUSDT,Long,0.481 USDT,"251,133.1","120,878.68 USDT","7,503 USDT",6.21 %,02/29/2024 18:13 UTC,03/15/2024 08:09 UTC,37.26 % 0.66 USDT,-14.80 % 0.41 USDT,2024-02-29 18:13:00,2024-03-15 08:09:00,2024-03-01 03:13:00,2024-03-15 17:09:00,2024-03-01 03:13 KST,2024-03-15 17:09 KST,7503.0,1,7503.0,120878.68,120878.68,23924.109999999993,23924.109999999993
BTCUSDT,Long,"62,491.15 USDT",0.006,374.95 USDT,-0.27 USDT,-0.07 %,03/01/2024 13:55 UTC,03/01/2024 13:57 UTC,"0.13 % 62,572 USDT","-0.02 % 62,476 USDT",2024-03-01 13:55:00,2024-03-01 13:57:00,2024-03-01 22:55:00,2024-03-01 22:57:00,2024-03-01 22:55 KST,2024-03-01 22:57 KST,0.27,-1,-0.27,374.95,374.95,23923.839999999993,23923.839999999993
1000PEPEUSDT,Long,0.008 USDT,"1,417,959","10,696.72 USDT","2,004 USDT",18.74 %,03/06/2024 13:19 UTC,03/09/2024 09:04 UTC,31.96 % 0.01 USDT,-15.03 % 0.01 USDT,2024-03-06 13:19:00,2024-03-09 09:04:00,2024-03-06 22:19:00,2024-03-09 18:04:00,2024-03-06 22:19 KST,2024-03-09 18:04 KST,2004.0,1,2004.0,10696.72,10696.72,25927.839999999993,25927.839999999993
ONDOUSDT,Long,0.51 USDT,"184,935.5","94,372.70 USDT","42,779 USDT",45.33 %,03/15/2024 08:10 UTC,03/21/2024 08:17 UTC,53.83 % 0.78 USDT,-24.57 % 0.38 USDT,2024-03-15 08:10:00,2024-03-21 08:17:00,2024-03-15 17:10:00,2024-03-21 17:17:00,2024-03-15 17:10 KST,2024-03-21 17:17 KST,42779.0,1,42779.0,94372.7,94372.7,68706.84,68706.84
