Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BABYUSDT,Long,0.08 USDT,"62,394","4,992.77 USDT",281.44 USDT,5.64 %,04/10/2025 10:16 UTC,04/10/2025 10:17 UTC,5.82 % 0.08 USDT,,2025-04-10 10:16:00,2025-04-10 10:17:00,2025-04-10 19:16:00,2025-04-10 19:17:00,2025-04-10 19:16 KST,2025-04-10 19:17 KST,281.44,1,281.44,4992.77,4992.77,281.44,281.44
OMUSDT,Short,1.7 USDT,"14,804.3","25,167.31 USDT",-171.77 USDT,-0.68 %,04/13/2025 18:43 UTC,04/13/2025 18:46 UTC,,0.00 % 1.70 USDT,2025-04-13 18:43:00,2025-04-13 18:46:00,2025-04-14 03:43:00,2025-04-14 03:46:00,2025-04-14 03:43 KST,2025-04-14 03:46 KST,171.77,-1,-171.77,25167.31,25167.31,109.66999999999999,109.66999999999999
OMUSDT,Short,0.645 USDT,"39,125","25,247.03 USDT",488.87 USDT,1.94 %,04/13/2025 19:22 UTC,04/13/2025 19:24 UTC,,-5.41 % 0.68 USDT,2025-04-13 19:22:00,2025-04-13 19:24:00,2025-04-14 04:22:00,2025-04-14 04:24:00,2025-04-14 04:22 KST,2025-04-14 04:24 KST,488.87,1,488.87,25247.03,25247.03,598.54,598.54
OMUSDT,Short,0.717 USDT,"35,113.5","25,175.72 USDT",328.89 USDT,1.31 %,04/13/2025 19:24 UTC,04/13/2025 19:26 UTC,,,2025-04-13 19:24:00,2025-04-13 19:26:00,2025-04-14 04:24:00,2025-04-14 04:26:00,2025-04-14 04:24 KST,2025-04-14 04:26 KST,328.89,1,328.89,25175.72,25175.72,927.43,927.43
OMUSDT,Short,0.564 USDT,"45,299.9","25,547.54 USDT",772.84 USDT,3.03 %,04/13/2025 19:31 UTC,04/13/2025 19:44 UTC,17.78 % 0.48 USDT,-0.06 % 0.56 USDT,2025-04-13 19:31:00,2025-04-13 19:44:00,2025-04-14 04:31:00,2025-04-14 04:44:00,2025-04-14 04:31 KST,2025-04-14 04:44 KST,772.84,1,772.84,25547.54,25547.54,1700.27,1700.27
OMUSDT,Short,1.243 USDT,"20,289.5","25,227.74 USDT","7,094 USDT",28.12 %,04/13/2025 21:09 UTC,04/13/2025 21:10 UTC,12.30 % 1.11 USDT,,2025-04-13 21:09:00,2025-04-13 21:10:00,2025-04-14 06:09:00,2025-04-14 06:10:00,2025-04-14 06:09 KST,2025-04-14 06:10 KST,7094.0,1,7094.0,25227.74,25227.74,8794.27,8794.27
VTHOUSDT,Short,0.003 USDT,"739,961","-1,991.30 USDT",17.37 USDT,0.87 %,04/14/2025 10:18 UTC,04/14/2025 10:38 UTC,2.09 % 0.00 USDT,,2025-04-14 10:18:00,2025-04-14 10:38:00,2025-04-14 19:18:00,2025-04-14 19:38:00,2025-04-14 19:18 KST,2025-04-14 19:38 KST,17.37,1,17.37,-1991.3,1991.3,8811.640000000001,8811.640000000001
ALCHUSDT,Long,0.138 USDT,"36,081","4,969.42 USDT",4.61 USDT,0.09 %,04/14/2025 11:09 UTC,04/14/2025 11:12 UTC,0.17 % 0.14 USDT,-2.39 % 0.13 USDT,2025-04-14 11:09:00,2025-04-14 11:12:00,2025-04-14 20:09:00,2025-04-14 20:12:00,2025-04-14 20:09 KST,2025-04-14 20:12 KST,4.61,1,4.61,4969.42,4969.42,8816.250000000002,8816.250000000002
KERNELUSDT,Long,0.345 USDT,"346,545","119,664.91 USDT","2,907 USDT",2.43 %,04/14/2025 12:25 UTC,04/14/2025 12:39 UTC,3.33 % 0.36 USDT,-5.42 % 0.33 USDT,2025-04-14 12:25:00,2025-04-14 12:39:00,2025-04-14 21:25:00,2025-04-14 21:39:00,2025-04-14 21:25 KST,2025-04-14 21:39 KST,2907.0,1,2907.0,119664.91,119664.91,11723.250000000002,11723.250000000002
KERNELUSDT,Short,0.375 USDT,"290,650","-109,116.58 USDT","16,067 USDT",14.72 %,04/14/2025 12:39 UTC,04/14/2025 16:55 UTC,32.47 % 0.28 USDT,-3.09 % 0.39 USDT,2025-04-14 12:39:00,2025-04-14 16:55:00,2025-04-14 21:39:00,2025-04-15 01:55:00,2025-04-14 21:39 KST,2025-04-15 01:55 KST,16067.0,1,16067.0,-109116.58,109116.58,27790.25,27790.25
