Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
DOGEUSDT,Long,0.137 USDT,"4,483,065","612,521.17 USDT","147,895 USDT",24.15 %,03/08/2024 22:42 UTC,03/10/2024 14:37 UTC,,,2024-03-08 22:42:00,2024-03-10 14:37:00,2024-03-09 07:42:00,2024-03-10 23:37:00,2024-03-09 07:42 KST,2024-03-10 23:37 KST,147895.0,1,147895.0,612521.17,612521.17,147895.0,147895.0
SUIUSDT,Long,6.321 USDT,"574,998.8","917,583.09 USDT","165,761 USDT",18.06 %,03/08/2024 22:42 UTC,03/16/2024 02:19 UTC,,,2024-03-08 22:42:00,2024-03-16 02:19:00,2024-03-09 07:42:00,2024-03-16 11:19:00,2024-03-09 07:42 KST,2024-03-16 11:19 KST,165761.0,1,165761.0,917583.09,917583.09,313656.0,313656.0
kBONKUSDT,Long,0.033 USDT,"38,847,115","1,272,748.03 USDT","-15,989.70 USDT",-1.26 %,03/08/2024 22:42 UTC,03/15/2024 04:45 UTC,12.60 % 0.04 USDT,-18.58 % 0.03 USDT,2024-03-08 22:42:00,2024-03-15 04:45:00,2024-03-09 07:42:00,2024-03-15 13:45:00,2024-03-09 07:42 KST,2024-03-15 13:45 KST,15989.7,-1,-15989.7,1272748.03,1272748.03,297666.3,297666.3
WIFUSDT,Long,2.24 USDT,"555,737","764,360.67 USDT","708,092 USDT",92.64 %,03/08/2024 22:42 UTC,03/15/2024 04:40 UTC,,,2024-03-08 22:42:00,2024-03-15 04:40:00,2024-03-09 07:42:00,2024-03-15 13:40:00,2024-03-09 07:42 KST,2024-03-15 13:40 KST,708092.0,1,708092.0,764360.67,764360.67,1005758.3,1005758.3
ORDIUSDT,Long,77.256 USDT,"2,032.87","157,051.40 USDT","-5,439.15 USDT",-3.46 %,03/08/2024 22:42 UTC,03/11/2024 07:02 UTC,3.24 % 79.76 USDT,-9.50 % 69.92 USDT,2024-03-08 22:42:00,2024-03-11 07:02:00,2024-03-09 07:42:00,2024-03-11 16:02:00,2024-03-09 07:42 KST,2024-03-11 16:02 KST,5439.15,-1,-5439.15,157051.4,157051.4,1000319.15,1000319.15
kPEPEUSDT,Long,0.007 USDT,"142,910,752","963,647.20 USDT","221,269 USDT",22.96 %,03/08/2024 22:42 UTC,03/12/2024 15:00 UTC,,,2024-03-08 22:42:00,2024-03-12 15:00:00,2024-03-09 07:42:00,2024-03-13 00:00:00,2024-03-09 07:42 KST,2024-03-13 00:00 KST,221269.0,1,221269.0,963647.2,963647.2,1221588.15,1221588.15
TIAUSDT,Long,16.882 USDT,"9,000","151,938.00 USDT",405.72 USDT,0.27 %,03/08/2024 22:42 UTC,03/12/2024 14:19 UTC,,,2024-03-08 22:42:00,2024-03-12 14:19:00,2024-03-09 07:42:00,2024-03-12 23:19:00,2024-03-09 07:42 KST,2024-03-12 23:19 KST,405.72,1,405.72,151938.0,151938.0,1221993.8699999999,1221993.8699999999
FILUSDT,Long,10.111 USDT,"6,565.5","66,383.77 USDT","7,606 USDT",11.46 %,03/08/2024 22:42 UTC,03/11/2024 12:49 UTC,,,2024-03-08 22:42:00,2024-03-11 12:49:00,2024-03-09 07:42:00,2024-03-11 21:49:00,2024-03-09 07:42 KST,2024-03-11 21:49 KST,7606.0,1,7606.0,66383.77,66383.77,1229599.8699999999,1229599.8699999999
BTCUSDT,Long,"71,403 USDT",0.393,"28,067.81 USDT",227.15 USDT,0.81 %,03/11/2024 11:55 UTC,03/11/2024 12:51 UTC,,,2024-03-11 11:55:00,2024-03-11 12:51:00,2024-03-11 20:55:00,2024-03-11 21:51:00,2024-03-11 20:55 KST,2024-03-11 21:51 KST,227.15,1,227.15,28067.81,28067.81,1229827.0199999998,1229827.0199999998
SOLUSDT,Long,149.98 USDT,"10,521.59","1,569,084.72 USDT","245,579 USDT",15.65 %,03/12/2024 00:36 UTC,03/15/2024 04:42 UTC,,,2024-03-12 00:36:00,2024-03-15 04:42:00,2024-03-12 09:36:00,2024-03-15 13:42:00,2024-03-12 09:36 KST,2024-03-15 13:42 KST,245579.0,1,245579.0,1569084.72,1569084.72,1475406.0199999998,1475406.0199999998
ETHUSDT,Long,"3,652.5 USDT",479.268,"1,737,491.01 USDT","-56,311.96 USDT",-3.24 %,03/12/2024 15:00 UTC,04/09/2024 15:20 UTC,,,2024-03-12 15:00:00,2024-04-09 15:20:00,2024-03-13 00:00:00,2024-04-10 00:20:00,2024-03-13 00:00 KST,2024-04-10 00:20 KST,56311.96,-1,-56311.96,1737491.01,1737491.01,1419094.0599999998,1419094.0599999998
ARUSDT,Long,40.056 USDT,"9,352.87","374,638.56 USDT","-71,779.86 USDT",-19.16 %,03/12/2024 15:00 UTC,03/19/2024 23:08 UTC,,,2024-03-12 15:00:00,2024-03-19 23:08:00,2024-03-13 00:00:00,2024-03-20 08:08:00,2024-03-13 00:00 KST,2024-03-20 08:08 KST,71779.86,-1,-71779.86,374638.56,374638.56,1347314.1999999997,1347314.1999999997
PENDLEUSDT,Long,3.035 USDT,"15,000","45,522.00 USDT","1,579 USDT",3.47 %,03/12/2024 15:57 UTC,03/13/2024 06:45 UTC,,,2024-03-12 15:57:00,2024-03-13 06:45:00,2024-03-13 00:57:00,2024-03-13 15:45:00,2024-03-13 00:57 KST,2024-03-13 15:45 KST,1579.0,1,1579.0,45522.0,45522.0,1348893.1999999997,1348893.1999999997
BTCUSDT,Long,"69,332 USDT",2.519,"174,652.16 USDT","9,470 USDT",5.42 %,03/12/2024 17:06 UTC,03/13/2024 23:42 UTC,"6.39 % 73,759 USDT","-0.72 % 68,831 USDT",2024-03-12 17:06:00,2024-03-13 23:42:00,2024-03-13 02:06:00,2024-03-14 08:42:00,2024-03-13 02:06 KST,2024-03-14 08:42 KST,9470.0,1,9470.0,174652.16,174652.16,1358363.1999999997,1358363.1999999997
PENDLEUSDT,Long,"2,825.5 USDT","394,498","1,206,256.53 USDT","585,101 USDT",48.51 %,03/13/2024 13:46 UTC,03/28/2024 00:18 UTC,,,2024-03-13 13:46:00,2024-03-28 00:18:00,2024-03-13 22:46:00,2024-03-28 09:18:00,2024-03-13 22:46 KST,2024-03-28 09:18 KST,585101.0,1,585101.0,1206256.53,1206256.53,1943464.1999999997,1943464.1999999997
BTCUSDT,Long,"69,572 USDT",7.683,"534,514.72 USDT","-12,147.66 USDT",-2.27 %,03/14/2024 18:46 UTC,03/15/2024 17:15 UTC,"4.18 % 72,481 USDT","-5.60 % 65,673 USDT",2024-03-14 18:46:00,2024-03-15 17:15:00,2024-03-15 03:46:00,2024-03-16 02:15:00,2024-03-15 03:46 KST,2024-03-16 02:15 KST,12147.66,-1,-12147.66,534514.72,534514.72,1931316.5399999998,1931316.5399999998
