Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
DYDXUSDT,Long,3.568 USDT,"150,236.9","536,078.72 USDT","18,268 USDT",3.41 %,01/03/2024 12:24 UTC,02/24/2024 14:02 UTC,10.70 % 3.95 USDT,-20.24 % 2.85 USDT,2024-01-03 12:24:00,2024-02-24 14:02:00,2024-01-03 21:24:00,2024-02-24 23:02:00,2024-01-03 21:24 KST,2024-02-24 23:02 KST,18268.0,1,18268.0,536078.72,536078.72,18268.0,18268.0
UNIUSDT,Long,9.17 USDT,"93,671","859,007.12 USDT","250,216 USDT",29.13 %,02/23/2024 14:30 UTC,02/24/2024 14:08 UTC,40.43 % 12.88 USDT,-4.14 % 8.79 USDT,2024-02-23 14:30:00,2024-02-24 14:08:00,2024-02-23 23:30:00,2024-02-24 23:08:00,2024-02-23 23:30 KST,2024-02-24 23:08 KST,250216.0,1,250216.0,859007.12,859007.12,268484.0,268484.0
INJUSDT,Short,41.983 USDT,"1,239.6","-52,042.31 USDT","3,194 USDT",6.14 %,03/03/2024 02:49 UTC,03/12/2024 04:06 UTC,22.61 % 34.24 USDT,-1.61 % 42.67 USDT,2024-03-03 02:49:00,2024-03-12 04:06:00,2024-03-03 11:49:00,2024-03-12 13:06:00,2024-03-03 11:49 KST,2024-03-12 13:06 KST,3194.0,1,3194.0,-52042.31,52042.31,271678.0,271678.0
OPUSDT,Short,4.096 USDT,"27,696.3","-113,454.47 USDT","-8,162.38 USDT",-7.19 %,03/03/2024 03:14 UTC,03/12/2024 09:08 UTC,8.37 % 3.78 USDT,-15.64 % 4.86 USDT,2024-03-03 03:14:00,2024-03-12 09:08:00,2024-03-03 12:14:00,2024-03-12 18:08:00,2024-03-03 12:14 KST,2024-03-12 18:08 KST,8162.38,-1,-8162.38,-113454.47,113454.47,263515.62,263515.62
PENDLEUSDT,Short,3.367 USDT,"1,475","-4,965.80 USDT",656.95 USDT,13.23 %,03/03/2024 09:13 UTC,03/08/2024 23:51 UTC,39.01 % 2.42 USDT,-0.40 % 3.38 USDT,2024-03-03 09:13:00,2024-03-08 23:51:00,2024-03-03 18:13:00,2024-03-09 08:51:00,2024-03-03 18:13 KST,2024-03-09 08:51 KST,656.95,1,656.95,-4965.8,4965.8,264172.57,264172.57
FETUSDT,Short,1.947 USDT,"12,644","-24,613.55 USDT","-1,723.11 USDT",-7.00 %,03/03/2024 09:25 UTC,03/12/2024 04:11 UTC,36.10 % 1.43 USDT,-37.65 % 3.12 USDT,2024-03-03 09:25:00,2024-03-12 04:11:00,2024-03-03 18:25:00,2024-03-12 13:11:00,2024-03-03 18:25 KST,2024-03-12 13:11 KST,1723.11,-1,-1723.11,-24613.55,24613.55,262449.46,262449.46
SUIUSDT,Short,1.564 USDT,"60,891.9","-95,237.97 USDT","2,001 USDT",2.10 %,03/03/2024 09:29 UTC,03/09/2024 01:33 UTC,24.92 % 1.25 USDT,-2.96 % 1.61 USDT,2024-03-03 09:29:00,2024-03-09 01:33:00,2024-03-03 18:29:00,2024-03-09 10:33:00,2024-03-03 18:29 KST,2024-03-09 10:33 KST,2001.0,1,2001.0,-95237.97,95237.97,264450.46,264450.46
WLDUSDT,Short,7.896 USDT,"9,495","-74,971.23 USDT","-13,441.90 USDT",-17.93 %,03/03/2024 10:17 UTC,03/12/2024 03:51 UTC,32.99 % 5.94 USDT,-33.03 % 11.79 USDT,2024-03-03 10:17:00,2024-03-12 03:51:00,2024-03-03 19:17:00,2024-03-12 12:51:00,2024-03-03 19:17 KST,2024-03-12 12:51 KST,13441.9,-1,-13441.9,-74971.23,74971.23,251008.56000000003,251008.56000000003
ONDOUSDT,Long,0.512 USDT,"155,072","79,440.33 USDT","2,234 USDT",2.81 %,03/03/2024 11:10 UTC,03/06/2024 07:47 UTC,5.96 % 0.54 USDT,-19.95 % 0.41 USDT,2024-03-03 11:10:00,2024-03-06 07:47:00,2024-03-03 20:10:00,2024-03-06 16:47:00,2024-03-03 20:10 KST,2024-03-06 16:47 KST,2234.0,1,2234.0,79440.33,79440.33,253242.56000000003,253242.56000000003
BNBUSDT,Long,424.048 USDT,"3,000.56","1,272,382.25 USDT","65,924 USDT",5.18 %,03/04/2024 10:25 UTC,03/07/2024 14:50 UTC,6.07 % 449.79 USDT,-16.99 % 352.01 USDT,2024-03-04 10:25:00,2024-03-07 14:50:00,2024-03-04 19:25:00,2024-03-07 23:50:00,2024-03-04 19:25 KST,2024-03-07 23:50 KST,65924.0,1,65924.0,1272382.25,1272382.25,319166.56000000006,319166.56000000006
