Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
TONUSDT,Long,4.23 USDT,"46,699.8","197,539.50 USDT","3,280 USDT",1.66 %,03/20/2024 12:08 UTC,03/22/2024 11:55 UTC,6.29 % 4.50 USDT,-4.54 % 4.04 USDT,2024-03-20 12:08:00,2024-03-22 11:55:00,2024-03-20 21:08:00,2024-03-22 20:55:00,2024-03-20 21:08 KST,2024-03-22 20:55 KST,3280.0,1,3280.0,197539.5,197539.5,3280.0,3280.0
API3USDT,Long,3.627 USDT,"25,916","93,995.25 USDT","-1,044.01 USDT",-1.11 %,03/20/2024 21:11 UTC,03/22/2024 11:55 UTC,12.29 % 4.07 USDT,-1.63 % 3.57 USDT,2024-03-20 21:11:00,2024-03-22 11:55:00,2024-03-21 06:11:00,2024-03-22 20:55:00,2024-03-21 06:11 KST,2024-03-22 20:55 KST,1044.01,-1,-1044.01,93995.25,93995.25,2235.99,2235.99
ACEUSDT,Long,10.214 USDT,"4,895.28","49,999.90 USDT","4,395 USDT",8.79 %,03/23/2024 13:03 UTC,03/26/2024 13:38 UTC,10.26 % 11.26 USDT,-4.05 % 9.80 USDT,2024-03-23 13:03:00,2024-03-26 13:38:00,2024-03-23 22:03:00,2024-03-26 22:38:00,2024-03-23 22:03 KST,2024-03-26 22:38 KST,4395.0,1,4395.0,49999.9,49999.9,6630.99,6630.99
GALAUSDT,Long,0.062 USDT,"1,160,119","71,474.88 USDT","8,933 USDT",12.50 %,03/23/2024 13:12 UTC,03/26/2024 13:38 UTC,18.55 % 0.07 USDT,-2.91 % 0.06 USDT,2024-03-23 13:12:00,2024-03-26 13:38:00,2024-03-23 22:12:00,2024-03-26 22:38:00,2024-03-23 22:12 KST,2024-03-26 22:38 KST,8933.0,1,8933.0,71474.88,71474.88,15563.99,15563.99
STRKUSDT,Long,2.091 USDT,"45,679.4","95,510.80 USDT","9,519 USDT",9.97 %,03/23/2024 15:04 UTC,03/26/2024 13:38 UTC,14.71 % 2.40 USDT,-2.66 % 2.04 USDT,2024-03-23 15:04:00,2024-03-26 13:38:00,2024-03-24 00:04:00,2024-03-26 22:38:00,2024-03-24 00:04 KST,2024-03-26 22:38 KST,9519.0,1,9519.0,95510.8,95510.8,25082.989999999998,25082.989999999998
TUSDT,Long,0.038 USDT,"1,070,775","40,975.64 USDT","16,014 USDT",39.08 %,03/23/2024 19:04 UTC,03/27/2024 14:10 UTC,70.75 % 0.07 USDT,-3.52 % 0.04 USDT,2024-03-23 19:04:00,2024-03-27 14:10:00,2024-03-24 04:04:00,2024-03-27 23:10:00,2024-03-24 04:04 KST,2024-03-27 23:10 KST,16014.0,1,16014.0,40975.64,40975.64,41096.99,41096.99
1000LUNCUSDT,Long,0.163 USDT,"416,539","67,991.72 USDT","1,970 USDT",2.90 %,03/24/2024 19:31 UTC,03/26/2024 13:38 UTC,6.18 % 0.17 USDT,-3.10 % 0.16 USDT,2024-03-24 19:31:00,2024-03-26 13:38:00,2024-03-25 04:31:00,2024-03-26 22:38:00,2024-03-25 04:31 KST,2024-03-26 22:38 KST,1970.0,1,1970.0,67991.72,67991.72,43066.99,43066.99
WIFUSDT,Long,2.8 USDT,"27,710.3","77,593.87 USDT","10,501 USDT",13.53 %,03/24/2024 21:54 UTC,03/26/2024 13:38 UTC,19.13 % 3.34 USDT,-6.08 % 2.63 USDT,2024-03-24 21:54:00,2024-03-26 13:38:00,2024-03-25 06:54:00,2024-03-26 22:38:00,2024-03-25 06:54 KST,2024-03-26 22:38 KST,10501.0,1,10501.0,77593.87,77593.87,53567.99,53567.99
GMTUSDT,Long,0.32 USDT,"317,856","101,761.87 USDT",-204.32 USDT,-0.20 %,03/25/2024 08:29 UTC,03/25/2024 08:38 UTC,2.45 % 0.33 USDT,-1.14 % 0.32 USDT,2024-03-25 08:29:00,2024-03-25 08:38:00,2024-03-25 17:29:00,2024-03-25 17:38:00,2024-03-25 17:29 KST,2024-03-25 17:38 KST,204.32,-1,-204.32,101761.87,101761.87,53363.67,53363.67
ENSUSDT,Long,24.083 USDT,"4,110.7","98,997.99 USDT","-5,335.95 USDT",-5.39 %,03/25/2024 08:39 UTC,03/26/2024 13:38 UTC,1.33 % 24.40 USDT,-7.66 % 22.24 USDT,2024-03-25 08:39:00,2024-03-26 13:38:00,2024-03-25 17:39:00,2024-03-26 22:38:00,2024-03-25 17:39 KST,2024-03-26 22:38 KST,5335.95,-1,-5335.95,98997.99,98997.99,48027.72,48027.72
