symbol,liquidity_status,reasons,volume_24h,spread_percent,depth_usd,last_price,timestamp,trade_count,avg_position_size_usdt,max_position_size_usdt,total_pnl,avg_pnl_percent,reason
AVAXUSDT,low,"주문장 깊이(425,070.65 USD)가 기준치(500,000 USD) 미만",271918409.82,0.004898119122263039,425070.653,20.417,2025-04-14 21:14:08,57,130604.24859649123,502195.59,-40663.15000000001,0.11456140350877192,
MKRUSDT,low,"주문장 깊이(126,398.04 USD)가 기준치(500,000 USD) 미만",42413016.17,0.007067137809180851,126398.04089999999,1414.6,2025-04-14 21:14:10,26,86582.51307692307,451807.49,33537.76,0.768076923076923,
APEUSDT,low,"주문장 깊이(376,434.42 USD)가 기준치(500,000 USD) 미만",17954408.6893,0.023148148148145597,376434.42319999996,0.432,2025-04-14 21:14:11,12,55135.46583333332,121139.6,2455.5299999999993,0.3591666666666666,
SANDUSDT,low,"주문장 깊이(70,712.71 USD)가 기준치(500,000 USD) 미만",43227281.39278,0.015018397536976981,70712.71011,0.26623,2025-04-14 21:14:12,7,56791.02,124392.56,-2689.6,-1.0585714285714285,
APTUSDT,low,"주문장 깊이(34,988.23 USD)가 기준치(500,000 USD) 미만",72067241.89841,0.002012882447660365,34988.22552,4.9681,2025-04-14 21:14:13,42,120529.49357142858,503529.68,52913.799999999996,1.2664285714285715,
C98USDT,low,"24시간 거래량(4,868,540.42 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(435,719.43 USD)가 기준치(500,000 USD) 미만",4868540.4217,0.18484288354897582,435719.4314,0.0542,2025-04-14 21:14:14,4,32388.4775,40023.05,713.61,0.5225,
HFTUSDT,low,"24시간 거래량(2,872,815.70 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(49,369.24 USD)가 기준치(500,000 USD) 미만",2872815.70274,0.056369785794805165,49369.24264,0.05322,2025-04-14 21:14:15,5,50046.83600000001,89175.7,-1866.97,-0.4520000000000001,
LOOMUSDT,low,"주문장 깊이(0.00 USD)가 기준치(500,000 USD) 미만",15017366.45818,,0.0,0.08112,2025-04-14 21:14:16,13,45859.90923076923,100940.25,9704.28,1.8346153846153845,
TUSDT,low,"24시간 거래량(3,361,930.54 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(230,932.72 USD)가 기준치(500,000 USD) 미만",3361930.53592,0.07112375533427875,230932.71931999997,0.01407,2025-04-14 21:14:17,7,31923.170000000006,64964.4,1808.6299999999999,0.2128571428571429,
BIGTIMEUSDT,low,"주문장 깊이(159,322.98 USD)가 기준치(500,000 USD) 미만",45913825.70064,0.02928257686677324,159322.97687,0.06832,2025-04-14 21:14:18,24,52067.84208333333,153240.54,1691.04,1.4954166666666666,
