Symbol,PnL_Numeric,Size_USDT_Abs,pnl_percent,ROI(%),liquidity_status
NILUSDT,-67731.47,381459.49,-17.76,-17.755874942316943,low
BNTUSDT,-12478.68,95390.29,-8.575,-13.081708840595832,low
THETAUSDT,-5791.97,46469.52,-12.46,-12.464019426066809,low
TRUUSDT,-546.95,4612.2,-11.86,-11.85876588179177,low
VANAUSDT,-184399.58000000002,2353827.97,0.7980000000000003,-7.834029604126082,low
CHILLGUYUSDT,-77721.77,992310.04,-6.500000000000001,-7.832407903481456,low
CATIUSDT,-26073.18,378248.16,-6.89,-6.893141264718909,low
GRASSUSDT,-27927.949999999997,440673.64,-4.8,-6.337558561478739,low
BCHUSDT,-51337.46000000001,1048641.21,-0.5842857142857144,-4.8956172531117685,low
NEIROETHUSDT,-17158.35,372644.56,-4.6,-4.604481546704989,low
