Symbol,PnL_Numeric,Size_USDT_Abs,pnl_percent,ROI(%),liquidity_status
ENAUSDT,-91560.89,2096610.3099999998,-4.02,-4.367091469658948,normal
1000SATSUSDT,-16554.54,879594.39,-1.4088888888888889,-1.8820652096246318,normal
LTCUSDT,-33181.770000000004,2286698.32,-0.7999999999999999,-1.4510777267724588,normal
GALAUSDT,-2190.42,211274.63,-1.1857142857142857,-1.0367643289684143,normal
RUNEUSDT,-10126.359999999999,1100791.46,1.1256249999999999,-0.9199162936820021,normal
SEIUSDT,-17461.7,2326621.6,1.0757692307692308,-0.7505174025720384,normal
JUPUSDT,-6328.749999999998,1021673.38,1.3559999999999999,-0.6194494369619377,normal
XRPUSDT,-22728.21,6989284.47,-0.12354838709677421,-0.3251865065380577,normal
WLDUSDT,-11510.34,5531762.89,0.6802000000000001,-0.2080772482278249,normal
ATOMUSDT,185.15999999999985,502531.09,-0.31714285714285717,0.03684548154025651,normal
