liquidity_status,position_size_category,거래 횟수,총 수익(USDT),평균 수익률(%),ROI(%)
low,100만 이상,5,-29657.600000000006,-0.21399999999999988,-0.4814333709832468
low,10만~50만,419,789785.3699999999,1.254033412887828,0.9908582835435177
low,1만~5만,531,103692.87,0.8061016949152544,0.6506795423646248
low,50만~100만,26,772562.1299999999,4.493846153846155,4.689285199325245
low,5만~10만,392,146325.21,0.47813775510204093,0.514430175684563
low,~1만,181,15732.130000000001,2.318121546961326,2.597609462815599
normal,100만 이상,25,222044.69,0.7452000000000001,0.6055054854794052
normal,10만~50만,492,766560.3399999999,0.7513821138211383,0.6730166365126867
normal,1만~5만,224,62586.35,1.1531696428571425,0.8745842947782946
normal,50만~100만,85,317137.35,0.43200000000000016,0.5292797595493436
normal,5만~10만,224,236325.78999999998,1.4447767857142857,1.40314721546406
normal,~1만,59,5017.490000000001,2.68593220338983,1.8792456335308276
unknown,10만~50만,21,3072.0000000000023,0.7719047619047618,0.07372922992152191
unknown,1만~5만,14,-1208.2099999999998,0.2342857142857143,-0.26249905680798014
unknown,50만~100만,4,-49750.96000000001,-1.55,-1.8436573869553177
unknown,5만~10만,10,14035.32,2.176,2.1111492718776828
unknown,~1만,4,-151.97,-0.5025,-0.5499643538271686
