Symbol,PnL_Numeric,Size_USDT_Abs,pnl_percent,ROI(%),liquidity_status
FARTCOINUSDT,1135900.05,4729847.94,19.282857142857146,24.015572263830535,low
DUSKUSDT,30145.84,133312.8,8.036666666666667,22.612862380806646,low
GLMUSDT,829.55,6447.58,12.87,12.866067578843534,low
PONKEUSDT,11703.0,101428.0,11.54,11.538234018219821,low
WAXPUSDT,10.03,98.98,10.14,10.133360274802989,low
AGIXUSDT,52242.17,557025.53,2.6486666666666667,9.378774793320515,low
ROSEUSDT,2111.0,22657.29,9.32,9.317089554840848,low
VIRTUALUSDT,30886.13,378514.44,7.346666666666668,8.159828724103631,low
ETHFIUSDT,7203.0,97437.56,7.39,7.392426493438464,low
ETHWUSDT,24325.57,348734.66,3.656,6.975380651868673,low
