Symbol,PnL_Numeric,Size_USDT_Abs,pnl_percent,ROI(%),liquidity_status
PEOPLEUSDT,7534.7,38010.66,10.8275,19.82259713459329,normal
TRUMPUSDT,15898.0,97814.49,16.25,16.253215653427215,normal
ADAUSDT,95318.11,659842.87,5.054,14.445577020480648,normal
UNIUSDT,111430.17,1018144.3200000001,6.447999999999999,10.944437621574119,normal
GOATUSDT,29736.940000000002,386141.05,4.966666666666667,7.701056388591683,normal
ONDOUSDT,353188.6,5595145.51,6.7,6.3124113460277105,normal
SUIUSDT,336737.52,10101209.790000001,2.5048214285714288,3.333635544658854,normal
WIFUSDT,28726.72,1309789.71,8.113333333333333,2.193231461560345,normal
SOLUSDT,252144.40999999997,21659601.41,0.7833600000000001,1.1641230382179963,normal
DOGEUSDT,109107.50999999998,11976729.46,0.7163157894736841,0.9109958638073802,normal
