Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period
AVAXUSDT,Long,9.39 USDT,"2,663","25,004.61 USDT",55.17 USDT,0.22 %,10/11/2023 13:49 UTC,10/11/2023 13:50 UTC,0.28 % 9.42 USDT,-0.16 % 9.38 USDT,2023-10-11 13:49:00,2023-10-11 13:50:00,2023-10-11 22:49:00,2023-10-11 22:50:00,2023-10-11 22:49 KST,2023-10-11 22:50 KST,55.17,1,55.17,25004.61,25004.61,55.17,1
BTCUSDT,Long,"27,073.4 USDT",0.002,54.15 USDT,-0.03 USDT,-0.06 %,10/11/2023 14:51 UTC,10/11/2023 14:55 UTC,"0.06 % 27,090 USDT","-0.02 % 27,068 USDT",2023-10-11 14:51:00,2023-10-11 14:55:00,2023-10-11 23:51:00,2023-10-11 23:55:00,2023-10-11 23:51 KST,2023-10-11 23:55 KST,0.03,-1,-0.03,54.15,54.15,55.14,1
BTCUSDT,Long,"26,811.618 USDT",2.61,"69,978.32 USDT",-259.38 USDT,-0.37 %,10/11/2023 15:27 UTC,10/11/2023 16:12 UTC,"0.24 % 26,876 USDT","-0.78 % 26,601 USDT",2023-10-11 15:27:00,2023-10-11 16:12:00,2023-10-12 00:27:00,2023-10-12 01:12:00,2023-10-12 00:27 KST,2023-10-12 01:12 KST,259.38,-1,-259.38,69978.32,69978.32,-204.24,1
ETHUSDT,Long,"1,559.34 USDT",46.483,"72,482.80 USDT",-263.00 USDT,-0.36 %,10/11/2023 15:29 UTC,10/11/2023 16:51 UTC,"0.18 % 1,562 USDT","-0.48 % 1,551 USDT",2023-10-11 15:29:00,2023-10-11 16:51:00,2023-10-12 00:29:00,2023-10-12 01:51:00,2023-10-12 00:29 KST,2023-10-12 01:51 KST,263.0,-1,-263.0,72482.8,72482.8,-467.24,1
MKRUSDT,Long,"1,382.752 USDT",22.42,"31,001.30 USDT",-461.76 USDT,-1.49 %,10/11/2023 15:32 UTC,10/12/2023 09:38 UTC,"1.89 % 1,408 USDT","-1.76 % 1,358 USDT",2023-10-11 15:32:00,2023-10-12 09:38:00,2023-10-12 00:32:00,2023-10-12 18:38:00,2023-10-12 00:32 KST,2023-10-12 18:38 KST,461.76,-1,-461.76,31001.3,31001.3,-929.0,1
LINKUSDT,Long,7.32 USDT,"3,549.63","25,982.05 USDT",-108.38 USDT,-0.42 %,10/11/2023 15:49 UTC,10/12/2023 09:29 UTC,1.51 % 7.43 USDT,-1.29 % 7.22 USDT,2023-10-11 15:49:00,2023-10-12 09:29:00,2023-10-12 00:49:00,2023-10-12 18:29:00,2023-10-12 00:49 KST,2023-10-12 18:29 KST,108.38,-1,-108.38,25982.05,25982.05,-1037.38,1
APEUSDT,Long,1.031 USDT,"68,719","70,857.78 USDT","1,617 USDT",2.28 %,10/11/2023 15:52 UTC,10/12/2023 16:30 UTC,2.12 % 1.05 USDT,-1.18 % 1.02 USDT,2023-10-11 15:52:00,2023-10-12 16:30:00,2023-10-12 00:52:00,2023-10-13 01:30:00,2023-10-12 00:52 KST,2023-10-13 01:30 KST,1617.0,1,1617.0,70857.78,70857.78,579.6199999999999,1
BTCUSDT,Long,"26,722.363 USDT",9.486,"253,488.33 USDT",-599.97 USDT,-0.24 %,10/11/2023 18:01 UTC,10/12/2023 15:49 UTC,"0.81 % 26,939 USDT","-0.43 % 26,606 USDT",2023-10-11 18:01:00,2023-10-12 15:49:00,2023-10-12 03:01:00,2023-10-13 00:49:00,2023-10-12 03:01 KST,2023-10-13 00:49 KST,599.97,-1,-599.97,253488.33,253488.33,-20.350000000000136,1
GALAUSDT,Short,0.013 USDT,"1,146,713","14,999.01 USDT",-66.74 USDT,-0.44 %,10/11/2023 21:36 UTC,10/11/2023 21:55 UTC,,-0.46 % 0.01 USDT,2023-10-11 21:36:00,2023-10-11 21:55:00,2023-10-12 06:36:00,2023-10-12 06:55:00,2023-10-12 06:36 KST,2023-10-12 06:55 KST,66.74,-1,-66.74,14999.01,14999.01,-87.09000000000013,1
SANDUSDT,Short,0.281 USDT,"53,358","14,997.48 USDT",-19.04 USDT,-0.13 %,10/11/2023 21:36 UTC,10/12/2023 16:30 UTC,1.14 % 0.28 USDT,-0.51 % 0.28 USDT,2023-10-11 21:36:00,2023-10-12 16:30:00,2023-10-12 06:36:00,2023-10-13 01:30:00,2023-10-12 06:36 KST,2023-10-13 01:30 KST,19.04,-1,-19.04,14997.48,14997.48,-106.13000000000014,1
APTUSDT,Short,4.854 USDT,"11,760","-57,081.45 USDT",-494.67 USDT,-0.87 %,10/11/2023 22:01 UTC,10/12/2023 15:39 UTC,2.23 % 4.75 USDT,-0.90 % 4.90 USDT,2023-10-11 22:01:00,2023-10-12 15:39:00,2023-10-12 07:01:00,2023-10-13 00:39:00,2023-10-12 07:01 KST,2023-10-13 00:39 KST,494.67,-1,-494.67,-57081.45,57081.45,-600.8000000000002,1
DOTUSDT,Short,3.691 USDT,"5,135.5","-18,954.89 USDT",119.26 USDT,0.63 %,10/11/2023 22:45 UTC,10/12/2023 16:30 UTC,1.09 % 3.65 USDT,-1.21 % 3.74 USDT,2023-10-11 22:45:00,2023-10-12 16:30:00,2023-10-12 07:45:00,2023-10-13 01:30:00,2023-10-12 07:45 KST,2023-10-13 01:30 KST,119.26,1,119.26,-18954.89,18954.89,-481.5400000000002,1
C98USDT,Long,0.135 USDT,"294,602","39,808.55 USDT",-473.47 USDT,-1.19 %,10/12/2023 09:19 UTC,10/12/2023 09:38 UTC,2.87 % 0.14 USDT,-1.80 % 0.13 USDT,2023-10-12 09:19:00,2023-10-12 09:38:00,2023-10-12 18:19:00,2023-10-12 18:38:00,2023-10-12 18:19 KST,2023-10-12 18:38 KST,473.47,-1,-473.47,39808.55,39808.55,-955.0100000000002,1
C98USDT,Long,0.134 USDT,"298,258","40,023.05 USDT",983.00 USDT,2.46 %,10/12/2023 09:40 UTC,10/12/2023 10:08 UTC,4.18 % 0.14 USDT,-0.07 % 0.13 USDT,2023-10-12 09:40:00,2023-10-12 10:08:00,2023-10-12 18:40:00,2023-10-12 19:08:00,2023-10-12 18:40 KST,2023-10-12 19:08 KST,983.0,1,983.0,40023.05,40023.05,27.98999999999978,1
GALAUSDT,Short,0.013 USDT,"749,925","-10,099.76 USDT",-31.06 USDT,-0.31 %,10/12/2023 10:43 UTC,10/12/2023 16:30 UTC,0.28 % 0.01 USDT,-1.19 % 0.01 USDT,2023-10-12 10:43:00,2023-10-12 16:30:00,2023-10-12 19:43:00,2023-10-13 01:30:00,2023-10-12 19:43 KST,2023-10-13 01:30 KST,31.06,-1,-31.06,-10099.76,10099.76,-3.070000000000217,1
ADAUSDT,Short,0.245 USDT,"40,729","-9,991.64 USDT",20.94 USDT,0.21 %,10/12/2023 11:08 UTC,10/12/2023 16:30 UTC,0.42 % 0.24 USDT,-0.24 % 0.25 USDT,2023-10-12 11:08:00,2023-10-12 16:30:00,2023-10-12 20:08:00,2023-10-13 01:30:00,2023-10-12 20:08 KST,2023-10-13 01:30 KST,20.94,1,20.94,-9991.64,9991.64,17.869999999999784,1
HFTUSDT,Long,0.3 USDT,"133,728","40,073.29 USDT","1,129 USDT",2.82 %,10/12/2023 12:13 UTC,10/12/2023 16:30 UTC,6.29 % 0.32 USDT,,2023-10-12 12:13:00,2023-10-12 16:30:00,2023-10-12 21:13:00,2023-10-13 01:30:00,2023-10-12 21:13 KST,2023-10-13 01:30 KST,1129.0,1,1129.0,40073.29,40073.29,1146.87,1
LOOMUSDT,Short,0.216 USDT,"184,253","-39,825.39 USDT",-458.41 USDT,-1.15 %,10/12/2023 12:18 UTC,10/12/2023 12:44 UTC,2.10 % 0.21 USDT,-1.03 % 0.22 USDT,2023-10-12 12:18:00,2023-10-12 12:44:00,2023-10-12 21:18:00,2023-10-12 21:44:00,2023-10-12 21:18 KST,2023-10-12 21:44 KST,458.41,-1,-458.41,-39825.39,39825.39,688.4599999999998,1
LOOMUSDT,Short,0.222 USDT,"112,507","24,991.74 USDT",719.23 USDT,2.88 %,10/12/2023 12:45 UTC,10/12/2023 16:30 UTC,8.09 % 0.21 USDT,,2023-10-12 12:45:00,2023-10-12 16:30:00,2023-10-12 21:45:00,2023-10-13 01:30:00,2023-10-12 21:45 KST,2023-10-13 01:30 KST,719.23,1,719.23,24991.74,24991.74,1407.6899999999998,1
TUSDT,Short,0.02 USDT,"322,705","-6,352.42 USDT",-121.68 USDT,-1.92 %,10/12/2023 13:38 UTC,10/12/2023 13:59 UTC,,-1.97 % 0.02 USDT,2023-10-12 13:38:00,2023-10-12 13:59:00,2023-10-12 22:38:00,2023-10-12 22:59:00,2023-10-12 22:38 KST,2023-10-12 22:59 KST,121.68,-1,-121.68,-6352.42,6352.42,1286.0099999999998,1
BIGTIMEUSDT,Short,0.257 USDT,"38,759","9,968.67 USDT",-184.55 USDT,-1.85 %,10/12/2023 15:01 UTC,10/12/2023 15:07 UTC,,-1.95 % 0.26 USDT,2023-10-12 15:01:00,2023-10-12 15:07:00,2023-10-13 00:01:00,2023-10-13 00:07:00,2023-10-13 00:01 KST,2023-10-13 00:07 KST,184.55,-1,-184.55,9968.67,9968.67,1101.4599999999998,1
BTCUSDT,Long,"26,674.1 USDT",1.874,"49,987.26 USDT",18.50 USDT,0.04 %,10/12/2023 15:56 UTC,10/12/2023 16:30 UTC,"0.13 % 26,709 USDT","-0.07 % 26,656 USDT",2023-10-12 15:56:00,2023-10-12 16:30:00,2023-10-13 00:56:00,2023-10-13 01:30:00,2023-10-13 00:56 KST,2023-10-13 01:30 KST,18.5,1,18.5,49987.26,49987.26,1119.9599999999998,1
BTCUSDT,Long,"26,681.099 USDT",8.41,"224,388.04 USDT",-814.79 USDT,-0.36 %,10/12/2023 16:31 UTC,10/12/2023 17:08 UTC,"0.45 % 26,800 USDT","-0.41 % 26,572 USDT",2023-10-12 16:31:00,2023-10-12 17:08:00,2023-10-13 01:31:00,2023-10-13 02:08:00,2023-10-13 01:31 KST,2023-10-13 02:08 KST,814.79,-1,-814.79,224388.04,224388.04,305.16999999999985,1
MKRUSDT,Long,"1,356.867 USDT",11.057,"15,002.88 USDT",-60.59 USDT,-0.40 %,10/12/2023 16:33 UTC,10/12/2023 17:08 UTC,"0.53 % 1,364 USDT","-0.48 % 1,350 USDT",2023-10-12 16:33:00,2023-10-12 17:08:00,2023-10-13 01:33:00,2023-10-13 02:08:00,2023-10-13 01:33 KST,2023-10-13 02:08 KST,60.59,-1,-60.59,15002.88,15002.88,244.57999999999984,1
APEUSDT,Long,1.048 USDT,"9,541","9,998.97 USDT",-72.77 USDT,-0.73 %,10/12/2023 16:33 UTC,10/12/2023 17:08 UTC,0.19 % 1.05 USDT,-0.86 % 1.04 USDT,2023-10-12 16:33:00,2023-10-12 17:08:00,2023-10-13 01:33:00,2023-10-13 02:08:00,2023-10-13 01:33 KST,2023-10-13 02:08 KST,72.77,-1,-72.77,9998.97,9998.97,171.80999999999983,1
DYDXUSDT,Long,1.837 USDT,"2,721.3","4,999.03 USDT",-43.81 USDT,-0.88 %,10/12/2023 16:34 UTC,10/12/2023 17:08 UTC,0.11 % 1.84 USDT,-0.93 % 1.82 USDT,2023-10-12 16:34:00,2023-10-12 17:08:00,2023-10-13 01:34:00,2023-10-13 02:08:00,2023-10-13 01:34 KST,2023-10-13 02:08 KST,43.81,-1,-43.81,4999.03,4999.03,127.99999999999983,1
BIGTIMEUSDT,Short,0.281 USDT,353,99.12 USDT,-4.47 USDT,-4.51 %,10/12/2023 17:02 UTC,10/12/2023 17:08 UTC,,-4.23 % 0.29 USDT,2023-10-12 17:02:00,2023-10-12 17:08:00,2023-10-13 02:02:00,2023-10-13 02:08:00,2023-10-13 02:02 KST,2023-10-13 02:08 KST,4.47,-1,-4.47,99.12,99.12,123.52999999999983,1
BTCUSDT,Long,"26,601.854 USDT",7.779,"206,935.82 USDT",795.04 USDT,0.38 %,10/12/2023 17:37 UTC,10/12/2023 23:29 UTC,"0.62 % 26,767 USDT","-0.06 % 26,585 USDT",2023-10-12 17:37:00,2023-10-12 23:29:00,2023-10-13 02:37:00,2023-10-13 08:29:00,2023-10-13 02:37 KST,2023-10-13 08:29 KST,795.04,1,795.04,206935.82,206935.82,918.5699999999998,1
MKRUSDT,Long,"1,353.897 USDT",21.79,"29,501.41 USDT",174.65 USDT,0.59 %,10/12/2023 18:07 UTC,10/12/2023 23:29 UTC,"0.91 % 1,366 USDT","-0.26 % 1,350 USDT",2023-10-12 18:07:00,2023-10-12 23:29:00,2023-10-13 03:07:00,2023-10-13 08:29:00,2023-10-13 03:07 KST,2023-10-13 08:29 KST,174.65,1,174.65,29501.41,29501.41,1093.2199999999998,1
HFTUSDT,Long,0.306 USDT,"231,769","71,293.85 USDT",-460.99 USDT,-0.65 %,10/12/2023 18:25 UTC,10/12/2023 23:29 UTC,0.71 % 0.31 USDT,-0.89 % 0.30 USDT,2023-10-12 18:25:00,2023-10-12 23:29:00,2023-10-13 03:25:00,2023-10-13 08:29:00,2023-10-13 03:25 KST,2023-10-13 08:29 KST,460.99,-1,-460.99,71293.85,71293.85,632.2299999999998,1
IDUSDT,Short,0.179 USDT,"55,870","-9,997.26 USDT",-15.31 USDT,-0.15 %,10/12/2023 18:27 UTC,10/12/2023 23:29 UTC,0.87 % 0.18 USDT,-0.26 % 0.18 USDT,2023-10-12 18:27:00,2023-10-12 23:29:00,2023-10-13 03:27:00,2023-10-13 08:29:00,2023-10-13 03:27 KST,2023-10-13 08:29 KST,15.31,-1,-15.31,-9997.26,9997.26,616.9199999999998,1
EDUUSDT,Short,0.405 USDT,"24,668","-9,995.01 USDT",-175.01 USDT,-1.75 %,10/12/2023 18:27 UTC,10/12/2023 23:29 UTC,0.17 % 0.40 USDT,-1.85 % 0.41 USDT,2023-10-12 18:27:00,2023-10-12 23:29:00,2023-10-13 03:27:00,2023-10-13 08:29:00,2023-10-13 03:27 KST,2023-10-13 08:29 KST,175.01,-1,-175.01,-9995.01,9995.01,441.90999999999985,1
HOOKUSDT,Short,0.747 USDT,"13,644.5","-10,194.91 USDT",-33.13 USDT,-0.32 %,10/12/2023 18:27 UTC,10/12/2023 23:29 UTC,0.51 % 0.74 USDT,-0.68 % 0.75 USDT,2023-10-12 18:27:00,2023-10-12 23:29:00,2023-10-13 03:27:00,2023-10-13 08:29:00,2023-10-13 03:27 KST,2023-10-13 08:29 KST,33.13,-1,-33.13,-10194.91,10194.91,408.77999999999986,1
LOOMUSDT,Short,0.274 USDT,"73,413","-19,912.79 USDT",210.89 USDT,1.06 %,10/12/2023 19:46 UTC,10/12/2023 23:29 UTC,7.07 % 0.26 USDT,-4.02 % 0.29 USDT,2023-10-12 19:46:00,2023-10-12 23:29:00,2023-10-13 04:46:00,2023-10-13 08:29:00,2023-10-13 04:46 KST,2023-10-13 08:29 KST,210.89,1,210.89,-19912.79,19912.79,619.6699999999998,1
BIGTIMEUSDT,Short,0.321 USDT,"7,613","-2,439.97 USDT",298.58 USDT,12.24 %,10/12/2023 20:28 UTC,10/12/2023 21:52 UTC,14.34 % 0.28 USDT,,2023-10-12 20:28:00,2023-10-12 21:52:00,2023-10-13 05:28:00,2023-10-13 06:52:00,2023-10-13 05:28 KST,2023-10-13 06:52 KST,298.58,1,298.58,-2439.97,2439.97,918.2499999999998,1
BLURUSDT,Long,0.157 USDT,"80,787","12,711.92 USDT",33.20 USDT,0.26 %,10/12/2023 20:36 UTC,10/12/2023 23:29 UTC,2.09 % 0.16 USDT,-0.57 % 0.16 USDT,2023-10-12 20:36:00,2023-10-12 23:29:00,2023-10-13 05:36:00,2023-10-13 08:29:00,2023-10-13 05:36 KST,2023-10-13 08:29 KST,33.2,1,33.2,12711.92,12711.92,951.4499999999998,1
BTCUSDT,Long,"26,819.354 USDT",7.45,"199,804.19 USDT",-379.91 USDT,-0.19 %,10/13/2023 07:05 UTC,10/13/2023 15:01 UTC,"0.57 % 26,972 USDT","-0.36 % 26,722 USDT",2023-10-13 07:05:00,2023-10-13 15:01:00,2023-10-13 16:05:00,2023-10-14 00:01:00,2023-10-13 16:05 KST,2023-10-14 00:01 KST,379.91,-1,-379.91,199804.19,199804.19,571.5399999999997,1
ETHUSDT,Long,"1,541.465 USDT",16.215,"24,999.59 USDT",22.83 USDT,0.09 %,10/13/2023 07:07 UTC,10/13/2023 15:01 UTC,"0.83 % 1,554 USDT",,2023-10-13 07:07:00,2023-10-13 15:01:00,2023-10-13 16:07:00,2023-10-14 00:01:00,2023-10-13 16:07 KST,2023-10-14 00:01 KST,22.83,1,22.83,24999.59,24999.59,594.3699999999998,1
MKRUSDT,Long,"1,367.187 USDT",21.945,"30,002.92 USDT",577.94 USDT,1.93 %,10/13/2023 07:35 UTC,10/13/2023 15:01 UTC,"2.25 % 1,398 USDT","-0.72 % 1,357 USDT",2023-10-13 07:35:00,2023-10-13 15:01:00,2023-10-13 16:35:00,2023-10-14 00:01:00,2023-10-13 16:35 KST,2023-10-14 00:01 KST,577.94,1,577.94,30002.92,30002.92,1172.31,1
INJUSDT,Long,7.488 USDT,"2,671.4","20,002.89 USDT",28.04 USDT,0.14 %,10/13/2023 07:35 UTC,10/13/2023 15:01 UTC,0.79 % 7.55 USDT,-0.85 % 7.42 USDT,2023-10-13 07:35:00,2023-10-13 15:01:00,2023-10-13 16:35:00,2023-10-14 00:01:00,2023-10-13 16:35 KST,2023-10-14 00:01 KST,28.04,1,28.04,20002.89,20002.89,1200.35,1
DOTUSDT,Short,3.691 USDT,"2,706.1","-9,988.89 USDT",-4.34 USDT,-0.04 %,10/13/2023 07:58 UTC,10/13/2023 15:01 UTC,0.36 % 3.68 USDT,-0.59 % 3.71 USDT,2023-10-13 07:58:00,2023-10-13 15:01:00,2023-10-13 16:58:00,2023-10-14 00:01:00,2023-10-13 16:58 KST,2023-10-14 00:01 KST,4.34,-1,-4.34,-9988.89,9988.89,1196.01,1
LOOMUSDT,Short,0.263 USDT,"95,929","24,991.97 USDT",265.99 USDT,1.06 %,10/13/2023 08:10 UTC,10/13/2023 09:04 UTC,,-2.01 % 0.27 USDT,2023-10-13 08:10:00,2023-10-13 09:04:00,2023-10-13 17:10:00,2023-10-13 18:04:00,2023-10-13 17:10 KST,2023-10-13 18:04 KST,265.99,1,265.99,24991.97,24991.97,1462.0,1
BIGTIMEUSDT,Short,0.27 USDT,"19,819","-5,346.14 USDT",874.01 USDT,16.35 %,10/13/2023 08:42 UTC,10/13/2023 10:09 UTC,19.57 % 0.23 USDT,,2023-10-13 08:42:00,2023-10-13 10:09:00,2023-10-13 17:42:00,2023-10-13 19:09:00,2023-10-13 17:42 KST,2023-10-13 19:09 KST,874.01,1,874.01,-5346.14,5346.14,2336.01,1
APEUSDT,Long,1.051 USDT,"47,606","50,185.83 USDT",-137.86 USDT,-0.27 %,10/13/2023 10:41 UTC,10/13/2023 15:01 UTC,1.42 % 1.07 USDT,-0.48 % 1.05 USDT,2023-10-13 10:41:00,2023-10-13 15:01:00,2023-10-13 19:41:00,2023-10-14 00:01:00,2023-10-13 19:41 KST,2023-10-14 00:01 KST,137.86,-1,-137.86,50185.83,50185.83,2198.15,1
LQTYUSDT,Short,1.423 USDT,"7,759.2","-11,045.20 USDT",632.42 USDT,5.73 %,10/13/2023 10:45 UTC,10/13/2023 15:01 UTC,6.73 % 1.33 USDT,,2023-10-13 10:45:00,2023-10-13 15:01:00,2023-10-13 19:45:00,2023-10-14 00:01:00,2023-10-13 19:45 KST,2023-10-14 00:01 KST,632.42,1,632.42,-11045.2,11045.2,2830.57,1
BNXUSDT,Long,0.272 USDT,"36,784.4","10,000.95 USDT",-16.30 USDT,-0.16 %,10/13/2023 10:53 UTC,10/13/2023 13:54 UTC,1.85 % 0.28 USDT,-0.65 % 0.27 USDT,2023-10-13 10:53:00,2023-10-13 13:54:00,2023-10-13 19:53:00,2023-10-13 22:54:00,2023-10-13 19:53 KST,2023-10-13 22:54 KST,16.3,-1,-16.3,10000.95,10000.95,2814.27,1
