Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period,Period_Cumulative_PnL
BTCUSDT,Long,"66,527 USDT",0.003,199.58 USDT,0.40 USDT,0.20 %,07/24/2024 13:21 UTC,07/24/2024 13:23 UTC,"0.36 % 66,768 USDT","0.00 % 66,524 USDT",2024-07-24 13:21:00,2024-07-24 13:23:00,2024-07-24 22:21:00,2024-07-24 22:23:00,2024-07-24 22:21 KST,2024-07-24 22:23 KST,0.4,1,0.4,199.58,199.58,1264346.4999999981,2,0.4
AAVEUSDT,Long,100.422 USDT,"7,724.9","779,055.96 USDT","4,112 USDT",0.53 %,08/07/2024 15:30 UTC,08/08/2024 03:25 UTC,2.36 % 102.79 USDT,-3.91 % 96.50 USDT,2024-08-07 15:30:00,2024-08-08 03:25:00,2024-08-08 00:30:00,2024-08-08 12:25:00,2024-08-08 00:30 KST,2024-08-08 12:25 KST,4112.0,1,4112.0,779055.96,779055.96,1268458.4999999981,2,4112.4
ETHUSDT,Short,"2,387.041 USDT",209.361,"-499,753.39 USDT","-8,161.28 USDT",-1.63 %,08/07/2024 15:36 UTC,08/08/2024 02:15 UTC,"2.96 % 2,318 USDT","-2.52 % 2,448 USDT",2024-08-07 15:36:00,2024-08-08 02:15:00,2024-08-08 00:36:00,2024-08-08 11:15:00,2024-08-08 00:36 KST,2024-08-08 11:15 KST,8161.28,-1,-8161.28,-499753.39,499753.39,1260297.219999998,2,-4048.88
ONDOUSDT,Short,0.689 USDT,"595,998.8","-409,149.79 USDT","-12,508.23 USDT",-3.06 %,08/07/2024 15:42 UTC,08/08/2024 03:25 UTC,6.49 % 0.65 USDT,-3.70 % 0.72 USDT,2024-08-07 15:42:00,2024-08-08 03:25:00,2024-08-08 00:42:00,2024-08-08 12:25:00,2024-08-08 00:42 KST,2024-08-08 12:25 KST,12508.23,-1,-12508.23,-409149.79,409149.79,1247788.9899999981,2,-16557.11
MKRUSDT,Long,"1,785.166 USDT",110.223,"196,926.73 USDT","-2,235.09 USDT",-1.13 %,08/07/2024 17:06 UTC,08/07/2024 20:41 UTC,"0.51 % 1,794 USDT","-1.86 % 1,752 USDT",2024-08-07 17:06:00,2024-08-07 20:41:00,2024-08-08 02:06:00,2024-08-08 05:41:00,2024-08-08 02:06 KST,2024-08-08 05:41 KST,2235.09,-1,-2235.09,196926.73,196926.73,1245553.899999998,2,-18792.2
XRPUSDT,Short,0.528 USDT,"845,300.9","-446,634.65 USDT","6,933 USDT",1.55 %,08/07/2024 19:56 UTC,08/07/2024 20:06 UTC,2.10 % 0.52 USDT,-0.12 % 0.53 USDT,2024-08-07 19:56:00,2024-08-07 20:06:00,2024-08-08 04:56:00,2024-08-08 05:06:00,2024-08-08 04:56 KST,2024-08-08 05:06 KST,6933.0,1,6933.0,-446634.65,446634.65,1252486.899999998,2,-11859.2
XRPUSDT,Short,0.564 USDT,"783,744.6","-441,705.21 USDT","-54,326.87 USDT",-12.30 %,08/07/2024 20:12 UTC,08/07/2024 20:27 UTC,,-7.81 % 0.61 USDT,2024-08-07 20:12:00,2024-08-07 20:27:00,2024-08-08 05:12:00,2024-08-08 05:27:00,2024-08-08 05:12 KST,2024-08-08 05:27 KST,54326.87,-1,-54326.87,-441705.21,441705.21,1198160.029999998,2,-66186.07
XRPUSDT,Short,0.602 USDT,"37,174.6","-22,395.47 USDT",-190.47 USDT,-0.85 %,08/07/2024 20:31 UTC,08/07/2024 20:33 UTC,,,2024-08-07 20:31:00,2024-08-07 20:33:00,2024-08-08 05:31:00,2024-08-08 05:33:00,2024-08-08 05:31 KST,2024-08-08 05:33 KST,190.47,-1,-190.47,-22395.47,22395.47,1197969.559999998,2,-66376.54000000001
XRPUSDT,Short,0.624 USDT,"642,164.4","-400,852.43 USDT","10,787 USDT",2.69 %,08/07/2024 20:49 UTC,08/08/2024 04:01 UTC,7.46 % 0.58 USDT,-1.14 % 0.63 USDT,2024-08-07 20:49:00,2024-08-08 04:01:00,2024-08-08 05:49:00,2024-08-08 13:01:00,2024-08-08 05:49 KST,2024-08-08 13:01 KST,10787.0,1,10787.0,-400852.43,400852.43,1208756.559999998,2,-55589.54000000001
SOLUSDT,Long,144.622 USDT,"2,735","395,541.35 USDT","8,260 USDT",2.09 %,08/07/2024 21:51 UTC,08/08/2024 02:31 UTC,7.10 % 154.88 USDT,-1.52 % 142.42 USDT,2024-08-07 21:51:00,2024-08-08 02:31:00,2024-08-08 06:51:00,2024-08-08 11:31:00,2024-08-08 06:51 KST,2024-08-08 11:31 KST,8260.0,1,8260.0,395541.35,395541.35,1217016.559999998,2,-47329.54000000001
