Symbol,Direction,Max Size USDT,Volume,Realized PnL,Realized PnL %,Open Time,Close Time,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
ETHUSD,Short,1981559.79 USDT,3963119.58 USDT,-8046.88 USDT,-0.41 %,01/10/2024 18:35 UTC,01/11/2024 00:10 UTC,2024-01-10 18:35:00,2024-01-11 00:10:00,2024-01-11 03:35:00,2024-01-11 09:10:00,2024-01-11 03:35 KST,2024-01-11 09:10 KST,8046.88,-1,-8046.88,1981559.79,1981559.79,-8046.88,-8046.88
ETHUSD,Short,3718143.33 USDT,7436286.66 USDT,18364.35 USDT,0.49 %,01/11/2024 08:20 UTC,01/11/2024 12:58 UTC,2024-01-11 08:20:00,2024-01-11 12:58:00,2024-01-11 17:20:00,2024-01-11 21:58:00,2024-01-11 17:20 KST,2024-01-11 21:58 KST,18364.35,1,18364.35,3718143.33,3718143.33,10317.469999999998,10317.469999999998
ETHUSD,Short,4868979.77 USDT,10921155.22 USDT,19964.92 USDT,0.41 %,01/12/2024 20:29 UTC,01/17/2024 09:17 UTC,2024-01-12 20:29:00,2024-01-17 09:17:00,2024-01-13 05:29:00,2024-01-17 18:17:00,2024-01-13 05:29 KST,2024-01-17 18:17 KST,19964.92,1,19964.92,4868979.77,4868979.77,30282.389999999996,30282.389999999996
ETHUSD,Long,11116406.25 USDT,22232812.50 USDT,-21093.97 USDT,-0.19 %,01/23/2024 19:01 UTC,01/23/2024 19:02 UTC,2024-01-23 19:01:00,2024-01-23 19:02:00,2024-01-24 04:01:00,2024-01-24 04:02:00,2024-01-24 04:01 KST,2024-01-24 04:02 KST,21093.97,-1,-21093.97,11116406.25,11116406.25,9188.419999999995,9188.419999999995
BTCUSD,Short,5189210.98 USDT,10378421.96 USDT,-82005.65 USDT,-1.58 %,02/05/2024 05:03 UTC,02/05/2024 19:04 UTC,2024-02-05 05:03:00,2024-02-05 19:04:00,2024-02-05 14:03:00,2024-02-06 04:04:00,2024-02-05 14:03 KST,2024-02-06 04:04 KST,82005.65,-1,-82005.65,5189210.98,5189210.98,-72817.23,-72817.23
BTCUSD,Long,3476668.64 USDT,6953337.28 USDT,530394.92 USDT,15.26 %,02/08/2024 15:44 UTC,02/16/2024 15:53 UTC,2024-02-08 15:44:00,2024-02-16 15:53:00,2024-02-09 00:44:00,2024-02-17 00:53:00,2024-02-09 00:44 KST,2024-02-17 00:53 KST,530394.92,1,530394.92,3476668.64,3476668.64,457577.69000000006,457577.69000000006
BTCUSD,Long,2991296.78 USDT,5982593.56 USDT,217704.95 USDT,7.28 %,02/27/2024 09:34 UTC,02/28/2024 17:32 UTC,2024-02-27 09:34:00,2024-02-28 17:32:00,2024-02-27 18:34:00,2024-02-29 02:32:00,2024-02-27 18:34 KST,2024-02-29 02:32 KST,217704.95,1,217704.95,2991296.78,2991296.78,675282.6400000001,675282.6400000001
BTCUSD,Long,5016508.15 USDT,10033016.30 USDT,11401.08 USDT,0.23 %,03/04/2024 09:04 UTC,03/04/2024 09:49 UTC,2024-03-04 09:04:00,2024-03-04 09:49:00,2024-03-04 18:04:00,2024-03-04 18:49:00,2024-03-04 18:04 KST,2024-03-04 18:49 KST,11401.08,1,11401.08,5016508.15,5016508.15,686683.7200000001,686683.7200000001
ETHUSD,Short,4976481.40 USDT,9952962.80 USDT,2689.91 USDT,0.05 %,03/07/2024 10:04 UTC,03/07/2024 17:03 UTC,2024-03-07 10:04:00,2024-03-07 17:03:00,2024-03-07 19:04:00,2024-03-08 02:03:00,2024-03-07 19:04 KST,2024-03-08 02:03 KST,2689.91,1,2689.91,4976481.4,4976481.4,689373.6300000001,689373.6300000001
ETHUSD,Short,4967547.16 USDT,9935094.32 USDT,-17705.98 USDT,-0.36 %,03/09/2024 05:27 UTC,03/09/2024 15:34 UTC,2024-03-09 05:27:00,2024-03-09 15:34:00,2024-03-09 14:27:00,2024-03-10 00:34:00,2024-03-09 14:27 KST,2024-03-10 00:34 KST,17705.98,-1,-17705.98,4967547.16,4967547.16,671667.6500000001,671667.6500000001
