Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
STXUSDT,Short,0.652 USDT,"127,491","-83,137.96 USDT","4,332 USDT",5.21 %,05/23/2023 01:52 UTC,05/24/2023 13:51 UTC,,,2023-05-23 01:52:00,2023-05-24 13:51:00,2023-05-23 10:52:00,2023-05-24 22:51:00,2023-05-23 10:52 KST,2023-05-24 22:51 KST,4332.0,1,4332.0,-83137.96,83137.96,4332.0,4332.0
KAVAUSDT,Short,1.197 USDT,"12,585.3","15,059.43 USDT",343.31 USDT,2.28 %,05/23/2023 06:11 UTC,05/23/2023 09:13 UTC,,,2023-05-23 06:11:00,2023-05-23 09:13:00,2023-05-23 15:11:00,2023-05-23 18:13:00,2023-05-23 15:11 KST,2023-05-23 18:13 KST,343.31,1,343.31,15059.43,15059.43,4675.31,4675.31
XRPUSDT,Short,0.465 USDT,"40,749","18,952.36 USDT",0.86 USDT,0.00 %,05/23/2023 06:14 UTC,05/23/2023 06:17 UTC,,,2023-05-23 06:14:00,2023-05-23 06:17:00,2023-05-23 15:14:00,2023-05-23 15:17:00,2023-05-23 15:14 KST,2023-05-23 15:17 KST,0.86,1,0.86,18952.36,18952.36,4676.17,4676.17
ADAUSDT,Short,0.371 USDT,"20,202","7,488.88 USDT",93.39 USDT,1.25 %,05/23/2023 07:57 UTC,05/24/2023 08:10 UTC,,,2023-05-23 07:57:00,2023-05-24 08:10:00,2023-05-23 16:57:00,2023-05-24 17:10:00,2023-05-23 16:57 KST,2023-05-24 17:10 KST,93.39,1,93.39,7488.88,7488.88,4769.56,4769.56
AAVEUSDT,Short,65.407 USDT,146.4,"-9,575.63 USDT",209.04 USDT,2.18 %,05/23/2023 07:57 UTC,05/24/2023 08:00 UTC,,,2023-05-23 07:57:00,2023-05-24 08:00:00,2023-05-23 16:57:00,2023-05-24 17:00:00,2023-05-23 16:57 KST,2023-05-24 17:00 KST,209.04,1,209.04,-9575.63,9575.63,4978.6,4978.6
DOTUSDT,Short,5.382 USDT,"1,392.2","7,492.71 USDT",109.01 USDT,1.45 %,05/23/2023 07:57 UTC,05/24/2023 07:10 UTC,,,2023-05-23 07:57:00,2023-05-24 07:10:00,2023-05-23 16:57:00,2023-05-24 16:10:00,2023-05-23 16:57 KST,2023-05-24 16:10 KST,109.01,1,109.01,7492.71,7492.71,5087.610000000001,5087.610000000001
AXSUSDT,Short,6.931 USDT,"1,081","-7,492.15 USDT",195.18 USDT,2.61 %,05/23/2023 07:57 UTC,05/24/2023 06:02 UTC,,,2023-05-23 07:57:00,2023-05-24 06:02:00,2023-05-23 16:57:00,2023-05-24 15:02:00,2023-05-23 16:57 KST,2023-05-24 15:02 KST,195.18,1,195.18,-7492.15,7492.15,5282.790000000001,5282.790000000001
DOGEUSDT,Short,0.073 USDT,"102,353","-7,497.36 USDT",199.24 USDT,2.66 %,05/23/2023 07:57 UTC,05/24/2023 05:50 UTC,,,2023-05-23 07:57:00,2023-05-24 05:50:00,2023-05-23 16:57:00,2023-05-24 14:50:00,2023-05-23 16:57 KST,2023-05-24 14:50 KST,199.24,1,199.24,-7497.36,7497.36,5482.030000000001,5482.030000000001
APTUSDT,Short,8.315 USDT,902.5,"7,504.29 USDT",57.79 USDT,0.77 %,05/23/2023 07:57 UTC,05/24/2023 05:47 UTC,,,2023-05-23 07:57:00,2023-05-24 05:47:00,2023-05-23 16:57:00,2023-05-24 14:47:00,2023-05-23 16:57 KST,2023-05-24 14:47 KST,57.79,1,57.79,7504.29,7504.29,5539.820000000001,5539.820000000001
AVAXUSDT,Short,14.789 USDT,698,"-10,322.72 USDT",311.63 USDT,3.02 %,05/23/2023 07:57 UTC,05/24/2023 06:58 UTC,,,2023-05-23 07:57:00,2023-05-24 06:58:00,2023-05-23 16:57:00,2023-05-24 15:58:00,2023-05-23 16:57 KST,2023-05-24 15:58 KST,311.63,1,311.63,-10322.72,10322.72,5851.450000000001,5851.450000000001
