Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
POPCATUSDT,Short,0.767 USDT,"20,000","15,337.00 USDT",-31.94 USDT,-0.21 %,08/25/2024 14:35 UTC,08/25/2024 14:38 UTC,,,2024-08-25 14:35:00,2024-08-25 14:38:00,2024-08-25 23:35:00,2024-08-25 23:38:00,2024-08-25 23:35 KST,2024-08-25 23:38 KST,31.94,-1,-31.94,15337.0,15337.0,-31.94,-31.94
ONDOUSDT,Long,0.697 USDT,"139,186","97,014.03 USDT",501.48 USDT,0.52 %,08/26/2024 18:02 UTC,08/27/2024 12:48 UTC,,,2024-08-26 18:02:00,2024-08-27 12:48:00,2024-08-27 03:02:00,2024-08-27 21:48:00,2024-08-27 03:02 KST,2024-08-27 21:48 KST,501.48,1,501.48,97014.03,97014.03,469.54,469.54
TAOUSDT,Short,362.38 USDT,309.814,"112,270.40 USDT","1,014 USDT",0.90 %,08/27/2024 05:37 UTC,08/27/2024 07:09 UTC,,,2024-08-27 05:37:00,2024-08-27 07:09:00,2024-08-27 14:37:00,2024-08-27 16:09:00,2024-08-27 14:37 KST,2024-08-27 16:09 KST,1014.0,1,1014.0,112270.4,112270.4,1483.54,1483.54
MINAUSDT,Long,0.476 USDT,"287,834","136,971.57 USDT","2,986 USDT",2.18 %,08/27/2024 15:37 UTC,08/30/2024 08:04 UTC,,,2024-08-27 15:37:00,2024-08-30 08:04:00,2024-08-28 00:37:00,2024-08-30 17:04:00,2024-08-28 00:37 KST,2024-08-30 17:04 KST,2986.0,1,2986.0,136971.57,136971.57,4469.54,4469.54
SUIUSDT,Short,0.921 USDT,"542,077.6","499,069.16 USDT","-8,177.54 USDT",-1.64 %,08/27/2024 16:09 UTC,08/27/2024 17:32 UTC,,,2024-08-27 16:09:00,2024-08-27 17:32:00,2024-08-28 01:09:00,2024-08-28 02:32:00,2024-08-28 01:09 KST,2024-08-28 02:32 KST,8177.54,-1,-8177.54,499069.16,499069.16,-3708.0,-3708.0
POPCATUSDT,Long,0.584 USDT,"53,647","31,313.75 USDT",451.62 USDT,1.44 %,08/30/2024 15:03 UTC,08/30/2024 15:12 UTC,,,2024-08-30 15:03:00,2024-08-30 15:12:00,2024-08-31 00:03:00,2024-08-31 00:12:00,2024-08-31 00:03 KST,2024-08-31 00:12 KST,451.62,1,451.62,31313.75,31313.75,-3256.38,-3256.38
POPCATUSDT,Short,0.593 USDT,"50,000","29,626.50 USDT",432.05 USDT,1.46 %,08/30/2024 15:13 UTC,08/30/2024 15:54 UTC,,,2024-08-30 15:13:00,2024-08-30 15:54:00,2024-08-31 00:13:00,2024-08-31 00:54:00,2024-08-31 00:13 KST,2024-08-31 00:54 KST,432.05,1,432.05,29626.5,29626.5,-2824.33,-2824.33
SUIUSDT,Short,0.832 USDT,"705,259.9","586,966.66 USDT","2,438 USDT",0.42 %,09/03/2024 09:34 UTC,09/03/2024 12:06 UTC,,,2024-09-03 09:34:00,2024-09-03 12:06:00,2024-09-03 18:34:00,2024-09-03 21:06:00,2024-09-03 18:34 KST,2024-09-03 21:06 KST,2438.0,1,2438.0,586966.66,586966.66,-386.3299999999999,-386.3299999999999
EIGENUSDT,Short,3.521 USDT,"4,612","16,239.77 USDT","5,862 USDT",36.10 %,09/03/2024 11:06 UTC,09/04/2024 20:41 UTC,,,2024-09-03 11:06:00,2024-09-04 20:41:00,2024-09-03 20:06:00,2024-09-05 05:41:00,2024-09-03 20:06 KST,2024-09-05 05:41 KST,5862.0,1,5862.0,16239.77,16239.77,5475.67,5475.67
SUIUSDT,Short,0.804 USDT,"165,498.4","133,042.51 USDT","3,648 USDT",2.74 %,09/03/2024 14:30 UTC,09/03/2024 14:50 UTC,,,2024-09-03 14:30:00,2024-09-03 14:50:00,2024-09-03 23:30:00,2024-09-03 23:50:00,2024-09-03 23:30 KST,2024-09-03 23:50 KST,3648.0,1,3648.0,133042.51,133042.51,9123.67,9123.67
TAOUSDT,Long,261.3 USDT,578.167,"151,075.04 USDT","-1,621.06 USDT",-1.07 %,09/04/2024 16:14 UTC,09/05/2024 00:27 UTC,,,2024-09-04 16:14:00,2024-09-05 00:27:00,2024-09-05 01:14:00,2024-09-05 09:27:00,2024-09-05 01:14 KST,2024-09-05 09:27 KST,1621.06,-1,-1621.06,151075.04,151075.04,7502.610000000001,7502.610000000001
EIGENUSDT,Long,2.01 USDT,"11,577.89","23,153.46 USDT","8,164 USDT",35.26 %,09/04/2024 20:47 UTC,09/09/2024 09:36 UTC,,,2024-09-04 20:47:00,2024-09-09 09:36:00,2024-09-05 05:47:00,2024-09-09 18:36:00,2024-09-05 05:47 KST,2024-09-09 18:36 KST,8164.0,1,8164.0,23153.46,23153.46,15666.61,15666.61
