Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
SOLUSDT,Short,145.779 USDT,"4,942","-720,293.10 USDT",-89.23 USDT,-0.01 %,03/25/2025 13:37 UTC,03/25/2025 17:10 UTC,1.32 % 143.88 USDT,-0.76 % 146.89 USDT
ETHUSDT,Short,"2,067.464 USDT",191.383,"-395,677.54 USDT","-2,149.08 USDT",-0.54 %,03/25/2025 13:37 UTC,03/25/2025 17:10 UTC,"0.61 % 2,055 USDT","-0.45 % 2,076 USDT"
XRPUSDT,Short,2.441 USDT,"229,674.1","-560,569.30 USDT",-470.53 USDT,-0.08 %,03/25/2025 13:40 UTC,03/25/2025 17:10 UTC,0.57 % 2.43 USDT,-0.42 % 2.45 USDT
BTCUSDT,Short,"87,525.164 USDT",9.053,"-792,365.31 USDT","-6,776.87 USDT",-0.86 %,03/25/2025 13:37 UTC,03/25/2025 17:10 UTC,"0.45 % 87,134 USDT","-0.74 % 88,180 USDT"
FARTCOINUSDT,Short,0.575 USDT,"260,369.7","149,642.55 USDT","-2,217.84 USDT",-1.48 %,03/25/2025 14:53 UTC,03/25/2025 15:07 UTC,0.39 % 0.57 USDT,-0.99 % 0.58 USDT
FARTCOINUSDT,Short,0.556 USDT,"388,696.3","-215,962.02 USDT","-7,515.19 USDT",-3.48 %,03/25/2025 13:38 UTC,03/25/2025 14:42 UTC,2.51 % 0.54 USDT,-3.15 % 0.57 USDT
ETHUSDT,Short,"2,084.916 USDT",119.904,"249,989.77 USDT",-498.32 USDT,-0.20 %,03/24/2025 14:06 UTC,03/24/2025 21:26 UTC,"0.67 % 2,070 USDT","-0.59 % 2,097 USDT"
VANAUSDT,Long,7.107 USDT,"2,774.3","19,716.95 USDT",681.54 USDT,3.46 %,03/24/2025 01:27 UTC,03/24/2025 09:15 UTC,5.09 % 7.47 USDT,-0.94 % 7.04 USDT
1000FLOKIUSDT,Short,0.063 USDT,"4,560,032","-280,862.90 USDT","-8,175.17 USDT",-2.91 %,03/11/2025 18:24 UTC,03/24/2025 09:15 UTC,5.98 % 0.06 USDT,-3.49 % 0.06 USDT
SOLUSDT,Short,131.135 USDT,"1,899","249,916.28 USDT","3,096 USDT",1.24 %,03/20/2025 15:00 UTC,03/24/2025 09:15 UTC,4.91 % 125.00 USDT,
