period,time,start_capital,end_capital,change,change_pct,cumulative_max,drawdown,year_month
1,2024-01-11 09:10:00,100000.0,99871.24992,-128.75007999999798,-0.12875007999999796,99871.24992,0.0,2024-01
2,2024-01-11 17:20:00,99871.24992,99871.24992,0.0,0.0,99871.24992,0.0,2024-01
3,2024-01-11 21:58:00,99871.24992,100165.88666743002,294.6367474300205,0.295016581514734,100165.88666743002,0.0,2024-01
4,2024-01-13 05:29:00,100165.88666743002,100165.88666743002,0.0,0.0,100165.88666743002,0.0,2024-01
5,2024-01-17 18:17:00,100165.88666743002,100484.21313180392,318.32646437389485,0.31779927774293043,100484.21313180392,0.0,2024-01
6,2024-01-24 04:01:00,100484.21313180392,100484.21313180392,0.0,0.0,100484.21313180392,0.0,2024-01
7,2024-01-24 04:02:00,100484.21313180392,100150.13373670643,-334.0793950974912,-0.33246953395483464,100484.21313180392,-0.33246953395483464,2024-01
8,2024-02-05 14:03:00,100150.13373670643,100150.13373670643,0.0,0.0,100484.21313180392,-0.33246953395483464,2024-02
9,2024-02-06 04:04:00,100150.13373670643,98842.08290656429,-1308.050830142136,-1.3060899484977093,100484.21313180392,-1.6342171312877427,2024-02
10,2024-02-09 00:44:00,98842.08290656429,98842.08290656429,0.0,0.0,100484.21313180392,-1.6342171312877427,2024-02
11,2024-02-17 00:53:00,98842.08290656429,107547.07375176335,8704.990845199063,8.806968235815019,107547.07375176335,0.0,2024-02
12,2024-02-27 18:34:00,107547.07375176335,107547.07375176335,0.0,0.0,107547.07375176335,0.0,2024-02
13,2024-02-29 02:32:00,107547.07375176335,110595.73818702996,3048.6644352666044,2.83472560332365,110595.73818702996,0.0,2024-02
14,2024-03-04 18:04:00,110595.73818702996,110595.73818702996,0.0,0.0,110595.73818702996,0.0,2024-03
15,2024-03-04 18:49:00,110595.73818702996,110746.56018570797,150.82199867801683,0.13637234232566875,110746.56018570797,0.0,2024-03
16,2024-03-07 19:04:00,110746.56018570797,110746.56018570797,0.0,0.0,110746.56018570797,0.0,2024-03
17,2024-03-08 02:03:00,110746.56018570797,110782.04164145108,35.48145574310911,0.032038426912412626,110782.04164145108,0.0,2024-03
18,2024-03-09 14:27:00,110782.04164145108,110782.04164145108,0.0,0.0,110782.04164145108,0.0,2024-03
19,2024-03-10 00:34:00,110782.04164145108,110548.64845674433,-233.3931847067579,-0.21067781496764693,110782.04164145108,-0.21067781496764693,2024-03
20,2024-03-10 15:28:00,110548.64845674433,110548.64845674433,0.0,0.0,110782.04164145108,-0.21067781496764693,2024-03
21,2024-03-10 18:42:00,110548.64845674433,109906.13062452024,-642.5178322240827,-0.5812082202664722,110782.04164145108,-0.7906615584552495,2024-03
22,2024-03-11 18:05:00,109906.13062452024,109906.13062452024,0.0,0.0,110782.04164145108,-0.7906615584552495,2024-03
23,2024-03-11 22:04:00,109906.13062452024,109928.38678285401,22.256158333766507,0.02025015184075739,110782.04164145108,-0.7705715167806257,2024-03
24,2024-03-12 02:01:00,109928.38678285401,109928.38678285401,0.0,0.0,110782.04164145108,-0.7705715167806257,2024-03
25,2024-03-12 02:19:00,109928.38678285401,109917.63853864062,-10.748244213391445,-0.009777496539290517,110782.04164145108,-0.7802736707165303,2024-03
26,2024-03-12 02:39:00,109917.63853864062,109917.63853864062,0.0,0.0,110782.04164145108,-0.7802736707165303,2024-03
27,2024-03-12 02:46:00,109917.63853864062,109870.30560454928,-47.3329340913333,-0.04306218248556514,110782.04164145108,-0.8229998503301247,2024-03
28,2024-03-14 02:52:00,109870.30560454928,109870.30560454928,0.0,0.0,110782.04164145108,-0.8229998503301247,2024-03
29,2024-03-15 04:56:00,109870.30560454928,109646.09926150968,-224.20634303960833,-0.20406454847461974,110782.04164145108,-1.0253849478762214,2024-03
30,2024-03-15 14:26:00,109646.09926150968,109646.09926150968,0.0,0.0,110782.04164145108,-1.0253849478762214,2024-03
31,2024-03-15 22:52:00,109646.09926150968,110435.72777127071,789.628509761038,0.720161059152453,110782.04164145108,-0.31260831182478366,2024-03
32,2024-03-16 02:08:00,110435.72777127071,110435.72777127071,0.0,0.0,110782.04164145108,-0.31260831182478366,2024-03
33,2024-03-16 03:15:00,110435.72777127071,111307.78537654699,872.0576052762772,0.7896517031901504,111307.78537654699,0.0,2024-03
34,2024-03-16 14:00:00,111307.78537654699,111307.78537654699,0.0,0.0,111307.78537654699,0.0,2024-03
35,2024-03-16 16:49:00,111307.78537654699,111342.94774982135,35.162373274361016,0.031590219098699156,111342.94774982135,0.0,2024-03
36,2024-03-18 01:37:00,111342.94774982135,111342.94774982135,0.0,0.0,111342.94774982135,0.0,2024-03
