period,time,start_capital,end_capital,change,change_pct,cumulative_max,drawdown,year_month
1,2024-01-24 04:02:00,100000.0,99314.3929663143,-685.6070336856938,-0.6856070336856938,99314.3929663143,0.0,2024-01
2,2024-02-09 00:44:00,99314.3929663143,99314.3929663143,0.0,0.0,99314.3929663143,0.0,2024-02
3,2024-02-17 00:53:00,99314.3929663143,107691.26539105072,8376.872424736415,8.43470133032752,107691.26539105072,0.0,2024-02
4,2024-02-27 18:34:00,107691.26539105072,107691.26539105072,0.0,0.0,107691.26539105072,0.0,2024-02
5,2024-02-29 02:32:00,107691.26539105072,110592.01490344363,2900.749512392911,2.693579188488175,110592.01490344363,0.0,2024-02
6,2024-03-04 18:04:00,110592.01490344363,110592.01490344363,0.0,0.0,110592.01490344363,0.0,2024-03
7,2024-03-04 18:49:00,110592.01490344363,110609.7037329533,17.68882950967236,0.015994671518659128,110609.7037329533,0.0,2024-03
8,2024-03-14 02:52:00,110609.7037329533,110609.7037329533,0.0,0.0,110609.7037329533,0.0,2024-03
9,2024-03-15 04:56:00,110609.7037329533,110361.73113326568,-247.97259968762228,-0.22418702095641294,110609.7037329533,-0.22418702095641294,2024-03
10,2024-03-18 01:37:00,110361.73113326568,110361.73113326568,0.0,0.0,110609.7037329533,-0.22418702095641294,2024-03
11,2024-03-18 02:55:00,110361.73113326568,110578.40832461682,216.67719135113293,0.19633362862846687,110609.7037329533,-0.02829354684110386,2024-03
12,2024-03-19 04:31:00,110578.40832461682,110578.40832461682,0.0,0.0,110609.7037329533,-0.02829354684110386,2024-03
13,2024-03-21 01:59:00,110578.40832461682,110578.40832461682,0.0,0.0,110609.7037329533,-0.02829354684110386,2024-03
14,2024-03-21 02:59:00,110578.40832461682,110226.24957020624,-352.1587544105714,-0.31846972636535437,110609.7037329533,-0.34667316682525434,2024-03
15,2024-03-21 03:07:00,110226.24957020624,110226.24957020624,0.0,0.0,110609.7037329533,-0.34667316682525434,2024-03
16,2024-03-21 04:40:00,110226.24957020624,110147.40016031073,-78.84940989551251,-0.07153414926386575,110609.7037329533,-0.4179593263885055,2024-03
17,2024-03-21 14:53:00,110147.40016031073,110829.33417532915,681.9340150184144,0.6191104048083876,110829.33417532915,0.0,2024-03
18,2024-03-23 15:36:00,110829.33417532915,110829.33417532915,0.0,0.0,110829.33417532915,0.0,2024-03
19,2024-03-28 00:02:00,110829.33417532915,110829.33417532915,0.0,0.0,110829.33417532915,0.0,2024-03
20,2024-03-28 01:35:00,110829.33417532915,110512.61646089703,-316.71771443211765,-0.2857706552049464,110829.33417532915,-0.2857706552049464,2024-03
21,2024-04-03 18:33:00,110512.61646089703,110841.14333473465,328.52687383761804,0.29727544633228514,110841.14333473465,0.0,2024-04
22,2024-04-14 14:08:00,110841.14333473465,110841.14333473465,0.0,0.0,110841.14333473465,0.0,2024-04
23,2024-04-16 07:05:00,110841.14333473465,111535.41597312177,694.2726383871195,0.6263672653487986,111535.41597312177,0.0,2024-04
24,2024-05-04 22:47:00,111535.41597312177,111535.41597312177,0.0,0.0,111535.41597312177,0.0,2024-05
25,2024-05-05 00:05:00,111535.41597312177,111073.78926318276,-461.62670993900974,-0.413883523821935,111535.41597312177,-0.413883523821935,2024-05
26,2024-05-10 10:00:00,111073.78926318276,111073.78926318276,0.0,0.0,111535.41597312177,-0.413883523821935,2024-05
27,2024-05-10 10:45:00,111073.78926318276,110775.0781307404,-298.7111324423604,-0.2689303519974295,111535.41597312177,-0.6817008174018908,2024-05
