Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
LTCUSDT,Long,93.109 USDT,309.02,"28,772.68 USDT","-2,423.65 USDT",-8.42 %,03/27/2025 19:23 UTC,03/29/2025 18:56 UTC,0.30 % 93.39 USDT,-9.70 % 84.08 USDT
LTCUSDT,Long,92.84 USDT,79.849,"7,413.18 USDT",9.12 USDT,0.12 %,03/27/2025 19:18 UTC,03/27/2025 19:19 UTC,0.19 % 93.02 USDT,
LTCUSDT,Long,92.686 USDT,297.078,"27,535.02 USDT",73.72 USDT,0.27 %,03/27/2025 19:05 UTC,03/27/2025 19:14 UTC,0.34 % 93.00 USDT,-0.06 % 92.63 USDT
LTCUSDT,Short,93.022 USDT,139.955,"-13,018.91 USDT",31.23 USDT,0.24 %,03/27/2025 18:51 UTC,03/27/2025 19:04 UTC,0.30 % 92.74 USDT,
LTCUSDT,Long,92.593 USDT,300.417,"27,816.55 USDT",126.52 USDT,0.45 %,03/27/2025 17:19 UTC,03/27/2025 18:48 UTC,0.55 % 93.10 USDT,-0.52 % 92.11 USDT
LTCUSDT,Short,93.249 USDT,290.451,"-27,084.13 USDT",121.92 USDT,0.45 %,03/27/2025 14:33 UTC,03/27/2025 16:57 UTC,0.51 % 92.78 USDT,-0.86 % 94.06 USDT
LTCUSDT,Long,93.019 USDT,171.997,"15,998.93 USDT",26.74 USDT,0.17 %,03/27/2025 14:28 UTC,03/27/2025 14:31 UTC,0.24 % 93.24 USDT,-0.02 % 93.00 USDT
LTCUSDT,Short,93.162 USDT,278.975,"-25,989.89 USDT",90.24 USDT,0.35 %,03/27/2025 14:17 UTC,03/27/2025 14:24 UTC,0.34 % 92.85 USDT,
LTCUSDT,Short,93.141 USDT,80.532,"7,500.83 USDT",7.66 USDT,0.10 %,03/27/2025 14:16 UTC,03/27/2025 14:17 UTC,,
LTCUSDT,Long,92.816 USDT,198.278,"18,403.46 USDT",43.18 USDT,0.23 %,03/27/2025 14:12 UTC,03/27/2025 14:15 UTC,0.36 % 93.15 USDT,
LTCUSDT,Short,93.199 USDT,248.785,"-23,186.51 USDT",92.79 USDT,0.40 %,03/27/2025 13:57 UTC,03/27/2025 14:11 UTC,0.33 % 92.89 USDT,-0.11 % 93.30 USDT
LTCUSDT,Long,92.619 USDT,266.665,"24,698.32 USDT",124.00 USDT,0.50 %,03/27/2025 13:36 UTC,03/27/2025 13:56 UTC,0.58 % 93.16 USDT,-0.46 % 92.19 USDT
LTCUSDT,Short,93.434 USDT,266.928,"-24,940.12 USDT",107.55 USDT,0.43 %,03/27/2025 01:50 UTC,03/27/2025 13:33 UTC,0.41 % 93.05 USDT,-1.56 % 94.91 USDT
LTCUSDT,Long,93.137 USDT,156.765,"14,600.63 USDT",38.72 USDT,0.27 %,03/27/2025 01:33 UTC,03/27/2025 01:50 UTC,0.34 % 93.45 USDT,-0.09 % 93.05 USDT
LTCUSDT,Short,93.642 USDT,217.143,"-20,333.81 USDT",90.42 USDT,0.44 %,03/27/2025 01:03 UTC,03/27/2025 01:20 UTC,0.44 % 93.23 USDT,-0.06 % 93.70 USDT
LTCUSDT,Long,92.987 USDT,253.457,"23,568.20 USDT",135.06 USDT,0.57 %,03/26/2025 16:52 UTC,03/27/2025 01:03 UTC,0.69 % 93.63 USDT,-2.33 % 90.82 USDT
LTCUSDT,Short,93.305 USDT,145.099,"-13,538.48 USDT",28.39 USDT,0.21 %,03/26/2025 16:27 UTC,03/26/2025 16:52 UTC,0.24 % 93.08 USDT,-0.04 % 93.34 USDT
LTCUSDT,Long,92.762 USDT,202.044,"18,742.02 USDT",93.37 USDT,0.50 %,03/26/2025 16:03 UTC,03/26/2025 16:27 UTC,0.57 % 93.29 USDT,-0.11 % 92.66 USDT
LTCUSDT,Short,93.519 USDT,127.442,"-11,918.29 USDT",19.53 USDT,0.16 %,03/26/2025 15:47 UTC,03/26/2025 15:52 UTC,0.18 % 93.35 USDT,
LTCUSDT,Long,93.029 USDT,214.266,"19,932.86 USDT",79.71 USDT,0.40 %,03/26/2025 15:19 UTC,03/26/2025 15:47 UTC,0.49 % 93.48 USDT,-0.05 % 92.98 USDT
LTCUSDT,Short,93.487 USDT,189.444,"-17,710.54 USDT",62.69 USDT,0.35 %,03/26/2025 15:00 UTC,03/26/2025 15:13 UTC,0.24 % 93.26 USDT,-0.02 % 93.51 USDT
LTCUSDT,Long,93.059 USDT,94.783,"8,820.36 USDT",43.69 USDT,0.50 %,03/26/2025 14:21 UTC,03/26/2025 14:58 UTC,0.59 % 93.61 USDT,-0.26 % 92.82 USDT
LTCUSDT,Short,93.64 USDT,99.271,"-9,295.77 USDT",55.02 USDT,0.59 %,03/25/2025 21:18 UTC,03/26/2025 14:21 UTC,0.41 % 93.26 USDT,-2.85 % 96.39 USDT
LTCUSDT,Short,93.451 USDT,98.651,"-9,219.03 USDT",28.11 USDT,0.30 %,03/25/2025 20:14 UTC,03/25/2025 20:55 UTC,0.31 % 93.16 USDT,-0.13 % 93.57 USDT
LTCUSDT,Short,93.654 USDT,89.431,"-8,375.53 USDT",68.63 USDT,0.82 %,03/25/2025 17:36 UTC,03/25/2025 20:06 UTC,0.27 % 93.40 USDT,-0.19 % 93.83 USDT
LTCUSDT,Short,93.269 USDT,91.358,"-8,520.87 USDT",41.58 USDT,0.49 %,03/25/2025 12:30 UTC,03/25/2025 17:00 UTC,0.52 % 92.79 USDT,-1.31 % 94.51 USDT
LTCUSDT,Short,93.121 USDT,44.72,"4,164.39 USDT",8.75 USDT,0.21 %,03/25/2025 11:54 UTC,03/25/2025 12:06 UTC,0.21 % 92.93 USDT,
LTCUSDT,Long,92.94 USDT,72.977,"6,782.48 USDT",17.82 USDT,0.26 %,03/25/2025 11:04 UTC,03/25/2025 11:47 UTC,0.40 % 93.31 USDT,-0.26 % 92.70 USDT
LTCUSDT,Long,92.764 USDT,116.573,"10,813.75 USDT",36.19 USDT,0.33 %,03/25/2025 09:30 UTC,03/25/2025 10:48 UTC,0.73 % 93.44 USDT,-0.30 % 92.49 USDT
LTCUSDT,Long,92.576 USDT,119.004,"11,016.87 USDT",28.41 USDT,0.26 %,03/25/2025 02:32 UTC,03/25/2025 08:39 UTC,0.33 % 92.88 USDT,-0.81 % 91.83 USDT
LTCUSDT,Short,93.637 USDT,113.661,"-10,608.27 USDT",84.76 USDT,0.80 %,03/24/2025 09:46 UTC,03/25/2025 02:31 UTC,0.90 % 92.80 USDT,-1.94 % 95.49 USDT
LTCUSDT,Long,92.255 USDT,110.577,"10,201.25 USDT",63.68 USDT,0.62 %,03/21/2025 20:50 UTC,03/24/2025 05:00 UTC,0.73 % 92.93 USDT,-2.09 % 90.33 USDT
LTCUSDT,Long,92.363 USDT,88.505,"8,174.62 USDT",29.30 USDT,0.36 %,03/21/2025 19:38 UTC,03/21/2025 20:30 UTC,0.43 % 92.76 USDT,-0.20 % 92.18 USDT
LTCUSDT,Short,93.336 USDT,104.857,"-9,786.98 USDT",56.16 USDT,0.57 %,03/21/2025 15:13 UTC,03/21/2025 18:07 UTC,0.77 % 92.62 USDT,-0.52 % 93.82 USDT
ETHUSDT,Short,"2,741.268 USDT",0.248,-679.83 USDT,-10.02 USDT,-1.47 %,02/03/2025 16:01 UTC,02/06/2025 12:48 UTC,"3.77 % 2,641 USDT","-3.86 % 2,851 USDT"
LTCUSDT,Short,102.366 USDT,61.706,"-6,316.62 USDT","-1,462.57 USDT",-23.15 %,01/15/2025 13:14 UTC,01/16/2025 15:56 UTC,0.85 % 101.50 USDT,-18.76 % 126.00 USDT
LTCUSDT,Short,101.313 USDT,58.775,"-5,954.69 USDT",23.08 USDT,0.39 %,01/15/2025 11:48 UTC,01/15/2025 12:26 UTC,0.43 % 100.88 USDT,-0.01 % 101.32 USDT
LTCUSDT,Long,96.471 USDT,143.597,"13,852.90 USDT",170.32 USDT,1.23 %,01/13/2025 10:11 UTC,01/13/2025 21:44 UTC,1.77 % 98.18 USDT,-4.51 % 92.12 USDT
