Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
POPCATUSDT,Short,0.255 USDT,"501,581","125,866.74 USDT","26,773 USDT",21.27 %,02/12/2025 21:39 UTC,03/28/2025 15:13 UTC,83.05 % 0.14 USDT,-13.55 % 0.29 USDT
BNBUSDT,Long,613.17 USDT,652.445,"411,301.33 USDT","-38,938.77 USDT",-9.47 %,02/14/2025 22:47 UTC,03/12/2025 16:00 UTC,11.66 % 684.69 USDT,-17.41 % 506.42 USDT
VIRTUALUSDT,Short,1.79 USDT,"80,735.3","152,920.73 USDT","185,668 USDT",121.42 %,01/18/2025 16:41 UTC,03/12/2025 02:32 UTC,243.55 % 0.52 USDT,-43.54 % 3.17 USDT
FARTCOINUSDT,Short,0.643 USDT,"303,652.6","347,591.13 USDT","172,821 USDT",49.72 %,12/24/2024 16:40 UTC,03/12/2025 02:31 UTC,205.34 % 0.21 USDT,-69.22 % 2.09 USDT
CAKEUSDT,Short,2.764 USDT,"19,228.3","53,145.10 USDT","23,912 USDT",44.99 %,09/14/2024 18:57 UTC,03/12/2025 02:31 UTC,130.04 % 1.20 USDT,-38.05 % 4.46 USDT
SOLUSDT,Short,194.42 USDT,"5,647.41","1,144,334.69 USDT","301,514 USDT",26.35 %,09/14/2024 18:56 UTC,03/12/2025 02:29 UTC,54.26 % 126.03 USDT,-33.87 % 294.00 USDT
DOGEUSDT,Short,0.218 USDT,"179,556","39,062.41 USDT","3,329 USDT",8.52 %,09/14/2024 18:57 UTC,03/12/2025 02:29 UTC,50.32 % 0.14 USDT,-54.52 % 0.48 USDT
OPUSDT,Short,1.987 USDT,"351,407.3","719,436.17 USDT","326,910 USDT",45.44 %,12/16/2024 02:34 UTC,03/12/2025 02:28 UTC,137.29 % 0.84 USDT,-9.03 % 2.18 USDT
TRUMPUSDT,Short,14.89 USDT,"5,905.6","88,206.04 USDT","20,267 USDT",22.98 %,02/19/2025 00:44 UTC,03/12/2025 02:28 UTC,26.14 % 11.80 USDT,-15.10 % 17.54 USDT
AIXBTUSDT,Short,0.413 USDT,"201,898","83,311.19 USDT","61,862 USDT",74.25 %,03/02/2025 15:50 UTC,03/12/2025 02:28 UTC,334.69 % 0.09 USDT,
VINEUSDT,Short,0.048 USDT,"284,110","13,548.35 USDT","2,703 USDT",19.95 %,03/09/2025 13:41 UTC,03/12/2025 02:28 UTC,60.25 % 0.03 USDT,
AI16ZUSDT,Short,1.441 USDT,"220,034.8","317,092.15 USDT","260,525 USDT",82.16 %,01/22/2025 11:22 UTC,03/12/2025 02:28 UTC,798.11 % 0.16 USDT,
FILUSDT,Short,6.125 USDT,"1,810.2","11,086.93 USDT","6,061 USDT",54.67 %,09/14/2024 18:57 UTC,03/12/2025 02:27 UTC,149.80 % 2.45 USDT,-27.00 % 8.39 USDT
XRPUSDT,Short,0.775 USDT,"2,708","1,555.39 USDT","-3,681.99 USDT",-236.72 %,09/14/2024 18:57 UTC,03/12/2025 02:27 UTC,57.50 % 0.49 USDT,-77.18 % 3.39 USDT
ARBUSDT,Short,0.791 USDT,"555,530.3","348,845.25 USDT","58,896 USDT",16.88 %,10/10/2024 16:06 UTC,03/12/2025 02:27 UTC,114.68 % 0.37 USDT,-32.67 % 1.17 USDT
PENGUUSDT,Short,0.007 USDT,"398,957","2,728.07 USDT",105.80 USDT,3.88 %,03/04/2025 04:40 UTC,03/12/2025 02:26 UTC,33.58 % 0.01 USDT,-0.98 % 0.01 USDT
CHILLGUYUSDT,Short,0.036 USDT,"48,700","1,757.14 USDT",412.74 USDT,23.49 %,03/03/2025 14:26 UTC,03/12/2025 02:26 UTC,54.18 % 0.02 USDT,-7.22 % 0.04 USDT
LINKUSDT,Short,22.147 USDT,"47,532.4","1,154,942.26 USDT","287,702 USDT",24.91 %,09/27/2024 04:17 UTC,03/12/2025 02:26 UTC,67.78 % 13.20 USDT,-16.71 % 26.59 USDT
RDNTUSDT,Long,0.365 USDT,"3,151","1,151.19 USDT","-1,075.70 USDT",-93.44 %,09/14/2024 18:57 UTC,03/12/2025 02:26 UTC,,-94.27 % 0.02 USDT
WIFUSDT,Short,2.452 USDT,"100,652","247,301.96 USDT","121,346 USDT",49.07 %,12/02/2024 18:56 UTC,03/12/2025 02:26 UTC,150.76 % 0.98 USDT,-38.76 % 4.00 USDT
MEWUSDT,Long,0.005 USDT,"334,798","1,705.80 USDT",-112.68 USDT,-6.61 %,01/21/2025 12:17 UTC,03/12/2025 02:26 UTC,0.69 % 0.01 USDT,-68.16 % 0.00 USDT
GOATUSDT,Short,0.093 USDT,"300,604","205,601.11 USDT","130,889 USDT",63.66 %,12/02/2024 18:56 UTC,03/12/2025 02:25 UTC,30.97 % 0.07 USDT,-89.89 % 0.92 USDT
PNUTUSDT,Short,0.653 USDT,"139,796.6","172,718.70 USDT","22,617 USDT",13.09 %,12/02/2024 18:59 UTC,03/12/2025 02:25 UTC,,-58.77 % 1.58 USDT
MOODENGUSDT,Long,0.156 USDT,128,19.94 USDT,-15.01 USDT,-75.28 %,02/08/2025 10:36 UTC,03/12/2025 02:25 UTC,,-79.21 % 0.03 USDT
AVAXUSDT,Short,20.974 USDT,"40,210.35","882,054.24 USDT","66,868 USDT",7.58 %,02/27/2025 20:44 UTC,03/09/2025 13:41 UTC,10.10 % 19.05 USDT,-16.39 % 25.09 USDT
ETHUSDT,Short,"2,243 USDT",560.84,"1,257,964.79 USDT","39,454 USDT",3.14 %,02/27/2025 23:57 UTC,03/08/2025 05:16 UTC,,
AVAXUSDT,Long,21.093 USDT,"1,044.12","22,016.31 USDT",-36.65 USDT,-0.17 %,03/05/2025 10:44 UTC,03/05/2025 12:54 UTC,0.66 % 21.23 USDT,-0.89 % 20.90 USDT
BTCUSDT,Short,"93,714 USDT",15.291,"1,432,994.83 USDT","97,438 USDT",6.80 %,12/25/2024 16:45 UTC,03/05/2025 07:40 UTC,"14.53 % 81,825 USDT","-14.46 % 109,550 USDT"
PENGUUSDT,Long,0.009 USDT,"418,249","3,729.94 USDT",-868.74 USDT,-23.29 %,03/02/2025 14:52 UTC,03/04/2025 04:40 UTC,8.35 % 0.01 USDT,-24.65 % 0.01 USDT
CHILLGUYUSDT,Long,0.035 USDT,"2,684",95.12 USDT,7.77 USDT,8.17 %,03/03/2025 08:48 UTC,03/03/2025 14:26 UTC,16.32 % 0.04 USDT,-1.00 % 0.04 USDT
CHILLGUYUSDT,Short,0.035 USDT,"4,877",168.42 USDT,-4.64 USDT,-2.76 %,03/02/2025 15:47 UTC,03/03/2025 08:48 UTC,0.61 % 0.03 USDT,-11.95 % 0.04 USDT
AIXBTUSDT,Long,0.19 USDT,"9,131","1,739.27 USDT",103.34 USDT,5.94 %,03/01/2025 15:01 UTC,03/02/2025 15:50 UTC,9.40 % 0.21 USDT,-2.37 % 0.19 USDT
CHILLGUYUSDT,Long,0.037 USDT,"348,093","11,295.62 USDT",-432.68 USDT,-3.83 %,02/03/2025 17:35 UTC,03/02/2025 15:47 UTC,0.11 % 0.04 USDT,-32.07 % 0.03 USDT
PENGUUSDT,Short,0.009 USDT,"54,060",507.08 USDT,27.31 USDT,5.39 %,02/28/2025 18:17 UTC,03/02/2025 14:52 UTC,7.16 % 0.01 USDT,-0.81 % 0.01 USDT
AIXBTUSDT,Short,0.183 USDT,"15,399","2,824.33 USDT",-304.87 USDT,-10.79 %,02/25/2025 12:05 UTC,03/01/2025 15:01 UTC,3.74 % 0.18 USDT,-18.72 % 0.23 USDT
PENGUUSDT,Long,0.009 USDT,"12,453",114.57 USDT,2.04 USDT,1.78 %,02/28/2025 16:31 UTC,02/28/2025 18:17 UTC,3.30 % 0.01 USDT,-1.80 % 0.01 USDT
PENGUUSDT,Short,0.01 USDT,"840,078","8,065.59 USDT",629.02 USDT,7.80 %,02/07/2025 22:58 UTC,02/28/2025 16:31 UTC,22.93 % 0.01 USDT,-15.24 % 0.01 USDT
ETHUSDT,Long,"2,689.4 USDT",615.482,"1,655,277.83 USDT","-216,451.43 USDT",-13.08 %,02/03/2025 14:48 UTC,02/27/2025 23:57 UTC,"8.57 % 2,920 USDT","-17.10 % 2,229 USDT"
AVAXUSDT,Long,25.113 USDT,"20,543.28","530,735.64 USDT","-27,384.06 USDT",-5.16 %,02/04/2025 15:09 UTC,02/27/2025 20:44 UTC,7.59 % 27.02 USDT,-5.68 % 23.69 USDT
AIXBTUSDT,Long,0.194 USDT,"15,268","2,962.30 USDT",-160.23 USDT,-5.41 %,02/22/2025 17:01 UTC,02/25/2025 12:05 UTC,15.79 % 0.22 USDT,-18.15 % 0.16 USDT
AIXBTUSDT,Short,0.216 USDT,"4,891","1,056.75 USDT",9.73 USDT,0.92 %,02/22/2025 15:01 UTC,02/22/2025 17:01 UTC,0.71 % 0.21 USDT,-3.20 % 0.22 USDT
AIXBTUSDT,Long,0.191 USDT,"10,000","1,908.90 USDT",-0.57 USDT,-0.03 %,02/20/2025 12:20 UTC,02/21/2025 04:14 UTC,2.68 % 0.20 USDT,-7.28 % 0.18 USDT
