Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BTCUSDT,Long,"82,125 USDT",20,"1,642,500.00 USDT","32,902 USDT",2.00 %,03/29/2025 11:23 UTC,04/01/2025 08:18 UTC,"2.16 % 83,895 USDT","-1.10 % 81,222 USDT"
BTCUSDT,Short,"99,178.112 USDT",149,"-14,880,547.96 USDT","1,598,900 USDT",10.74 %,11/28/2024 11:43 UTC,02/05/2025 05:28 UTC,"7.43 % 92,320 USDT","-8.28 % 108,127 USDT"
VANAUSDT,Long,9.855 USDT,"1,650","16,260.71 USDT","-1,710.36 USDT",-10.52 %,01/25/2025 01:44 UTC,01/29/2025 05:55 UTC,2.66 % 10.12 USDT,-16.48 % 8.23 USDT
BNBUSDT,Short,720 USDT,500,"-360,000.00 USDT","2,670 USDT",0.74 %,01/04/2025 00:46 UTC,01/04/2025 20:48 UTC,1.55 % 709.00 USDT,-0.21 % 721.48 USDT
BNBUSDT,Short,720 USDT,500,"360,000.00 USDT","12,607 USDT",3.50 %,12/26/2024 07:10 UTC,12/26/2024 09:21 UTC,4.22 % 690.82 USDT,
BTCUSDT,Long,"95,003.6 USDT",5,"475,018.00 USDT",-203.04 USDT,-0.04 %,11/28/2024 11:30 UTC,11/28/2024 11:31 UTC,"0.04 % 95,041 USDT","-0.07 % 94,932 USDT"
BTCUSDT,Long,"94,933.333 USDT",3,"284,800.00 USDT","-3,319.74 USDT",-1.17 %,11/25/2024 14:44 UTC,11/25/2024 21:57 UTC,"1.87 % 96,707 USDT","-1.19 % 93,804 USDT"
BTCUSDT,Short,"97,771.401 USDT",5,"488,857.00 USDT","6,004 USDT",1.23 %,11/25/2024 03:39 UTC,11/25/2024 14:44 UTC,"1.12 % 96,686 USDT","-1.15 % 98,912 USDT"
BTCUSDT,Long,"60,367.857 USDT",10,"603,678.57 USDT","4,216 USDT",0.70 %,08/29/2024 11:47 UTC,08/29/2024 14:07 UTC,"0.77 % 60,834 USDT","-0.68 % 59,956 USDT"
DOGSUSDT,Long,0.001 USDT,"1,551,156","2,000.00 USDT",11.11 USDT,0.56 %,08/26/2024 16:20 UTC,08/27/2024 05:09 UTC,3.93 % 0.00 USDT,-9.83 % 0.00 USDT
BTCUSDT,Long,"65,250 USDT",40,"2,610,000.00 USDT","16,525 USDT",0.63 %,07/24/2024 21:31 UTC,07/25/2024 23:17 UTC,"1.37 % 66,144 USDT","-2.75 % 63,456 USDT"
BTCUSDT,Long,"60,490 USDT",50,"3,024,500.00 USDT","-166,955.14 USDT",-5.52 %,04/30/2024 09:00 UTC,05/01/2024 09:50 UTC,"1.80 % 61,576 USDT","-6.53 % 56,537 USDT"
BNBUSDT,Long,573.461 USDT,"16,000","9,175,380.00 USDT","648,015 USDT",7.06 %,04/12/2024 19:25 UTC,04/25/2024 18:21 UTC,8.01 % 619.40 USDT,-14.73 % 489.00 USDT
BTCUSDT,Long,"66,607.589 USDT",2,"133,215.18 USDT",603.89 USDT,0.45 %,04/12/2024 18:32 UTC,04/12/2024 19:28 UTC,"0.56 % 66,983 USDT","-2.26 % 65,102 USDT"
BTCUSDT,Short,"58,648.38 USDT",545,"-21,618,518.86 USDT","-16,341,400.85 USDT",-75.59 %,10/16/2023 13:45 UTC,04/12/2024 18:32 UTC,"108.63 % 28,110 USDT","-20.48 % 73,757 USDT"
BNBUSDT,Short,604.876 USDT,"9,600","-5,806,808.00 USDT","310,106 USDT",5.34 %,03/30/2024 06:49 UTC,04/02/2024 02:30 UTC,6.12 % 569.97 USDT,-0.66 % 608.92 USDT
ETHBTC,Short,0.051 USDT,655.49,-33.55 USDT,0.10 USDT,0.30 %,01/06/2024 07:37 UTC,03/20/2024 16:31 UTC,6.46 % 0.05 USDT,-16.20 % 0.06 USDT
MEMEUSDT,Long,0.024 USDT,"416,666","9,999.98 USDT",71.48 USDT,0.71 %,01/05/2024 01:49 UTC,01/05/2024 16:29 UTC,5.72 % 0.03 USDT,-1.70 % 0.02 USDT
TRBUSDT,Long,181.073 USDT,6,"1,086.44 USDT",9.06 USDT,0.83 %,12/31/2023 14:42 UTC,01/01/2024 07:29 UTC,29.79 % 235.02 USDT,-33.02 % 121.28 USDT
TRBUSDT,Long,259.008 USDT,2,518.02 USDT,-14.45 USDT,-2.79 %,12/31/2023 12:54 UTC,12/31/2023 12:57 UTC,0.72 % 260.87 USDT,-11.04 % 230.42 USDT
TRBUSDT,Short,239.521 USDT,15,"-3,592.82 USDT",32.31 USDT,0.90 %,12/29/2023 09:28 UTC,12/30/2023 05:20 UTC,1.09 % 236.94 USDT,-1.84 % 244.00 USDT
TRBUSDT,Short,232.718 USDT,1,232.72 USDT,-0.11 USDT,-0.05 %,12/29/2023 09:27 UTC,12/29/2023 09:28 UTC,,
ACEUSDT,Short,16.3 USDT,"5,012","81,695.60 USDT","19,402 USDT",23.75 %,12/21/2023 05:46 UTC,12/23/2023 02:39 UTC,27.92 % 12.74 USDT,-4.74 % 17.11 USDT
MEMEUSDT,Long,0.032 USDT,"157,728","4,999.98 USDT",357.46 USDT,7.15 %,12/13/2023 11:57 UTC,12/14/2023 04:28 UTC,10.32 % 0.03 USDT,
BTCBUSD,Short,"44,010.9 USDT",1,"44,010.90 USDT",-11.91 USDT,-0.03 %,12/06/2023 00:42 UTC,12/06/2023 00:44 UTC,,
BTCUSDT,Long,"28,660 USDT",50,"1,433,000.00 USDT","-91,337.65 USDT",-6.37 %,08/15/2023 19:07 UTC,08/29/2023 14:21 UTC,"2.08 % 29,257 USDT","-14.23 % 24,581 USDT"
BTCUSDT,Short,"29,400 USDT",20,"588,000.00 USDT","3,646 USDT",0.62 %,08/14/2023 21:47 UTC,08/15/2023 19:07 UTC,"0.48 % 29,260 USDT","-0.19 % 29,456 USDT"
BTCUSDT,Short,"29,600 USDT",40,"1,184,000.00 USDT","11,301 USDT",0.95 %,08/14/2023 15:26 UTC,08/14/2023 18:57 UTC,"1.03 % 29,299 USDT","-0.27 % 29,679 USDT"
BTCUSDT,Long,"29,200 USDT",20,"584,000.00 USDT","4,148 USDT",0.71 %,08/14/2023 01:55 UTC,08/14/2023 07:41 UTC,"0.91 % 29,466 USDT","-0.45 % 29,070 USDT"
BTCUSDT,Short,"29,651.1 USDT",40,"-1,186,044.00 USDT","9,355 USDT",0.79 %,08/10/2023 00:12 UTC,08/10/2023 14:44 UTC,"0.72 % 29,438 USDT","-0.13 % 29,691 USDT"
BTCUSDT,Short,"29,753.333 USDT",120,"-3,570,400.00 USDT","28,254 USDT",0.79 %,08/08/2023 12:22 UTC,08/09/2023 16:59 UTC,"0.72 % 29,539 USDT","-1.24 % 30,126 USDT"
BTCUSDT,Long,"29,100 USDT",40,"1,164,000.00 USDT","3,296 USDT",0.28 %,08/04/2023 02:24 UTC,08/07/2023 21:01 UTC,"0.77 % 29,323 USDT","-1.44 % 28,682 USDT"
BTCUSDT,Long,"29,100 USDT",60,"1,746,000.00 USDT","18,698 USDT",1.07 %,08/02/2023 14:08 UTC,08/03/2023 14:59 UTC,"1.17 % 29,440 USDT","-0.67 % 28,906 USDT"
BTCUSDT,Short,"29,775 USDT",80,"-2,382,000.00 USDT","21,761 USDT",0.91 %,08/01/2023 23:51 UTC,08/02/2023 08:12 UTC,"0.89 % 29,512 USDT","-0.69 % 29,982 USDT"
BTCUSDT,Long,"28,900 USDT",60,"1,734,000.00 USDT","18,789 USDT",1.08 %,07/31/2023 19:59 UTC,08/01/2023 18:55 UTC,"1.14 % 29,230 USDT","-1.21 % 28,550 USDT"
