Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BTCUSDT,Short,"78,483.202 USDT",20,"1,569,664.04 USDT","31,420 USDT",2.00 %,03/10/2025 17:37 UTC,04/07/2025 11:18 UTC,,
BTCUSDT,Short,"79,099.462 USDT",20,"1,581,989.24 USDT","3,482 USDT",0.22 %,03/10/2025 16:49 UTC,03/10/2025 17:21 UTC,"0.83 % 78,451 USDT","-0.11 % 79,183 USDT"
BTCUSDT,Short,"79,621.61 USDT",20,"1,592,432.20 USDT","2,837 USDT",0.18 %,03/10/2025 16:07 UTC,03/10/2025 16:24 UTC,"0.18 % 79,479 USDT","-0.27 % 79,841 USDT"
BTCUSDT,Short,"79,681.906 USDT",20,"1,593,638.13 USDT",750.20 USDT,0.05 %,03/10/2025 14:35 UTC,03/10/2025 14:59 UTC,"0.31 % 79,435 USDT","-0.36 % 79,970 USDT"
BTCUSDT,Short,"81,534.527 USDT",20,"1,630,690.55 USDT","32,773 USDT",2.01 %,03/10/2025 13:54 UTC,03/10/2025 14:23 UTC,"2.34 % 79,672 USDT",
BTCUSDT,Short,"82,338.088 USDT",20,"1,646,761.75 USDT","25,181 USDT",1.53 %,03/09/2025 17:21 UTC,03/10/2025 00:49 UTC,"2.75 % 80,133 USDT","-1.19 % 83,329 USDT"
BTCUSDT,Short,"82,976.404 USDT",20,"1,659,528.08 USDT",880.74 USDT,0.05 %,03/09/2025 15:46 UTC,03/09/2025 17:16 UTC,"0.63 % 82,457 USDT","-0.65 % 83,517 USDT"
BTCUSDT,Short,"84,255.51 USDT",20,"1,685,110.21 USDT","17,476 USDT",1.04 %,03/09/2025 13:21 UTC,03/09/2025 14:24 UTC,"1.28 % 83,193 USDT","-0.29 % 84,499 USDT"
BTCUSDT,Short,"85,000.582 USDT",20,"1,700,011.65 USDT",612.03 USDT,0.04 %,03/09/2025 10:44 UTC,03/09/2025 10:54 UTC,"0.20 % 84,830 USDT",
BTCUSDT,Short,"86,052.978 USDT",20,"1,721,059.56 USDT","2,985 USDT",0.17 %,03/08/2025 08:12 UTC,03/08/2025 11:21 UTC,"0.31 % 85,785 USDT","-0.38 % 86,384 USDT"
BTCUSDT,Short,"87,244.728 USDT",20,"1,744,894.57 USDT","5,291 USDT",0.30 %,03/07/2025 16:40 UTC,03/07/2025 16:55 UTC,"0.55 % 86,770 USDT","-0.01 % 87,257 USDT"
BTCUSDT,Short,"87,730.446 USDT",20,"1,754,608.92 USDT","2,707 USDT",0.15 %,03/07/2025 16:21 UTC,03/07/2025 16:27 UTC,"0.15 % 87,602 USDT",
BTCUSDT,Short,"88,625.045 USDT",20,"1,772,500.91 USDT","1,531 USDT",0.09 %,03/07/2025 12:43 UTC,03/07/2025 12:44 UTC,"0.10 % 88,533 USDT",
BTCUSDT,Short,"85,552.255 USDT",20,"1,711,045.10 USDT","6,286 USDT",0.37 %,03/07/2025 00:45 UTC,03/07/2025 00:56 UTC,"0.43 % 85,183 USDT","-0.06 % 85,605 USDT"
BTCUSDT,Short,"86,821.552 USDT",20,"1,736,431.05 USDT","13,869 USDT",0.80 %,03/07/2025 00:23 UTC,03/07/2025 00:41 UTC,"0.95 % 86,008 USDT","-0.21 % 87,000 USDT"
BTCUSDT,Short,"87,652.973 USDT",20,"1,753,059.45 USDT","3,780 USDT",0.22 %,03/07/2025 00:20 UTC,03/07/2025 00:21 UTC,,
BTCUSDT,Short,"87,469.754 USDT",20,"1,749,395.08 USDT","6,595 USDT",0.38 %,03/05/2025 03:42 UTC,03/05/2025 04:09 UTC,"0.68 % 86,875 USDT","-0.01 % 87,479 USDT"
BTCUSDT,Short,"88,264.518 USDT",20,"1,765,290.35 USDT","5,876 USDT",0.33 %,03/04/2025 21:31 UTC,03/04/2025 21:43 UTC,"0.50 % 87,826 USDT","-0.02 % 88,282 USDT"
BTCUSDT,Short,"87,997.629 USDT",20,"1,759,952.58 USDT","11,900 USDT",0.68 %,03/04/2025 20:31 UTC,03/04/2025 21:17 UTC,"1.48 % 86,710 USDT","-0.04 % 88,034 USDT"
BTCUSDT,Short,"82,515.996 USDT",20,"-1,650,319.93 USDT","2,526 USDT",0.15 %,03/04/2025 16:08 UTC,03/04/2025 16:38 UTC,"0.13 % 82,412 USDT","-0.36 % 82,810 USDT"
