Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
AERGOUSDT,Short,0.395 USDT,"989,783","-390,980.81 USDT","82,930 USDT",21.21 %,04/16/2025 11:36 UTC,04/16/2025 12:47 UTC,,
AERGOUSDT,Long,0.3 USDT,"249,908","74,999.89 USDT","3,285 USDT",4.38 %,04/16/2025 11:18 UTC,04/16/2025 11:19 UTC,,
AERGOUSDT,Short,0.371 USDT,"1,244,922","-461,600.03 USDT","25,840 USDT",5.60 %,04/16/2025 11:10 UTC,04/16/2025 11:15 UTC,,
BNXUSDT,Short,0.65 USDT,"1,342,058.6","-872,030.05 USDT","-421,440.81 USDT",-48.33 %,02/09/2025 12:02 UTC,03/02/2025 23:16 UTC,69.34 % 0.38 USDT,-50.47 % 1.31 USDT
OMUSDT,Short,8.516 USDT,"137,009","-1,166,773.46 USDT","206,560 USDT",17.70 %,02/22/2025 23:50 UTC,03/02/2025 06:59 UTC,21.27 % 7.02 USDT,-4.39 % 8.91 USDT
ETHUSDT,Short,"2,728.25 USDT",449.213,"-1,225,565.37 USDT","22,014 USDT",1.80 %,02/21/2025 15:39 UTC,02/22/2025 00:56 UTC,"4.12 % 2,620 USDT","-1.27 % 2,763 USDT"
BERAUSDT,Short,7.707 USDT,"84,958","-654,770.52 USDT","10,951 USDT",1.67 %,02/21/2025 15:40 UTC,02/22/2025 00:51 UTC,4.53 % 7.37 USDT,-3.49 % 7.99 USDT
OMUSDT,Short,8.001 USDT,"94,897.4","-759,291.80 USDT","44,672 USDT",5.88 %,02/21/2025 01:04 UTC,02/21/2025 10:56 UTC,6.59 % 7.51 USDT,-0.64 % 8.05 USDT
JTOUSDT,Short,3.237 USDT,"69,022","-223,424.21 USDT","4,797 USDT",2.15 %,02/21/2025 05:35 UTC,02/21/2025 05:44 UTC,2.52 % 3.16 USDT,
TRUMPUSDT,Short,17.669 USDT,"76,373.82","-1,349,423.79 USDT","23,802 USDT",1.76 %,02/13/2025 06:24 UTC,02/17/2025 08:06 UTC,11.28 % 15.88 USDT,-27.11 % 24.24 USDT
GLMUSDT,Short,0.37 USDT,"926,589","-342,866.37 USDT","23,274 USDT",6.79 %,02/17/2025 00:49 UTC,02/17/2025 05:47 UTC,7.73 % 0.34 USDT,
MELANIAUSDT,Short,1.331 USDT,"166,359.85","-221,476.75 USDT","1,903 USDT",0.86 %,02/16/2025 01:02 UTC,02/16/2025 13:59 UTC,1.70 % 1.31 USDT,-1.02 % 1.34 USDT
OMUSDT,Short,7.887 USDT,"57,968.4","-457,196.92 USDT","4,691 USDT",1.03 %,02/15/2025 04:03 UTC,02/15/2025 04:34 UTC,2.99 % 7.66 USDT,
OMUSDT,Short,7.103 USDT,"77,300.1","-549,071.04 USDT",131.10 USDT,0.02 %,02/15/2025 02:37 UTC,02/15/2025 03:41 UTC,2.31 % 6.94 USDT,
BERAUSDT,Short,5.977 USDT,"114,867.8","-686,577.25 USDT","59,583 USDT",8.68 %,02/12/2025 00:12 UTC,02/14/2025 06:57 UTC,10.12 % 5.43 USDT,-4.03 % 6.23 USDT
LAYERUSDT,Short,1.241 USDT,"419,294.7","-520,141.46 USDT","58,284 USDT",11.21 %,02/12/2025 00:37 UTC,02/12/2025 00:51 UTC,6.58 % 1.16 USDT,-3.08 % 1.28 USDT
LAYERUSDT,Long,0.771 USDT,"362,525.5","279,362.87 USDT",703.77 USDT,0.25 %,02/11/2025 16:01 UTC,02/11/2025 17:04 UTC,7.25 % 0.83 USDT,-11.98 % 0.68 USDT
MELANIAUSDT,Short,1.435 USDT,"165,464.45","-237,454.51 USDT","1,445 USDT",0.61 %,02/11/2025 13:31 UTC,02/11/2025 16:02 UTC,1.20 % 1.42 USDT,-0.06 % 1.44 USDT
TRUMPUSDT,Short,15.816 USDT,"22,154.72","350,390.02 USDT",932.95 USDT,0.27 %,02/11/2025 13:30 UTC,02/11/2025 15:59 UTC,1.73 % 15.55 USDT,-0.15 % 15.84 USDT
BERAUSDT,Short,6.2 USDT,"19,581.2","-121,406.03 USDT","13,272 USDT",10.93 %,02/11/2025 07:12 UTC,02/11/2025 15:56 UTC,14.90 % 5.40 USDT,
TSTUSDT,Short,0.22 USDT,"431,583","94,938.00 USDT","15,992 USDT",16.85 %,02/11/2025 10:45 UTC,02/11/2025 15:55 UTC,23.72 % 0.18 USDT,-1.88 % 0.22 USDT
