Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
ETHUSDT,Short,"2,043.055 USDT",944.83,"-1,930,339.23 USDT","179,107 USDT",9.28 %,03/26/2025 01:25 UTC,04/02/2025 06:26 UTC,,
SOLUSDT,Short,146.271 USDT,"9,914","-1,450,130.14 USDT","124,092 USDT",8.56 %,03/25/2025 14:43 UTC,03/28/2025 05:09 UTC,9.50 % 133.58 USDT,
BTCUSDT,Short,"87,183.374 USDT",48.378,"-4,217,757.25 USDT","3,284 USDT",0.08 %,03/26/2025 04:42 UTC,03/27/2025 18:14 UTC,"1.51 % 85,883 USDT","-0.57 % 87,680 USDT"
SOLUSDT,Short,144.365 USDT,"4,969","-717,351.78 USDT","29,469 USDT",4.11 %,03/24/2025 14:03 UTC,03/25/2025 04:05 UTC,4.44 % 138.23 USDT,-0.22 % 144.68 USDT
TRUMPUSDT,Long,11.477 USDT,"70,406.26","808,024.84 USDT","-20,235.24 USDT",-2.50 %,03/16/2025 11:19 UTC,03/16/2025 22:56 UTC,1.56 % 11.66 USDT,-4.01 % 11.02 USDT
BTCUSDT,Long,"82,714.568 USDT",85.231,"7,049,845.35 USDT","98,317 USDT",1.39 %,03/16/2025 11:19 UTC,03/16/2025 16:07 UTC,"1.49 % 83,950 USDT","-0.46 % 82,333 USDT"
DOGEUSDT,Long,0.223 USDT,"3,385,587","756,473.56 USDT","-29,931.50 USDT",-3.96 %,02/03/2025 02:04 UTC,02/03/2025 02:06 UTC,,-6.42 % 0.21 USDT
BTCUSDT,Short,"93,678.817 USDT",14.986,"1,403,870.74 USDT","9,401 USDT",0.67 %,02/03/2025 01:58 UTC,02/03/2025 02:03 UTC,"0.32 % 93,377 USDT",
TRUMPUSDT,Long,31.736 USDT,"15,213.4","482,812.52 USDT","102,156 USDT",21.16 %,01/21/2025 01:38 UTC,01/21/2025 07:56 UTC,21.31 % 38.50 USDT,-3.82 % 30.52 USDT
SOLUSDT,Long,234.289 USDT,"4,700","1,101,157.26 USDT","-10,944.87 USDT",-0.99 %,01/21/2025 01:48 UTC,01/21/2025 04:36 UTC,2.95 % 241.20 USDT,-1.16 % 231.58 USDT
TURBOUSDT,Long,0.007 USDT,"45,801,526","298,662.66 USDT",-215.90 USDT,-0.07 %,01/20/2025 18:09 UTC,01/21/2025 01:59 UTC,5.74 % 0.01 USDT,-1.40 % 0.01 USDT
BTCUSDT,Short,"102,728.927 USDT",4.107,"-421,907.70 USDT","-8,606.60 USDT",-2.04 %,12/15/2024 01:55 UTC,12/15/2024 23:23 UTC,"1.16 % 101,550 USDT","-1.55 % 104,346 USDT"
ETHUSDT,Short,"3,886.802 USDT",117.522,"-456,784.73 USDT","-1,952.59 USDT",-0.43 %,12/15/2024 01:47 UTC,12/15/2024 16:33 UTC,"1.38 % 3,834 USDT","-0.44 % 3,904 USDT"
1MBABYDOGEUSDT,Long,0.004 USDT,"27,295,999","118,337.80 USDT",637.03 USDT,0.54 %,12/14/2024 18:54 UTC,12/15/2024 01:47 UTC,1.61 % 0.00 USDT,-0.78 % 0.00 USDT
BTCUSDT,Short,"94,735.078 USDT",124.924,"-11,834,684.88 USDT","-265,978.41 USDT",-2.25 %,12/10/2024 18:05 UTC,12/10/2024 21:27 UTC,"0.29 % 94,459 USDT","-2.03 % 96,693 USDT"
ETHUSDT,Short,"3,558.875 USDT","1,950.052","-6,939,991.58 USDT","-142,905.89 USDT",-2.06 %,12/10/2024 18:15 UTC,12/10/2024 19:55 UTC,,"-1.92 % 3,628 USDT"
1000PEPEUSDT,Short,0.023 USDT,"39,403,379","-899,158.17 USDT","-13,215.63 USDT",-1.47 %,12/10/2024 18:34 UTC,12/10/2024 19:02 UTC,,-1.37 % 0.02 USDT
ETHUSDT,Short,"3,537.606 USDT","1,184.739","4,191,139.50 USDT","24,356 USDT",0.58 %,12/10/2024 18:08 UTC,12/10/2024 18:12 UTC,"0.31 % 3,526 USDT",
BNBUSDT,Long,664.394 USDT,"2,888","1,918,770.52 USDT","-31,341.51 USDT",-1.63 %,12/10/2024 17:06 UTC,12/10/2024 18:07 UTC,0.69 % 668.99 USDT,-2.16 % 650.02 USDT
BCHUSDT,Long,504.273 USDT,"2,010.113","1,013,645.47 USDT","-31,459.95 USDT",-3.10 %,12/10/2024 17:12 UTC,12/10/2024 17:58 UTC,0.65 % 507.55 USDT,-3.38 % 487.22 USDT
SOLUSDT,Long,209.755 USDT,"11,213","2,351,986.07 USDT","-54,155.78 USDT",-2.30 %,12/10/2024 17:12 UTC,12/10/2024 17:56 UTC,0.69 % 211.20 USDT,-2.64 % 204.21 USDT
XRPUSDT,Long,2.017 USDT,"597,586.3","1,205,381.74 USDT","-10,570.86 USDT",-0.88 %,12/10/2024 17:22 UTC,12/10/2024 17:55 UTC,0.89 % 2.04 USDT,-1.50 % 1.99 USDT
1000PEPEUSDT,Long,0.023 USDT,"63,849,194","1,471,801.28 USDT","-48,513.80 USDT",-3.30 %,12/10/2024 17:23 UTC,12/10/2024 17:43 UTC,,-3.39 % 0.02 USDT
BTCUSDT,Short,"96,563.758 USDT",120.205,"-11,607,446.54 USDT","116,645 USDT",1.00 %,12/10/2024 09:20 UTC,12/10/2024 16:56 UTC,"2.03 % 94,645 USDT","-1.62 % 98,151 USDT"
ETHUSDT,Short,"3,671.41 USDT","2,008.065","-7,372,430.47 USDT","284,504 USDT",3.86 %,12/10/2024 10:38 UTC,12/10/2024 16:42 UTC,"3.55 % 3,545 USDT",
