Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
SPXUSDT,Long,0.469 USDT,"12,806","5,999.61 USDT",105.22 USDT,1.75 %,04/22/2025 15:42 UTC,04/22/2025 18:35 UTC,,
MANAUSDT,Long,0.299 USDT,"20,100","5,999.85 USDT",58.64 USDT,0.98 %,04/22/2025 05:39 UTC,04/22/2025 07:31 UTC,,
MANAUSDT,Long,0.301 USDT,"39,908","11,999.69 USDT",101.31 USDT,0.84 %,04/21/2025 18:03 UTC,04/22/2025 01:20 UTC,,
LDOUSDT,Long,0.706 USDT,"8,500","5,999.30 USDT",63.53 USDT,1.06 %,04/21/2025 17:05 UTC,04/22/2025 01:16 UTC,,
CRVUSDT,Long,0.59 USDT,"10,169.4","5,999.95 USDT",-23.93 USDT,-0.40 %,04/21/2025 16:45 UTC,04/21/2025 23:52 UTC,0.68 % 0.59 USDT,-2.20 % 0.58 USDT
FARTCOINUSDT,Long,0.853 USDT,"35,150.2","29,999.64 USDT",396.48 USDT,1.32 %,04/21/2025 15:46 UTC,04/21/2025 18:39 UTC,2.02 % 0.87 USDT,-3.56 % 0.82 USDT
MANAUSDT,Long,0.308 USDT,"19,466","5,999.42 USDT",60.62 USDT,1.01 %,04/21/2025 11:16 UTC,04/21/2025 15:39 UTC,1.49 % 0.31 USDT,-0.29 % 0.31 USDT
FARTCOINUSDT,Long,0.875 USDT,"13,709.4","11,999.79 USDT",309.33 USDT,2.58 %,04/21/2025 14:00 UTC,04/21/2025 14:31 UTC,3.29 % 0.90 USDT,-0.95 % 0.87 USDT
FARTCOINUSDT,Long,0.886 USDT,"6,768.8","5,999.86 USDT",123.62 USDT,2.06 %,04/21/2025 06:36 UTC,04/21/2025 08:50 UTC,2.18 % 0.91 USDT,-1.05 % 0.88 USDT
TRUMPUSDT,Long,8.146 USDT,"1,473.16","11,999.83 USDT",40.76 USDT,0.34 %,04/20/2025 07:34 UTC,04/20/2025 14:13 UTC,0.51 % 8.19 USDT,-1.40 % 8.03 USDT
TRUMPUSDT,Long,8.105 USDT,740.28,"5,999.97 USDT",88.17 USDT,1.47 %,04/19/2025 06:12 UTC,04/19/2025 07:01 UTC,1.67 % 8.24 USDT,-0.36 % 8.08 USDT
FARTCOINUSDT,Long,0.734 USDT,"8,179.8","5,999.88 USDT",415.90 USDT,6.93 %,04/18/2025 15:06 UTC,04/18/2025 19:14 UTC,7.06 % 0.79 USDT,-2.39 % 0.72 USDT
1000BONKUSDT,Long,0.012 USDT,"508,948","5,999.99 USDT",140.22 USDT,2.34 %,04/18/2025 15:07 UTC,04/18/2025 17:41 UTC,2.58 % 0.01 USDT,-0.33 % 0.01 USDT
FARTCOINUSDT,Long,0.812 USDT,"14,662.2","11,910.64 USDT",-608.55 USDT,-5.11 %,04/17/2025 19:15 UTC,04/18/2025 08:26 UTC,7.28 % 0.87 USDT,-9.16 % 0.74 USDT
CRVUSDT,Long,0.59 USDT,"10,169.4","5,999.95 USDT",6.57 USDT,0.11 %,04/18/2025 00:57 UTC,04/18/2025 07:04 UTC,1.19 % 0.60 USDT,-2.20 % 0.58 USDT
