Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BTCUSDT,Long,"81,153.788 USDT",24.647,"2,000,197.41 USDT","24,578 USDT",1.23 %,04/11/2025 08:02 UTC,04/11/2025 09:42 UTC,"1.41 % 82,300 USDT","-0.39 % 80,841 USDT"
BTCUSDT,Short,"81,049.036 USDT",18.501,"-1,499,488.21 USDT","2,585 USDT",0.17 %,04/11/2025 08:00 UTC,04/11/2025 08:02 UTC,"0.08 % 80,982 USDT",
ETHUSDT,Short,"1,610.224 USDT",931.541,"-1,499,989.40 USDT","96,506 USDT",6.43 %,04/10/2025 12:31 UTC,04/10/2025 15:38 UTC,"6.74 % 1,508 USDT",
ETHUSDT,Short,"1,620.342 USDT",617.024,"999,789.76 USDT","19,910 USDT",1.99 %,04/10/2025 06:08 UTC,04/10/2025 11:20 UTC,"2.22 % 1,585 USDT","-0.03 % 1,620 USDT"
XRPUSDT,Short,2.003 USDT,"499,090.4","-999,797.67 USDT",168.43 USDT,0.02 %,04/10/2025 04:52 UTC,04/10/2025 09:19 UTC,1.25 % 1.98 USDT,-0.51 % 2.01 USDT
BTCUSDT,Short,"82,125.175 USDT",18.263,"-1,499,852.06 USDT","-2,972.09 USDT",-0.20 %,04/10/2025 05:25 UTC,04/10/2025 06:08 UTC,"0.10 % 82,043 USDT","-0.11 % 82,213 USDT"
BTCUSDT,Short,"80,965.832 USDT",12.34,"-999,118.36 USDT","-7,063.80 USDT",-0.71 %,04/09/2025 17:28 UTC,04/09/2025 17:31 UTC,,"-0.15 % 81,085 USDT"
BTCUSDT,Short,"77,604.462 USDT",25.755,"1,998,702.93 USDT","-37,152.98 USDT",-1.86 %,04/09/2025 17:19 UTC,04/09/2025 17:20 UTC,,"-1.03 % 78,415 USDT"
BTCUSDT,Short,"76,991.266 USDT",38.958,"-2,999,425.75 USDT","2,189 USDT",0.07 %,04/09/2025 13:07 UTC,04/09/2025 13:14 UTC,"0.14 % 76,882 USDT",
BTCUSDT,Short,"76,878.868 USDT",19.509,"-1,499,829.83 USDT","-3,131.62 USDT",-0.21 %,04/09/2025 13:02 UTC,04/09/2025 13:06 UTC,,"-0.08 % 76,943 USDT"
BTCUSDT,Short,"76,548.584 USDT",39.17,"-2,999,941.43 USDT","4,271 USDT",0.14 %,04/09/2025 11:01 UTC,04/09/2025 11:48 UTC,"0.81 % 75,936 USDT",
BTCUSDT,Short,"77,426.073 USDT",12.915,"999,957.74 USDT",-767.00 USDT,-0.08 %,04/09/2025 08:10 UTC,04/09/2025 08:20 UTC,"0.06 % 77,378 USDT",
BTCUSDT,Long,"78,242.704 USDT",8.943,"699,724.50 USDT","-32,017.63 USDT",-4.58 %,04/07/2025 02:51 UTC,04/09/2025 01:27 UTC,"3.31 % 80,832 USDT","-4.59 % 74,650 USDT"
BTCUSDT,Long,"83,514.786 USDT",8.98,"749,962.78 USDT","-1,447.23 USDT",-0.19 %,04/04/2025 17:27 UTC,04/05/2025 12:01 UTC,"1.28 % 84,580 USDT","-0.26 % 83,300 USDT"
KAIAUSDT,Long,0.107 USDT,"652,385","70,078.24 USDT","-3,510.73 USDT",-5.01 %,04/03/2025 06:35 UTC,04/03/2025 16:50 UTC,0.82 % 0.11 USDT,-5.98 % 0.10 USDT
TONUSDT,Long,3.631 USDT,"41,300.6","149,969.87 USDT",-666.90 USDT,-0.44 %,03/26/2025 10:13 UTC,03/26/2025 10:17 UTC,,-0.50 % 3.61 USDT
BTCUSDT,Short,"87,394.987 USDT",17.161,"-1,499,785.37 USDT","-11,435.18 USDT",-0.76 %,03/24/2025 12:02 UTC,03/24/2025 14:05 UTC,"0.28 % 87,152 USDT","-0.66 % 87,972 USDT"
WLDUSDT,Long,0.906 USDT,"110,107","99,741.85 USDT","4,391 USDT",4.40 %,03/24/2025 13:56 UTC,03/24/2025 13:59 UTC,5.15 % 0.95 USDT,-0.32 % 0.90 USDT
HBARUSDT,Long,0.194 USDT,"772,557","150,091.63 USDT",-989.07 USDT,-0.66 %,03/20/2025 14:59 UTC,03/20/2025 15:03 UTC,,-1.33 % 0.19 USDT
ADAUSDT,Long,0.75 USDT,"599,865","450,173.70 USDT","-2,944.93 USDT",-0.65 %,03/20/2025 14:51 UTC,03/20/2025 15:03 UTC,0.61 % 0.76 USDT,-1.66 % 0.74 USDT
TRUMPUSDT,Long,11.512 USDT,"13,035.16","150,059.04 USDT",-559.00 USDT,-0.37 %,03/20/2025 14:57 UTC,03/20/2025 15:03 UTC,0.70 % 11.59 USDT,-1.28 % 11.36 USDT
