Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
CRVUSD,Long,0.57 USDT,"70,221.9","40,055.98 USDT","-4,882.12 USDT",-12.19 %,03/31/2025 09:08 UTC,04/06/2025 06:15 UTC,,
NILUSD,Long,0.55 USDT,"27,251","14,998.21 USDT","-3,070.62 USDT",-20.47 %,03/31/2025 09:08 UTC,04/06/2025 06:13 UTC,,
AAVEUSD,Long,172.482 USDT,145.34,"25,068.61 USDT","-2,533.76 USDT",-10.11 %,03/31/2025 09:08 UTC,04/06/2025 06:13 UTC,,
ETHUSD,Long,"1,906.04 USDT",163.79,"312,190.48 USDT",0.00 USDT,0.00 %,03/31/2025 09:08 UTC,04/02/2025 20:14 UTC,,
BTCUSD,Long,"83,990.2 USDT",38.935,"3,270,184.47 USDT",0.00 USDT,0.00 %,03/31/2025 09:08 UTC,04/02/2025 20:14 UTC,,
GRASSUSD,Long,1.881 USDT,"4,425.4","8,322.90 USDT",0.00 USDT,0.00 %,04/01/2025 17:52 UTC,04/02/2025 16:20 UTC,,
SOLUSD,Long,124.988 USDT,750,"93,741.38 USDT",0.00 USDT,0.00 %,03/31/2025 09:08 UTC,04/01/2025 16:12 UTC,,
XAIUSD,Short,0.065 USDT,"703,660.7","45,970.15 USDT",0.00 USDT,0.00 %,03/31/2025 09:08 UTC,04/01/2025 14:10 UTC,,
FARTCOINUSD,Long,0.463 USDT,"64,786.4","30,016.83 USDT",0.00 USDT,0.00 %,03/31/2025 09:08 UTC,04/01/2025 14:08 UTC,,
ADAUSDT,Short,0.71 USDT,"102,087","72,501.17 USDT","1,119 USDT",1.54 %,03/21/2025 13:27 UTC,03/28/2025 16:14 UTC,2.08 % 0.70 USDT,-8.10 % 0.77 USDT
XRPUSDT,Short,2.376 USDT,"30,525","72,521.30 USDT","5,974 USDT",8.24 %,03/21/2025 13:27 UTC,03/28/2025 16:14 UTC,9.06 % 2.18 USDT,-4.80 % 2.50 USDT
ETHUSDT,Short,"2,009.3 USDT",45,"90,418.50 USDT","2,580 USDT",2.85 %,03/28/2025 02:17 UTC,03/28/2025 04:40 UTC,"1.59 % 1,977 USDT","-0.22 % 2,013 USDT"
HYPEUSDT,Long,14.539 USDT,"3,836.74","55,782.36 USDT",94.82 USDT,0.17 %,03/26/2025 15:54 UTC,03/27/2025 02:06 UTC,3.59 % 15.06 USDT,-7.33 % 13.47 USDT
ETHUSDT,Long,"2,087.5 USDT",119.732,"249,940.13 USDT","-4,437.06 USDT",-1.78 %,03/24/2025 12:07 UTC,03/26/2025 20:41 UTC,"0.67 % 2,101 USDT","-2.44 % 2,036 USDT"
SOLUSDT,Short,139.37 USDT,346.18,"48,247.11 USDT",479.43 USDT,0.99 %,03/26/2025 14:44 UTC,03/26/2025 20:11 UTC,2.21 % 136.36 USDT,-0.73 % 140.39 USDT
GRIFFAINUSDT,Long,0.056 USDT,"133,451","7,496.48 USDT",-943.97 USDT,-12.59 %,03/24/2025 12:11 UTC,03/26/2025 14:22 UTC,1.48 % 0.06 USDT,-20.25 % 0.04 USDT
ZEREBROUSDT,Long,0.043 USDT,"174,418","7,482.01 USDT",-738.15 USDT,-9.87 %,03/24/2025 12:11 UTC,03/26/2025 14:22 UTC,3.25 % 0.04 USDT,-15.69 % 0.04 USDT
AIXBTUSDT,Long,0.134 USDT,"55,555","7,443.81 USDT",-676.57 USDT,-9.09 %,03/24/2025 12:11 UTC,03/26/2025 14:21 UTC,3.72 % 0.14 USDT,-14.10 % 0.12 USDT
HYPEUSDT,Long,17.08 USDT,"11,695.9","199,765.97 USDT","-15,745.54 USDT",-7.88 %,03/24/2025 12:09 UTC,03/26/2025 13:58 UTC,1.58 % 17.35 USDT,-19.99 % 13.66 USDT
SPXUSDT,Long,0.64 USDT,"23,437.5","14,989.69 USDT",257.84 USDT,1.72 %,03/24/2025 12:09 UTC,03/26/2025 13:03 UTC,5.06 % 0.67 USDT,-8.62 % 0.58 USDT
WIFUSDT,Long,0.559 USDT,"17,857","9,984.56 USDT",-178.26 USDT,-1.79 %,03/24/2025 12:11 UTC,03/26/2025 00:57 UTC,3.55 % 0.58 USDT,-4.48 % 0.53 USDT
FARTCOINUSDT,Long,0.549 USDT,"27,272.7","14,961.26 USDT",378.49 USDT,2.53 %,03/24/2025 12:09 UTC,03/26/2025 00:57 UTC,18.10 % 0.65 USDT,-6.72 % 0.51 USDT
ENAUSDT,Long,0.405 USDT,"48,780","19,765.66 USDT","1,052 USDT",5.32 %,03/24/2025 13:39 UTC,03/26/2025 00:57 UTC,9.22 % 0.44 USDT,-2.73 % 0.39 USDT
SOLUSDT,Long,142.84 USDT,"1,748.25","249,720.03 USDT","3,058 USDT",1.22 %,03/24/2025 12:07 UTC,03/26/2025 00:57 UTC,3.21 % 147.42 USDT,-3.30 % 138.12 USDT
BERAUSDT,Long,7.655 USDT,"3,916.4","29,980.43 USDT","1,421 USDT",4.74 %,03/24/2025 16:01 UTC,03/25/2025 20:34 UTC,8.16 % 8.28 USDT,-2.54 % 7.46 USDT
ZROUSDT,Long,2.93 USDT,"5,119.4","14,999.84 USDT",-144.08 USDT,-0.96 %,03/24/2025 12:11 UTC,03/25/2025 16:43 UTC,0.42 % 2.94 USDT,-6.38 % 2.74 USDT
SUIUSDT,Long,2.415 USDT,"8,264.4","19,956.05 USDT",261.28 USDT,1.31 %,03/24/2025 13:43 UTC,03/25/2025 16:43 UTC,2.81 % 2.48 USDT,-3.38 % 2.33 USDT
POPCATUSDT,Long,0.23 USDT,"43,478","9,999.94 USDT","1,002 USDT",10.03 %,03/24/2025 12:19 UTC,03/25/2025 16:42 UTC,15.04 % 0.26 USDT,-1.43 % 0.23 USDT
SUSDT,Long,0.595 USDT,"33,557","19,982.86 USDT",413.87 USDT,2.07 %,03/24/2025 12:10 UTC,03/25/2025 16:42 UTC,6.36 % 0.63 USDT,-3.02 % 0.58 USDT
AVAXUSDT,Long,21.696 USDT,921.65,"19,996.12 USDT",745.39 USDT,3.73 %,03/24/2025 12:10 UTC,03/25/2025 16:42 UTC,5.11 % 22.80 USDT,-2.17 % 21.23 USDT
WLDUSDT,Long,0.92 USDT,"27,173.9","24,998.36 USDT",0.32 USDT,0.00 %,03/24/2025 13:57 UTC,03/25/2025 13:44 UTC,3.87 % 0.96 USDT,-3.19 % 0.89 USDT
MAVIAUSDT,Long,0.321 USDT,"23,364.4","7,499.97 USDT","-1,885.19 USDT",-25.14 %,03/21/2025 19:48 UTC,03/24/2025 11:11 UTC,13.12 % 0.36 USDT,-32.60 % 0.22 USDT
IPUSDT,Long,5.799 USDT,"6,043.3","35,046.91 USDT",-376.28 USDT,-1.07 %,03/21/2025 18:47 UTC,03/24/2025 11:11 UTC,4.97 % 6.09 USDT,-2.97 % 5.63 USDT
KAITOUSDT,Long,1.326 USDT,"15,115","20,040.98 USDT",-250.52 USDT,-1.25 %,03/21/2025 18:49 UTC,03/24/2025 11:10 UTC,2.99 % 1.37 USDT,-6.00 % 1.25 USDT
FARTCOINUSDT,Long,0.385 USDT,"129,739.5","49,953.60 USDT","13,022 USDT",26.07 %,03/20/2025 15:12 UTC,03/24/2025 11:10 UTC,39.53 % 0.54 USDT,-11.70 % 0.34 USDT
BTCUSDT,Long,"82,866 USDT",63.506,"5,284,915.80 USDT","106,178 USDT",2.01 %,03/11/2025 19:09 UTC,03/24/2025 11:10 UTC,"5.51 % 87,429 USDT","-3.58 % 79,902 USDT"
SUIUSDT,Long,2.274 USDT,"10,989.9","24,985.54 USDT",715.15 USDT,2.86 %,03/21/2025 18:48 UTC,03/24/2025 11:10 UTC,6.37 % 2.42 USDT,-1.85 % 2.23 USDT
ETHUSDT,Long,"1,961.1 USDT",127.574,"250,184.98 USDT","4,267 USDT",1.71 %,03/21/2025 16:29 UTC,03/23/2025 22:22 UTC,"3.00 % 2,019 USDT","-0.24 % 1,956 USDT"
SPXUSDT,Long,0.46 USDT,"27,698.3","12,751.19 USDT","1,307 USDT",10.25 %,03/21/2025 18:45 UTC,03/23/2025 22:17 UTC,11.47 % 0.51 USDT,-1.52 % 0.45 USDT
kBONKUSDT,Long,0.012 USDT,"420,168","4,983.61 USDT",403.67 USDT,8.10 %,03/21/2025 19:12 UTC,03/23/2025 13:09 UTC,9.95 % 0.01 USDT,-1.32 % 0.01 USDT
POPCATUSDT,Long,0.189 USDT,"26,267","4,970.77 USDT",498.05 USDT,10.02 %,03/21/2025 18:45 UTC,03/23/2025 13:09 UTC,15.62 % 0.22 USDT,-0.29 % 0.19 USDT
WIFUSDT,Long,0.494 USDT,"15,150","7,478.34 USDT",354.07 USDT,4.73 %,03/21/2025 18:45 UTC,03/23/2025 13:08 UTC,8.60 % 0.54 USDT,-1.71 % 0.49 USDT
HYPEUSDT,Long,15.197 USDT,"2,974.22","45,199.22 USDT","2,137 USDT",4.73 %,03/21/2025 18:47 UTC,03/23/2025 13:08 UTC,10.06 % 16.73 USDT,-0.26 % 15.16 USDT
AI16ZUSDT,Long,0.19 USDT,"26,449.4","5,012.69 USDT",191.91 USDT,3.83 %,03/21/2025 18:49 UTC,03/22/2025 21:43 UTC,7.82 % 0.20 USDT,-0.59 % 0.19 USDT
ZEREBROUSDT,Long,0.032 USDT,"160,436","5,062.08 USDT",198.36 USDT,3.92 %,03/21/2025 18:49 UTC,03/22/2025 21:42 UTC,10.73 % 0.03 USDT,-0.11 % 0.03 USDT
VIRTUALUSDT,Long,0.687 USDT,"10,944.2","7,515.38 USDT",446.97 USDT,5.95 %,03/21/2025 18:49 UTC,03/22/2025 21:42 UTC,9.59 % 0.75 USDT,-0.14 % 0.69 USDT
ETHUSDT,Short,"1,945.7 USDT",102.796,"200,011.15 USDT","-1,648.33 USDT",-0.82 %,03/21/2025 13:24 UTC,03/21/2025 16:25 UTC,"0.31 % 1,939 USDT","-0.72 % 1,959 USDT"
SOLUSDT,Short,125.91 USDT,718.6,"90,478.93 USDT",329.42 USDT,0.36 %,03/21/2025 13:27 UTC,03/21/2025 16:23 UTC,0.73 % 125.00 USDT,-1.20 % 127.44 USDT
TIAUSDT,Long,3.411 USDT,"3,801.1","12,966.69 USDT",-544.41 USDT,-4.20 %,03/19/2025 20:19 UTC,03/21/2025 13:26 UTC,1.27 % 3.45 USDT,-4.75 % 3.25 USDT
SAGAUSDT,Long,0.391 USDT,"17,500","6,841.10 USDT",-621.36 USDT,-9.08 %,03/19/2025 20:19 UTC,03/21/2025 13:26 UTC,1.56 % 0.40 USDT,-9.19 % 0.35 USDT
WIFUSDT,Long,0.498 USDT,"10,000","4,980.10 USDT",-101.91 USDT,-2.05 %,03/19/2025 19:49 UTC,03/21/2025 13:25 UTC,7.34 % 0.53 USDT,-3.45 % 0.48 USDT
IPUSDT,Long,5.548 USDT,"2,158.2","11,974.13 USDT",342.92 USDT,2.86 %,03/19/2025 19:50 UTC,03/21/2025 11:15 UTC,4.25 % 5.78 USDT,-4.55 % 5.30 USDT
