Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BTCUSDT,Long,"89,500 USDT",0.002,179.00 USDT,0.41 USDT,0.23 %,03/05/2025 13:25 UTC,03/05/2025 13:27 UTC,"0.29 % 89,758 USDT","-0.05 % 89,452 USDT"
BTCUSDT,Short,"89,694.003 USDT",15.428,"-1,416,597.07 USDT","71,258 USDT",5.03 %,11/11/2024 21:56 UTC,03/05/2025 13:25 UTC,"14.34 % 78,448 USDT","-17.73 % 109,017 USDT"
BTCUSDT,Long,"61,396.968 USDT",42.89,"2,428,930.50 USDT","931,545 USDT",38.35 %,08/05/2024 01:17 UTC,11/11/2024 21:51 UTC,"44.14 % 88,499 USDT","-14.46 % 52,520 USDT"
BTCUSDC,Long,"62,888.904 USDT",58.117,"3,388,394.81 USDT","87,817 USDT",2.59 %,06/27/2024 14:11 UTC,08/05/2024 01:10 UTC,"11.39 % 70,049 USDT","-10.13 % 56,516 USDT"
XRPUSDC,Short,0.568 USDT,"7,200","-4,072.48 USDT",100.60 USDT,2.47 %,08/02/2024 06:13 UTC,08/03/2024 17:32 UTC,3.53 % 0.55 USDT,-1.78 % 0.58 USDT
BTCUSDC,Short,"61,289.421 USDT",0.643,"-39,409.10 USDT",87.82 USDT,0.22 %,06/26/2024 07:39 UTC,06/27/2024 12:30 UTC,"1.09 % 60,630 USDT","-1.00 % 61,910 USDT"
BTCUSDC,Long,"61,583.333 USDT",0.27,"16,627.50 USDT",90.67 USDT,0.55 %,06/25/2024 04:43 UTC,06/26/2024 01:16 UTC,"1.33 % 62,400 USDT","-1.65 % 60,570 USDT"
BTCUSDC,Short,"65,657.613 USDT",0.694,"-46,130.62 USDT","5,447 USDT",11.81 %,05/20/2024 23:16 UTC,06/24/2024 20:30 UTC,"11.52 % 58,876 USDT","-8.76 % 71,960 USDT"
BTCUSDT,Short,"60,168.092 USDT",9.2,"-553,546.45 USDT","-73,316.75 USDT",-13.24 %,05/01/2024 02:11 UTC,05/20/2024 19:21 UTC,"5.83 % 56,853 USDT","-12.42 % 68,701 USDT"
BTCUSDC,Short,"60,340.54 USDT",7.9,"-476,690.26 USDT","-60,744.05 USDT",-12.74 %,05/01/2024 02:17 UTC,05/20/2024 19:21 UTC,"6.23 % 56,803 USDT","-12.22 % 68,740 USDT"
BTCUSDC,Short,"61,603.55 USDT",4.6,"-283,376.33 USDT","7,566 USDT",2.67 %,04/30/2024 09:01 UTC,05/01/2024 01:38 UTC,"4.03 % 59,215 USDT","-0.75 % 62,068 USDT"
BTCUSDT,Short,"61,605.186 USDT",4.6,"-283,383.86 USDT","7,608 USDT",2.68 %,04/30/2024 09:03 UTC,05/01/2024 01:37 UTC,"3.93 % 59,274 USDT","-0.78 % 62,087 USDT"
BTCUSDT,Short,"62,869.344 USDT",3.4,"-213,755.77 USDT","1,683 USDT",0.79 %,04/29/2024 09:51 UTC,04/30/2024 08:48 UTC,"1.16 % 62,146 USDT","-2.66 % 64,586 USDT"
BTCUSDC,Short,"62,877.262 USDT",3.4,"-213,782.69 USDT","1,692 USDT",0.79 %,04/29/2024 09:51 UTC,04/30/2024 08:48 UTC,"1.18 % 62,142 USDT","-2.62 % 64,569 USDT"
