Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
TRXUSDT,Short,0.237 USDT,"1,000,000","236,551.09 USDT","-1,021.20 USDT",-0.43 %,04/02/2025 15:24 UTC,04/02/2025 15:28 UTC,,
SOLUSDT,Long,124.27 USDT,"1,000","124,270.00 USDT","4,244 USDT",3.42 %,03/31/2025 00:21 UTC,04/01/2025 16:15 UTC,4.92 % 130.39 USDT,-1.36 % 122.58 USDT
ORCAUSDT,Long,2.311 USDT,"100,000","231,067.67 USDT","-4,397.82 USDT",-1.90 %,04/01/2025 15:30 UTC,04/01/2025 16:05 UTC,1.23 % 2.34 USDT,-4.14 % 2.22 USDT
ETHUSDT,Short,"1,913.442 USDT",300,"-574,770.65 USDT","-6,792.33 USDT",-1.18 %,03/12/2025 12:32 UTC,04/01/2025 15:25 UTC,"4.80 % 1,825 USDT","-8.80 % 2,098 USDT"
JOEUSDT,Short,0.179 USDT,"200,000","-35,829.90 USDT","1,950 USDT",5.44 %,03/31/2025 18:00 UTC,03/31/2025 23:45 UTC,6.45 % 0.17 USDT,-0.02 % 0.18 USDT
BERAUSDT,Long,8.1 USDT,"3,000","24,300.00 USDT",267.34 USDT,1.10 %,03/28/2025 07:34 UTC,03/28/2025 07:56 UTC,1.37 % 8.21 USDT,
AGLDUSDT,Long,0.985 USDT,"25,299","24,913.06 USDT",244.42 USDT,0.98 %,03/24/2025 15:06 UTC,03/28/2025 04:43 UTC,11.78 % 1.10 USDT,-0.70 % 0.98 USDT
AVAXUSDT,Long,21.479 USDT,"2,000","42,957.79 USDT",-127.53 USDT,-0.30 %,03/24/2025 04:08 UTC,03/28/2025 04:43 UTC,9.16 % 23.45 USDT,-1.19 % 21.22 USDT
WALUSDT,Short,0.542 USDT,"500,000","-271,018.53 USDT","37,416 USDT",13.81 %,03/27/2025 23:10 UTC,03/28/2025 03:08 UTC,21.89 % 0.44 USDT,-3.48 % 0.56 USDT
BERAUSDT,Short,7.504 USDT,"165,000","-1,236,311.07 USDT","-185,009.98 USDT",-14.96 %,03/24/2025 14:54 UTC,03/28/2025 00:03 UTC,,-13.65 % 8.69 USDT
SUIUSDT,Long,2.81 USDT,"30,000","84,300.00 USDT","-2,686.79 USDT",-3.19 %,03/27/2025 08:30 UTC,03/27/2025 11:40 UTC,0.31 % 2.82 USDT,-3.52 % 2.71 USDT
NILUSDT,Short,0.796 USDT,"275,000","-218,906.44 USDT","24,583 USDT",11.23 %,03/25/2025 06:46 UTC,03/25/2025 15:31 UTC,14.04 % 0.70 USDT,-5.09 % 0.84 USDT
NILUSDT,Long,0.765 USDT,"300,000","229,559.07 USDT","-26,403.28 USDT",-11.50 %,03/24/2025 13:11 UTC,03/24/2025 14:37 UTC,14.95 % 0.88 USDT,-13.29 % 0.66 USDT
ORCAUSDT,Short,3.045 USDT,"10,000","30,452.94 USDT",-405.47 USDT,-1.33 %,03/21/2025 14:38 UTC,03/21/2025 15:03 UTC,1.65 % 3.00 USDT,-0.51 % 3.06 USDT
ORCAUSDT,Long,3.248 USDT,"40,000","129,922.27 USDT","-2,959.36 USDT",-2.28 %,03/21/2025 08:59 UTC,03/21/2025 09:03 UTC,0.95 % 3.28 USDT,-3.27 % 3.14 USDT
ORCAUSDT,Long,2.975 USDT,"100,000","297,462.32 USDT","19,903 USDT",6.69 %,03/21/2025 08:20 UTC,03/21/2025 08:45 UTC,20.08 % 3.57 USDT,-1.90 % 2.92 USDT
ORCAUSDT,Short,2.3 USDT,"67,085.2","-154,295.96 USDT","-27,999.26 USDT",-18.15 %,03/21/2025 04:58 UTC,03/21/2025 07:55 UTC,,-14.97 % 2.70 USDT
COMBOUSDT,Short,0.124 USDT,"806,451.6","-100,000.19 USDT","-20,761.66 USDT",-20.76 %,03/21/2025 05:51 UTC,03/21/2025 05:56 UTC,,-9.49 % 0.14 USDT
AUCTIONUSDT,Short,44.71 USDT,500,"22,355.05 USDT",-648.56 USDT,-2.90 %,03/20/2025 14:34 UTC,03/20/2025 15:24 UTC,,-2.68 % 45.94 USDT
PENGUUSDT,Long,0.006 USDT,"1,111",7.09 USDT,0.51 USDT,7.16 %,03/13/2025 12:25 UTC,03/20/2025 14:20 UTC,13.13 % 0.01 USDT,-10.67 % 0.01 USDT
PNUTUSDT,Long,0.175 USDT,111,19.44 USDT,0.02 USDT,0.13 %,03/13/2025 12:25 UTC,03/20/2025 14:20 UTC,23.55 % 0.22 USDT,-6.15 % 0.16 USDT
POPCATUSDT,Long,0.182 USDT,111,20.24 USDT,1.04 USDT,5.15 %,03/13/2025 12:25 UTC,03/20/2025 14:19 UTC,18.65 % 0.22 USDT,-10.09 % 0.16 USDT
AUCTIONUSDT,Short,43.013 USDT,"2,000","-86,026.66 USDT","-2,023.62 USDT",-2.35 %,03/20/2025 13:56 UTC,03/20/2025 14:11 UTC,,-1.97 % 43.88 USDT
XRPUSDT,Short,2.521 USDT,"3,977.7","10,028.68 USDT",49.79 USDT,0.50 %,03/19/2025 13:59 UTC,03/19/2025 21:16 UTC,2.25 % 2.47 USDT,-1.83 % 2.57 USDT
AUCTIONUSDT,Short,37.167 USDT,269.89,"10,030.87 USDT",-833.61 USDT,-8.31 %,03/19/2025 13:30 UTC,03/19/2025 21:16 UTC,0.70 % 36.91 USDT,-8.50 % 40.62 USDT
LINKUSDT,Long,13.938 USDT,"115,000","1,602,885.49 USDT","2,240 USDT",0.14 %,03/14/2025 08:18 UTC,03/18/2025 13:34 UTC,3.31 % 14.40 USDT,-3.46 % 13.46 USDT
SOLUSDT,Long,130.258 USDT,"1,000","130,258.03 USDT","-5,384.59 USDT",-4.13 %,03/14/2025 14:58 UTC,03/18/2025 10:05 UTC,4.93 % 136.68 USDT,-5.46 % 123.15 USDT
BNBUSDT,Long,589 USDT,848.89,"499,996.21 USDT","6,209 USDT",1.24 %,03/13/2025 13:01 UTC,03/13/2025 13:02 UTC,2.72 % 605.00 USDT,
ETHUSDT,Short,"1,904.751 USDT",400,"761,900.42 USDT","-4,164.27 USDT",-0.55 %,03/12/2025 09:08 UTC,03/12/2025 12:30 UTC,"1.00 % 1,885 USDT","-0.59 % 1,916 USDT"
ETHUSDT,Long,"1,920.956 USDT",100,"192,095.56 USDT",312.06 USDT,0.16 %,03/12/2025 08:43 UTC,03/12/2025 09:08 UTC,"1.82 % 1,955 USDT","-1.00 % 1,901 USDT"
BTCUSDT,Long,"82,033.709 USDT",10,"820,337.09 USDT","4,423 USDT",0.54 %,03/12/2025 07:49 UTC,03/12/2025 08:16 UTC,"0.93 % 82,799 USDT",
ETHUSDT,Long,"1,957.062 USDT","1,000","1,957,062.16 USDT","-43,208.78 USDT",-2.21 %,03/11/2025 13:28 UTC,03/11/2025 13:33 UTC,,"-2.32 % 1,911 USDT"
ETHUSDT,Long,"1,915.681 USDT",200,"383,136.11 USDT",-2.06 USDT,0.00 %,03/11/2025 09:13 UTC,03/11/2025 09:22 UTC,"0.16 % 1,918 USDT","-0.36 % 1,908 USDT"
BTCUSDT,Long,"82,111 USDT",5,"410,555.00 USDT",556.93 USDT,0.14 %,03/09/2025 21:23 UTC,03/10/2025 13:33 UTC,"2.34 % 84,031 USDT","-2.65 % 79,933 USDT"
AAVEUSDT,Long,191.4 USDT,156.2,"29,896.75 USDT",-534.88 USDT,-1.79 %,03/08/2025 10:44 UTC,03/09/2025 10:52 UTC,4.08 % 199.21 USDT,-2.62 % 186.39 USDT
PYTHUSDT,Long,0.18 USDT,"555,554","99,976.66 USDT","-1,986.34 USDT",-1.99 %,03/05/2025 14:35 UTC,03/07/2025 16:21 UTC,6.59 % 0.19 USDT,-5.22 % 0.17 USDT
WUSDT,Long,0.109 USDT,"909,090.9","98,934.61 USDT","-4,256.35 USDT",-4.30 %,03/05/2025 14:33 UTC,03/07/2025 16:21 UTC,3.65 % 0.11 USDT,-9.30 % 0.10 USDT
LINKUSDT,Long,16.856 USDT,"3,532.46","59,544.80 USDT","-1,287.50 USDT",-2.16 %,03/06/2025 16:08 UTC,03/07/2025 16:21 UTC,3.98 % 17.53 USDT,-5.90 % 15.86 USDT
LTCUSDT,Long,102.382 USDT,490.628,"50,016.43 USDT",472.69 USDT,0.95 %,03/04/2025 12:33 UTC,03/07/2025 16:21 UTC,10.30 % 112.93 USDT,-8.35 % 93.83 USDT
XRPUSDT,Long,2.45 USDT,"40,807.9","99,999.76 USDT",192.93 USDT,0.19 %,03/04/2025 18:13 UTC,03/05/2025 14:38 UTC,3.62 % 2.54 USDT,-1.78 % 2.41 USDT
LINKUSDT,Long,14.226 USDT,"13,986.01","198,961.46 USDT","8,883 USDT",4.46 %,03/04/2025 18:11 UTC,03/05/2025 14:38 UTC,15.93 % 16.49 USDT,-1.44 % 14.02 USDT
AAVEUSDT,Long,196.358 USDT,101.7,"19,969.60 USDT","1,696 USDT",8.49 %,03/04/2025 16:59 UTC,03/05/2025 14:38 UTC,15.22 % 226.24 USDT,
ONDOUSDT,Long,0.95 USDT,"210,526.3","199,918.64 USDT","12,610 USDT",6.31 %,03/04/2025 18:10 UTC,03/05/2025 14:38 UTC,10.81 % 1.05 USDT,-0.92 % 0.94 USDT
SOLUSDT,Long,140.509 USDT,853,"119,853.90 USDT","1,489 USDT",1.24 %,03/04/2025 17:06 UTC,03/05/2025 14:38 UTC,6.51 % 149.66 USDT,-0.48 % 139.83 USDT
ENAUSDT,Long,0.348 USDT,"57,364","19,990.42 USDT","1,135 USDT",5.68 %,03/04/2025 17:07 UTC,03/05/2025 14:38 UTC,13.12 % 0.39 USDT,-0.31 % 0.35 USDT
NEARUSDT,Long,2.769 USDT,"71,916","199,103.71 USDT","2,672 USDT",1.34 %,03/04/2025 17:05 UTC,03/05/2025 14:36 UTC,6.19 % 2.94 USDT,-1.18 % 2.74 USDT
MORPHOUSDT,Long,1.714 USDT,"11,671.3","19,999.94 USDT",170.02 USDT,0.85 %,03/04/2025 17:41 UTC,03/05/2025 14:35 UTC,6.38 % 1.82 USDT,-0.87 % 1.70 USDT
ARBUSDT,Long,0.419 USDT,"119,417.2","49,999.98 USDT",-185.20 USDT,-0.37 %,03/05/2025 13:11 UTC,03/05/2025 14:35 UTC,2.32 % 0.43 USDT,-2.53 % 0.41 USDT
RENDERUSDT,Long,3.428 USDT,"5,831.8","19,991.48 USDT","1,305 USDT",6.53 %,03/04/2025 17:05 UTC,03/05/2025 14:35 UTC,10.71 % 3.80 USDT,-0.70 % 3.40 USDT
KAITOUSDT,Short,1.855 USDT,"6,600","-12,245.01 USDT",-45.65 USDT,-0.37 %,03/05/2025 05:16 UTC,03/05/2025 07:02 UTC,,-0.30 % 1.86 USDT
AVAXUSDT,Long,20.243 USDT,"9,852","199,435.95 USDT","-2,298.21 USDT",-1.15 %,03/04/2025 18:10 UTC,03/04/2025 18:19 UTC,0.00 % 20.24 USDT,-1.49 % 19.94 USDT
BTCUSDT,Long,"83,271.024 USDT",10,"832,710.24 USDT","14,230 USDT",1.71 %,03/04/2025 16:54 UTC,03/04/2025 17:35 UTC,"1.80 % 84,774 USDT",
IPUSDT,Long,5.369 USDT,"18,621.9","99,988.96 USDT",528.87 USDT,0.53 %,03/04/2025 12:54 UTC,03/04/2025 13:10 UTC,2.34 % 5.50 USDT,-0.57 % 5.34 USDT
HBARUSDT,Long,0.227 USDT,"438,596","99,567.01 USDT","5,717 USDT",5.74 %,03/04/2025 02:31 UTC,03/04/2025 11:11 UTC,5.82 % 0.24 USDT,-2.02 % 0.22 USDT
BERAUSDT,Short,7.111 USDT,"40,000","-285,783.20 USDT","30,821 USDT",10.78 %,03/03/2025 03:14 UTC,03/04/2025 06:01 UTC,11.87 % 6.36 USDT,-14.24 % 8.29 USDT
ADAUSDT,Long,0.782 USDT,"127,681","99,865.58 USDT","6,226 USDT",6.23 %,03/04/2025 02:31 UTC,03/04/2025 05:06 UTC,6.48 % 0.83 USDT,-0.48 % 0.78 USDT
HBARUSDT,Long,0.241 USDT,"207,468","49,999.79 USDT","-2,388.20 USDT",-4.78 %,03/03/2025 18:05 UTC,03/04/2025 01:39 UTC,0.93 % 0.24 USDT,-8.86 % 0.22 USDT
ADAUSDT,Long,0.915 USDT,"54,347","49,703.26 USDT","-6,639.36 USDT",-13.36 %,03/03/2025 18:26 UTC,03/04/2025 01:39 UTC,1.65 % 0.93 USDT,-14.12 % 0.79 USDT
JUPUSDT,Long,0.723 USDT,"27,647","19,999.74 USDT","-1,429.77 USDT",-7.15 %,02/28/2025 13:35 UTC,03/04/2025 00:40 UTC,20.81 % 0.87 USDT,-8.69 % 0.66 USDT
LINKUSDT,Long,14.061 USDT,"1,422.37","19,999.94 USDT",569.57 USDT,2.85 %,02/28/2025 13:34 UTC,03/04/2025 00:40 UTC,24.69 % 17.53 USDT,
MORPHOUSDT,Long,2.201 USDT,"8,842.9","19,466.35 USDT","-3,534.11 USDT",-18.15 %,02/28/2025 13:35 UTC,03/04/2025 00:40 UTC,2.18 % 2.25 USDT,-20.27 % 1.76 USDT
AAVEUSDT,Long,185.28 USDT,107.5,"19,917.57 USDT",-530.99 USDT,-2.67 %,02/28/2025 13:34 UTC,03/04/2025 00:40 UTC,22.48 % 226.93 USDT,-4.12 % 177.64 USDT
ADAUSDT,Short,0.957 USDT,"1,170,000","-1,119,465.59 USDT","-22,460.90 USDT",-2.01 %,03/02/2025 16:08 UTC,03/03/2025 18:27 UTC,2.88 % 0.93 USDT,-16.50 % 1.15 USDT
