Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
HYPEUSDT,Long,13.267 USDT,740.74,"9,827.40 USDT",184.24 USDT,1.87 %,03/10/2025 18:59 UTC,03/12/2025 09:17 UTC,,
HYPEUSDT,Long,14.835 USDT,"1,586.88","23,541.36 USDT",-522.14 USDT,-2.22 %,03/06/2025 19:08 UTC,03/09/2025 18:20 UTC,,
FARTCOINUSDT,Long,0.335 USDT,"22,557","7,545.32 USDT",95.40 USDT,1.26 %,02/21/2025 17:39 UTC,02/21/2025 17:46 UTC,,
FARTCOINUSDT,Long,0.455 USDT,"1,458,384","663,127.20 USDT","-158,038.83 USDT",-23.83 %,02/09/2025 18:49 UTC,02/21/2025 15:40 UTC,,
1000FLOKIUSDT,Short,0.096 USDT,"1,586,319","149,653.33 USDT","-1,234.06 USDT",-0.82 %,02/10/2025 01:08 UTC,02/21/2025 15:40 UTC,,
1000BONKUSDT,Short,0.017 USDT,"9,755,900","169,050.24 USDT","13,971 USDT",8.26 %,02/10/2025 00:25 UTC,02/21/2025 15:40 UTC,,
BRETTUSDT,Short,0.045 USDT,"1,672,390","74,471.53 USDT","-6,684.77 USDT",-8.98 %,02/09/2025 20:21 UTC,02/21/2025 15:40 UTC,,
DOGEUSDT,Short,0.255 USDT,"301,815","75,818.95 USDT","-1,375.49 USDT",-1.81 %,02/09/2025 18:51 UTC,02/21/2025 15:39 UTC,,
SHIB1000USDT,Short,0.016 USDT,"4,763,580","78,079.84 USDT","3,913 USDT",5.01 %,02/10/2025 11:41 UTC,02/21/2025 15:39 UTC,,
WIFUSDT,Short,0.643 USDT,"212,379","129,827.28 USDT","-12,770.75 USDT",-9.84 %,02/13/2025 20:06 UTC,02/21/2025 15:39 UTC,,
1000PEPEUSDT,Short,0.01 USDT,"13,361,700","125,706.87 USDT","-8,415.12 USDT",-6.69 %,02/09/2025 19:34 UTC,02/21/2025 15:37 UTC,,
WIFUSDT,Short,0.658 USDT,"265,944","174,911.37 USDT","9,904 USDT",5.66 %,02/09/2025 19:34 UTC,02/13/2025 19:47 UTC,,
SHIB1000USDT,Short,0.016 USDT,"4,824,570","75,822.94 USDT","-1,195.61 USDT",-1.58 %,02/09/2025 18:51 UTC,02/10/2025 08:15 UTC,,
SPXUSDT,Short,0.597 USDT,"16,698","9,967.04 USDT",-713.38 USDT,-7.16 %,02/09/2025 18:50 UTC,02/10/2025 00:52 UTC,,
ETHUSDT,Long,"2,755.34 USDT",728.27,"1,996,151.66 USDT","-134,614.99 USDT",-6.74 %,02/04/2025 13:16 UTC,02/07/2025 22:10 UTC,,
XRPUSDT,Short,2.585 USDT,"773,399","1,999,391.09 USDT","137,309 USDT",6.87 %,02/04/2025 13:17 UTC,02/07/2025 22:09 UTC,,
ETHUSDT,Short,"2,741.18 USDT",9.12,"24,999.56 USDT",-12.26 USDT,-0.05 %,02/04/2025 20:52 UTC,02/04/2025 20:52 UTC,,
ETHUSDT,Long,"2,428.9 USDT",135.22,"328,435.86 USDT","6,856 USDT",2.09 %,02/03/2025 02:13 UTC,02/03/2025 02:37 UTC,,
ETHUSDT,Long,"3,210.86 USDT",614.11,"2,007,605.42 USDT","-425,708.13 USDT",-21.20 %,01/17/2025 10:24 UTC,02/03/2025 02:07 UTC,,
XRPUSDT,Short,3.153 USDT,"240,806","759,309.48 USDT","215,081 USDT",28.33 %,01/17/2025 10:23 UTC,02/03/2025 01:58 UTC,,
DOGEUSDT,Short,0.35 USDT,"2,853,287","999,563.50 USDT","293,878 USDT",29.40 %,01/24/2025 03:48 UTC,02/03/2025 01:58 UTC,,
SOLUSDT,Long,216.11 USDT,"1,157","250,039.27 USDT","40,806 USDT",16.32 %,01/17/2025 10:25 UTC,01/22/2025 21:46 UTC,,
BTCUSDT,Long,"102,234.5 USDT",2.919,"298,422.51 USDT","-3,918.56 USDT",-1.31 %,01/17/2025 10:40 UTC,01/19/2025 23:12 UTC,,
SOLUSDT,Short,248.29 USDT,241,"59,837.89 USDT",-170.75 USDT,-0.29 %,01/19/2025 22:08 UTC,01/19/2025 22:08 UTC,,
1000PEPEUSDT,Long,0.015 USDT,"10,079,400","152,188.86 USDT","20,938 USDT",13.76 %,12/20/2024 08:57 UTC,12/21/2024 19:10 UTC,,
ARUSDT,Long,16.361 USDT,"20,981.9","343,284.87 USDT",-646.48 USDT,-0.19 %,12/18/2024 20:08 UTC,12/21/2024 16:09 UTC,,
BLURUSDT,Long,0.343 USDT,"1,450,426","497,206.03 USDT","-8,803.44 USDT",-1.77 %,12/09/2024 20:39 UTC,12/17/2024 23:09 UTC,,
CHILLGUYUSDT,Long,0.341 USDT,"1,508,081","513,501.58 USDT","-16,904.66 USDT",-3.29 %,12/09/2024 11:24 UTC,12/15/2024 17:26 UTC,,
CHILLGUYUSDT,Long,0.409 USDT,"505,077","206,374.46 USDT","30,437 USDT",14.75 %,11/30/2024 15:36 UTC,12/05/2024 00:04 UTC,,
BLURUSDT,Long,0.366 USDT,"2,657,896","972,524.15 USDT","110,218 USDT",11.33 %,11/30/2024 15:23 UTC,12/04/2024 23:30 UTC,,
ARUSDT,Long,19.529 USDT,"3,144.6","61,410.89 USDT","22,093 USDT",35.98 %,11/25/2024 22:30 UTC,12/04/2024 23:30 UTC,,
AEROUSDT,Long,1.294 USDT,"23,923","30,953.97 USDT","11,346 USDT",36.65 %,11/22/2024 00:38 UTC,12/04/2024 23:30 UTC,,
ETHUSDT,Long,"3,285.99 USDT",12.17,"39,990.50 USDT","4,962 USDT",12.41 %,11/26/2024 19:51 UTC,12/01/2024 20:12 UTC,,
LINKUSDT,Long,18.732 USDT,"27,871.8","522,094.56 USDT","-4,903.95 USDT",-0.94 %,11/30/2024 21:29 UTC,12/01/2024 20:11 UTC,,
GRASSUSDT,Long,1.97 USDT,"15,000","29,556.00 USDT","20,036 USDT",67.79 %,11/22/2024 09:09 UTC,12/01/2024 10:40 UTC,,
BTCUSDT,Long,"92,244.1 USDT",16.266,"1,500,442.53 USDT","-3,453.89 USDT",-0.23 %,11/26/2024 10:55 UTC,11/26/2024 20:18 UTC,,
BTCUSDT,Long,"93,132.5 USDT",5.787,"538,957.78 USDT","6,949 USDT",1.29 %,11/25/2024 22:43 UTC,11/26/2024 03:20 UTC,,
