Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BTCUSD,Short,"82,674.09 USDT",1.198,"99,034.47 USDT",-80.77 USDT,-0.08 %,04/06/2025 12:36 UTC,04/06/2025 13:06 UTC,,
BTCUSD,Long,"82,844.113 USDT",3.04,"251,307.90 USDT","10,843 USDT",4.31 %,04/01/2025 19:32 UTC,04/06/2025 12:35 UTC,,
AI16ZUSD,Long,0.125 USDT,144.7,18.09 USDT,-0.02 USDT,-0.09 %,04/05/2025 17:46 UTC,04/05/2025 17:47 UTC,,
MKRUSD,Long,"1,358.511 USDT",6.541,"8,886.56 USDT",-183.46 USDT,-2.06 %,04/02/2025 10:00 UTC,04/04/2025 16:46 UTC,,
FARTCOINUSD,Short,0.469 USDT,"17,246.2","8,096.16 USDT",629.91 USDT,7.78 %,04/04/2025 10:09 UTC,04/04/2025 11:36 UTC,,
SPXUSD,Short,0.485 USDT,"16,561.5","8,040.03 USDT",530.35 USDT,6.60 %,04/04/2025 10:10 UTC,04/04/2025 11:36 UTC,,
AI16ZUSD,Long,0.15 USDT,722.1,108.40 USDT,0.00 USDT,0.00 %,04/03/2025 17:10 UTC,04/03/2025 17:40 UTC,,
ZETAUSD,Short,0.259 USDT,696.1,180.06 USDT,0.00 USDT,0.00 %,04/02/2025 21:09 UTC,04/03/2025 08:45 UTC,,
DYDXUSD,Short,0.614 USDT,293.4,180.16 USDT,0.00 USDT,0.00 %,04/02/2025 21:10 UTC,04/03/2025 08:45 UTC,,
POPCATUSD,Short,0.176 USDT,"1,028",180.62 USDT,0.00 USDT,0.00 %,04/02/2025 21:10 UTC,04/03/2025 08:45 UTC,,
BLURUSD,Short,0.102 USDT,"1,765",180.56 USDT,0.00 USDT,0.00 %,04/02/2025 21:11 UTC,04/03/2025 08:45 UTC,,
MEWUSD,Short,0.003 USDT,"56,175",180.83 USDT,0.00 USDT,0.00 %,04/02/2025 21:11 UTC,04/03/2025 08:45 UTC,,
kLUNCUSD,Short,0.06 USDT,"3,021",180.58 USDT,0.00 USDT,0.00 %,04/02/2025 21:11 UTC,04/03/2025 08:45 UTC,,
VIRTUALUSD,Short,0.577 USDT,312.7,180.35 USDT,0.00 USDT,0.00 %,04/02/2025 21:11 UTC,04/03/2025 08:45 UTC,,
PENGUUSD,Short,0.005 USDT,"36,078",180.57 USDT,0.00 USDT,0.00 %,04/02/2025 21:11 UTC,04/03/2025 08:45 UTC,,
ZROUSD,Short,2.855 USDT,63.2,180.44 USDT,0.00 USDT,0.00 %,04/02/2025 21:12 UTC,04/03/2025 08:45 UTC,,
AI16ZUSD,Long,0.182 USDT,"94,428","17,167.15 USDT",0.00 USDT,0.00 %,04/01/2025 19:56 UTC,04/03/2025 08:45 UTC,,
NILUSD,Long,0.436 USDT,"13,595","6,579.22 USDT",0.00 USDT,0.00 %,03/31/2025 00:58 UTC,04/02/2025 22:43 UTC,,
TRXUSD,Long,0.239 USDT,"163,921","39,200.32 USDT",0.00 USDT,0.00 %,04/02/2025 01:59 UTC,04/02/2025 16:20 UTC,,
MKRUSD,Long,"1,398.707 USDT",3.356,"4,694.62 USDT",0.00 USDT,0.00 %,04/01/2025 22:51 UTC,04/02/2025 06:13 UTC,,
MAVUSD,Long,0.066 USDT,"5,261",348.75 USDT,0.00 USDT,0.00 %,04/01/2025 13:32 UTC,04/01/2025 20:13 UTC,,
BTCUSD,Long,"85,027.82 USDT",1.283,"109,058.38 USDT",0.00 USDT,0.00 %,04/01/2025 16:50 UTC,04/01/2025 17:12 UTC,,
BTCUSD,Short,"84,101.55 USDT",0.746,"62,775.08 USDT",0.00 USDT,0.00 %,04/01/2025 14:58 UTC,04/01/2025 15:00 UTC,,
BTCUSD,Long,"82,826.808 USDT",1.29,"106,836.64 USDT",0.00 USDT,0.00 %,04/01/2025 14:11 UTC,04/01/2025 14:49 UTC,,
BTCUSD,Long,"83,536.53 USDT",0.968,"80,874.22 USDT",0.00 USDT,0.00 %,04/01/2025 13:34 UTC,04/01/2025 13:54 UTC,,
BTCUSD,Short,"83,626.468 USDT",1.612,"134,770.74 USDT",0.00 USDT,0.00 %,04/01/2025 12:48 UTC,04/01/2025 12:50 UTC,,
BTCUSD,Long,"82,353.506 USDT",1.651,"135,941.76 USDT",0.00 USDT,0.00 %,03/31/2025 13:36 UTC,04/01/2025 08:54 UTC,,
FARTCOINUSD,Long,0.426 USDT,"10,224.4","4,358.97 USDT",0.00 USDT,0.00 %,03/31/2025 14:14 UTC,03/31/2025 17:46 UTC,,
FARTCOINUSD,Long,0.397 USDT,"10,848.2","4,305.67 USDT",0.00 USDT,0.00 %,03/31/2025 13:35 UTC,03/31/2025 13:41 UTC,,
ETHUSD,Long,"1,800.68 USDT",9.649,"17,374.58 USDT",0.00 USDT,0.00 %,03/31/2025 13:34 UTC,03/31/2025 13:41 UTC,,
ETHUSD,Long,"1,788 USDT",9.75,"17,432.11 USDT",0.00 USDT,0.00 %,03/31/2025 10:03 UTC,03/31/2025 13:33 UTC,,
BTCUSD,Short,"82,204 USDT",0.218,"17,951.71 USDT",0.00 USDT,0.00 %,03/31/2025 12:01 UTC,03/31/2025 12:52 UTC,,
ETHUSD,Long,"1,802.258 USDT",9.643,"17,379.36 USDT",0.00 USDT,0.00 %,03/31/2025 01:17 UTC,03/31/2025 08:06 UTC,,
BTCUSD,Long,"81,461.534 USDT",1.663,"135,468.90 USDT",0.00 USDT,0.00 %,03/31/2025 00:47 UTC,03/31/2025 02:34 UTC,,
CRVUSDT,Long,0.454 USDT,"6,053.2","2,749.24 USDT",108.05 USDT,3.93 %,03/22/2025 06:43 UTC,03/30/2025 17:23 UTC,33.98 % 0.61 USDT,-0.59 % 0.45 USDT
BTCUSDT,Long,"82,628 USDT",1.388,"114,723.19 USDT",78.58 USDT,0.07 %,03/29/2025 19:58 UTC,03/30/2025 14:02 UTC,"1.07 % 83,509 USDT","-0.50 % 82,218 USDT"
NILUSDT,Long,0.507 USDT,777,393.74 USDT,-1.24 USDT,-0.31 %,03/29/2025 22:32 UTC,03/29/2025 22:33 UTC,,-0.25 % 0.51 USDT
NILUSDT,Long,0.505 USDT,"8,626","4,354.49 USDT",-222.60 USDT,-5.11 %,03/29/2025 12:28 UTC,03/29/2025 20:18 UTC,1.78 % 0.51 USDT,-6.63 % 0.47 USDT
BTCUSDT,Long,"84,264 USDT",1.632,"137,519.69 USDT",-811.51 USDT,-0.59 %,03/28/2025 15:10 UTC,03/28/2025 18:30 UTC,"0.27 % 84,494 USDT","-0.86 % 83,537 USDT"
FARTCOINUSDT,Short,0.494 USDT,"5,385.7","2,660.59 USDT",-39.26 USDT,-1.48 %,03/28/2025 12:36 UTC,03/28/2025 13:14 UTC,0.27 % 0.49 USDT,-2.82 % 0.51 USDT
AI16ZUSDT,Long,0.188 USDT,"27,731.3","5,203.78 USDT",94.47 USDT,1.82 %,03/25/2025 09:42 UTC,03/28/2025 12:31 UTC,11.25 % 0.21 USDT,-3.70 % 0.18 USDT
NILUSDT,Long,0.561 USDT,"9,101","5,103.02 USDT",-9.76 USDT,-0.19 %,03/28/2025 11:10 UTC,03/28/2025 12:31 UTC,0.69 % 0.56 USDT,-1.30 % 0.55 USDT
BTCUSDT,Long,"86,690 USDT",2.779,"240,896.77 USDT","-4,538.47 USDT",-1.88 %,03/26/2025 13:58 UTC,03/28/2025 10:58 UTC,"1.19 % 87,722 USDT","-2.01 % 84,950 USDT"
HYPEUSDT,Short,14.2 USDT,384.48,"5,459.62 USDT",-66.47 USDT,-1.22 %,03/26/2025 15:34 UTC,03/26/2025 20:21 UTC,4.66 % 13.57 USDT,-5.09 % 14.96 USDT
HYPEUSDT,Long,12.534 USDT,238.5,"2,989.36 USDT",434.27 USDT,14.53 %,03/26/2025 14:59 UTC,03/26/2025 15:20 UTC,16.77 % 14.64 USDT,-0.34 % 12.49 USDT
HYPEUSDT,Long,13.816 USDT,42.46,586.63 USDT,-1.31 USDT,-0.22 %,03/26/2025 14:54 UTC,03/26/2025 14:55 UTC,,-1.53 % 13.60 USDT
