Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
SUIUSDC,Short,3.436 USDT,"58,164.8","-199,826.82 USDT",790.57 USDT,0.40 %,05/05/2025 12:02 UTC,05/05/2025 13:10 UTC,,
SUIUSDC,Short,3.614 USDT,"178,601.2","-645,546.46 USDT","71,480 USDT",11.07 %,04/27/2025 06:46 UTC,05/04/2025 09:37 UTC,,
TRUMPUSDC,Short,13.751 USDT,72.72,999.97 USDT,45.59 USDT,4.56 %,04/29/2025 12:11 UTC,04/30/2025 06:15 UTC,7.87 % 12.75 USDT,-0.41 % 13.81 USDT
BTCUSDC,Long,"93,708 USDT",5.335,"499,932.18 USDT",-162.61 USDT,-0.03 %,04/27/2025 12:32 UTC,04/27/2025 12:41 UTC,"0.09 % 93,793 USDT","-0.04 % 93,669 USDT"
TRUMPUSDC,Short,15.464 USDT,"1,936.32","-29,944.18 USDT",-623.32 USDT,-2.08 %,04/26/2025 09:14 UTC,04/26/2025 10:12 UTC,0.40 % 15.40 USDT,-2.32 % 15.83 USDT
XRPUSDC,Short,2.204 USDT,"407,278.3","-897,511.76 USDT","4,338 USDT",0.48 %,04/25/2025 11:54 UTC,04/25/2025 13:21 UTC,0.55 % 2.19 USDT,-0.51 % 2.22 USDT
XRPUSDC,Short,2.22 USDT,"45,045","99,999.90 USDT","1,192 USDT",1.19 %,04/24/2025 13:31 UTC,04/24/2025 13:32 UTC,0.50 % 2.21 USDT,
XRPUSDC,Short,2.165 USDT,"393,966.5","-852,758.92 USDT","8,570 USDT",1.00 %,04/22/2025 18:16 UTC,04/24/2025 08:30 UTC,0.95 % 2.14 USDT,-5.77 % 2.30 USDT
TRUMPUSDC,Short,13.544 USDT,"3,688.96","-49,961.73 USDT","-4,072.36 USDT",-8.15 %,04/23/2025 20:06 UTC,04/23/2025 21:42 UTC,1.66 % 13.32 USDT,-8.11 % 14.74 USDT
TRUMPUSDC,Short,13.123 USDT,"3,059.23","-40,146.26 USDT",264.96 USDT,0.66 %,04/23/2025 18:14 UTC,04/23/2025 19:12 UTC,0.92 % 13.00 USDT,-0.62 % 13.20 USDT
TRUMPUSDT,Short,13.135 USDT,"1,513.31","19,877.33 USDT",295.18 USDT,1.49 %,04/23/2025 18:13 UTC,04/23/2025 18:21 UTC,,-0.34 % 13.18 USDT
TRUMPUSDT,Short,13.477 USDT,"2,960.25","-39,895.45 USDT","1,726 USDT",4.33 %,04/23/2025 17:01 UTC,04/23/2025 17:32 UTC,4.48 % 12.90 USDT,-0.24 % 13.51 USDT
IMXUSDT,Long,0.483 USDT,"41,456","20,003.29 USDT",575.73 USDT,2.88 %,04/22/2025 12:03 UTC,04/22/2025 12:06 UTC,2.94 % 0.50 USDT,-0.40 % 0.48 USDT
BTCUSDT,Long,"83,801.8 USDT",5,"419,009.00 USDT",114.98 USDT,0.03 %,04/17/2025 14:38 UTC,04/17/2025 14:40 UTC,"0.16 % 83,939 USDT","-0.06 % 83,750 USDT"
OMUSDT,Long,0.669 USDT,"45,076.2","30,155.96 USDT",329.36 USDT,1.09 %,04/14/2025 13:47 UTC,04/15/2025 11:44 UTC,2.96 % 0.69 USDT,-31.24 % 0.46 USDT
BTCUSDC,Long,"81,421.6 USDT",24.6,"2,002,971.36 USDT","19,751 USDT",0.99 %,04/09/2025 17:49 UTC,04/09/2025 18:49 UTC,"1.88 % 82,953 USDT","-0.36 % 81,128 USDT"
BTCUSDC,Long,"80,900.449 USDT",24.752,"2,002,447.91 USDT","13,527 USDT",0.68 %,04/09/2025 17:28 UTC,04/09/2025 17:46 UTC,"1.24 % 81,901 USDT","-0.17 % 80,764 USDT"
NILUSDT,Long,0.394 USDT,"139,682.3","55,016.73 USDT","-2,095.56 USDT",-3.81 %,04/08/2025 17:33 UTC,04/09/2025 11:01 UTC,5.16 % 0.41 USDT,-12.26 % 0.35 USDT
BTCUSDC,Long,"75,084.392 USDT",2.663,"199,949.74 USDT","7,207 USDT",3.60 %,04/09/2025 01:16 UTC,04/09/2025 07:32 UTC,"3.67 % 77,839 USDT","-0.75 % 74,519 USDT"
FARTCOINUSDT,Long,0.557 USDT,"71,788.5","39,985.18 USDT",228.20 USDT,0.57 %,04/08/2025 14:56 UTC,04/08/2025 15:33 UTC,0.65 % 0.56 USDT,-1.65 % 0.55 USDT
FARTCOINUSDT,Long,0.531 USDT,"47,089.8","24,999.97 USDT",874.73 USDT,3.50 %,04/07/2025 21:13 UTC,04/07/2025 22:49 UTC,4.90 % 0.56 USDT,-0.96 % 0.53 USDT
FARTCOINUSDT,Long,0.532 USDT,"37,586.9","19,999.99 USDT",134.54 USDT,0.67 %,04/07/2025 14:20 UTC,04/07/2025 14:23 UTC,2.31 % 0.54 USDT,-3.14 % 0.52 USDT
FARTCOINUSDT,Long,0.47 USDT,"2,126.4",999.06 USDT,101.36 USDT,10.15 %,04/07/2025 12:44 UTC,04/07/2025 14:03 UTC,12.66 % 0.53 USDT,-3.97 % 0.45 USDT
GMXUSDT,Long,10.918 USDT,9.15,99.90 USDT,5.05 USDT,5.06 %,04/07/2025 11:59 UTC,04/07/2025 14:03 UTC,6.40 % 11.62 USDT,-0.36 % 10.88 USDT
