Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BABYUSDT,Long,0.065 USDT,"766,114","50,121.52 USDT","-1,241.64 USDT",-2.48 %,04/05/2025 13:47 UTC,04/05/2025 15:43 UTC,,
ETHUSDT,Long,"1,785.737 USDT","1,086.933","1,937,890.62 USDT","18,825 USDT",0.97 %,04/03/2025 13:38 UTC,04/05/2025 15:43 UTC,,
XRPUSDT,Short,2.073 USDT,"578,740.3","-1,199,626.13 USDT","10,646 USDT",0.89 %,04/04/2025 10:14 UTC,04/04/2025 12:30 UTC,2.51 % 2.02 USDT,
VINEUSDT,Long,0.038 USDT,"1,049,098","40,027.52 USDT","-1,213.57 USDT",-3.03 %,04/03/2025 16:01 UTC,04/03/2025 17:12 UTC,2.16 % 0.04 USDT,-3.55 % 0.04 USDT
XRPUSDT,Short,1.981 USDT,"630,211.2","-1,248,521.86 USDT","-17,533.29 USDT",-1.40 %,04/03/2025 14:39 UTC,04/03/2025 17:06 UTC,0.94 % 1.96 USDT,-1.54 % 2.01 USDT
BIGTIMEUSDT,Long,0.053 USDT,"2,177,635","115,544.26 USDT","11,724 USDT",10.15 %,04/02/2025 12:28 UTC,04/03/2025 12:44 UTC,46.93 % 0.08 USDT,-8.46 % 0.05 USDT
PIPPINUSDT,Short,0.012 USDT,"842,327","9,955.50 USDT",52.19 USDT,0.52 %,04/03/2025 11:13 UTC,04/03/2025 11:49 UTC,0.42 % 0.01 USDT,-0.26 % 0.01 USDT
PNUTUSDT,Short,0.139 USDT,"143,483","19,980.46 USDT",-23.02 USDT,-0.12 %,04/03/2025 11:13 UTC,04/03/2025 11:49 UTC,0.67 % 0.14 USDT,
BSWUSDT,Short,0.02 USDT,"500,501","9,940.19 USDT","1,856 USDT",18.68 %,04/03/2025 07:16 UTC,04/03/2025 08:57 UTC,23.51 % 0.02 USDT,-0.05 % 0.02 USDT
VOXELUSDT,Short,0.048 USDT,"415,701","-19,980.48 USDT","5,004 USDT",25.05 %,04/03/2025 07:16 UTC,04/03/2025 08:57 UTC,36.55 % 0.04 USDT,
HBARUSDT,Long,0.164 USDT,"304,414","49,993.36 USDT",-111.61 USDT,-0.22 %,04/03/2025 01:40 UTC,04/03/2025 06:02 UTC,1.52 % 0.17 USDT,-0.43 % 0.16 USDT
1000CHEEMSUSDT,Long,0.002 USDT,"29,833,906","50,024.08 USDT",198.07 USDT,0.40 %,04/03/2025 01:42 UTC,04/03/2025 06:02 UTC,4.09 % 0.00 USDT,-1.09 % 0.00 USDT
SOLUSDT,Long,119.466 USDT,"4,181","499,486.04 USDT","-2,262.62 USDT",-0.45 %,04/03/2025 01:33 UTC,04/03/2025 06:01 UTC,1.19 % 120.89 USDT,-0.69 % 118.64 USDT
SUIUSDT,Long,2.384 USDT,"50,302.4","119,911.18 USDT","-1,243.18 USDT",-1.04 %,04/03/2025 01:36 UTC,04/03/2025 06:01 UTC,2.26 % 2.44 USDT,-1.28 % 2.35 USDT
XRPUSDT,Long,2.054 USDT,"121,586.2","249,783.51 USDT",-37.30 USDT,-0.01 %,04/03/2025 01:50 UTC,04/03/2025 06:00 UTC,1.29 % 2.08 USDT,-0.70 % 2.04 USDT
PENGUUSDT,Long,0.005 USDT,"203,338",999.00 USDT,-13.61 USDT,-1.36 %,04/03/2025 03:12 UTC,04/03/2025 06:00 UTC,1.06 % 0.00 USDT,-1.49 % 0.00 USDT
FORMUSDT,Long,2.097 USDT,"9,538.7","19,999.79 USDT",23.28 USDT,0.12 %,04/03/2025 05:30 UTC,04/03/2025 06:00 UTC,0.37 % 2.10 USDT,-0.80 % 2.08 USDT
TUTUSDT,Long,0.028 USDT,"1,424,514","39,999.97 USDT","-2,012.45 USDT",-5.03 %,04/03/2025 03:00 UTC,04/03/2025 06:00 UTC,4.92 % 0.03 USDT,-5.66 % 0.03 USDT
AAVEUSDT,Long,154.39 USDT,323.8,"49,991.48 USDT",151.28 USDT,0.30 %,04/03/2025 01:37 UTC,04/03/2025 06:00 UTC,1.82 % 157.20 USDT,-0.62 % 153.44 USDT
FARTCOINUSDT,Long,0.421 USDT,"178,121.7","74,981.37 USDT","-4,136.41 USDT",-5.52 %,04/03/2025 01:38 UTC,04/03/2025 06:00 UTC,3.76 % 0.44 USDT,-5.71 % 0.40 USDT
FORMUSDT,Long,2.163 USDT,"9,245.9","19,999.81 USDT",-84.10 USDT,-0.42 %,04/02/2025 22:37 UTC,04/02/2025 23:04 UTC,0.33 % 2.17 USDT,-1.72 % 2.13 USDT
