Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
SUIUSDT,Long,1.769 USDT,"50,000","88,440.82 USDT","14,831 USDT",16.77 %,04/07/2025 07:09 UTC,04/08/2025 05:49 UTC,,
SOLUSDT,Short,112.12 USDT,"5,000","-587,638.83 USDT","91,084 USDT",15.50 %,03/31/2025 02:47 UTC,04/07/2025 08:05 UTC,,
BTCUSDT,Short,"82,474.625 USDT",8,"-659,797.00 USDT","52,771 USDT",8.00 %,03/31/2025 02:47 UTC,04/07/2025 07:10 UTC,,
SUIUSDT,Short,1.981 USDT,"170,000","-336,828.99 USDT","52,924 USDT",15.71 %,04/06/2025 04:17 UTC,04/07/2025 07:09 UTC,,
XRPUSDT,Short,2.118 USDT,"225,000","-476,559.74 USDT","49,819 USDT",10.45 %,03/31/2025 02:48 UTC,04/07/2025 04:20 UTC,,
ETHUSDT,Short,"1,768.697 USDT",350,"-619,043.80 USDT","65,603 USDT",10.60 %,04/06/2025 04:17 UTC,04/06/2025 22:56 UTC,"12.23 % 1,575 USDT","-2.39 % 1,811 USDT"
INJUSDT,Long,10.436 USDT,"60,000","626,132.46 USDT","4,406 USDT",0.70 %,03/24/2025 05:39 UTC,03/28/2025 03:34 UTC,6.10 % 11.07 USDT,-2.03 % 10.22 USDT
ETHUSDT,Long,"2,048.434 USDT",500,"1,024,216.97 USDT","-15,919.40 USDT",-1.55 %,03/24/2025 05:38 UTC,03/28/2025 03:34 UTC,"2.72 % 2,104 USDT","-3.32 % 1,980 USDT"
WIFUSDT,Long,0.526 USDT,"1,000,000","526,185.19 USDT","3,303 USDT",0.63 %,03/19/2025 13:18 UTC,03/28/2025 03:34 UTC,10.04 % 0.58 USDT,-8.68 % 0.48 USDT
BTCUSDT,Long,"86,892.6 USDT",4,"347,570.40 USDT","-1,810.46 USDT",-0.52 %,03/24/2025 05:39 UTC,03/26/2025 17:33 UTC,"2.14 % 88,752 USDT","-0.73 % 86,260 USDT"
ETHUSDT,Long,"1,979.322 USDT",450,"890,694.90 USDT",-743.75 USDT,-0.08 %,03/19/2025 10:56 UTC,03/20/2025 15:22 UTC,"4.57 % 2,069 USDT","-0.46 % 1,970 USDT"
ONDOUSDT,Long,0.869 USDT,"500,000","434,528.90 USDT","-4,383.38 USDT",-1.01 %,03/19/2025 13:17 UTC,03/20/2025 15:21 UTC,2.74 % 0.89 USDT,-3.70 % 0.84 USDT
SOLUSDT,Long,127.772 USDT,"6,000","766,634.89 USDT","8,882 USDT",1.16 %,03/19/2025 10:56 UTC,03/20/2025 15:21 UTC,6.50 % 136.08 USDT,-1.12 % 126.34 USDT
BTCUSDT,Short,"80,773.3 USDT",6,"484,639.80 USDT","-16,406.83 USDT",-3.39 %,03/13/2025 17:01 UTC,03/19/2025 10:56 UTC,"0.98 % 79,988 USDT","-5.12 % 85,130 USDT"
SOLUSDT,Short,123.029 USDT,"3,200","393,691.51 USDT","-13,076.60 USDT",-3.32 %,03/13/2025 17:01 UTC,03/19/2025 10:56 UTC,1.71 % 120.96 USDT,-9.77 % 136.35 USDT
BTCUSDT,Short,"79,736.719 USDT",6,"478,420.32 USDT","-26,745.28 USDT",-5.59 %,03/11/2025 14:52 UTC,03/13/2025 02:10 UTC,,"-5.27 % 84,172 USDT"
SOLUSDT,Short,119.665 USDT,"3,000","358,996.48 USDT","-21,715.46 USDT",-6.05 %,03/11/2025 14:52 UTC,03/13/2025 02:10 UTC,,-8.11 % 130.22 USDT
INJUSDT,Long,9.487 USDT,"25,000","237,172.66 USDT","-18,014.60 USDT",-7.60 %,03/11/2025 09:40 UTC,03/11/2025 14:52 UTC,0.75 % 9.56 USDT,-8.37 % 8.69 USDT
ETHUSDT,Long,"1,923.469 USDT",330,"634,744.63 USDT","-20,695.68 USDT",-3.26 %,03/11/2025 09:40 UTC,03/11/2025 14:51 UTC,"2.41 % 1,969 USDT","-4.37 % 1,839 USDT"
