Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
ETHUSDT,Short,"1,806.629 USDT",854.847,"-1,544,391.05 USDT","-22,630.59 USDT",-1.47 %,04/02/2025 22:41 UTC,04/03/2025 04:41 UTC,,
BTCUSDT,Short,"84,622.16 USDT",26.346,"-2,229,455.42 USDT","1,354 USDT",0.06 %,04/02/2025 02:44 UTC,04/02/2025 08:28 UTC,,
ETHUSDT,Long,"1,892.553 USDT","1,329.377","2,515,916.09 USDT","-19,946.13 USDT",-0.79 %,04/01/2025 15:11 UTC,04/02/2025 02:36 UTC,,
BTCUSDT,Short,"85,673.188 USDT",37.041,"-3,173,420.54 USDT","50,649 USDT",1.60 %,03/28/2025 00:14 UTC,04/01/2025 15:00 UTC,"5.35 % 81,325 USDT","-2.01 % 87,434 USDT"
ETHUSDT,Short,"2,000.686 USDT",299.826,"-599,857.58 USDT",634.48 USDT,0.11 %,03/27/2025 17:10 UTC,03/28/2025 00:14 UTC,"0.19 % 1,996 USDT","-0.82 % 2,017 USDT"
ETHUSDT,Short,"2,015.08 USDT",148.708,"299,658.52 USDT","1,660 USDT",0.55 %,03/27/2025 13:13 UTC,03/27/2025 13:56 UTC,"1.26 % 1,989 USDT","0.00 % 2,015 USDT"
ETHUSDT,Short,"2,034.851 USDT",298.121,"-606,631.90 USDT","3,629 USDT",0.60 %,03/26/2025 13:52 UTC,03/27/2025 02:04 UTC,"2.56 % 1,984 USDT",
ETHUSDT,Short,"2,051.055 USDT",237.496,"-487,117.44 USDT","-3,434.03 USDT",-0.70 %,03/25/2025 07:39 UTC,03/25/2025 14:15 UTC,"0.05 % 2,050 USDT","-1.16 % 2,075 USDT"
ETHUSDT,Short,"1,992.128 USDT",64.847,"129,183.51 USDT",-324.16 USDT,-0.25 %,03/23/2025 18:34 UTC,03/23/2025 20:02 UTC,,"-0.29 % 1,997 USDT"
ETHUSDT,Long,"2,017.713 USDT",79.762,"160,936.80 USDT","-2,502.48 USDT",-1.55 %,03/23/2025 13:33 UTC,03/23/2025 17:44 UTC,"0.09 % 2,019 USDT","-1.59 % 1,985 USDT"
BTCUSDT,Long,"84,075 USDT",3.595,"302,249.63 USDT",-38.67 USDT,-0.01 %,03/23/2025 02:31 UTC,03/23/2025 03:04 UTC,"0.20 % 84,241 USDT","0.00 % 84,074 USDT"
